model,upper_quantile,lower_quantile,PICP,PINAW
z_score,0.95,0.05,0.9680377492877492,
NBEATS,0.95,0.05,0.9373219373219374,0.2809601727706649
NBEATS,0.95,0.01,0.9735576923076924,0.3548598904193989
NBEATS,0.96,0.01,0.9870459401709402,0.3600549663198235
NBEATS,0.97,0.01,0.9818376068376068,0.35497122217823884
NBEATS,0.98,0.01,0.9853543447293448,0.3732930604503559
NBEATS,0.99,0.01,0.9943910256410255,0.4683140740390319
NBEATS,0.95,0.02,0.9672364672364672,0.28742164959708144
NBEATS,0.96,0.02,0.9857995014245016,0.3687116414978528
NBEATS,0.97,0.02,0.964699074074074,0.30904726153067463
NBEATS,0.98,0.02,0.987891737891738,0.3595298067894597
NBEATS,0.99,0.02,0.9856659544159544,0.3888240658690417
NBEATS,0.95,0.03,0.9731570512820512,0.3188900241976099
NBEATS,0.96,0.03,0.9865562678062678,0.33412930169014005
NBEATS,0.97,0.03,0.969551282051282,0.3309200393018871
NBEATS,0.98,0.03,0.9839298433048432,0.4005629955954373
NBEATS,0.99,0.03,0.9660345441595442,0.3522771570567118
NBEATS,0.95,0.04,0.9352742165242164,0.26727153499893674
NBEATS,0.96,0.04,0.9327368233618234,0.2741433134981359
NBEATS,0.97,0.04,0.9864672364672364,0.3945922810230497
NBEATS,0.98,0.04,0.9616720085470084,0.3719236037708929
NBEATS,0.99,0.04,0.9598023504273504,0.3660413326161521
NBEATS,0.95,0.05,0.9394586894586896,0.2676483157233294
NBEATS,0.96,0.05,0.9614494301994302,0.2958736386466585
NBEATS,0.97,0.05,0.9508101851851852,0.2831234067687441
NBEATS,0.98,0.05,0.9788105413105412,0.3380277087330269
NBEATS,0.99,0.05,0.9440883190883191,0.31230746274535875
