Date,W
2017-01-02,113884.37675623715
2017-01-03,115749.40376579322
2017-01-04,114738.96874419207
2017-01-05,113232.58148957895
2017-01-06,108208.27537324617
2017-01-07,90688.6024481864
2017-01-08,84337.79552448455
2017-01-09,111385.27314785792
2017-01-10,108509.2462157984
2017-01-11,105530.3696875161
2017-01-12,103430.9497561397
2017-01-13,102607.5881655868
2017-01-14,87073.94603033645
2017-01-15,87897.51612762244
2017-01-16,104280.61830258832
2017-01-17,114818.58890885705
2017-01-18,119121.91918519448
2017-01-19,116773.51585940858
2017-01-20,114201.35767975188
2017-01-21,93042.56942277924
2017-01-22,91529.23226184977
2017-01-23,122445.5668000895
2017-01-24,127115.71123362599
2017-01-25,125286.23169059768
2017-01-26,100813.263386259
2017-01-27,118889.85552576502
2017-01-28,102307.78558387156
2017-01-29,103072.42259439648
2017-01-30,126890.12131756035
2017-01-31,127768.12652443293
2017-02-01,116478.6498198506
2017-02-02,123527.55939821393
2017-02-03,121705.67143590716
2017-02-04,100550.933678479
2017-02-05,91117.44128793321
2017-02-06,113668.68088212528
2017-02-07,113014.85024416051
2017-02-08,114415.41864149345
2017-02-09,119862.80569047687
2017-02-10,120663.21543186242
2017-02-11,90686.23127039842
2017-02-12,87341.34513928238
2017-02-13,123532.36617376785
2017-02-14,129230.61782175244
2017-02-15,131996.01350840653
2017-02-16,151144.07959406028
2017-02-17,133946.3475203117
2017-02-18,105863.04814789072
2017-02-19,103799.50419895547
2017-02-20,136126.53864193626
2017-02-21,129277.93381117244
2017-02-22,128981.9343830097
2017-02-23,122871.83590802047
2017-02-24,108565.79753311008
2017-02-25,106331.46136756414
2017-02-26,104154.33340953127
2017-02-27,145657.26876061555
2017-02-28,158071.29053563366
2017-03-01,151134.20361870065
2017-03-02,149162.29490449704
2017-03-03,145848.12733835168
2017-03-04,108437.24863451548
2017-03-05,105154.58735219184
2017-03-06,137802.26564561675
2017-03-07,143687.2967993983
2017-03-08,141538.04139656635
2017-03-09,137390.7332406382
2017-03-10,136883.0949607624
2017-03-11,105555.97546275602
2017-03-12,84248.73728136261
2017-03-13,81624.02637101934
2017-03-14,135220.63813005947
