h,m_b,W
0,0,
0,5,
0,10,
0,15,
0,20,
0,25,
0,30,
0,35,
0,40,
0,45,
0,50,
0,55,
1,0,
1,5,
1,10,
1,15,
1,20,
1,25,
1,30,
1,35,
1,40,
1,45,
1,50,
1,55,
2,0,
2,5,
2,10,
2,15,
2,20,
2,25,
2,30,
2,35,
2,40,
2,45,
2,50,
2,55,
3,0,
3,5,
3,10,
3,15,
3,20,
3,25,
3,30,
3,35,
3,40,
3,45,
3,50,
3,55,
4,0,
4,5,
4,10,
4,15,
4,20,
4,25,
4,30,
4,35,
4,40,
4,45,
4,50,
4,55,
5,0,
5,5,
5,10,
5,15,
5,20,
5,25,
5,30,
5,35,
5,40,
5,45,
5,50,
5,55,
6,0,
6,5,
6,10,
6,15,
6,20,
6,25,
6,30,
6,35,
6,40,
6,45,
6,50,
6,55,
7,0,
7,5,
7,10,
7,15,
7,20,
7,25,
7,30,
7,35,
7,40,
7,45,151052.2388392857
7,50,149756.91003945182
7,55,145512.82390559072
8,0,144227.73106060605
8,5,148310.1359375
8,10,144378.58071157095
8,15,139729.48505434784
8,20,137842.4044934933
8,25,140672.98622255068
8,30,148966.94328125
8,35,150972.6086409396
8,40,160211.7055976431
8,45,160960.95828125
8,50,164226.21791107382
8,55,163129.98074894515
9,0,165081.42848958334
9,5,161591.95049452863
9,10,169246.53945443145
9,15,166056.95401337792
9,20,159855.42567567568
9,25,168476.64833333335
9,30,166340.41089527027
9,35,173996.39614583334
9,40,172241.80157817726
9,45,171865.2135942761
9,50,173981.30229166665
9,55,169776.3357421875
10,0,168777.3211610487
10,5,170923.92192708334
10,10,173131.60708333334
10,15,163983.84781461148
10,20,164190.37109375
10,25,160644.73515886287
10,30,162564.0990635522
10,35,159762.756875
10,40,159417.79286317568
10,45,157987.16730689368
10,50,154787.89793771043
10,55,158604.49107142858
11,0,160400.43109375
11,5,160438.13550464527
11,10,157022.59946518455
11,15,154447.219375
11,20,149627.20043285473
11,25,156894.4367659396
11,30,155316.16487249164
11,35,144974.44354413176
11,40,137340.62739583335
11,45,142990.0622360642
11,50,135412.47941054514
11,55,141494.69654947918
12,0,137549.12226430976
12,5,140543.91390625
12,10,139086.66769067798
12,15,134949.46421875333
12,20,138402.34811351172
12,25,139840.29087752526
12,30,139812.04106770668
12,35,137721.54994791668
12,40,140906.50703125
12,45,139922.71249471622
12,50,133624.82052293938
12,55,124757.73281251248
13,0,129580.34292903388
13,5,124815.90086570609
13,10,124513.23684896338
13,15,124525.48690107331
13,20,122823.62665162417
13,25,125675.80334596294
13,30,127479.34911455671
13,35,129490.85065106995
13,40,118111.79374476429
13,45,122435.14648436998
13,50,116969.71707213757
13,55,111048.43071371192
14,0,120194.56453126666
14,5,112296.7304162953
14,10,112965.6654040606
14,15,110361.82203127332
14,20,116360.63823128284
14,25,120166.06601295642
14,30,115482.06858223824
14,35,121296.22038639193
14,40,115602.3931510334
14,45,113336.51072254025
14,50,116695.5841084716
14,55,106675.15869140832
15,0,110454.20763831078
15,5,109855.25903647333
15,10,102227.28961303693
15,15,104433.34818060065
15,20,106424.12335941661
15,25,103192.18834741022
15,30,104848.56145833666
15,35,106397.24007811997
15,40,107762.69557734231
15,45,102663.91468751666
15,50,98342.17679687336
15,55,103513.18014899157
16,0,92613.52959835906
16,5,95496.15749999667
16,10,88197.36779453383
16,15,93264.45017247155
16,20,87212.25318770237
16,25,94348.54074034566
16,30,91302.81085938332
16,35,89000.96277884173
16,40,92572.19799480664
16,45,90011.74921083504
16,50,91263.43519294634
16,55,97447.44244790419
17,0,89452.18977321404
17,5,87786.88096496617
