consumption,Year,Month,DayOfYear,DayOfWeek,DayType,Hour,Minute,Season
126661.28866666667,2017,1,1,6,0,0,0,0
125975.6306,2017,1,1,6,0,0,15,0
131628.8214,2017,1,1,6,0,0,30,0
133741.10966666666,2017,1,1,6,0,0,45,0
149806.3866666667,2017,1,1,6,0,1,0,0
151120.45933333333,2017,1,1,6,0,1,15,0
159167.30733333336,2017,1,1,6,0,1,30,0
163575.87066666668,2017,1,1,6,0,1,45,0
162995.41733333335,2017,1,1,6,0,2,0,0
154631.6546666667,2017,1,1,6,0,2,15,0
154081.534,2017,1,1,6,0,2,30,0
155070.37866666666,2017,1,1,6,0,2,45,0
150208.136,2017,1,1,6,0,3,0,0
140887.40199999997,2017,1,1,6,0,3,15,0
128008.28778571426,2017,1,1,6,0,3,30,0
123475.88406666668,2017,1,1,6,0,3,45,0
115614.74866666667,2017,1,1,6,0,4,0,0
116625.02893333333,2017,1,1,6,0,4,15,0
112735.38806666665,2017,1,1,6,0,4,30,0
113379.28960000002,2017,1,1,6,0,4,45,0
108616.05,2017,1,1,6,0,5,0,0
108787.08293333332,2017,1,1,6,0,5,15,0
106998.81539999999,2017,1,1,6,0,5,30,0
106152.52533333335,2017,1,1,6,0,5,45,0
102965.33726666667,2017,1,1,6,0,6,0,0
103066.44693333334,2017,1,1,6,0,6,15,0
102073.6376,2017,1,1,6,0,6,30,0
96687.9792,2017,1,1,6,0,6,45,0
94481.03966666665,2017,1,1,6,0,7,0,0
91801.08788235293,2017,1,1,6,0,7,15,0
90573.1988,2017,1,1,6,0,7,30,0
89354.83285714283,2017,1,1,6,0,7,45,0
88010.90433333332,2017,1,1,6,0,8,0,0
87721.04033333334,2017,1,1,6,0,8,15,0
89597.75633333334,2017,1,1,6,0,8,30,0
90239.27566666667,2017,1,1,6,0,8,45,0
92317.34126666667,2017,1,1,6,0,9,0,0
91785.95906666666,2017,1,1,6,0,9,15,0
92670.857,2017,1,1,6,0,9,30,0
