Predictions,Actual_Values
74243.2,78472.38677088992
78881.1,79170.89320312666
77709.79,83146.68932288668
76090.71,78811.88026043666
72945.49,77106.50677082666
75505.5,81093.72872396
74095.94,80948.81937500999
76152.734,77099.87531249331
70870.16,82083.19882811669
79049.625,78245.63953127664
74811.234,77773.42049480334
73193.09,79815.88710936249
76959.76,81044.00617188668
70994.41,77845.86690107662
76388.266,81755.74437501332
75051.22,78557.59335937668
73684.266,82339.70492187666
77714.97,76806.94369791332
76192.555,74161.43111978332
73564.65,76027.17822916336
73441.17,77793.84479161674
79243.44,72077.58088542003
72561.516,75592.06109372331
81337.13,72857.11087242494
73267.91,75685.20244794666
76041.16,76739.09825522329
82196.03,72988.61916663336
77987.87,77503.60942704669
74484.84,75979.07848959332
74242.016,73757.68255209665
76731.695,75079.7238541833
77500.71,76487.43963539001
75973.8,74193.06770830668
75739.42,75341.55424477332
77698.79,74900.79119790671
76045.164,72026.75009766665
79606.09,76925.29420984621
76719.31,75103.6519271
77747.57,76646.96484376673
80540.1,77603.3039062833
78483.086,75873.89562499666
86137.87,80596.89317710663
83661.46,103596.63533854664
83165.15,97483.13395833
83462.16,98929.2525260733
83298.32,98184.99997395332
87005.71,97026.27651042664
87817.87,96345.8174153376
86560.64,93751.66299481336
84096.76,91838.96778650329
84835.98,96987.50604164336
89678.984,102663.30106766002
86967.48,94468.64302085333
88445.89,96154.61335937666
89110.07,97052.58096352668
89127.66,103017.2582566656
89583.88,93886.48658853334
92404.89,97294.16174476672
90511.55,103110.80916665336
94421.04,93080.3822591208
94132.62,102594.79169270002
91119.83,98587.41210938996
91865.32,103000.89692708332
93331.766,100512.88505208996
96827.62,98097.05679685668
95195.18,99971.09945311668
96961.016,102048.39388023
91873.74,101939.1908854533
92136.96,110735.79562500663
98351.234,110526.41549477664
98459.484,113835.70869790664
98213.85,111110.395898425
99065.62,112642.06786456006
95373.09,107097.44565104996
95713.86,109512.05718750668
97648.45,114001.71322916663
101387.08,108937.29221353334
103717.28,112830.04570311667
98958.95,109812.34796876
94163.16,110595.53208613377
99990.875,114521.34169269002
101151.445,109261.58786460996
102788.63,110829.43460936336
102037.52,113343.02275388336
100698.78,110476.58940105334
108029.55,111386.42257811002
102110.73,110865.28463541337
103865.44,113173.24846350672
106132.49,111319.7902603934
101821.625,112240.46716143338
103093.6,109874.59242186336
104028.11,116709.60169272331
106882.38,112520.38544273662
103239.48,105340.50953126668
105315.016,106127.46380210663
104995.39,101899.07057292912
106008.27,103759.02666668664
109002.28,106957.3450781433
103749.805,105586.89270834328
106506.805,108566.26674478666
105970.484,105681.48059893669
112108.72,108817.5108073
107155.92,103260.38820311669
102748.06,103570.87296193316
104852.51,109305.75692708998
105907.33,99817.65414063665
102251.48,102369.86325521
110483.99,101715.62945965
108363.984,108170.59820313666
109088.41,107619.50372397328
107613.64,100465.67888022
108831.16,104252.55999999668
107721.84,99915.68419273998
106663.86,98631.33213541668
111168.266,99777.8420573033
110259.71,101028.79492186004
112343.79,102745.90044274324
108679.51,101707.90445313664
107852.32,101750.71638019668
111175.04,99716.29570311253
107824.99,99418.98846357662
112304.27,101760.69536457
107510.76,102160.85346352666
110599.09,99172.34145835334
112211.914,103341.85593749672
110296.68,98449.53950522994
110786.74,98607.16950521665
109608.66,99812.59257423076
111977.83,96145.37028644
110732.8,98509.66765627664
109652.79,100257.34841147329
107431.29,95864.43753261249
110364.41,96387.52122393338
109987.99,94804.96713537336
107064.98,96299.76265627328
107784.11,97798.02611978336
108865.19,96353.72343746336
109918.71,93767.37471356332
111607.01,95255.37320312668
112090.34,94440.37570314664
108524.53,96522.16343748996
109410.766,95564.30062498672
109499.484,91256.35572918996
110014.36,91944.63623046254
109987.45,97251.35479164004
106900.945,91907.26638020668
112657.445,94512.83328127996
102820.195,91718.59807286672
106607.92,93438.60773435002
103402.49,96156.22809891668
105267.32,91273.86294270666
106394.71,90366.04994788006
108375.945,95117.49179687664
107360.484,96165.48179687664
107517.805,94237.01377605
104906.74,92550.62851560416
104816.8,89088.9382291833
107221.37,92574.00838541
109429.27,89601.6710937267
107955.23,92023.86002604332
105382.4,92447.12164062
107158.68,89327.88828127662
103264.1,95028.15604167004
101331.88,95935.71708333
102774.79,96068.61708333
105454.32,93214.96322913335
104373.78,96982.87273440664
99600.53,92780.87526040833
103714.88,91009.35763022664
101449.78,91764.63653645666
100887.88,89305.63656244338
102205.2,92011.50671871004
99202.516,90620.28276043996
102976.2,93572.71312499334
103496.38,92268.03432291996
100121.78,92272.59354169332
99547.875,95531.67377605998
100610.3,88564.89992187332
101417.805,90501.50940102334
98890.93,89785.34843748336
97726.7,90043.34934895
99682.2,86973.3165104167
94977.54,91705.6991145534
96115.914,84738.68942713992
99889.81,90218.12713543666
96031.266,88828.38302083664
101049.98,88183.04557291997
95557.266,87464.07979165332
95165.83,87147.94208329005
96848.03,88622.43770832005
94971.67,87687.56544271001
94539.77,90583.85540364584
97508.98,86743.76421873334
94357.734,85063.03138022666
94221.664,87510.10403641341
91970.414,85192.2996353967
96751.08,83634.07744790673
96954.77,85900.00901038005
93747.305,86470.69846355666
94743.03,83796.63398438662
92673.625,81507.89140627
91267.266,86122.34992189
96611.24,86832.83338543665
91638.945,89678.22819007919
92594.32,90635.14804687003
95242.91,86860.85557292
95728.86,86881.7001041733
95550.81,86506.38117185673
92351.95,83898.04507817325
93931.32,85427.04489580334
89230.625,81256.76140625999
93520.27,84348.87809900662
89066.91,85025.33997395335
91114.5,81157.22460936997
89695.914,80579.30088538669
89868.87,84170.76129560414
91708.52,81227.21937502002
91423.305,82403.32695311001
90139.37,80305.28596355664
90106.85,80713.14260418668
92087.96,83207.00505207332
94155.48,79247.64138023996
87617.88,85711.15450522334
89121.59,84223.97315103668
87177.234,79626.72401043329
89996.83,84853.17268228001
89630.016,80550.59697916999
88474.18,77733.78164062499
87734.09,84214.95882811332
85091.18,80852.71903643335
86876.43,77804.74169269003
87461.02,83995.98713541335
93900.78,78910.32929689
88156.08,78584.65445309666
87166.88,80696.03190099674
86387.695,85337.73455730661
90399.19,77506.21023437331
86256.25,78983.74286457003
83245.2,79721.04838543996
86705.44,80791.53994142497
86258.25,76960.10541664003
83356.83,80280.51223956003
85567.94,78849.36947911007
88250.3,74333.84734376334
84293.12,80765.79388023666
85922.17,77311.82692707334
84164.61,78317.92398436002
87452.42,82030.15901041999
80214.66,77759.14343751334
83890.5,76604.68005206004
84097.67,77623.87406251664
84696.305,79599.08652344164
79632.66,77792.60872399996
82243.93,76389.45638016336
83090.766,77722.92718749
82782.17,80965.88786455669
86954.26,75743.16515623668
82647.46,77351.95497394662
82525.86,77529.89106774
80692.766,79479.2539843367
80692.88,79110.74104163668
81670.62,76259.78458334334
80399.305,74676.12997397663
82738.7,84721.82981771667
79603.88,77419.84864581998
83700.586,75575.60195315331
77116.664,78057.28778647666
79193.87,78124.61255208
80909.0,76824.88653642671
79799.21,77867.5633854333
78777.58,79948.01239583996
79645.68,77045.38588543664
81951.94,78887.29489581335
76778.945,75191.06684898995
74681.4,78603.40132814331
78857.945,77211.48808599994
80594.58,76680.29710937
82583.62,77789.86692705337
75466.29,77143.6086198233
73750.695,80799.32427086993
82026.7,78091.89744792668
77814.89,76270.23135419661
77635.375,78143.14424477334
80051.68,77692.63320311668
79011.28,75131.57747395663
80179.055,79215.52312497003
78794.87,77638.96106770668
72126.07,76748.80810548332
