Predictions,Actual_Values
84560.336,76953.04820315664
83974.055,74753.38997393336
87525.71,77515.50093752997
82030.68,80221.80640624995
78995.336,75625.36338538336
82376.57,76644.25729165999
79279.55,74230.64455730664
83981.016,76897.91252605332
83941.984,78447.57380207666
81199.37,73073.82609374664
82275.04,73644.3449739467
85092.55,77717.4300781292
84345.48,78776.43700521003
85899.48,74410.04148438
84200.42,75111.04908857
83700.56,72666.55140623669
84288.03,77858.91856768004
81679.65,72877.50880210334
87416.17,71077.03882814331
87651.4,72639.07835938665
87193.23,76548.00575519666
86015.17,69759.71981769669
86651.13,73473.27513025665
91572.48,70890.09270832497
89153.54,72824.00533855327
86909.38,75944.96604165668
89828.09,71103.13937500995
90056.484,72453.85289064664
88137.37,72653.72052082668
90076.484,74147.53041667667
90348.36,73922.68932290001
90582.875,74063.06119789665
95502.85,71690.20955728997
92759.74,74521.4720312633
93320.55,74571.96317708334
96088.56,70992.88994141665
94040.54,74964.96494794666
94389.6,74332.60440103
97529.625,74984.74158854996
95028.055,74696.50257812666
101635.43,75151.91679688332
97937.055,75364.46484369003
99576.56,76972.31588538334
102824.914,73956.87528639338
101762.586,77417.88002603668
104080.11,75929.94812499668
102549.24,77288.81088542331
107226.38,78753.40511072915
104487.234,78617.31901043664
104146.37,75336.40846351335
107282.51,80952.97846353668
105331.055,77957.37528648
109157.55,79825.91848957338
107316.23,81524.97992185662
107400.945,79959.03739583334
110503.44,77459.65023437001
107348.78,79693.69981769338
114359.766,83174.46213541333
114659.0,85161.67359376
115878.28,83133.5001627417
112116.61,79184.67536460995
117041.1,87648.48697915669
115968.54,85876.32645832332
115927.69,82574.04968753994
116883.52,86468.32830727332
114450.33,85651.28161461
117543.32,84074.51901042668
119009.984,83617.79882814665
121041.91,90340.07187500666
122745.04,86166.39786462329
119715.195,103698.1078905834
119903.914,112538.67333987496
122322.34,109064.92265629664
122189.81,99923.94463544663
121502.8,103001.59067708
123011.29,100871.37750000664
123967.43,100203.77585940332
122235.8,102526.26955727002
125397.96,98784.17898434668
128944.46,92949.0842448233
128408.67,94440.95473961665
125786.81,91622.71078124666
129110.055,95086.78721352668
127957.94,96384.30302733331
128655.78,88336.94580727669
127183.9,93885.32963542
128783.23,92904.18460932672
126294.91,91456.42768230666
128640.22,93027.93260415332
132580.88,88394.23427082002
127504.56,91479.27677083
131294.22,90622.89158853004
129689.58,89006.51265623666
130048.26,95088.43132812998
133227.94,97364.42924479
133089.61,93619.94580080832
129771.95,93640.00713541
128788.02,96691.93445309668
131838.38,97256.75624996668
132295.92,94939.33317707668
131724.3,90123.8208594033
132079.1,94213.50710936004
135484.06,97752.09447917998
129893.6,93734.41544270334
131987.78,98536.89221355662
132999.77,93196.77333334662
132783.66,94820.02731772998
131445.73,102473.65315754164
130513.85,98429.21218748334
131978.89,96631.41726563332
130769.93,93192.51197915668
132618.38,88453.20356769004
132254.81,88028.78515628332
134248.8,97020.67927080672
133037.84,95352.13169268335
131630.58,96420.32143227667
132337.0,96373.59601563662
130179.63,93340.13166667664
132647.5,93385.43419271662
129278.99,97161.75152992916
128491.16,89758.13872398666
129856.83,94493.54580729333
129591.29,92007.92377603668
130502.234,92132.07893229333
128464.51,90476.78171877662
123950.32,91731.86536459668
130273.48,98772.02591145667
129660.64,92750.70872396667
127896.945,92169.83786458
130540.07,89588.53294270334
131069.58,90523.45218749002
127625.555,92191.78388671669
125922.7,91695.5702082967
123901.73,91967.8566406
127991.99,92277.76005203671
125583.54,90064.60880209669
123153.38,92239.21656248336
121533.51,90689.66559890672
123785.14,93271.32419272
123485.09,93005.28861979333
123710.81,91771.7046614367
120736.36,86422.54455728004
119773.31,88757.28653646
116219.45,86577.73248698747
124060.06,87706.75364583332
122109.1,93129.05588539338
117454.23,88910.25041668997
117002.1,87268.7191145434
115937.28,91829.7527603867
119701.12,87078.9941146133
117435.17,84908.89192711329
116750.336,87277.6699739434
114113.75,86783.69333332
115700.01,83878.19864581001
113099.22,87852.47854169
114698.46,86546.36471352504
112972.96,90712.15567708334
111501.42,85336.24333335999
111535.55,86273.69432292665
112290.2,91343.62335938668
109580.9,83471.77260418331
113504.96,88896.10966146336
111376.68,84601.09986976668
107603.336,85185.44437499004
108739.86,93288.84096355663
109036.17,82712.45973958005
107524.984,88772.4273958067
106777.91,87949.55156251666
107013.11,89872.9765885067
107198.25,86491.05468749997
105869.086,89671.79705729333
103853.76,86998.17434891003
102318.48,90044.42304686994
104821.414,88397.60424479666
107775.914,86948.43486981666
104256.71,88058.00562498003
103117.06,88741.47466144669
101555.18,87286.17171875
102138.51,87065.86843749665
102444.77,91660.56025385004
103027.586,87242.69791666335
101591.07,86257.57380207338
101873.68,85991.13971355664
103206.65,87791.49710936335
99301.44,85015.64903645335
97163.24,88256.82716148332
103766.47,87796.1684895634
100549.5,86903.94880210997
103053.75,85151.52682290332
99969.44,90864.6448697434
100871.734,84961.94265624668
102503.5,87539.03955075835
98981.69,86115.38458335999
101521.016,86331.88046872003
100003.75,86192.18833333335
101140.54,85872.03166668661
98496.91,81386.36286459665
97646.01,87294.99895834332
97651.27,82700.13213541
100391.42,82973.1962500233
96252.46,84565.26713541668
97966.32,84965.90526042666
96392.875,83836.24583329669
97350.12,83519.09768876669
96263.664,83443.40195310667
95268.71,82297.16942707667
95698.49,82979.74445310334
95829.53,85281.73463536671
94951.82,87392.01906248336
97967.12,82448.43736982998
91916.695,83175.6945051967
94339.51,82985.13018227334
91026.56,84487.87625000003
97374.57,83500.18625003666
95111.37,82717.3110677433
93989.0,82671.98125000829
93163.31,83983.76041666331
96027.77,82230.09661459335
96979.3,83881.90619792334
91163.27,83416.51732337123
94589.4,83218.83544270332
93927.58,84671.22880206336
93207.55,85311.97059895338
94185.016,78833.29466144997
92983.586,85469.42726562334
90955.68,85783.28630209668
90438.2,84969.71119793662
91017.87,83037.91669922911
91833.445,82127.84096357327
90953.85,90928.07473957002
90976.234,90003.44234376997
90941.06,84569.92088540332
89996.445,85688.51841149999
92968.62,83467.03588540998
92495.25,88116.33010416669
89458.64,86273.86161460332
88949.74,82942.5154427233
87846.31,83466.41802083666
88298.32,88604.28705727671
92342.79,82353.4614583458
87747.17,84851.4921614833
89794.6,82330.99057291665
86380.88,83308.17541669332
91261.36,83594.25062497008
87355.914,83413.02890624997
88917.195,84847.40291665668
90296.82,82136.66489584997
90003.625,77285.70867185999
88715.09,83903.01713536668
89582.24,81249.02653643336
87136.33,77625.98794271334
89194.41,80091.36041667082
85882.625,78673.72591143003
84976.24,82063.01239586664
84756.89,82190.5372396033
85130.81,78225.03218749662
85029.03,78028.14221354996
84996.26,83535.10414063999
86912.766,80335.66364580003
91322.195,81257.81934894997
81038.81,82583.19690106335
84013.91,78585.48070312668
86900.77,81421.77531253333
85298.62,81208.86337890419
84985.6,81024.21684897666
83597.93,81808.80187499333
85451.805,78592.87906250669
82377.04,78910.03455727668
84245.195,83861.5923697567
82332.27,81689.80106769335
85898.35,79237.87776041332
83586.09,78127.87611979665
83444.47,83210.89182289004
82237.75,79220.13325522332
82657.6,77830.25078124997
80657.086,80527.81708984579
83092.42,82737.92971357994
79397.26,78732.04596356332
79269.52,83354.35382811003
82259.766,80783.75492189
83158.07,79953.02791666331
82747.516,81121.83539061673
80063.22,79334.30356768338
85196.01,78758.72546877664
83240.555,79672.75981770332
83073.37,77761.8018229567
85041.516,77239.73304685332
81896.086,79808.69557290003
