Predictions,Actual_Values
97311.96,100432.67572915004
97725.05,100491.44924477003
98468.43,102281.43205728
100112.336,99959.83390624337
97362.29,102886.09903642672
96725.67,98216.88375
99237.39,90308.91705730332
96539.45,93531.25901039004
99020.94,93015.08234373668
99486.1,97212.26706208363
98319.016,91850.80111977336
97196.66,97580.81676431668
98257.016,95723.77518224008
98231.88,93593.49942710328
99633.43,94437.47924476338
102590.19,93079.9930729566
98627.01,90043.87135417666
100837.68,100384.25546876664
97725.53,92131.93789060668
102296.734,93860.90226564664
98665.59,96587.70164065332
102971.44,94259.94619789664
100567.3,95599.99565104996
101200.51,104511.8318359708
99394.79,106718.3552083433
104947.52,103705.54731772668
101941.81,105951.2150521066
97744.9,106395.26721351
102280.63,104831.83924479998
100720.72,101190.42179687002
102911.555,104435.87989581
102186.5,104780.10255206998
104445.62,97430.86645833
103957.06,97876.03656248668
102023.49,92263.99442709998
104063.72,90207.46051431244
103856.01,92023.22195310336
103632.21,93930.05369788
103520.44,91431.21236981334
106680.3,104084.46268226672
105167.86,105454.46580727666
106587.13,109440.8766926734
104957.195,110238.40007813663
106395.49,108142.68429687335
109274.43,108682.32351563996
110010.36,109229.25539061335
107712.57,112434.46244790003
109564.305,107866.82320963751
106917.195,111237.33018228668
109035.305,112116.12343749002
109606.805,114322.7465364433
109918.64,124970.98570309339
112299.41,119226.45414062
110759.65,121756.2378124767
111173.9,125993.6795572867
111540.22,128738.62877602673
115233.59,123471.18630211
115731.68,124777.30010413672
113894.5,121013.21427084995
114871.19,113548.31852213336
112498.195,124283.03296874
117479.02,116846.09510413336
114932.805,119290.5961198166
116412.555,135365.85385417333
118004.21,137897.61229166668
117861.19,135205.82802085995
120945.67,133102.33023436333
118438.7,138426.76302083
119083.62,147826.12442708333
119183.61,152126.88302083337
121874.55,151549.74291666667
121765.12,149157.1095703125
120729.805,147844.2871875
122941.58,143649.7075
122459.83,145617.870625
122526.71,146817.59692708333
122138.41,153366.67270833332
125072.07,151271.35265625
125463.68,153947.13588541668
126130.91,147952.04255208332
124042.484,150883.53484375
125629.195,150594.4566666667
124032.805,150502.67713541663
127938.01,155018.31595052086
125297.94,153429.11744791668
125276.58,157412.35395833335
126734.34,151512.04130208332
127524.55,149625.56348958332
128749.35,153761.24802083333
128172.95,156531.403125
127690.586,155163.16333333333
126663.234,135482.02960938
126994.83,133430.6019010333
129159.89,134847.97078124332
129480.5,128947.06916665
128485.6,131956.91145832918
128942.336,126334.02309895334
128464.51,120025.38828126332
128172.3,111847.53476562002
130210.02,113222.05135420994
128368.336,113325.7088020833
131161.62,111268.50291665664
130356.055,113395.18200523332
130528.39,112509.34812498667
132368.83,120623.24122396995
130486.445,124345.65997394668
130117.34,123985.13661457002
129502.75,125948.99570314586
129927.13,128140.94815104333
130782.055,126586.48085938665
131051.016,120932.34677084336
132611.94,122810.05932290005
129396.875,126571.86148439662
132457.64,128015.37640625666
130711.41,129543.85882816328
132849.06,128192.42093750664
132719.06,126929.25932291
131613.61,127945.60614584666
132721.56,141182.68010416668
