Predictions,Actual_Values
91979.22,77672.12427080005
90439.484,78025.91450521997
90422.08,79623.2271875366
92028.164,76687.70671875332
89349.11,79668.13374998332
90080.63,79840.12432293
92896.01,76014.37195309669
93173.63,78849.6343018829
92173.91,76698.36937499334
92273.984,76582.66432294331
93920.25,79232.48234376332
92684.03,76401.65869135837
93048.836,75545.52786457996
91682.79,78264.2703124933
92385.32,76577.14002601334
93126.4,75805.78260417665
92803.15,77056.03867183672
91340.33,76193.60419273
93090.03,76638.80091146666
92498.195,78041.21591145004
95136.78,76899.28135419327
92686.92,76594.88492186001
92864.63,77297.07760415669
92978.91,75152.16754552923
92703.81,81098.42510416001
93691.46,90163.70770831336
94698.38,93672.31588542668
94856.73,95029.89085939332
95890.414,87641.15903646994
92238.66,88820.37947916328
94942.414,88348.97513021999
95584.57,86409.95147887964
94171.76,87385.70859378995
96110.695,86066.5591145933
95463.36,86844.82390627668
97232.15,88812.14772132086
94782.63,85685.47953124998
96071.73,87880.37348961663
96141.56,88617.44861978
96901.1,86509.56364583001
96614.2,91131.50723957334
97143.75,88688.89640625332
96590.12,87553.63791664668
95581.36,89176.53713542336
97618.96,87529.92236981327
97030.51,93759.00182291667
98554.25,86718.81460937668
96189.32,89687.77272134583
99691.86,96180.39513017338
98476.93,93962.66247398334
97437.2,96768.99395832338
97309.6,97139.04122393335
99248.17,94019.00627604664
99872.414,96442.2332552266
98877.87,91727.90624999996
99510.59,93190.36255210664
100698.88,94993.04208330336
99162.81,94961.93395835666
102816.48,93190.4246354333
100736.375,99918.1638346125
99676.8,97740.24031247344
101523.06,100078.45921874998
101033.336,100455.85807289
101770.09,94076.93593747668
103800.89,98878.07197912667
100232.414,101053.72591146996
100663.39,101619.12489587994
101251.17,102937.73190098006
101742.055,100575.93231770332
102492.87,103903.77200526326
102100.336,103847.51825522
101782.81,104478.0102538958
101946.53,102374.32971354666
103250.65,109177.07307289008
100658.92,108009.74065104668
105120.18,116278.86877603333
103644.97,108360.45382811
102782.414,108251.36752598338
105115.945,116325.87221356336
102975.55,112243.46456938797
103165.836,109421.28226563
104399.06,107020.56953126
104672.26,109162.69838542664
105810.11,106330.12268884997
104047.98,103764.07835937002
104558.805,103718.87864584332
105350.516,103499.22861976668
105183.84,106627.26054688332
107290.01,101484.22304688334
104496.766,107279.75802080336
105963.8,104131.24481772663
106369.03,101265.0836198133
104791.51,97696.7177864733
106463.17,88044.64875001
106884.695,90017.45617191332
107342.89,86113.86881511664
104599.28,88897.90929692994
105445.2,89334.70445309002
105803.81,90854.26122394337
105101.61,89172.96015626
105415.38,91037.54927083668
107405.586,89019.49432293666
108487.56,92307.34307290004
105309.125,88053.78710936
108224.57,91169.63854169662
105705.93,92334.01093746004
107850.33,88551.41221353004
106827.76,94794.3146484333
106577.93,101190.82817712997
107077.766,115071.0750521033
105445.2,113899.54346355332
108516.35,108433.95351560334
106178.81,105839.16265622336
107554.66,112093.38552085
106564.984,112434.64190101002
107873.805,110765.63557287004
106276.68,112323.20411458334
106065.445,115735.98729166664
105764.67,113677.64091145336
106645.15,113772.24882811667
108686.56,110816.82708335332
106401.41,115890.83562499667
105619.8,111899.98010417665
106894.6,107047.26606769668
106575.586,112148.39289065333
107075.75,111915.29604169
107413.01,113455.69041666
109497.34,108360.78398438
107573.24,113549.77161461994
105078.83,120557.3800781067
104309.734,115838.29317708335
106479.586,121717.78730469164
106203.63,116602.17377603668
105886.82,126207.82776043664
106121.79,122259.92182291005
105467.14,119133.73367186006
104680.04,122981.0136719133
105904.766,120613.75559897337
108990.86,120692.97684897335
106175.445,115381.85299481
105845.586,117469.45520830672
106448.664,106290.53286458664
105838.67,103492.03536459664
105024.02,100652.49456380832
105057.67,101913.80156251004
105107.84,99809.56140627332
104450.414,95639.1235937167
106000.13,92841.45059894335
103947.7,91850.96166668332
102290.79,91378.94661457004
102503.45,93882.82067705004
104362.3,89658.63315102004
103108.99,91349.70648437002
104141.38,94371.86166664003
103964.98,94889.31135416668
104339.195,96339.24137369584
104880.05,96506.3945052233
105509.945,98619.26041663668
105679.24,98920.5041667066
103879.17,97910.6505989567
103263.97,99829.38151041669
103043.76,97022.51312498668
101149.84,93838.43671873667
102881.72,95116.49289061336
103090.67,97213.07554684668
101261.51,92509.50197915666
100602.79,94906.50080730996
100423.45,94872.52444664582
100715.27,87689.59148436335
99569.016,89844.4164843467
100005.43,88561.9193228967
100593.49,88117.32677083332
101449.414,87329.70291666001
101114.88,87228.42062500669
99498.66,85454.00807288673
98731.54,88078.40281249669
100270.47,88063.34130210664
98224.36,86125.01299477334
98647.36,86081.64216148332
100111.96,85921.46080726667
98917.65,87385.52117189665
99449.75,86415.44356769999
100073.97,86255.43705731664
98763.164,87217.68877606333
95842.484,85743.95229169997
97049.65,88300.29575517339
97590.266,85712.70429685668
96978.08,84282.57927081335
96009.63,86786.13919269336
97889.234,84719.13880209332
97827.766,81177.67406249334
100100.83,81528.57542317497
97394.125,80865.36005206004
98400.734,87718.20947918331
97419.8,85743.46210937331
98936.0,81230.78684896666
97178.51,84871.05770831669
96472.88,84257.31796874
95393.36,82534.42307290336
95810.01,82908.15307290004
95116.6,81144.06580724005
96606.01,85639.40036457335
95504.83,85891.34236980665
95662.14,80428.72985025418
95579.62,87198.05234375002
94438.19,83184.48424480997
97756.07,86238.94523436668
95609.67,84894.5844271033
93084.234,83061.45851565662
95845.93,81162.91979166667
92783.086,84502.19492189666
93847.77,79992.77627603331
93523.57,86159.63841147
93831.805,80436.96567706001
92995.484,83171.19877605668
95002.43,85565.43072914584
94423.92,80460.67565103668
92736.51,82354.78169271999
92769.625,82221.17335934001
94030.195,79249.15226562665
93015.37,81319.16309893003
91717.69,82022.12578125
92904.28,80633.41916666339
91577.65,80923.24414061334
93631.92,80651.4644791567
92387.66,79747.73705728665
92568.72,83036.27945313
92767.83,80264.03277998745
89520.336,81445.92835936337
92927.67,81786.8045833566
94050.93,77195.60257812003
89771.61,83645.40130207338
89847.234,77784.75364587663
91525.36,81482.85005208335
90376.24,81698.13184895997
89063.15,79315.05765627997
91691.86,78452.41440103666
89565.516,80968.95049479665
88667.75,76152.05640624669
89347.305,81990.70504559162
92689.02,78750.98770832666
89375.26,80426.2836979167
91864.164,81432.87848960329
90091.32,81214.33833333003
89132.164,78018.62421873667
90405.516,81896.08825520336
91020.93,77917.92328120673
90667.57,80769.88934896003
90658.734,80417.37783852004
89969.48,79306.03393228335
89280.336,80058.28166664003
88417.14,78352.27591143335
89217.03,76807.68197918669
91712.97,80252.82367189668
87701.14,76932.93458331336
89095.68,81351.64393227332
90419.44,79046.82859376997
91379.06,80382.68679690993
92262.836,80384.67515624997
90500.2,79993.05257814669
90789.19,78882.01736980332
89433.23,80964.33752605332
89314.195,78540.2119791267
89679.74,79459.44524744168
88621.02,80806.57036460334
89054.27,78124.85927085996
88878.81,79472.43177082668
89119.8,82388.60999999003
88487.67,78326.34502606664
90076.14,82895.59145832669
88009.19,76728.91768228335
89056.445,79339.11085936999
89393.83,79940.9835677
88055.48,79639.60210938002
89964.555,80995.60403645999
90545.195,78013.71845703751
90299.63,80499.64213542665
88059.77,80030.44200521668
88425.01,77493.8197396
91981.234,80397.89755208332
90784.62,80221.12036458001
90000.37,77796.59057294
90533.125,80851.78078123665
91025.46,78006.16557291003
88194.46,79214.99458334997
88091.0,79158.40640623003
92241.89,77383.9497396033
90834.55,78360.59375001662
