Predictions,Actual_Values
76772.195,76795.2288021
76554.59,76771.66117188665
75435.2,80712.78414062
76649.81,77812.75023440666
78470.0,80423.58007815329
75415.77,78779.35369794331
75092.07,78591.12289062003
75334.69,77885.67169269997
76713.6,78558.33158853
76838.305,77887.85463540003
75770.97,77080.37140622336
76915.414,77604.26494142084
75214.375,79839.7968489833
77050.836,76621.42278648999
74410.14,77598.74945313334
78655.05,78839.97158851007
77613.92,77177.51023437332
76681.12,76025.09927082335
76804.48,76002.19210937999
75686.695,74710.9086718667
78918.61,77010.5535937833
78566.76,74027.32218752001
78795.625,80736.47372397997
78297.91,77553.28743490831
77573.37,76587.02796875997
80369.65,79280.05734372335
82107.445,75623.35864582671
80118.97,77131.41390623334
82983.51,77019.2888281167
82589.734,78687.97372396664
81334.87,78114.00322917335
83846.47,78376.17184898327
84105.41,78655.84156251
85091.96,81716.8211719033
84942.03,77472.13393227338
85862.71,76212.93824871244
88117.67,80691.19588543665
88311.99,79159.27591147668
88714.67,80452.19804685668
91832.89,83041.85250001997
90548.57,77934.93127603004
93173.164,82477.47914062667
93175.49,80033.36736980996
94153.89,77793.15320311338
94700.43,84077.95601557338
97761.5,80203.2593229067
95614.93,81000.10822915332
98968.28,81926.25156252916
97728.3,84214.20333330004
99958.016,84362.26013018336
98825.37,86926.11937501
99657.28,87855.2838281167
100772.11,91387.86242185671
101288.63,93730.7611718966
105034.17,95863.75815102996
104042.02,96011.87197915668
108892.734,99402.67690105336
108922.36,106800.12054689998
107653.74,119237.28122393668
111050.25,117179.936881525
111437.5,119795.78304686664
111056.72,118707.76036459336
114723.15,122957.74572916
111466.84,123735.24575522006
114093.29,123584.77968750332
118376.13,123420.60830726006
115143.06,126782.06020834998
115743.1,127415.85513022995
120562.125,131118.50484376
120151.02,133232.71687499335
119101.82,133635.34200519006
116652.97,136083.85195312914
123515.02,130628.92499999667
118377.98,134012.41742187663
122489.31,135788.61283854337
124764.47,138029.93859375332
122623.93,134666.14877604332
122424.36,134870.50575521332
123096.664,138530.20473958002
127035.21,128917.89286456667
128961.84,130808.96132813998
129923.03,138458.28388020667
126617.54,146950.178125
129268.586,147754.39251302087
129717.54,137112.5925
130404.3,139954.15125
132254.55,135651.89588541663
130016.01,137295.32294271333
131631.55,137801.60825520998
132411.16,138325.70489583333
129828.05,134399.23492186668
131651.08,135308.52460937668
130124.94,127593.92151038669
131036.14,126574.43583334332
132349.9,129422.01533853335
134005.44,136239.5950520875
134736.27,127284.56406252328
134124.61,128745.67127606332
133154.38,130573.63770833338
128807.89,134338.08502604332
134643.11,133776.8623697767
132818.56,132088.00705728336
132610.05,139112.73265625
135511.4,137445.70182292
132361.3,140124.26302083337
132180.72,134542.09786458
134033.78,136359.69645833335
132232.03,136925.9095703125
131627.52,134415.48356771664
132047.16,134053.1597395667
133856.12,142592.43161458333
133247.2,142145.48838541665
134109.72,141552.30604166663
132684.44,140178.43989583335
131286.4,143574.28895833335
130268.39,142539.316875
132785.6,135890.55033854337
128789.79,136159.93067708
129980.62,137729.1253645833
130535.914,139497.33782552087
132555.7,137532.42552083332
130363.125,133126.75554687335
124828.89,140023.23364583333
124668.44,136695.93075520667
126075.125,141710.63145833337
121679.62,136103.1319010533
125474.164,136422.57643229337
124028.99,134920.4706312709
128210.59,137296.06880208335
126549.11,133335.22507811332
122112.11,137418.87999999663
116967.125,131768.10126954582
125429.625,131942.68270832006
121175.734,131032.85523435668
122695.164,131906.62281248337
120520.25,128882.50268229998
118263.836,133340.70252603333
118846.49,129204.05161457666
119888.016,128096.98226564664
120193.66,130863.90705730332
116344.625,128650.77822916003
115594.31,123149.64739585
114566.45,121216.99453122006
115026.805,124739.34954429994
110216.16,120077.74096355664
111046.125,130241.73406249334
111784.99,124867.76958335994
107880.72,117678.96278647332
111085.59,118028.69341145337
105310.38,119303.43570313994
106651.54,121919.50898438336
104548.125,119943.05293682615
104501.48,116566.92575523329
104846.03,122363.34557291665
103274.95,116647.03229168992
101451.81,119562.63870439999
101029.805,112874.50226561668
101573.67,114315.09958332998
99564.836,110017.95809897332
100189.31,105153.84898435663
100652.61,108574.92166667666
97161.29,108256.69614585
96911.37,109216.0136198
96190.27,104127.02421874336
97103.07,101585.20195312
94828.83,101987.53976562996
95555.87,101975.68145830672
91928.77,105069.54752603752
92450.89,100071.87356770335
96463.625,101644.89244790668
90155.56,101881.31505207668
94339.19,104988.78606774328
90845.47,102020.57140627994
88284.42,100276.65257812668
88959.336,102900.90070317994
88075.58,99991.18823159867
87343.86,103212.31783854665
90880.38,101280.04041665334
90560.375,98452.68674478332
85987.02,95361.1944336
84409.14,99312.14921877996
86565.44,97659.19802080336
88186.56,100725.00807293662
88025.06,95407.27460937665
83503.68,91753.88411458662
86668.51,88987.04851562668
89865.8,87901.12138018668
83278.88,86527.86843750332
84499.78,87330.33679685001
88082.63,87857.97361979
85100.87,85408.16309894668
86439.94,89385.61744791247
83273.63,85755.79739585667
84070.76,83419.46385418667
86786.72,89438.83505210662
82850.19,84150.07744790339
84272.3,83988.30088541
86219.66,90166.30752603336
84662.01,86367.46236979667
85364.52,85864.18023619732
86632.48,85854.03580726005
84156.97,86437.67630205669
85197.39,91551.75046875
84291.22,83125.69716800415
83851.26,84807.4783854133
87867.17,89724.11828124666
84732.04,85000.77622394006
87166.55,90118.92085938666
85537.16,88090.08606772331
82807.89,88452.60986980662
85072.54,88082.1137760733
85243.44,87857.19265625332
87302.68,86422.63963543999
86262.734,87907.9834375233
85981.54,85497.60903645668
85124.61,88567.52093099584
85125.6,88598.93260417666
83154.56,90376.28020835
85918.91,88928.45398438668
84845.336,89927.11041668332
86019.65,87352.43934894669
83018.42,89374.94401043662
83647.875,90455.5173958533
87077.72,87875.0105469033
85730.06,88896.63122391672
84790.05,90506.36346349336
87692.07,88513.40442706004
85243.84,91524.7831380042
85142.625,85959.71083332668
84138.73,91285.65739585992
85420.58,87822.75934897331
84175.875,84743.24427081336
86862.98,87046.71106768999
89081.69,87913.33057291331
85694.68,85022.92812498337
83321.414,89284.44291669995
84356.336,84651.81679686003
85674.2,87226.38567706668
83099.164,85587.23164063333
85481.81,88840.07799480416
86896.57,89227.72786455338
83280.164,86756.46328121673
85105.78,83788.23244790001
85160.44,88859.63286457
84567.555,85123.82580728334
87085.77,86990.12145836327
83872.16,86384.00395832665
86829.84,84592.56593748668
83436.03,85365.68453125998
84955.51,86451.48822919332
85490.61,83391.51950522332
84586.3,86280.21318358749
82638.49,85760.59815105332
85276.92,86118.54945311001
84594.44,85361.83690104668
83477.25,84625.29059893668
84073.17,80044.61242188337
82640.9,86422.89749998336
83076.79,81356.12197918662
80969.3,80045.41653648665
85328.87,82979.03158854331
84414.95,78851.32291667668
81846.29,84326.40486982664
85910.61,83188.76152345832
82158.18,82167.70671874
85401.3,83237.52833335666
79797.08,79674.73541666334
85059.82,79743.66643227666
82002.38,84708.58265627995
82060.75,80005.90601564667
82381.97,81241.41546873668
78197.66,82720.01136600334
80956.664,81899.22651041338
78911.98,77488.94755205669
80373.2,82618.16515621339
79479.37,80293.33105469168
78819.44,81355.46549478997
80915.32,83093.56822914338
79882.21,79512.21710938997
78380.305,82741.61294270336
77257.305,80053.27187500334
76428.62,80061.36747399994
76723.62,85166.12710934336
78134.055,79775.55213540667
77035.89,78248.99351561331
79430.59,80594.19406253326
78005.625,81494.57096354666
78594.555,81070.35660805833
