Predictions,Actual_Values
75173.89,76953.04820315664
74349.92,74753.38997393336
74214.57,77515.50093752997
74940.945,80221.80640624995
74034.04,75625.36338538336
73823.555,76644.25729165999
74608.086,74230.64455730664
74676.38,76897.91252605332
73829.83,78447.57380207666
73175.47,73073.82609374664
75443.14,73644.3449739467
74073.22,77717.4300781292
73995.86,78776.43700521003
74065.14,74410.04148438
74535.39,75111.04908857
74548.55,72666.55140623669
73686.055,77858.91856768004
75229.91,72877.50880210334
73754.92,71077.03882814331
73541.56,72639.07835938665
73374.99,76548.00575519666
75032.125,69759.71981769669
74945.445,73473.27513025665
73795.53,70890.09270832497
75246.35,72824.00533855327
74265.34,75944.96604165668
74479.66,71103.13937500995
74826.984,72453.85289064664
74735.4,72653.72052082668
75973.164,74147.53041667667
76703.75,73922.68932290001
75651.37,74063.06119789665
76671.21,71690.20955728997
76953.64,74521.4720312633
77864.805,74571.96317708334
77224.375,70992.88994141665
77230.37,74964.96494794666
78059.414,74332.60440103
78176.055,74984.74158854996
78023.53,74696.50257812666
78374.15,75151.91679688332
79764.62,75364.46484369003
78917.94,76972.31588538334
79691.78,73956.87528639338
80362.94,77417.88002603668
81148.734,75929.94812499668
79625.83,77288.81088542331
80987.42,78753.40511072915
81073.35,78617.31901043664
82475.65,75336.40846351335
81414.625,80952.97846353668
82103.305,77957.37528648
82881.51,79825.91848957338
83883.57,81524.97992185662
84575.81,79959.03739583334
84790.03,77459.65023437001
84794.26,79693.69981769338
85032.09,83174.46213541333
86751.18,85161.67359376
86105.82,83133.5001627417
86289.31,79184.67536460995
86580.836,87648.48697915669
87660.766,85876.32645832332
87114.484,82574.04968753994
88660.805,86468.32830727332
88456.26,85651.28161461
89071.64,84074.51901042668
88469.75,83617.79882814665
88933.6,90340.07187500666
91036.97,86166.39786462329
91130.695,103698.1078905834
91100.74,112538.67333987496
90829.41,109064.92265629664
90830.2,99923.94463544663
92443.82,103001.59067708
92996.71,100871.37750000664
92186.99,100203.77585940332
93572.16,102526.26955727002
92797.266,98784.17898434668
93443.484,92949.0842448233
94390.72,94440.95473961665
94652.84,91622.71078124666
94861.516,95086.78721352668
94948.99,96384.30302733331
95799.01,88336.94580727669
94785.8,93885.32963542
95327.05,92904.18460932672
96024.74,91456.42768230666
96566.234,93027.93260415332
96530.164,88394.23427082002
96369.8,91479.27677083
96683.86,90622.89158853004
97267.1,89006.51265623666
98036.92,95088.43132812998
98753.1,97364.42924479
99048.055,93619.94580080832
97797.04,93640.00713541
98994.21,96691.93445309668
97326.94,97256.75624996668
98907.07,94939.33317707668
99422.64,90123.8208594033
98709.26,94213.50710936004
98253.06,97752.09447917998
99009.9,93734.41544270334
100514.2,98536.89221355662
100700.91,93196.77333334662
99329.39,94820.02731772998
99724.77,102473.65315754164
100226.61,98429.21218748334
100241.836,96631.41726563332
99407.34,93192.51197915668
99818.17,88453.20356769004
101188.266,88028.78515628332
99632.1,97020.67927080672
100886.22,95352.13169268335
99617.45,96420.32143227667
100592.47,96373.59601563662
100374.43,93340.13166667664
100657.62,93385.43419271662
100054.89,97161.75152992916
100981.48,89758.13872398666
100398.12,94493.54580729333
100012.21,92007.92377603668
99916.42,92132.07893229333
100112.83,90476.78171877662
98668.0,91731.86536459668
100200.94,98772.02591145667
99053.97,92750.70872396667
99193.41,92169.83786458
98193.74,89588.53294270334
98744.56,90523.45218749002
99010.23,92191.78388671669
99449.914,91695.5702082967
97703.9,91967.8566406
98878.15,92277.76005203671
98533.05,90064.60880209669
98573.984,92239.21656248336
97224.91,90689.66559890672
97793.38,93271.32419272
97457.125,93005.28861979333
97364.72,91771.7046614367
97337.28,86422.54455728004
97850.875,88757.28653646
95952.92,86577.73248698747
97132.01,87706.75364583332
97162.164,93129.05588539338
96861.44,88910.25041668997
96559.59,87268.7191145434
96147.77,91829.7527603867
96406.84,87078.9941146133
95803.83,84908.89192711329
95481.555,87277.6699739434
96493.31,86783.69333332
94892.836,83878.19864581001
95120.9,87852.47854169
95012.51,86546.36471352504
95336.99,90712.15567708334
93980.51,85336.24333335999
93354.96,86273.69432292665
93906.17,91343.62335938668
95164.13,83471.77260418331
94417.11,88896.10966146336
94255.68,84601.09986976668
