Predictions,Actual_Values
95334.52,84598.31526041003
95380.2,87937.05843747668
96448.77,84652.36229167
95644.945,84836.32395834332
100616.47,89255.07856768
96504.4,84420.33393226002
98192.23,85135.12278646664
97561.336,85011.21179691998
99162.84,87202.80585937001
98097.54,84398.30622394003
100683.04,87350.91093750668
100429.32,81870.09293621662
101188.695,84910.3559375233
100050.05,82440.62067706668
98518.234,86252.52127602667
100920.42,83932.61869791
104078.766,81994.50802085997
104989.6,86123.21283853668
103431.54,81096.62565106666
105292.63,84447.13856774995
107150.36,84707.11044267338
107330.1,83932.47221355
105329.74,83902.7775781034
105106.9,86083.76604822082
108171.42,88382.11911457336
110515.375,84171.26447914004
108734.66,85632.29505209003
110122.68,82724.41502599008
112200.84,86442.71057289005
111694.13,85251.78997396331
112297.8,85442.78507811
112494.484,86691.95700521668
116038.266,84260.93734377332
116034.0,86651.78007810334
116598.9,85525.4600260267
118790.06,85314.76350912497
116073.19,91196.46088540004
116258.375,87128.09447913335
114430.945,87820.46463542
117104.195,89174.24796873669
120419.445,86359.20182295327
122762.84,91794.8774479533
118519.26,88491.5910155934
121036.766,89166.34283855662
121221.8,90119.33989582332
125021.63,86681.68450519332
123030.64,89488.79776040338
127577.84,90948.70937497502
126543.12,90542.97505210333
126933.05,97283.74481771332
126457.086,92452.86539063332
131305.05,98958.83697914337
130416.04,111016.00158851674
131379.94,106216.93401039668
134482.05,110088.51585938
133289.73,110582.95460938332
133849.83,112908.56302084
136113.36,116227.54257812
133871.11,116420.4129948066
135823.5,117355.35911460832
139149.36,124704.13627604335
139053.77,118820.50208332336
135904.19,117912.89859373336
138494.4,122557.50802082667
142048.23,122115.01270836662
141409.34,124827.25687501337
144644.44,127937.22552083664
145206.25,123283.00395833333
144489.31,129745.59114583331
144839.56,132095.78059895005
144976.25,134238.14664063
145571.67,135125.64573567087
147044.9,141643.33398437337
146471.39,133904.86559896337
147517.28,131650.1201562367
149078.38,135387.86341145998
147227.62,135108.62513020335
145248.06,132857.63833333668
148870.73,137449.74208333335
149999.55,134356.42549479665
147326.69,138897.35796875
149306.7,137106.84372395667
149893.44,141533.65828125
148862.6,145191.68541666667
150839.58,143092.91739583667
150236.66,147267.296875
150849.08,167839.3428125
149366.83,164687.93802083333
146654.36,155626.30770833333
147819.0,152595.91807291665
149482.95,153791.49958333332
150216.94,151435.37416666668
148745.8,155059.61046875
147129.33,152664.20755208333
150049.23,154598.03369791663
145918.33,140798.610546875
151268.31,148547.59822916667
147256.89,150553.08651041667
148941.62,143025.94382812668
148197.58,143612.23122395668
147149.73,148241.40359375
149932.72,132829.82739585664
147423.4,137414.10822916665
145827.53,140723.7259375
146231.83,140589.42520833333
149845.73,142306.27552083333
144114.69,145966.27385416668
144321.5,142705.610546875
146687.92,151960.98375
145990.78,151903.08046875
144362.3,148774.77645833333
145530.86,136940.18039062002
145386.42,139586.07942708998
142195.47,151818.19697916668
146735.33,150115.90312499664
146765.19,150870.23177083337
144112.3,151108.06901041663
144844.97,143742.28463541667
143780.19,147357.2691666667
143119.94,138917.08343099165
139277.61,141571.04411458335
148029.61,145980.60333333333
142741.0,144082.74244791668
141998.98,139856.78098958332
141759.25,142211.52630208337
143458.19,142258.96864583335
142422.53,144518.71671875
143374.62,134700.68351561335
142261.42,140300.59447916667
145133.58,140309.81473958332
141910.97,135916.06315104334
144645.06,135523.36826170835
143253.97,135754.85557290667
141753.86,140462.31575521
141272.11,138755.15296874667
139579.69,139459.18885416663
141509.42,136793.98807291663
141011.12,140934.23604166333
140101.48,135251.17802083332
136753.28,140723.80005208333
140212.72,140196.32875
135166.31,133596.68833334
137541.34,137539.54718749
138766.08,133461.9414388083
137950.81,135885.09505208663
136774.11,132298.0575520567
137184.42,131684.17020832002
135478.06,129129.52440103001
130469.27,132760.57723958333
130400.96,131362.27973960002
131406.17,124971.09205728336
128720.29,126967.79523433336
131322.17,113524.46515625
133529.67,115312.77679685
130871.38,116441.77419271006
125283.46,112509.44573567502
125789.24,116435.98911460998
122389.25,108180.07481769334
122112.18,111621.3611718966
121405.36,112644.7811197667
123261.15,110103.97812499331
121585.055,109792.91898436002
121616.625,107930.62708332668
118500.97,108665.48820312334
120392.75,109834.74033851334
120043.66,112784.94385419332
114385.555,107177.01580729333
114065.08,105027.05846357081
119687.33,109525.53669271668
115644.445,105821.94596355665
116995.32,103907.23690104
115503.516,107690.57651044332
110924.375,104390.01697921658
108318.805,108964.56809895334
109931.31,102254.90182293998
111074.695,108662.92648438002
106692.1,103216.64906249996
109385.9,101876.52632813664
104666.39,106775.03635419664
110218.555,98692.66725261668
102775.57,98808.96494790669
103017.52,102704.97463536344
105573.93,98452.50817709332
105223.74,102760.8197916833
105480.3,99051.43539059335
100575.68,97094.70760419664
103015.7,99458.26747392672
101624.46,96900.96716143
102341.24,96371.1370833533
101265.48,99796.09177084667
100029.45,100845.81895833334
104628.09,95183.388704425
101101.125,96292.45442705337
102396.664,98624.72317706002
102289.195,93959.61289061
98556.664,99459.00531251
100840.39,93778.7572135267
100060.56,94789.84796877664
98886.36,95070.95341147333
99693.55,94835.22234375664
102640.65,94689.0048958766
98040.06,97513.82322914338
102208.78,94032.68903642338
98155.08,95195.21458329588
100112.91,97378.94371863213
98598.48,89880.29934894331
99680.35,95775.21054688
99865.85,98765.16604168668
96111.93,90794.88164060668
101004.41,95540.76343751664
100225.38,96744.60867186336
98768.32,92841.60398438
102122.15,96879.74929690664
99283.78,98643.99151041664
96726.64,96001.73543912623
97320.59,99233.66132812088
98825.73,97662.73999997336
98012.9,95911.78395831336
100306.66,98997.30367188336
97281.22,94277.87460938327
95965.39,94972.95208331668
98265.77,94150.27377602
97823.33,95809.57924479664
98610.47,91639.5762239667
96110.484,93815.37083331335
94878.43,93027.52677085
96248.805,95430.7385156167
101148.72,90616.03489582916
98283.414,91935.71864584998
101266.99,96985.96536456337
97085.5,88224.32682290334
95726.26,95820.17606773664
96569.34,92782.00794269334
97629.836,88975.44359375
95345.58,98401.77028646332
94394.78,91825.80427086331
95292.52,90578.96726563667
97703.46,93373.15062498668
94954.39,93552.04057290337
96892.266,91763.04029944586
95819.83,90616.94242189998
96393.64,91902.53406252332
96059.19,89612.12453124998
95135.27,95867.82450520336
92053.05,89673.50877604997
97257.44,93760.49695312334
90496.03,92246.77463942142
95638.5,90304.20751461203
94666.055,96785.6978646033
94302.28,90990.23874998336
92627.06,90290.09645836332
96157.29,89507.92268880416
92545.016,89528.72130209002
