Predictions,Actual_Values
106837.58,82438.88429688
103528.23,78844.09356770338
104091.37,80528.05427084332
109720.195,78032.02138025327
104062.26,80198.36166668667
117304.13,80043.21479168665
107319.46,79872.04320310999
109956.41,78931.60569084281
103215.14,79093.03346354663
101378.02,78298.13601562004
108970.97,77633.88723958668
114727.61,80545.48837892081
119746.766,78701.71768229004
109632.9,75880.0027343767
105740.65,77400.58281247332
115325.586,77757.70770836997
116182.58,78995.56549477001
107021.95,84265.18247395335
107723.15,80391.16119790997
108438.93,77632.21122392341
105707.625,82449.5495572933
110308.3,76163.58901036005
111657.31,80003.38799480001
111511.375,81012.64586589581
114548.414,81988.33726561669
108134.836,83252.79781251999
103965.125,80248.77320313001
105308.58,79749.85122394335
116821.305,83298.91776040668
107502.82,82979.13130207003
111213.766,82709.23822914339
108016.09,81343.24182171568
106804.28,79145.60958330668
105023.53,81429.49955729001
101142.42,81930.61229165668
107308.9,82369.91139324581
109605.805,85813.32768225668
110622.69,82626.38330730668
116283.086,81943.49182296997
111447.77,85530.74773440664
116331.83,82446.90354167
106326.42,83876.61458332003
110408.31,88202.35763025327
118516.34,83439.8823437267
117572.516,85884.50575523332
114001.414,86587.82690105664
108125.66,83790.80768225338
113001.26,88543.64104821245
117350.5,88006.16846353668
104810.33,95431.49588542
114265.67,94788.31322916668
112756.93,99458.75346355664
120757.414,102804.14992186334
109465.17,109945.76601564
111262.086,111028.66864585334
111520.984,113530.59573582605
105156.74,121910.91028647665
105749.74,117872.20088541336
109562.18,125108.59473960332
110907.2,123543.06061195835
115998.75,127375.3978124667
105020.33,126158.44580729002
111368.83,124768.18789062332
108629.12,129748.46924477667
111931.66,126178.07893227004
116443.29,128200.29989580672
106860.734,134616.24565103333
105744.484,130721.67684897663
117580.49,131909.1206770933
115781.5,138069.46364583337
110934.414,130209.9093750033
115116.02,136234.18369140837
111974.44,138078.22
111601.875,142063.33604166665
110286.414,144446.08885416668
115953.31,140102.8796875
112436.414,142150.31614583332
112017.1,139215.71182291667
110226.65,146204.184375
103241.664,143401.01177083337
115802.38,142811.44390625
106119.29,143397.95494791667
113484.49,139177.94984375
117036.16,142839.5005859375
114242.2,146345.58598958337
105850.21,141076.80630208337
117855.945,139860.17434895667
111227.15,143140.65098958337
115572.664,141711.52276041667
113468.48,136508.97408854333
115387.54,140548.03460938332
117154.29,139221.80833334333
108887.83,134579.81372395
113039.11,135967.69065104332
104230.94,136146.79278645
104410.1,128542.18831380832
108992.5,126140.143125
115762.664,123700.73218746006
112442.89,126740.94966148332
105257.36,121523.79416667664
105566.22,126276.86184895334
112835.18,130486.02601563334
112316.734,126487.3667448
104462.12,125782.34812497669
114359.305,131928.69997396
102489.81,122167.9024739866
112920.125,134034.74911457335
111583.664,126442.8200520875
115757.805,132065.9941927133
111121.016,132734.42101563993
109495.54,131970.45736977668
111256.484,138506.19013019663
109451.85,141179.615
113910.4,134791.76359375333
113693.09,141232.30776041668
113146.95,143553.92286458332
115492.664,143433.19203125
113402.836,135141.96046877332
112166.39,133637.18640626667
110499.945,133144.28157553333
114950.61,133968.77507813665
116867.96,130935.10369791
117423.36,135432.51606773
113631.414,132527.55283854
116225.04,136404.89242188333
113646.375,134158.94778644005
105148.66,140589.19182291668
112892.3,139678.6165625
118919.32,138796.5051562633
108616.26,141358.71005208333
121010.09,144539.81958333333
109080.055,139011.88528645833
108126.625,145932.39713541663
122099.336,144442.50067708333
113916.81,141508.77046874663
112970.34,142168.76289063
107059.875,135899.75867186332
114868.42,140786.07416666663
118175.06,138068.441875
106636.836,135545.98484374335
112157.625,139704.500625
110222.14,142021.7478125
120193.18,140582.28416666668
118845.54,138710.9591796875
119332.0,139712.6683333333
111919.27,142138.9796875
111060.875,138027.06804687667
107205.91,135654.52299479337
104791.984,129813.74072913667
117749.91,127077.87325521007
121172.0,122057.07138022328
109809.04,124173.20677084332
116048.59,126684.72346354664
109403.71,126426.83057290663
105970.984,123087.79268227667
113031.77,122983.49417317082
115751.15,125096.36940105993
104946.92,116995.09770829335
113526.49,115791.86367190328
113619.56,117657.94106772664
113256.81,116791.13812500994
115709.586,118565.48437498
108887.75,112840.46023433338
122654.44,113268.32802080338
110212.35,115553.28091144338
110227.93,110006.02911459998
111744.266,111781.36268233
112656.92,116007.20406901665
106606.71,107679.0708854433
107319.164,108017.16601561336
111229.02,107977.6187760433
104791.38,101727.89109371672
107768.26,106101.79421875668
108521.74,104260.85096355666
111425.69,99845.92140626664
112181.38,104219.48781251996
89994.64,103357.62231771
117323.91,103846.09585939662
113542.54,104991.20440105328
108545.83,98201.51780594588
111721.836,100997.54286455335
106791.9,102079.14135419331
109695.414,98893.4420312733
107359.64,99413.07929686004
116767.36,98522.71460935003
107765.39,98378.96124997338
108409.0,100872.64023435334
111455.74,94157.16247393668
108805.086,93971.76822916669
109562.81,90788.36851566996
100788.125,91406.77945311667
