Predictions,Actual_Values
83043.05,86902.96901043331
88058.945,91542.21924480663
90217.15,85758.79736980662
89278.56,85870.26265620335
84633.95,86462.39817709332
89213.04,83415.37781248003
89907.836,87467.75999997338
88549.1,86349.77678195659
87078.62,87387.59942709001
86646.65,85778.20781250666
92476.21,81735.30273438669
89130.72,86869.41276040836
89298.195,83350.51223957335
89862.66,83213.73091146332
89128.266,86792.86013023998
87674.94,80905.68708331336
93714.414,82774.28742187335
90355.39,81121.22466146664
94346.57,81242.83286459334
95032.53,81421.14971355996
93849.664,89591.84895831002
97676.83,78151.12218749338
96127.02,85080.29255207669
98893.266,80168.89427081664
97411.93,86699.46611982331
97660.664,85982.80429683336
99131.73,84997.66390623669
99064.414,86620.72632813001
96091.414,80952.23054688
102303.25,83087.23239583334
99823.914,84798.82458335331
102505.875,85584.85085940332
107387.13,87931.90192707336
106773.17,91104.27223958
103990.375,86997.40539058336
107273.33,89316.00149737918
109766.695,92317.53302083336
107208.44,95914.03080730996
110715.42,94178.50953123672
110820.32,91890.93049475003
115695.055,90525.53570313666
114980.875,99449.93218750002
115014.016,98215.9795312467
113910.94,100597.6634114234
116378.625,96667.97656249336
118539.766,95640.83557288667
123111.74,101442.76338540662
120125.15,96672.31923825837
121197.336,103620.28742184336
123789.305,110003.33960934667
121333.35,119953.35268229
125169.35,125996.66065103337
124777.26,121956.15658852
127228.23,126252.61335936004
127844.11,134719.211875
133155.8,134818.23992187998
131947.14,142307.33739583337
134471.58,146965.9328125
135012.86,150783.30484375
138237.86,148892.56315104163
137992.81,151357.45203125
138407.47,148429.5771875
138974.78,150670.28177083333
141336.38,142793.11562499663
140884.1,138583.11125
141063.55,142839.47885416663
142797.3,154816.23317708337
145652.92,157064.22421875
143056.34,159981.99416666667
146342.97,155821.60083333333
144151.6,156299.11317708335
147321.2,145615.9609375
152814.77,166558.09984375
149623.52,167607.65380208337
150368.58,166099.706875
152155.11,171852.7496875
154858.22,161123.07739583333
154754.2,167522.65692708333
156932.22,163134.97411458337
153061.84,167871.64354166668
157306.33,157238.95755208333
157456.89,164517.20567708337
155464.33,163354.1834375
156624.83,164529.46197916663
160997.98,161512.18989583335
160106.92,156418.93963541667
158432.58,159244.37552083333
158609.5,160303.47458333333
159016.73,163900.44911458335
161014.17,159786.21145833333
159440.27,165301.16348958333
158478.64,165848.39942708332
161373.55,159652.00369791663
160110.48,154741.88010416663
161854.1,157635.60401041663
162855.89,159512.11842447918
166428.17,162396.01578125
162867.88,164213.66489583332
162343.47,168058.76151041663
164462.56,162543.0825
160961.62,165542.09276041668
163606.84,155002.46848958332
160046.02,160207.88765625
163497.05,162265.12744791663
163999.28,153921.94385416663
164129.22,151666.83265625
163180.27,159068.96802083333
