Predictions,Actual_Values
124398.92,94651.7477343567
98220.2,94856.32575521334
110880.96,94243.15963544331
113358.2,98127.4522395534
113273.1,88790.34111982332
118844.48,96548.53309894331
112459.88,91479.45052083
109864.195,92523.99372395336
118101.36,91924.91244795664
124593.555,95571.58156249998
114118.055,87321.28075520332
118768.46,93000.70283202083
119888.07,94264.53486976668
123499.03,88704.84736978998
137848.28,93513.8233333333
130304.37,91914.88843751668
118927.72,88157.16148439664
128380.35,91825.66374997004
124643.2,91245.66130206002
144323.89,89071.49432291
129326.24,95957.71809896668
127232.55,91128.32437501996
128236.33,91189.29104166335
137350.5,94711.16409503749
130779.72,91698.05466145335
136701.28,94287.01494793332
131259.06,91066.19338541332
126922.766,93645.37369788004
134890.7,91726.58518231664
129704.05,95043.96075522668
134671.16,99639.56119791672
132695.36,95815.9279948
131668.12,94159.54138016672
133951.34,98036.87914060334
120828.59,93478.67716146998
141361.55,102434.58554689166
141730.77,95611.6948697534
144547.92,102660.95161459
144213.81,96317.24494791
155185.83,108781.93690105666
134219.11,97013.21249993672
154515.69,102453.32981771667
142793.52,103320.72208334
144894.58,103114.7641927466
154620.12,112644.90059896994
148668.66,100450.76013021667
150138.66,111491.71973960332
146543.06,107423.10045570837
149513.42,112515.95333333334
153969.72,118428.01734374
153884.16,123594.74888019668
140310.83,125568.84223958007
144703.16,129952.37580729998
159070.4,129273.70466145336
140128.33,128771.98260416335
148471.22,143753.464375
171583.48,148746.70463541665
173739.83,162000.56927083337
147689.55,156835.68130208337
149657.55,163032.70208333337
143918.34,158032.0878125
152467.19,155960.8415625
164632.98,165610.2808854167
157591.78,169417.35697916665
158056.47,164119.49625
162008.42,165358.66625
157246.9,161886.28770833337
167642.5,167161.34765625
151835.23,162039.9915625
161510.94,166963.98260416667
163756.69,169987.40859375
155556.58,158534.5515625
148857.98,166658.8453125
167624.16,165674.66411458337
162196.94,161921.364375
163385.0,167671.41958333337
155521.44,162910.40744791663
169433.61,161679.22958333333
168335.47,167445.30484375
152797.73,167781.94883988294
169254.02,160532.1259375
167893.31,170241.96583333332
158583.0,166187.11828125
161695.19,161637.2779296875
155136.31,174019.95677083332
162059.28,163602.62973958332
176564.69,169056.86604166665
160223.9,164518.49107142858
175724.6,165171.84723958332
165459.02,166562.53859375
167060.19,167183.38458333333
159845.08,165075.62286458333
169262.33,160952.97255208335
189987.27,169010.53223958332
179096.78,160405.34645833337
163965.11,157197.80611979167
169276.11,156804.37567708333
167607.73,155893.13161458337
180034.6,165120.64338541665
145263.62,156823.88421875
178728.36,162673.646875
178409.94,165049.31130208337
179370.84,160336.81395833337
177714.75,161844.83791666667
166608.27,160714.02322916663
181265.31,162871.24989583335
153151.9,168982.97791666663
174569.88,169975.49993489587
173936.06,163927.34057291667
161364.33,174330.17020833332
178896.64,181919.0985054348
157492.34,180955.38
168269.67,190496.9763541666
171157.14,186793.88208333333
156248.5,183821.33145833333
172439.22,186370.20307291663
176125.69,187754.66458333333
171030.25,181459.84703125
185888.69,188143.4956770833
182697.06,185369.9834635417
178839.92,185265.45052083328
175951.48,184203.41322916668
170289.58,172999.4384375
160052.8,178146.91208333333
159256.44,180478.84838541667
165211.78,176349.17614583328
171594.44,177822.3478125
178758.45,175070.40963541667
163652.95,176636.25005208337
164060.56,179089.36416666667
169620.84,172550.92510416667
163667.1,165549.31731770837
169126.2,169612.16333333333
166944.9,162621.75776041663
165954.17,165089.42557291663
170166.31,166481.44625
147838.83,160368.18838541667
178006.2,163434.95229166668
170463.89,165604.1359375
173136.62,155575.14338541665
165553.58,154634.23307291663
166493.2,158706.38734375
178997.34,155890.266875
150047.1,161454.79231770837
170123.0,166038.76296875
151926.52,160561.29177083337
179931.39,163165.72552083337
161155.0,167048.59739583332
148840.78,164514.25359375
165048.47,156310.83510416668
159164.52,152339.64932291667
153282.88,154634.7698958333
151969.45,159738.32578125
149312.4,151557.34359375
150190.03,153637.17802083332
167336.45,144120.7822265625
167191.44,150563.46041666667
164418.64,153537.87322916667
158577.36,153847.66484375
161560.69,148839.46291666667
161540.77,152160.38619791667
153917.73,143664.24947916667
149621.66,147495.59557291333
140739.55,140497.63148437333
139780.22,144806.00880208332
142627.44,137381.87731769006
166448.64,131219.56765625998
131535.94,136069.76627604582
129558.46,134540.44072916333
137108.34,128454.63651045664
151746.6,129164.58255207997
147788.17,130447.64218747338
151925.88,129035.42630208998
133481.64,128882.10140623667
157871.3,126351.23815106327
142819.69,127814.58859375332
138800.9,128679.78997395336
135929.6,118960.34119788336
130845.27,124226.39968752662
141413.6,121818.14833987081
147854.66,126066.35518228002
140634.8,120486.47677081
135477.6,118851.63947915335
122251.65,120564.10927085664
148091.92,118163.57393231
128774.6,125031.17583334005
144674.1,122803.39164064
134601.6,121361.41075523329
128924.66,123922.73513021668
138341.17,117878.4001301934
134439.25,120988.7248698033
132459.84,112427.33430987502
131433.03,113997.3968229167
136132.75,114420.53833332338
125155.62,115389.78606771994
132674.1,112553.78250002665
118333.0,113338.96369787672
132201.2,100255.79804687331
146451.94,108714.42895836664
133678.02,110483.27632810335
130788.97,108840.42497395666
136367.83,106859.67421873336
131208.9,114706.80888023994
128229.34,109053.6663085542
