Predictions,Actual_Values
82118.41,85520.42312500664
82409.44,88807.97786458996
82578.08,87379.47718748334
82793.83,84085.7596093534
83205.516,87272.22598957001
83668.82,86594.48643228665
83822.99,84639.64861974005
83766.07,83978.94729168329
84839.31,84777.31307289672
85627.58,86175.39226558004
85673.63,81480.78971352003
86027.55,79245.7290364417
86638.76,82484.58367186332
87464.42,80539.74265624004
87729.63,77436.25002606332
87751.484,79593.95000001998
88574.08,81952.53593749003
89023.31,79697.07213540669
89383.984,82028.50598959663
90686.07,77704.84976562668
90814.18,86459.09820314996
92335.35,84562.40690102671
92353.58,80233.10640626331
92903.73,83398.61367183755
94019.72,82969.81104164668
95138.84,80443.92098959332
95496.48,81276.76065105331
95830.71,81703.22135417664
97603.61,82394.31718748335
97714.945,81877.01104166664
98507.43,80976.69473957669
99999.47,83907.64286458665
99605.6,85272.63531248667
100867.97,80185.64447916667
101947.08,85144.40158855332
103264.92,84504.56477865418
104493.555,81920.06596354331
104833.7,83264.3996875
105524.94,89315.29968749662
107472.67,81262.87453126333
108220.29,84710.46210935335
108816.41,82351.57239580332
109721.625,88575.09000000003
111513.96,91965.2914062566
111669.67,84209.70921873332
112688.11,87995.59466148332
113981.164,92976.80604166002
115444.94,88432.91822916668
116646.06,93185.78328123668
117646.29,90874.13286460996
118574.53,89705.48205727334
119124.03,92944.54822916
121119.66,95943.57393230332
122398.43,98075.41140624
123523.83,105121.59080729334
124209.51,101623.59005208669
125793.35,112189.23583328669
126411.92,117084.6158072933
127879.055,123571.16208333005
128774.164,125856.42721355
130052.875,118067.28859375998
130781.56,134108.97898436006
131905.44,131088.8822135633
133417.11,128481.32333332667
134362.69,129618.19041665005
135704.36,131330.79867187332
136728.08,130355.90101563332
137350.19,135739.93565104663
138284.62,136459.60005207668
139217.14,138881.91859375
140259.83,139580.92666666667
141834.19,136729.29059244585
142469.33,141267.77442708332
143292.56,154659.01010416663
144821.03,154896.04791666663
145123.64,136590.3082291667
145950.55,142484.28401041665
147533.67,139831.39726562
148045.58,134309.44718749
148611.88,148680.1097395833
149730.66,145216.10802083337
150689.53,137224.61822916334
151607.88,141206.81401041665
152086.7,140349.44446614585
152485.6,141686.68286458665
153602.89,143397.57510416667
154104.39,135399.46901040335
154460.39,133578.51872395663
155995.53,141191.67765625665
155483.61,138264.58088541002
156133.9,144563.98901041667
157112.14,146089.55875
156861.78,141941.19820313333
158106.92,136578.06348957002
158019.94,141407.41679688
158805.58,130860.90332030831
158811.69,129921.97539063662
159101.89,137542.59875
159574.77,141159.39671876663
158930.81,140303.01179687667
159666.66,140013.54677083998
160154.45,139118.30111979667
159770.11,138509.153125
160235.45,138627.50718749667
159713.27,136436.62734374663
159969.81,140285.12661458337
160045.95,135333.08325521
159725.06,140594.73235677087
159497.83,137200.61768395652
159886.6,138449.87716146
159802.64,138935.35281250332
159548.52,139406.96375
159026.33,137117.5257552133
159454.5,146489.83984375
158757.48,139736.47953124336
158025.27,137169.26760417
158155.61,143841.01463541668
157937.4,144802.31328125
156983.38,145122.02197916663
156348.34,138956.06735025832
156358.22,139029.91859376
155867.14,143753.8828125
155297.25,143484.86515625
154578.44,146481.92807291663
153939.48,145980.954375
152955.25,150458.22885416663
152851.1,143181.64598958337
152229.61,143254.55453125
151022.72,136540.28932292332
151218.38,138641.86536458333
150527.42,144490.88432291333
149416.56,138611.8195963625
148563.17,140047.89796875
148032.67,137542.69973958333
147561.86,138317.55932291667
146952.28,142065.99247300663
146530.45,136788.58492188333
145321.14,144337.7385294749
144449.77,141947.91757812
143594.12,137760.22749999663
143106.58,135431.73346355665
142611.86,129966.99679686337
141447.02,128158.16833330005
140977.8,143826.39365234168
140020.17,135690.61757814
139250.1,130408.44596356
138616.95,128560.50078126993
137449.08,128357.99039061001
136437.03,128261.36091146998
135560.89,131264.10757814662
134998.92,125309.49940105998
134537.66,118421.2259635267
133515.44,118598.35869792332
133280.72,119428.99393232324
132644.0,117622.37463541994
131619.36,124973.11647135414
131483.1,121860.74906251337
130787.414,115179.5464062367
129628.88,113743.81872398332
128328.95,116501.66932293994
128085.25,117628.37744791665
126926.48,122060.69541668663
126319.88,113062.46945312008
125400.85,110850.06658854998
124826.23,111784.30731771332
124321.64,112865.06070315662
123360.24,119222.87119793336
123414.34,119872.50104166252
121484.445,118848.15231767336
121832.4,121616.1093750233
119812.02,121389.84817709998
119575.82,116173.95968750998
119475.14,118495.3482812267
118091.87,117998.40958336332
117911.305,118370.21794271332
117234.56,118044.01559896332
116698.336,110173.9263281433
115989.24,104523.18638020332
115355.27,104148.99356772
114461.22,102578.11178388748
113517.266,102587.91744788672
113530.15,101753.13552086332
112665.93,100966.52333335996
111665.36,102272.20942706
111412.15,95464.56614582
110796.695,98383.01044274328
110648.99,98053.81653645664
110290.56,92948.42393231664
108630.27,98501.5378646266
109048.87,94835.77005206671
108185.37,96773.09513023996
107547.16,102460.00224608331
107556.37,90948.5011458267
106534.14,95985.3528125366
106611.49,94015.61809895
106391.79,94178.59018229668
105387.43,94873.92768230331
105194.92,95446.65875002996
104956.37,94381.56760419662
104403.77,96629.21830727004
103929.6,89992.78815104338
103339.42,92113.73723956008
103099.766,94012.80934896664
102970.79,91060.15061848334
102881.85,96051.26354165336
101651.695,88464.00778646996
101629.375,93163.86098962328
101369.99,93471.6687760633
101962.2,90726.3081770667
101386.48,92060.43880208331
101039.2,93264.93533850338
100854.03,92925.98148434336
100336.9,97176.71497394
99852.23,93765.72348958
99625.66,94433.4699218667
99639.336,97464.87513021668
98550.92,92938.39205727668
98391.81,91294.70223957668
98826.484,95542.20177083332
98524.06,91106.5086979067
98199.96,93012.8545833433
98230.74,93922.61244793996
98030.086,94420.3696614334
97285.484,92248.62903645002
97848.41,93701.79932291668
97383.14,93884.45476564996
96963.12,96122.88127603
96981.36,91874.2112956
97071.34,95090.62515624668
96569.73,88922.49656254992
96915.83,88688.44765626996
97332.64,96046.49127602004
96196.44,90978.74565107998
96697.82,86434.70486976336
96487.29,92710.80239581336
95931.77,89594.81109375332
96238.79,89471.83304685666
95797.664,85331.40937501997
96372.32,85138.25380205338
95330.5,85549.9792968875
95093.836,84827.08723956003
95310.81,88835.07020836332
94408.336,86868.50869792
94719.234,83013.15565104666
94869.56,85448.67838540333
94684.26,85878.79263020997
94276.51,86323.67882815664
94391.99,85065.60010416331
94749.35,87005.68513021331
94446.945,88579.95023436664
93844.01,84540.24833335
93609.984,86453.8820312375
93566.21,88029.09898438334
93514.62,85397.93281250332
93503.98,84193.28510417668
92861.87,84548.32427086668
92873.82,85829.31781248334
92834.23,86716.21197919331
92221.39,82479.37796877665
92096.33,87576.02562500667
92108.7,83511.80869792665
92246.125,83526.02765623335
91417.91,88535.53502601334
91831.52,84997.31966145412
91847.15,83906.95161461996
91506.91,83901.39231772999
91720.625,83833.8598437733
91234.89,85617.14729169664
90471.1,83675.33802082004
90497.375,84343.02020831668
91059.305,86553.06947914997
90495.21,82326.29789063665
90450.13,85855.52486977997
90124.56,83728.52908850671
90423.27,85036.31463538668
90127.76,83440.73766277499
90320.586,83834.10359373338
90411.24,82993.7464843767
89649.17,86657.47414063997
89603.08,81619.46677082332
89968.49,84666.70515628331
89946.62,85720.94523435335
90295.336,82899.67679682006
89498.2,84285.72302081001
89869.766,81602.32416666999
90836.47,86258.96690107662
90295.92,84276.75229169994
91017.445,79765.22623698752
