Predictions,Actual_Values
93059.53,83322.70802084662
89421.414,82045.31026044331
93415.89,79419.61703121671
93148.15,85013.5353646033
94021.35,81558.69835937001
91237.78,80224.15958332334
93859.664,80449.14481769332
95518.12,80596.73945313662
94595.56,81161.60098959332
91225.93,80547.49874997004
96213.945,80346.45716148995
98558.16,79677.29778643751
95739.445,77866.63276041001
97334.7,78971.51471357
94216.54,77960.77093752327
98630.586,81722.27505203671
96325.84,79430.13200520001
96069.375,82419.66054686668
95598.984,79439.16515625664
99863.54,76860.53197917997
96667.89,80065.53033856
100841.8,78342.7264062433
100659.34,80936.58414067992
101776.01,76032.61184895836
102215.45,82937.09200524996
105921.68,84492.85611979332
101720.32,81036.87674477338
108129.164,82375.82367189332
105633.7,78698.49447916339
104318.16,86323.74031252664
104308.49,83041.0086979167
110443.79,82857.46026042668
111057.63,85282.60700522331
111170.55,80901.36372395001
109572.625,82313.48091145
110239.21,81908.47890626249
108188.33,84307.41354171331
115210.56,83735.78291669999
111943.68,88739.88643229668
114367.81,83858.17184899998
119530.12,85210.70130208664
115406.734,86926.73057289673
122505.64,86738.20257812669
117845.0,84462.08526042334
123648.99,86803.03041666996
118867.91,85922.53533853003
120340.68,90176.59460936335
120195.33,92921.81435542504
126443.945,90213.14065109329
128831.72,92173.86716143666
126177.02,94505.87846354667
127272.734,94071.50627600004
128687.49,97999.83927082666
132135.22,96848.96341145667
132358.45,100952.81947918996
130492.7,101709.01418309734
138561.14,99592.89966146
131573.67,108502.62395833334
136175.48,107060.68325523
139407.33,108058.46975912084
138733.11,120858.73515625998
137154.86,120043.14218751669
140186.08,119742.03354168664
140496.47,119973.44242186668
142397.3,121851.79250000998
144146.58,121491.97341148662
144746.3,120563.04429685006
146604.72,122807.63565103002
145676.28,120229.41052084664
144591.61,116098.24111977336
148119.75,123941.99661460664
148915.69,125847.90602217082
151373.75,122384.67054686998
153321.62,125828.9987499767
150612.7,127257.06231772668
148381.33,129069.24273437668
151271.55,126601.00643228668
153467.69,127362.86882812667
154673.48,126652.67703124665
152789.52,134852.08008465552
156330.42,131237.78052083665
155372.03,125915.52458329676
153900.61,131141.99955728668
158523.94,126464.85087889589
157519.0,128141.10351561669
154945.4,132212.58442708998
157831.8,133057.10552082668
154871.08,132238.50325519667
157979.5,138043.34664062
156635.25,136264.62236979333
157301.73,134876.95992186337
161898.67,128500.03929687336
157829.22,125090.18179686999
157969.25,130265.74804685994
163519.89,127208.26723956666
155882.36,124896.31774088748
157830.62,119794.77614581672
158631.08,125387.76005206999
161167.8,131298.95408856
157456.36,126508.62583333335
159679.6,122644.85966145663
160509.8,130738.55346351337
158207.9,124875.85552084664
158011.02,127115.71562501334
161550.75,131373.9298958167
157467.23,146035.095
161429.75,150753.9553125
158002.22,155586.98580729167
158947.9,145164.48427083335
157062.84,145913.22458333333
156535.36,149606.47994791667
158345.6,148601.37494791663
155680.89,145829.20229166668
154772.03,146979.17546875
154293.4,152003.10359375
151972.45,152782.09036458333
156149.7,151719.1956770833
156241.2,152223.26307291663
152753.5,152888.02229166665
153457.81,151269.366015625
160598.45,155677.66911458335
158424.92,148163.4340625
152346.31,153736.6675
151956.58,146992.89234375
153315.42,141740.29661458332
152843.2,142464.95494791667
153567.8,151741.56130208337
148668.52,143444.53919270667
152521.22,141848.28151042
150801.92,136643.03156250337
152300.77,140948.40697916667
150122.77,135852.16402995415
151629.06,138049.90807291
146441.75,138736.46072917
147257.56,140083.24328125
147636.9,138803.37062500333
144429.81,138155.68372396333
146629.25,137700.96322917333
144623.56,141937.16416666665
147701.42,137337.99924479
142054.08,143025.67513019335
142654.77,137008.04018227337
140457.03,144331.27838541663
139969.31,136995.83229166668
138933.84,139560.84710937663
137629.0,138824.56328125
140803.81,133344.82182291333
135982.3,130266.14208335336
139167.39,126093.08052084337
134269.22,124036.92070309672
139399.44,128310.99440105663
136032.31,117609.59369791667
132154.47,119527.89531249006
134336.0,122149.15591143336
132737.47,118236.3953646033
133989.95,110836.4527669167
131765.72,109113.18604167334
131181.88,105571.70765625002
128635.31,108808.74843749666
125430.3,109814.19182292
129879.23,106960.20494794328
126897.71,101572.86335939328
128025.66,100830.59455731332
122942.82,104463.51567707668
125494.23,109302.05656253333
124967.51,101486.90002604996
121994.87,99648.4972135034
123158.85,103220.08678385
118931.62,98740.91820314668
121089.086,99331.08192710333
119778.45,101225.68054689332
120028.23,97861.8397916367
119333.22,100703.28947916666
120531.08,100499.76572914334
117321.555,96859.63703124
117891.03,98474.65406246007
120051.29,96527.04723958332
117492.44,94119.35778645668
118926.7,93308.60401043996
117637.78,92531.85634767081
114124.3,92097.7240104
111443.914,92493.40546876997
114518.77,90798.85328125332
110157.31,93774.60619788336
111995.15,91275.49255209668
113260.85,89578.34768230664
108142.86,92657.94937501992
108762.81,88924.23742190663
113174.6,84663.25335938668
112279.625,88843.69981773662
109052.15,86787.30940106997
112373.41,90090.0007486875
111694.13,90711.50075521336
109040.195,87738.7020312633
109211.56,86662.46908855332
108118.95,91319.76809898663
109667.85,89347.00752605002
108067.38,87008.96432288666
108959.01,97351.65664059334
108646.05,98166.90320310002
106030.19,97378.89234372672
106601.78,96022.10898441328
108690.6,96239.26026040336
106325.2,99258.64453123338
108031.33,96336.46505206666
106510.44,97301.57700521334
103871.34,99112.47309896335
104700.59,97828.67822918664
106968.4,97169.00549479
104549.34,98016.11747392672
104659.2,98909.50114581668
105644.15,96083.53002605333
106323.37,95851.20377606664
106222.58,95510.42669271334
103649.12,97500.63760417666
108645.19,95624.33144531248
106504.336,94735.64869791004
104946.47,96043.68794270334
105184.016,96294.26033852668
101253.05,96693.45447917
105969.82,91616.85104166328
103361.45,88665.57119788339
103027.914,86241.95343745669
103105.625,84157.08322916331
106662.15,81487.62653647664
105383.03,89846.63536458003
104247.68,87178.68533855335
102070.55,84401.95677083747
101387.04,87267.53015623668
106230.68,81647.95502601002
103482.664,84229.37916666332
104688.37,90463.15291665666
101803.766,83330.18072917333
101259.08,85958.91815107326
105381.2,87849.71437501331
102983.97,84141.09874999664
103992.27,84630.59226562994
102624.27,82371.07710940334
104703.984,81081.00195312001
103977.03,88633.88369139166
99029.69,84340.61822918332
99902.0,83676.41026040998
101353.13,85522.89171876662
100135.33,83890.60994793334
102407.86,84057.54072918998
100209.46,84351.34416666336
97806.484,84652.65760414669
101353.56,81872.56585935668
98844.08,86560.38359374665
99028.64,86923.59377601669
98191.05,85201.16101562003
94925.05,83475.31770834586
96067.64,82858.44763017674
96121.85,85767.35304687335
95687.414,83372.53083333332
96203.125,84966.4838541933
96793.016,86105.9767968933
98519.555,85200.62789060334
95584.88,84261.61828127994
95015.96,86345.24252605664
96909.67,81825.81567706997
96648.87,82656.5041666567
96037.74,85102.06903646332
94566.92,83609.04156902082
95548.1,88123.76005209664
96861.04,80934.5946614567
94942.81,80658.18932292664
92166.63,84109.61252603668
93728.42,82815.42421874667
95361.54,82051.90872396664
94679.63,82868.74085940664
95265.55,80003.37333334997
92981.17,85828.48645832334
91724.2,80118.59992187335
94591.37,81812.91799476669
96383.63,80055.88219403331
92820.9,81518.77497395665
94639.164,81168.66442705669
92205.45,83273.99437500001
91997.71,86525.64190101673
92545.63,79387.30710935335
91334.375,81886.08257815332
93090.47,78416.04617188664
92468.984,76575.62809895336
95059.836,81619.68966147333
92348.984,78912.33888019997
93895.516,80190.75106774332
89610.98,80590.72086591247
