Predictions,Actual_Values
95918.305,95266.1394530834
95996.52,95398.05541665004
99607.945,89290.08947915002
98298.58,93162.62299477002
101712.24,92444.56734377664
100887.766,94782.98718750331
95084.98,92749.72494792665
95064.97,90734.82161458666
98121.4,94209.14932292663
100838.45,89622.93718750669
96764.43,92161.40033858662
99719.555,91977.16412762916
98150.3,94430.14557289671
100336.88,94162.34309896332
96435.35,93446.30289063664
96651.79,86979.33013021668
101719.63,88723.68166667999
96006.46,91246.29450521998
97988.52,92555.10302085
97919.2,91609.87945313
98359.12,88712.26013021002
100135.27,88418.82140629661
101322.86,89318.83835937998
103784.0,86494.30126951254
101290.22,99365.3397916567
104453.164,97043.77893226006
103609.59,97331.07395830668
106160.13,96931.94039059004
109130.484,96883.52624999
105058.94,105936.93106769334
107018.67,110441.82106772331
107173.055,110653.09973958666
109455.27,108627.7387760633
117813.78,101098.74401044332
113646.05,94828.84955729
115102.4,104740.70735676668
113254.016,107657.6184375133
114594.07,104979.67203126666
120231.73,101087.81356771664
119695.35,102991.25338543666
122875.39,107372.62885421328
120304.02,105384.16997392336
121786.54,118619.37184897331
122800.74,122099.19364581667
124343.555,124029.72489583
127485.29,120231.34005206665
131962.66,115146.04770833672
129373.31,118385.23151042085
133070.28,116506.2559374967
137312.72,124719.06458334002
135917.03,129428.76929686336
137239.69,132888.72820313668
141009.2,138647.11401041667
139045.95,134578.48820312333
140642.31,141969.4075
149262.58,134524.74140364214
145938.53,146448.88802083663
152305.27,148181.7859375
154211.55,156007.5459375
155287.14,156555.000390625
153567.5,156109.20260416667
156558.19,157907.20390625
158194.53,157079.85489583333
157184.3,159165.12151041668
157417.78,162115.88520833335
157490.1,166791.9097916667
161541.05,165747.39213541665
164678.1,163064.17552083332
164659.03,165036.4253125
162482.06,173279.541875
168157.78,171446.98494791667
174236.78,170713.48990885413
169448.03,171769.40609375
170521.64,170705.04583333337
166965.23,169883.25859375
176431.5,167437.75197916667
172134.83,171512.33026041667
173762.25,168404.765625
178396.55,177891.10645833332
174076.11,175863.19211409395
172287.19,185007.67463541665
176107.6,177763.36692708332
176177.42,176698.99520833333
174045.36,184643.91458333333
185942.39,180533.87994791663
180582.75,180598.19989583333
179784.1,168635.63072916667
179866.75,163511.78880208332
176568.4,171266.54895833333
180432.89,158879.61666666667
182364.52,170593.28270833337
180691.73,165756.40104166663
181123.3,158295.5346875
184285.36,173227.02348958337
183596.62,162914.614375
177207.34,171066.60787760414
180519.38,164138.24114583337
187861.45,161406.90401041668
181708.52,166941.79223958333
179326.95,165685.65776041665
182968.08,161706.14109375
180231.81,165938.15734375
178286.69,166280.35557291665
179116.58,166954.82833403008
181460.56,164464.56010416665
182559.98,177560.4115625
184295.58,170559.03729166667
188187.05,169112.8837890625
177129.19,175206.8821875
179313.98,168539.73026041663
186317.66,173542.85557291665
184096.0,159873.24203125
180967.1,168755.73213541668
183243.62,177439.1234375
186093.64,184672.66484375
182961.0,177114.81114583337
182495.33,184925.93572916667
183179.58,185052.07015625
183734.72,190470.5461458333
178652.97,190035.72792968748
177162.97,187249.60822916665
184892.45,182169.55401041667
177405.6,187524.9202083333
183820.12,188687.5844270833
180328.22,191640.70947916663
182202.08,183558.02875
173758.67,180719.40239583328
183236.22,188199.69115802675
181672.27,188969.58182291663
176464.31,186759.78708333333
179375.95,187558.0290625
181097.7,200128.6794921875
176850.64,189649.55078124997
177646.31,178426.13244791672
170503.73,176929.32609375
177809.14,179926.49833333332
175366.3,166240.87880208335
169957.69,169293.98359375
173703.78,176468.05208333337
168644.97,175637.081875
175145.33,178570.93072916663
166523.98,174770.6290625
164274.06,176154.99625
168836.08,183767.28704427087
165678.08,174773.54229166667
172329.88,181651.03567708333
165365.77,175862.50380208335
164954.64,176287.41869791667
161774.4,171132.94109375
161745.44,168042.9621875
159730.55,168716.51291666663
158049.02,152394.21859322742
157181.8,143985.35171875
159040.77,139991.01442707668
155035.3,132554.62114584664
150761.05,137674.24114583337
152076.5,147128.30947916667
150835.42,142447.36380208333
152455.28,143322.17510416667
146477.95,141779.49760416665
146916.1,136140.92820313
143734.81,132416.81109374668
143945.14,135949.7989323133
144875.22,136281.58346354
136810.77,136826.3936979233
138888.52,132724.32848957667
141125.47,136555.2305208167
142427.38,132607.73789061667
141190.44,134164.15903645
131721.52,137632.58192708335
132265.11,128347.0057812633
135174.34,132438.07177081006
130443.65,129247.78132811336
134100.11,121714.62463542332
129367.01,117418.55794267672
129879.17,122628.54805079265
124564.62,115723.07059894668
126472.055,115212.57664061336
128776.74,115761.5591927566
130795.0,117050.85419921252
128072.93,113241.22179685006
125468.97,108490.16768229003
122384.766,111450.80242186337
124514.84,116244.20999999
121845.3,111520.69119792
126007.875,119072.56395834332
122044.83,127402.04901041668
121767.02,122451.45312502998
118779.82,114833.88403645664
124413.875,119492.69789064332
117045.87,119177.90419272994
119013.555,105596.56354166666
123151.06,117143.60507814994
118245.37,104652.89320311004
116928.625,115856.98580727668
116713.34,122371.02273433006
119795.195,120983.25265624
114046.84,127161.97268229998
118498.33,122334.01664061336
114307.5,123365.92420042475
121395.31,125744.73890626663
121579.58,121282.85429689668
115011.914,114680.49510418333
115757.47,110105.20989582498
118261.65,116057.30289061667
116080.914,118034.33734376
115600.21,117971.06299479332
117812.06,117030.71031251336
116591.63,114742.14421875332
117932.67,118244.57841145663
118980.89,119923.23432288336
115748.62,114660.31567706668
116287.28,112430.62059899332
117157.44,109265.78265626666
113782.664,110791.35213543334
114616.5,112655.42698569164
114116.72,117813.91929685672
115616.66,116087.37989582664
116276.97,115707.5816926634
116205.8,122902.03874999336
116157.836,115747.17070313668
113007.055,118651.38684897994
118234.97,115813.96296877998
115233.69,109855.22825521667
115021.555,107687.96596352664
116627.3,109711.03369792334
114513.336,115577.30325521668
111056.33,108256.0998046875
116749.29,116968.34919271331
110358.0,111514.08822916663
116525.375,113530.60273438
111762.27,115597.29151042669
