Predictions,Actual_Values
90691.445,85520.42312500664
91224.875,88807.97786458996
90255.46,87379.47718748334
89678.68,84085.7596093534
89998.625,87272.22598957001
87856.9,86594.48643228665
89975.7,84639.64861974005
88750.695,83978.94729168329
90427.34,84777.31307289672
90652.71,86175.39226558004
89501.75,81480.78971352003
88953.445,79245.7290364417
89373.59,82484.58367186332
89389.1,80539.74265624004
89269.14,77436.25002606332
89475.95,79593.95000001998
92047.76,81952.53593749003
91705.914,79697.07213540669
91825.22,82028.50598959663
93793.15,77704.84976562668
87424.96,86459.09820314996
91954.125,84562.40690102671
91848.34,80233.10640626331
92491.46,83398.61367183755
94572.8,82969.81104164668
93630.92,80443.92098959332
95841.58,81276.76065105331
93469.05,81703.22135417664
92971.04,82394.31718748335
96615.5,81877.01104166664
97845.54,80976.69473957669
96098.75,83907.64286458665
98915.836,85272.63531248667
97851.48,80185.64447916667
100477.42,85144.40158855332
98711.55,84504.56477865418
104758.6,81920.06596354331
103113.54,83264.3996875
101770.1,89315.29968749662
101811.766,81262.87453126333
103830.83,84710.46210935335
103794.06,82351.57239580332
108791.53,88575.09000000003
110205.82,91965.2914062566
107276.625,84209.70921873332
110998.5,87995.59466148332
109839.72,92976.80604166002
113534.266,88432.91822916668
115884.72,93185.78328123668
115859.37,90874.13286460996
117841.53,89705.48205727334
118535.06,92944.54822916
119335.51,95943.57393230332
122531.95,98075.41140624
124880.43,105121.59080729334
123838.23,101623.59005208669
127332.66,112189.23583328669
127115.27,117084.6158072933
128545.8,123571.16208333005
134571.6,125856.42721355
133312.97,118067.28859375998
134123.67,134108.97898436006
134810.47,131088.8822135633
132136.58,128481.32333332667
136129.22,129618.19041665005
138459.14,131330.79867187332
141630.38,130355.90101563332
141594.77,135739.93565104663
143802.7,136459.60005207668
145159.3,138881.91859375
145118.19,139580.92666666667
146442.17,136729.29059244585
148909.53,141267.77442708332
148048.73,154659.01010416663
151421.81,154896.04791666663
148419.42,136590.3082291667
150358.95,142484.28401041665
151048.31,139831.39726562
150427.77,134309.44718749
152489.08,148680.1097395833
152791.28,145216.10802083337
149995.78,137224.61822916334
151952.53,141206.81401041665
155371.03,140349.44446614585
151916.9,141686.68286458665
155367.4,143397.57510416667
153794.36,135399.46901040335
152973.52,133578.51872395663
156112.23,141191.67765625665
154376.8,138264.58088541002
154513.95,144563.98901041667
154395.4,146089.55875
154464.16,141941.19820313333
154632.53,136578.06348957002
156374.95,141407.41679688
155866.4,130860.90332030831
154892.67,129921.97539063662
155444.83,137542.59875
153520.22,141159.39671876663
153395.56,140303.01179687667
153187.78,140013.54677083998
152451.48,139118.30111979667
151755.36,138509.153125
153061.92,138627.50718749667
154130.34,136436.62734374663
154349.33,140285.12661458337
154559.6,135333.08325521
153231.66,140594.73235677087
155148.42,137200.61768395652
152262.25,138449.87716146
151639.33,138935.35281250332
154165.47,139406.96375
153193.48,137117.5257552133
150935.58,146489.83984375
152150.64,139736.47953124336
153905.53,137169.26760417
154278.66,143841.01463541668
152422.34,144802.31328125
151907.16,145122.02197916663
152840.38,138956.06735025832
150153.3,139029.91859376
153003.66,143753.8828125
153580.34,143484.86515625
152957.67,146481.92807291663
152556.16,145980.954375
151800.73,150458.22885416663
150697.94,143181.64598958337
148772.23,143254.55453125
150804.1,136540.28932292332
152344.5,138641.86536458333
149626.92,144490.88432291333
150906.22,138611.8195963625
151654.62,140047.89796875
149932.05,137542.69973958333
147304.58,138317.55932291667
147092.64,142065.99247300663
143398.6,136788.58492188333
146563.16,144337.7385294749
146079.61,141947.91757812
143078.7,137760.22749999663
142667.58,135431.73346355665
142989.64,129966.99679686337
139702.6,128158.16833330005
138640.7,143826.39365234168
137582.95,135690.61757814
138286.98,130408.44596356
136527.69,128560.50078126993
135099.33,128357.99039061001
134350.34,128261.36091146998
134612.53,131264.10757814662
130723.07,125309.49940105998
132463.67,118421.2259635267
132996.89,118598.35869792332
127447.11,119428.99393232324
128578.086,117622.37463541994
130367.15,124973.11647135414
128318.79,121860.74906251337
127336.9,115179.5464062367
123487.33,113743.81872398332
122388.9,116501.66932293994
121203.28,117628.37744791665
123517.91,122060.69541668663
117673.734,113062.46945312008
121251.21,110850.06658854998
118725.21,111784.30731771332
119883.95,112865.06070315662
117357.24,119222.87119793336
119029.22,119872.50104166252
115588.6,118848.15231767336
114384.305,121616.1093750233
117439.03,121389.84817709998
114058.69,116173.95968750998
112480.77,118495.3482812267
109297.586,117998.40958336332
113402.71,118370.21794271332
111215.055,118044.01559896332
107688.445,110173.9263281433
110126.64,104523.18638020332
107234.19,104148.99356772
108065.05,102578.11178388748
105333.3,102587.91744788672
104502.8,101753.13552086332
108461.68,100966.52333335996
107277.21,102272.20942706
105483.336,95464.56614582
107571.5,98383.01044274328
103689.33,98053.81653645664
104526.516,92948.42393231664
107102.08,98501.5378646266
106663.61,94835.77005206671
103991.63,96773.09513023996
103117.53,102460.00224608331
101845.05,90948.5011458267
103054.34,95985.3528125366
106253.67,94015.61809895
100934.65,94178.59018229668
103214.66,94873.92768230331
101856.01,95446.65875002996
103017.03,94381.56760419662
100603.164,96629.21830727004
102555.26,89992.78815104338
102642.43,92113.73723956008
104096.086,94012.80934896664
100907.44,91060.15061848334
103303.055,96051.26354165336
103529.164,88464.00778646996
103315.21,93163.86098962328
100911.28,93471.6687760633
101316.13,90726.3081770667
102349.555,92060.43880208331
99252.25,93264.93533850338
100908.33,92925.98148434336
98530.01,97176.71497394
100053.04,93765.72348958
103953.516,94433.4699218667
100244.1,97464.87513021668
97315.96,92938.39205727668
103035.82,91294.70223957668
100976.54,95542.20177083332
99841.21,91106.5086979067
98136.54,93012.8545833433
97310.47,93922.61244793996
96614.19,94420.3696614334
95360.266,92248.62903645002
96706.02,93701.79932291668
100183.57,93884.45476564996
100070.9,96122.88127603
98953.36,91874.2112956
100279.8,95090.62515624668
99219.19,88922.49656254992
96286.31,88688.44765626996
97827.1,96046.49127602004
101301.28,90978.74565107998
100039.03,86434.70486976336
96256.14,92710.80239581336
94979.73,89594.81109375332
96912.234,89471.83304685666
97269.8,85331.40937501997
95693.76,85138.25380205338
98881.33,85549.9792968875
95173.51,84827.08723956003
94225.73,88835.07020836332
93112.21,86868.50869792
94172.57,83013.15565104666
95042.19,85448.67838540333
94777.086,85878.79263020997
94982.914,86323.67882815664
93104.92,85065.60010416331
93087.6,87005.68513021331
92972.01,88579.95023436664
93304.29,84540.24833335
91382.91,86453.8820312375
90805.18,88029.09898438334
94695.38,85397.93281250332
92159.914,84193.28510417668
94679.17,84548.32427086668
92108.37,85829.31781248334
91272.37,86716.21197919331
92783.52,82479.37796877665
93866.125,87576.02562500667
91163.99,83511.80869792665
91537.97,83526.02765623335
88119.55,88535.53502601334
90477.93,84997.31966145412
93619.195,83906.95161461996
89696.24,83901.39231772999
90227.336,83833.8598437733
91169.625,85617.14729169664
89868.68,83675.33802082004
90753.016,84343.02020831668
90955.13,86553.06947914997
89362.7,82326.29789063665
92723.45,85855.52486977997
88594.79,83728.52908850671
90539.82,85036.31463538668
89788.35,83440.73766277499
89938.96,83834.10359373338
91445.96,82993.7464843767
92227.266,86657.47414063997
92501.74,81619.46677082332
88559.09,84666.70515628331
93588.25,85720.94523435335
88688.1,82899.67679682006
92371.195,84285.72302081001
92366.51,81602.32416666999
91719.71,86258.96690107662
89136.586,84276.75229169994
90570.56,79765.22623698752
