Predictions,Actual_Values
88888.14,82438.88429688
90200.52,78844.09356770338
88627.414,80528.05427084332
88978.086,78032.02138025327
89452.63,80198.36166668667
88704.42,80043.21479168665
86337.76,79872.04320310999
91980.04,78931.60569084281
89781.875,79093.03346354663
88847.27,78298.13601562004
88091.13,77633.88723958668
89951.37,80545.48837892081
90384.18,78701.71768229004
91195.26,75880.0027343767
89058.734,77400.58281247332
94286.8,77757.70770836997
93482.65,78995.56549477001
92939.88,84265.18247395335
90168.15,80391.16119790997
89145.87,77632.21122392341
94682.53,82449.5495572933
95312.99,76163.58901036005
97067.69,80003.38799480001
90288.375,81012.64586589581
93033.55,81988.33726561669
94178.08,83252.79781251999
96880.6,80248.77320313001
92496.3,79749.85122394335
96813.984,83298.91776040668
94735.89,82979.13130207003
95795.33,82709.23822914339
97984.02,81343.24182171568
103499.67,79145.60958330668
97708.625,81429.49955729001
99147.09,81930.61229165668
99969.6,82369.91139324581
103146.07,85813.32768225668
103337.9,82626.38330730668
99850.48,81943.49182296997
104982.5,85530.74773440664
104999.734,82446.90354167
105711.61,83876.61458332003
105813.74,88202.35763025327
108922.05,83439.8823437267
106762.19,85884.50575523332
107521.914,86587.82690105664
111748.83,83790.80768225338
111513.36,88543.64104821245
113377.95,88006.16846353668
112883.38,95431.49588542
112352.1,94788.31322916668
117052.445,99458.75346355664
113506.945,102804.14992186334
120923.66,109945.76601564
122811.305,111028.66864585334
123250.75,113530.59573582605
123181.28,121910.91028647665
124659.73,117872.20088541336
124730.1,125108.59473960332
129071.164,123543.06061195835
129003.9,127375.3978124667
130794.11,126158.44580729002
129029.83,124768.18789062332
131781.05,129748.46924477667
132728.69,126178.07893227004
133336.28,128200.29989580672
134289.08,134616.24565103333
135555.34,130721.67684897663
136176.3,131909.1206770933
133990.39,138069.46364583337
135471.34,130209.9093750033
138104.17,136234.18369140837
137310.23,138078.22
139164.28,142063.33604166665
142846.16,144446.08885416668
144887.12,140102.8796875
142446.27,142150.31614583332
142552.12,139215.71182291667
144328.12,146204.184375
146786.22,143401.01177083337
145825.34,142811.44390625
147339.39,143397.95494791667
145259.3,139177.94984375
145435.45,142839.5005859375
145601.78,146345.58598958337
150141.53,141076.80630208337
149734.56,139860.17434895667
144575.66,143140.65098958337
148144.44,141711.52276041667
148379.38,136508.97408854333
150246.81,140548.03460938332
150324.78,139221.80833334333
145008.38,134579.81372395
149578.95,135967.69065104332
149652.23,136146.79278645
145982.75,128542.18831380832
148758.12,126140.143125
150555.67,123700.73218746006
150141.67,126740.94966148332
149971.56,121523.79416667664
148758.97,126276.86184895334
149666.5,130486.02601563334
148780.78,126487.3667448
152610.02,125782.34812497669
150257.23,131928.69997396
150238.58,122167.9024739866
151569.39,134034.74911457335
153478.77,126442.8200520875
147825.52,132065.9941927133
149442.08,132734.42101563993
149234.84,131970.45736977668
150126.92,138506.19013019663
149742.75,141179.615
147646.98,134791.76359375333
147029.97,141232.30776041668
150067.25,143553.92286458332
149228.86,143433.19203125
149420.17,135141.96046877332
144303.14,133637.18640626667
148554.52,133144.28157553333
148932.22,133968.77507813665
146579.38,130935.10369791
146325.4,135432.51606773
148767.5,132527.55283854
149783.28,136404.89242188333
144602.84,134158.94778644005
146550.22,140589.19182291668
148177.55,139678.6165625
144504.77,138796.5051562633
145462.7,141358.71005208333
143599.25,144539.81958333333
143662.6,139011.88528645833
141735.8,145932.39713541663
140974.55,144442.50067708333
144048.98,141508.77046874663
139474.5,142168.76289063
142706.9,135899.75867186332
141625.36,140786.07416666663
135660.48,138068.441875
139094.77,135545.98484374335
138235.06,139704.500625
135575.44,142021.7478125
138067.58,140582.28416666668
136772.92,138710.9591796875
135276.81,139712.6683333333
135803.89,142138.9796875
136948.61,138027.06804687667
132608.92,135654.52299479337
132273.22,129813.74072913667
134851.62,127077.87325521007
131453.89,122057.07138022328
131864.69,124173.20677084332
133396.56,126684.72346354664
130491.23,126426.83057290663
124648.26,123087.79268227667
126729.2,122983.49417317082
125390.38,125096.36940105993
125153.1,116995.09770829335
122457.08,115791.86367190328
120714.734,117657.94106772664
120144.414,116791.13812500994
121646.51,118565.48437498
120976.43,112840.46023433338
124152.414,113268.32802080338
123670.53,115553.28091144338
115221.83,110006.02911459998
117373.63,111781.36268233
114941.97,116007.20406901665
116944.44,107679.0708854433
114368.94,108017.16601561336
112238.234,107977.6187760433
111506.016,101727.89109371672
113471.35,106101.79421875668
116321.65,104260.85096355666
115114.914,99845.92140626664
111123.61,104219.48781251996
112303.39,103357.62231771
108076.32,103846.09585939662
109809.195,104991.20440105328
106792.48,98201.51780594588
109000.84,100997.54286455335
107784.46,102079.14135419331
107442.305,98893.4420312733
107857.836,99413.07929686004
104546.8,98522.71460935003
105195.5,98378.96124997338
107824.83,100872.64023435334
107994.17,94157.16247393668
103395.87,93971.76822916669
103057.414,90788.36851566996
103646.43,91406.77945311667
105618.79,90815.91855472916
102719.52,90234.58958336333
107511.18,90802.26161458998
99339.33,89972.99575520662
102184.945,89469.50554685332
104273.52,90860.41606771995
105260.21,93879.95229167002
99886.18,91995.29255208003
102482.266,91979.78184897995
102565.44,93970.54664064664
104902.85,94146.5974479067
98985.37,93194.73658853334
103466.39,98253.32486978748
98573.58,92274.56411456334
100875.086,98402.38934894669
103937.33,97140.51130207004
101193.484,92909.48057291664
101733.98,98303.1788280967
100554.27,96353.44450521
100627.37,95095.43723952671
98335.62,96066.73424479332
100490.47,97109.15643228
99933.22,91778.60781252995
98482.89,91916.33872395336
96149.016,92366.04394531249
93335.734,95669.29752606996
96625.04,91203.78690101336
98827.22,90921.82419270002
97071.74,93214.58994792998
98462.32,88413.48494794664
98097.33,90103.85973956336
94065.87,93356.17177084998
96490.25,89388.47744791662
95589.516,89378.8808854133
98958.81,89858.19085937664
97353.836,84745.05528646
93652.13,88452.38971355412
94480.25,87769.96786461661
94092.01,90743.92674478
95156.27,91225.41015623664
97199.125,86752.34283854664
92331.93,89351.03716144338
94753.64,89805.86583334662
98320.66,83623.15101563997
93681.75,86348.76723960997
94378.18,85984.94484373
93668.26,84803.39729164334
96533.24,86284.75184896
