Predictions,Actual_Values
109382.64,85652.41601565662
107468.82,82528.71812502
104406.18,83308.99658853665
105202.86,79320.98166668003
102292.78,86496.35763022327
111965.24,82852.94171873335
109948.914,82897.79231772997
99195.75,81363.83747398327
106146.4,83439.69867186336
114169.25,81163.27124995338
105151.53,82773.10468751332
110607.49,77609.7230143125
102332.92,80105.33401044329
111961.43,80448.14002606994
104211.43,75799.83695312997
107054.38,83186.20674481662
108844.695,79289.17578122338
110253.11,78775.5578385633
113144.555,78646.32166666999
110242.2,78221.26520832666
106586.73,79102.75106769669
101161.86,78719.5889843933
110022.67,80726.06742190997
112664.03,78913.5370768833
114198.055,78402.74213541666
113875.57,77914.89328124332
110627.266,82084.59486978005
109805.93,80380.78184894002
101686.875,78845.61442708336
117081.14,80105.18197916665
107574.29,80446.84789063997
115601.984,79777.44914062336
114323.71,83715.95338542001
112522.7,81861.73200518668
109806.23,80223.88177086331
103531.51,79996.32828773335
100559.18,80031.85937496336
109182.68,81827.00429687332
103569.375,82450.17885418668
101750.6,82724.13937496669
106838.52,81415.15752603332
107694.66,81134.45020834665
108207.86,83407.25908856669
106078.64,82232.53450520003
104800.59,83318.69643226668
112677.47,85002.10106773998
109514.4,83821.49484372998
111257.86,82468.6077799958
110241.01,86327.67601561669
110351.97,83442.38744794329
109638.91,85950.72549478336
104522.09,88785.70091147666
112473.97,87753.67937498668
107549.02,91750.26651042666
117030.53,90426.16611982328
106380.15,89010.09341146333
102700.19,92479.53067708664
115099.02,102156.47588544666
109425.36,91698.68661458332
115146.68,91438.28385419166
108906.88,91027.01958331336
109226.63,91795.19598956668
113988.75,90575.9379427333
111265.56,90971.29580728667
105021.41,91466.05218747004
112135.97,92489.10218750336
119985.35,91686.54328124668
108908.8,94952.7037500233
106391.695,95561.16330728668
112280.14,97547.75471350335
109809.52,102494.96507811669
105489.29,102400.94785156254
117284.82,103855.66411458336
109630.12,98725.75018231662
110026.484,102375.58390623004
104222.37,107834.20156246005
110915.2,102618.22135419997
105821.8,105061.51864583332
104701.51,107632.40424480668
105321.57,100917.56893230668
106946.69,103497.4511458433
109327.82,102643.37403642335
107695.43,101471.75325522663
116180.64,104196.29606120416
107556.87,104078.67809896667
108514.29,103569.84976561334
110900.28,105670.90356766338
105825.84,102556.9644270933
106695.15,104207.48203124
113224.75,101819.84812501332
102498.31,104227.85341148329
119997.65,101481.56940103332
112444.336,99424.02489584664
108882.61,105040.18682291335
112301.22,101794.2858073133
106202.28,107280.92106122496
105780.87,101430.71963541002
104484.805,99659.83708333
117421.21,98768.49005210334
116255.68,101334.16468751997
100848.805,100662.13614582668
106072.0,103135.46731770334
108432.414,112581.37864583336
108054.34,107369.38307293666
110589.36,113864.68361977
109526.17,112341.1061979034
108512.76,114185.58078126331
104215.6,113053.47001950836
111510.36,111829.27757810336
109028.805,113561.97333337662
108482.12,111498.64640624
113690.13,110460.91703125996
110930.81,112156.44270831005
106797.31,110069.98255211663
102153.195,110576.47481771332
114747.836,107795.93505209668
108957.805,109111.6144791367
109052.766,110553.65971356328
109720.01,109144.76770835664
111931.55,109823.40052081668
105090.09,111614.6580728867
112069.93,108654.84489582668
112969.93,109342.28002604996
103163.42,106539.07721356
116761.96,104148.38932293664
108305.195,105134.18216144336
103113.43,106774.09742184338
114331.46,106138.30291666996
107210.63,99471.29244789333
101509.55,105450.68179686666
102350.84,106387.75403644668
111876.37,105274.45973303336
105056.38,106992.02908852666
113288.54,104669.3389322634
110059.664,101202.06028644332
112904.17,99641.96841147666
112557.984,98923.14750000669
117627.5,102175.09364583332
113251.02,104128.09046873666
106229.195,110625.1130729067
105367.62,107664.29382812332
109718.805,107511.54138020998
102960.92,108636.88268232332
104295.0,108525.85081382077
111225.72,110342.05447913671
100577.43,108087.81794267667
108868.016,102016.68289063
113375.336,99329.27054686336
112151.42,96420.07434895002
110853.74,100797.88778643336
110332.05,100985.13429690665
106760.68,99236.56031248336
106896.59,96605.28289065658
107553.805,98673.77020833998
111556.71,97509.42270833334
100734.5,97930.64270830424
114944.98,95840.36929685004
111241.664,91914.57104167002
109396.99,98805.28742185333
109496.86,94698.96752600335
110431.25,93044.54721351336
106931.21,96470.39749995671
103042.28,96223.63752602004
110077.84,91274.40216143668
116959.28,97531.26966145332
106315.555,91838.70776039336
108452.05,97460.84690108332
109435.07,93781.15426428338
111771.22,97111.27677084666
105746.44,99004.15752607664
110577.664,92340.2381249734
110975.52,98803.20182293332
112520.2,95054.17768227332
99856.38,95363.02622397998
110365.33,98400.66307291004
110643.25,94457.22440103335
106790.91,96775.79528644336
103720.87,95830.18143227667
106481.66,90441.81143226338
110850.78,98042.72106116252
113253.54,95516.60924481331
112552.28,103807.15145834332
119084.62,107392.73085936673
109354.336,106746.09820310336
117676.84,107224.47471351668
100323.234,105155.39880207668
100334.24,107145.87346357333
112268.94,104645.58807293331
103320.65,105070.84638017668
108786.55,107158.72794271
106729.375,107903.41677082666
113673.62,105667.54319658752
105170.29,106675.26317711992
106304.625,105246.56177085666
109242.695,101506.15510416668
106719.945,102292.63252601668
116366.945,98167.20408853334
106996.305,91768.96421874002
105606.89,96287.23119791334
108172.23,97667.29367191328
107769.73,95828.63744789336
99382.875,96552.51898438328
107183.08,93619.10976561338
108348.35,92507.19889321666
117570.266,91395.18885419997
112093.336,89023.17213540999
109562.88,90208.34289058667
108023.875,89388.11466145668
106515.766,91066.2564583267
111856.086,84493.78369793331
108568.33,87294.28046877332
108606.29,88987.68244790669
110371.91,91088.59328127
116925.67,87471.64986980334
104491.19,93812.68651040668
99743.01,87096.06035155417
113995.695,87449.53843749997
105175.73,92433.70098960996
109688.88,86956.47872396332
107259.59,90182.36341145664
102896.06,89624.6898698033
111556.46,88573.70044271334
106453.555,89303.70317708334
106514.53,91227.77192710001
118917.445,91457.57666667333
105665.91,91115.73648438332
110705.22,91412.49002606997
106669.32,86593.13932292919
107257.625,90606.71156249664
111301.984,90163.11963540336
105377.26,93018.21499999338
104051.22,88677.18539058339
114222.71,88872.49005210998
109089.42,91168.01687498335
104493.086,85062.68585937665
111066.65,89261.23080724668
106791.42,88571.14992188998
112993.29,85988.37789062332
100981.82,90997.92419269998
103231.91,84790.67480471249
108115.6,86610.9576562267
106049.06,88443.46138017338
114952.48,85887.27843751332
115130.69,87489.31963542
105406.34,86883.54494791999
114587.836,86836.66385417327
115120.23,86467.96492187666
116457.7,86008.13697919327
104053.68,87559.68661456
115582.38,86003.41851563333
114897.21,88741.27664060672
101194.44,87101.82871093335
107485.125,89809.43791669662
104779.65,87154.81703122336
118258.26,88026.76895831336
112164.8,88921.95953125332
106513.086,86629.5428645667
110686.37,90309.83403649992
108465.164,89353.41864580338
97330.8,85425.97195312336
109561.27,89144.3299740066
109083.24,87450.77182293333
110818.5,88005.32601562
108899.45,89760.90384112918
102151.195,87994.31372397002
101187.97,86425.44890625669
108273.99,86290.21669272
109955.42,86939.49447919996
109015.45,88784.12880205341
105291.125,87308.19552083664
103456.49,88631.95148438666
114202.055,86101.25122394001
107710.97,82367.96700523663
111397.54,88571.01854166336
110926.66,85985.22442708997
108185.99,84304.69837236668
109211.67,87666.95932290668
106325.59,83699.28557291
109185.5,87820.42434895001
109201.28,86072.50434897999
104306.13,87082.97736979333
111868.31,85651.93799476005
103373.82,82893.05156249
115794.73,85670.63734376
104108.61,84493.47007813997
106147.11,85003.0809114933
109433.71,88675.55562498668
104569.26,82258.05091151247
