Predictions,Actual_Values
83781.53,80436.86562501668
88060.21,81658.20447920996
85784.64,82200.40739582335
86406.59,81551.74429685668
88408.7,79472.19580728334
88409.61,79191.79281249671
88229.3,79484.72890625335
89163.09,79735.51750004994
87116.6,79531.47065105666
89805.805,78857.52403645005
89855.15,76308.4646093467
86777.78,79201.86611325838
88731.87,79586.2440103767
93468.09,76828.63796875
92870.8,76964.97322915
89036.586,78777.21867187334
89737.0,76453.77851562331
89932.82,76270.01927086333
88027.42,80243.70864584997
91450.414,75579.35513022664
90461.54,79588.12434894001
90709.16,77810.27664059003
92424.58,73947.07138020339
92696.45,78751.48951824162
92566.61,76828.75825520001
93967.69,78563.30161464328
93779.78,78121.6911198133
90799.74,74323.1888802067
93688.55,77536.8401041567
91146.23,77280.02401038335
92088.414,76351.67906255326
92734.46,78648.25567703004
90729.19,78579.72229166003
92819.86,76202.25927085662
94707.766,78411.67848957336
93032.77,77670.11012373329
93809.42,79548.25411456336
95684.375,76833.67739582669
94931.64,77199.31593747003
98163.836,79862.99341145
95775.79,75683.51812499999
96115.59,77023.3932551567
96886.336,81280.21838541332
100365.44,79282.90192710995
95235.25,79185.48622398332
92862.875,80188.12442709004
96662.04,76331.83291663339
98329.42,77621.39440105416
97806.766,80783.12153646332
98371.695,77992.10492188999
97126.18,81317.81317706997
99712.06,82764.66528645669
100218.83,83469.77205729336
101607.4,83674.19010414334
99249.945,83321.87624998335
98876.336,84616.61463543666
97786.6,88522.96609377328
96728.086,82966.2516406333
96130.77,87757.46872394004
99489.45,85843.20016271669
100326.4,89639.29200520668
98450.27,88411.81976560003
102121.75,74391.9114583633
100239.336,73302.17476565996
101486.19,73391.06656251331
103522.92,75614.42981771001
99152.76,73153.8388021
103000.94,73775.05942706666
101480.09,81106.87739581669
98501.02,80108.06122396665
103545.9,84924.30302082998
102842.21,91398.40410156253
101236.305,88885.33515622668
105012.15,92384.1642447767
105607.63,92547.4230208167
101650.15,88150.81174479
100197.87,91019.9758332934
97669.44,89077.32518228002
101856.164,87047.42109372336
103518.164,94925.65460936334
104024.12,88852.15078122004
103543.52,91865.45914062334
104733.125,92988.19953124665
105231.055,91335.24427084163
104314.98,92467.03309894334
105893.53,93550.00190103
102525.73,90939.26687499337
102945.89,91315.13825522998
103991.74,90517.98822916335
102480.94,91927.85807290667
106103.61,94626.62666667665
106702.95,90660.82914061664
105345.836,89946.41611977002
105550.766,87265.82354166669
104019.03,86617.05588542
105212.06,89979.97985025414
106883.67,91720.81658857664
100587.664,84892.61822918997
107972.9,89395.99286458331
105552.914,89152.00304688
108459.625,87860.14429686668
108634.42,89207.54276041334
108957.695,90637.65893229331
110214.59,84464.71559893667
107806.62,91243.74739582336
106735.58,89506.11893228334
107044.3,93716.38466148997
106404.695,93764.89121095414
108593.61,91880.46072914668
105041.22,93529.87463541336
110668.86,90061.97648437666
107604.44,93229.16877601003
108097.484,97327.36372395667
109169.56,95957.80177083332
103645.32,97762.68416666333
107270.78,94344.34281250002
106478.57,97560.10015624
105297.41,98216.7109375433
109125.586,100443.71645828671
110329.19,95249.43808592916
106726.31,96978.13427080004
107274.875,96542.12882810336
106010.52,96788.61359376668
108211.016,96384.02182293664
106810.1,93091.61776042
103233.04,97195.6353125333
104868.164,91438.57260412676
106555.055,93082.63726560336
105420.06,96324.11929687332
106900.88,93591.16351567324
105398.86,97925.89166669332
102310.74,92213.45494792498
106380.67,93944.24304688002
107259.77,92752.82554685672
106796.016,93177.57778643668
106107.03,92297.87138016336
106507.47,93044.93606772664
104452.74,92076.74976562004
105952.03,94923.9859114966
107650.88,93754.86361978667
107577.555,93870.04546874334
105126.39,92967.87210936002
103934.734,90731.22203125998
103299.0,95343.570703125
108062.87,111280.37114580668
102788.85,116737.56695312665
106871.73,117103.23338541664
104132.72,111311.22864581
101891.586,110587.74476562002
105583.445,107626.38729166
105215.695,102159.78867189665
102104.21,98598.17994876592
104855.24,103311.36497396667
103996.38,104845.65658853002
105253.1,105617.34161456002
106569.36,105636.08294267916
103444.01,106908.59864583
99814.68,105338.08075520668
103957.87,105569.51499999668
100515.29,101794.60276043
101205.91,103660.16601562667
102934.09,99010.47598958667
105238.2,108142.49634199664
104465.55,106684.98093750996
101881.23,106671.89864583004
102569.586,109391.5071614667
102407.25,105038.93906253664
101570.86,106330.67376304998
102172.766,104122.02679686667
102248.16,101544.64768229
100990.12,104197.74773438668
104186.4,98409.83734371004
100668.26,105301.35190104334
100274.59,109665.88984375668
101746.336,106841.23033853664
96240.27,102409.15779159534
98312.766,104954.17755209666
104484.914,97987.91348957332
101244.516,102453.44020832334
99974.28,101360.8425455833
100659.82,102067.36588540334
101507.21,103032.40385415668
102865.07,104382.11276042668
96146.58,101695.65888018334
99813.07,103896.80177079007
98268.25,108216.03091145332
98945.39,108311.31208335664
98853.29,100573.66273435668
100591.34,103366.52531246336
