Predictions,Actual_Values
94891.91,76953.04820315664
91636.7,74753.38997393336
91881.95,77515.50093752997
92567.37,80221.80640624995
95078.4,75625.36338538336
90019.23,76644.25729165999
91530.91,74230.64455730664
92305.9,76897.91252605332
91970.164,78447.57380207666
91031.52,73073.82609374664
93713.18,73644.3449739467
91429.28,77717.4300781292
92788.016,78776.43700521003
92301.73,74410.04148438
93748.88,75111.04908857
91933.28,72666.55140623669
91572.125,77858.91856768004
93949.414,72877.50880210334
93521.53,71077.03882814331
92288.2,72639.07835938665
93254.914,76548.00575519666
93934.92,69759.71981769669
93276.086,73473.27513025665
91936.95,70890.09270832497
94282.3,72824.00533855327
92503.27,75944.96604165668
93767.61,71103.13937500995
92996.625,72453.85289064664
93242.055,72653.72052082668
93715.01,74147.53041667667
94972.25,73922.68932290001
93571.484,74063.06119789665
95975.41,71690.20955728997
93650.28,74521.4720312633
95622.36,74571.96317708334
93934.8,70992.88994141665
93874.766,74964.96494794666
95412.305,74332.60440103
95699.34,74984.74158854996
94286.51,74696.50257812666
94049.48,75151.91679688332
95379.67,75364.46484369003
95935.73,76972.31588538334
96058.14,73956.87528639338
96568.31,77417.88002603668
96859.23,75929.94812499668
95657.75,77288.81088542331
96192.91,78753.40511072915
96206.79,78617.31901043664
95469.26,75336.40846351335
97226.11,80952.97846353668
97389.58,77957.37528648
95974.016,79825.91848957338
97625.16,81524.97992185662
97174.52,79959.03739583334
98191.79,77459.65023437001
95187.234,79693.69981769338
96274.92,83174.46213541333
99055.1,85161.67359376
98173.875,83133.5001627417
98620.17,79184.67536460995
97528.04,87648.48697915669
99634.445,85876.32645832332
99107.984,82574.04968753994
99267.21,86468.32830727332
102268.414,85651.28161461
100309.25,84074.51901042668
100215.95,83617.79882814665
102456.47,90340.07187500666
101086.44,86166.39786462329
101854.04,103698.1078905834
101332.87,112538.67333987496
101136.92,109064.92265629664
102946.836,99923.94463544663
101023.63,103001.59067708
104123.57,100871.37750000664
102397.27,100203.77585940332
102146.59,102526.26955727002
101232.55,98784.17898434668
104637.92,92949.0842448233
104573.67,94440.95473961665
102130.57,91622.71078124666
103404.68,95086.78721352668
104092.23,96384.30302733331
102725.125,88336.94580727669
103721.15,93885.32963542
105540.234,92904.18460932672
105811.516,91456.42768230666
104372.516,93027.93260415332
105447.45,88394.23427082002
105639.984,91479.27677083
105416.375,90622.89158853004
106357.07,89006.51265623666
104504.92,95088.43132812998
108753.82,97364.42924479
105669.41,93619.94580080832
106889.29,93640.00713541
107318.88,96691.93445309668
109066.46,97256.75624996668
106368.68,94939.33317707668
107970.55,90123.8208594033
109744.12,94213.50710936004
108103.97,97752.09447917998
107453.22,93734.41544270334
111182.29,98536.89221355662
108174.66,93196.77333334662
109935.26,94820.02731772998
108507.84,102473.65315754164
107058.09,98429.21218748334
110438.0,96631.41726563332
110344.4,93192.51197915668
110104.99,88453.20356769004
110896.2,88028.78515628332
109568.59,97020.67927080672
110272.89,95352.13169268335
112646.69,96420.32143227667
109987.36,96373.59601563662
108286.54,93340.13166667664
110510.24,93385.43419271662
108809.61,97161.75152992916
111308.64,89758.13872398666
110004.77,94493.54580729333
110536.69,92007.92377603668
110289.66,92132.07893229333
109652.29,90476.78171877662
111589.17,91731.86536459668
111195.88,98772.02591145667
112847.445,92750.70872396667
111545.81,92169.83786458
110361.71,89588.53294270334
110930.01,90523.45218749002
110740.89,92191.78388671669
110740.91,91695.5702082967
110969.734,91967.8566406
111298.94,92277.76005203671
113379.55,90064.60880209669
110353.58,92239.21656248336
109047.08,90689.66559890672
110022.09,93271.32419272
110170.11,93005.28861979333
110396.04,91771.7046614367
113373.79,86422.54455728004
112107.945,88757.28653646
114657.1,86577.73248698747
111509.88,87706.75364583332
112117.15,93129.05588539338
113210.125,88910.25041668997
110395.67,87268.7191145434
110566.08,91829.7527603867
110966.055,87078.9941146133
110587.76,84908.89192711329
109914.21,87277.6699739434
110421.86,86783.69333332
112754.99,83878.19864581001
109771.64,87852.47854169
107698.5,86546.36471352504
110854.17,90712.15567708334
110590.73,85336.24333335999
111633.914,86273.69432292665
112861.414,91343.62335938668
108719.805,83471.77260418331
109293.72,88896.10966146336
112062.3,84601.09986976668
111538.89,85185.44437499004
111449.375,93288.84096355663
110736.7,82712.45973958005
111258.99,88772.4273958067
109317.11,87949.55156251666
109430.14,89872.9765885067
111397.52,86491.05468749997
109185.38,89671.79705729333
108918.47,86998.17434891003
109805.34,90044.42304686994
108710.74,88397.60424479666
106773.17,86948.43486981666
109382.72,88058.00562498003
108247.11,88741.47466144669
108295.07,87286.17171875
107941.79,87065.86843749665
107217.13,91660.56025385004
109070.5,87242.69791666335
107795.87,86257.57380207338
106864.49,85991.13971355664
107477.03,87791.49710936335
107682.04,85015.64903645335
108909.375,88256.82716148332
108709.71,87796.1684895634
107803.83,86903.94880210997
108065.14,85151.52682290332
105543.5,90864.6448697434
107746.18,84961.94265624668
106715.38,87539.03955075835
105641.805,86115.38458335999
107983.28,86331.88046872003
105385.21,86192.18833333335
106718.59,85872.03166668661
105798.17,81386.36286459665
105112.5,87294.99895834332
104627.88,82700.13213541
104386.47,82973.1962500233
104031.67,84565.26713541668
106178.79,84965.90526042666
105369.48,83836.24583329669
103502.64,83519.09768876669
105258.43,83443.40195310667
104222.836,82297.16942707667
104942.47,82979.74445310334
105153.83,85281.73463536671
103928.84,87392.01906248336
103609.36,82448.43736982998
103590.04,83175.6945051967
101804.15,82985.13018227334
104045.016,84487.87625000003
103835.164,83500.18625003666
103014.17,82717.3110677433
102508.695,82671.98125000829
102380.38,83983.76041666331
101987.85,82230.09661459335
100098.414,83881.90619792334
104821.74,83416.51732337123
102415.01,83218.83544270332
102815.9,84671.22880206336
100026.5,85311.97059895338
100776.09,78833.29466144997
99229.664,85469.42726562334
99148.61,85783.28630209668
99484.15,84969.71119793662
102731.89,83037.91669922911
100505.56,82127.84096357327
99206.125,90928.07473957002
99634.73,90003.44234376997
98074.75,84569.92088540332
99721.34,85688.51841149999
98757.695,83467.03588540998
97730.01,88116.33010416669
100371.266,86273.86161460332
99641.4,82942.5154427233
99049.56,83466.41802083666
97542.2,88604.28705727671
98017.805,82353.4614583458
98474.28,84851.4921614833
97554.35,82330.99057291665
98391.12,83308.17541669332
96810.62,83594.25062497008
96161.33,83413.02890624997
96173.43,84847.40291665668
98232.85,82136.66489584997
98015.586,77285.70867185999
96148.27,83903.01713536668
96397.94,81249.02653643336
96352.03,77625.98794271334
97139.63,80091.36041667082
94528.4,78673.72591143003
96211.09,82063.01239586664
98594.35,82190.5372396033
96744.11,78225.03218749662
95105.03,78028.14221354996
96049.92,83535.10414063999
95400.945,80335.66364580003
96362.34,81257.81934894997
94405.47,82583.19690106335
95985.48,78585.48070312668
95373.484,81421.77531253333
95484.29,81208.86337890419
93041.48,81024.21684897666
92459.38,81808.80187499333
94808.79,78592.87906250669
93656.58,78910.03455727668
94369.42,83861.5923697567
93760.39,81689.80106769335
94332.99,79237.87776041332
95954.82,78127.87611979665
95263.64,83210.89182289004
94236.04,79220.13325522332
94447.14,77830.25078124997
93380.9,80527.81708984579
93488.836,82737.92971357994
93291.96,78732.04596356332
94908.81,83354.35382811003
91167.37,80783.75492189
91710.85,79953.02791666331
94227.94,81121.83539061673
92762.17,79334.30356768338
92231.99,78758.72546877664
91050.84,79672.75981770332
92910.46,77761.8018229567
92133.195,77239.73304685332
91130.19,79808.69557290003
