Predictions,Actual_Values
96308.29,101391.97888019666
97689.01,93828.31750001998
96879.484,100888.76682290668
96416.66,97595.06640624
95612.92,99317.17135412674
97787.3,98931.83755202006
99355.63,98335.15007812002
98020.1,94741.42591145002
96936.05,101904.28505209667
97873.3,97100.72080729665
98971.37,99081.87606770666
97270.14,94336.6532551792
96935.586,93961.78671875
99273.875,102293.9313281433
98695.83,94191.66231767004
98337.51,96488.30559898994
98969.98,86645.60161458999
100601.305,100172.28929688
101447.516,92342.38656250003
100118.266,95356.44609374668
99549.21,90695.66960936
102725.26,95749.10736980665
100459.21,93534.72632813
99648.71,94299.63968100832
101519.31,90871.05934898333
100444.27,97474.99450516672
100466.33,94272.64020834336
101695.336,88769.57703124668
104107.97,95469.32075522328
103389.79,91378.54096353668
103092.37,98793.49455727336
104315.78,92438.76778645666
104238.14,97916.61388019002
104626.35,88154.27260417002
105412.516,93977.77130208
105032.13,91578.27688800413
106931.11,94121.18656246338
108054.1,101727.3799218767
106001.6,92899.17140625668
109128.03,98149.89359375664
110107.266,96437.20666664669
109652.016,99797.73859378329
112022.5,97798.66013019667
112590.36,101504.84992185002
113048.0,103408.73247395337
113969.95,100698.80518228668
113770.45,106573.29174478668
113336.27,98096.9739257958
115748.914,101212.40132814662
114127.06,107865.24713542665
116265.41,102830.13101561
117204.27,109217.1973698
117087.32,114153.13190103
118864.6,106058.00994791668
119438.234,110477.97151044998
119759.68,109397.8182291467
120572.96,106055.37914064329
122527.42,104855.77953123336
123350.99,107738.64218753327
122792.21,104771.71490888332
125719.016,120093.74239580338
126199.19,128425.9522655967
124340.3,131550.56218750332
124705.766,132028.77291665337
127071.83,127448.9766927233
124990.02,125255.00315100007
127087.33,128583.84838544992
129427.99,126786.60768229664
131268.25,134447.20880209337
134004.97,134364.11994792
132466.45,135664.33015625
131759.75,139292.81194661665
131831.5,133659.35966145335
132527.0,132051.19796876993
131705.48,131779.07757813
133791.25,133636.47471354337
133361.36,130656.17109376
137817.11,128252.65729168334
136385.84,134481.83286459
137864.45,127022.65880207997
137899.56,125505.96033855664
138896.64,128414.94502606663
139897.16,128605.11177082337
139336.1,133414.18219400835
141275.47,131436.98635417994
140515.02,133861.47796875332
142935.81,131594.58830729336
143344.7,132917.97578125336
143897.12,128646.47382810668
142585.94,133526.13781248336
144109.17,137517.56984375
141821.72,132779.5964323033
142025.81,130596.72257812
143177.88,133410.97210937002
144656.88,123618.02223961994
144920.45,117705.17057293752
145090.14,113483.34346353998
144199.12,120860.75463544994
146176.77,128685.94348957007
145944.7,115175.78447916335
146667.12,113788.94168061206
146031.88,117770.01757813332
146377.66,121600.72817709336
147716.73,117556.8548958433
146134.95,130428.1868228867
146504.47,134017.41564078454
146628.61,129191.11226560002
147523.38,133676.89817709164
146520.9,132595.58841146
147346.5,125721.05046872007
147391.55,137684.52283854337
146530.77,138718.66234375
147322.86,130138.02335941662
147517.14,131634.85330729006
148994.16,129639.81132812335
149050.0,126347.08708334
148171.12,129436.59617188999
150367.17,129006.20494790666
148544.36,130832.09419272
149865.11,131711.78216144585
149307.02,127600.1170312666
148871.56,123359.0571875
149550.34,125839.73242185335
148067.27,121869.37192710328
149512.97,124284.01141823753
149264.16,127738.94184895333
146790.02,125749.73690104662
152253.86,132654.43117187667
145668.33,129330.44752602333
145598.97,126654.00721352668
148502.95,123683.96078127332
147261.64,118347.64843754165
147472.45,126163.42489584995
144741.23,128702.08854165
145713.3,127535.00002607665
143918.42,122492.49122396998
144169.64,128673.42864581336
144094.42,126946.4313541467
146738.58,123047.24268228332
142336.44,128778.59546877992
143371.86,133744.42710940333
144123.95,125792.77861981
142883.38,133196.39187499668
141908.62,137756.008984375
142427.3,136577.3949479233
140333.73,140275.89361979332
141706.67,136011.85908854
142212.81,132718.34825522665
139364.52,131058.41568248159
139702.33,128932.06005208663
140304.73,130176.75276041
139297.81,127010.28166667
137185.69,129097.45708329669
139332.66,124538.82179685665
137793.28,134836.77151042668
139824.98,128569.85423171674
136982.66,132591.06072918663
134511.36,129967.18927083997
136009.52,128965.1389583467
137238.39,125697.65351563333
135176.48,135235.36434896337
134243.23,124153.11122394002
134457.84,131180.77895831337
135464.31,132640.04773438
132925.66,130910.09552084665
131334.06,139115.58799479337
131728.95,136079.8971875
131966.83,137956.11419270837
131462.98,140070.725
131018.63,135260.25658854
131849.81,136433.23992187335
130614.26,134904.95036458
127891.79,132572.10341145337
130242.66,133345.89348959998
128718.33,132601.0283333633
128436.12,137055.48856770663
128321.875,128250.50393230336
128404.22,139154.78080729
128016.46,128110.99997398329
128157.3,127220.49576821251
127868.0,131413.77098957007
127654.914,120201.27101561333
127917.26,127883.93903647336
124381.586,125683.56695312334
126350.9,118418.96963543665
123936.055,124676.15791663335
124742.75,117117.98536463328
123775.16,121521.12752606333
124577.97,119288.47604166
124820.67,114649.04867188
127711.734,121149.56825517339
124442.29,113222.400813775
123024.055,117331.06013019332
122773.72,115123.48065104664
121347.44,115947.87869791336
122165.9,112773.48476562336
121816.08,111797.2177604167
118442.836,118320.30820312
120099.75,125496.52083333005
118832.36,119613.31140624663
121080.09,125975.6227864433
117155.39,115487.09708332
120019.375,125182.62570318324
119874.68,120780.92506510836
118831.06,120843.23304686336
117390.54,120910.76885412668
117434.07,121814.41091148
117045.41,121766.48455729333
116475.39,115743.3365104333
115690.08,120650.61682290668
115852.18,118253.57479167664
116551.12,117464.89908856995
115419.19,122000.95617186336
115164.47,110466.68895837328
114554.83,122861.11617187332
115517.516,119159.18610022918
113530.305,120491.40236980333
114860.24,121366.9814323
111808.98,129028.21430812373
114953.03,132067.05630208665
110990.234,125280.26067705668
110462.9,133000.30723958337
113507.31,127547.91671874335
108827.08,131690.97531249333
109495.945,128643.72744791006
113548.46,119968.95572919994
110557.7,122472.6268229233
110907.27,116091.34853517082
108063.44,117776.78549479
111550.836,117800.27026039005
109502.805,117855.49208334
107915.36,118449.01458332335
108197.945,118853.12708333
108978.734,123213.88203126
107786.28,112112.21927085
106838.83,116671.52437504324
107609.75,110501.38320316
108248.31,114657.12510419992
108993.01,115137.71486978
108483.4,114376.77027994586
105731.836,110799.47585939668
105048.516,114413.16119792
102493.734,110948.05398438334
