Predictions,Actual_Values
129929.516,100824.75041667667
127917.11,95353.29421873004
132845.95,100304.99786458998
133047.69,94397.89945315996
132564.69,105565.56778646995
128845.02,92318.77148437666
130659.734,101491.21835937668
131973.8,96341.5558853867
130910.83,95776.78690106668
129423.625,94319.12177084998
131389.89,99191.9745833466
133547.86,92063.62272135416
132015.23,98227.69476562
132448.78,97113.87179689664
132052.98,89835.58229170999
133971.72,94690.99768232329
126691.92,91826.83309896998
128207.31,95555.30015624
133142.72,96971.60132811332
134609.23,91107.16559897667
133136.17,95138.89286457669
134425.23,94114.00057292
130202.42,88163.91932292999
130988.15,95165.53271483752
130227.88,96839.33645832996
130663.91,92238.29776041668
132222.83,87177.47651043
137257.14,94408.28359374336
128716.36,92533.18401045995
128907.48,91411.47718749
129197.13,94467.34984374666
130674.2,94382.79164059002
131786.69,94841.02690103
127927.82,90713.62695312
126751.86,93033.61875000333
131235.73,95857.97610680832
131322.19,90748.71195313668
127198.13,93051.76557293996
132175.05,95571.31679693662
132081.05,91809.78052084
135879.19,92820.14882812332
133668.66,99858.72164064
133569.64,93680.26515624668
135476.02,91881.80257812004
126744.37,100453.44153647331
132212.25,92201.31752601668
124789.6,99302.4218489567
132160.16,97242.31513671669
129480.93,99829.10210939996
128559.04,93366.03914063332
134295.28,98262.3698003512
133082.42,102731.82611982332
131421.47,97236.5154687267
133662.8,109691.53848960328
132823.9,97595.78539059332
126697.7,104370.56736979003
133656.12,99266.63364583664
129230.32,99878.75927080006
133155.19,100471.73390624336
130775.695,106568.15322264584
129041.73,98264.90968746669
126897.3,102163.94986975666
129059.56,106608.56229163006
131595.28,108476.31377604666
130973.86,103973.55518228337
130345.805,104305.8301302333
134375.42,104925.35617185004
135925.38,107399.16083333
136546.39,102651.04320311004
131829.48,111690.67997395336
133449.4,112724.36226561332
133601.23,102149.39925133328
132075.36,100745.31494792334
136368.47,104677.75658850335
134621.52,100073.51130210997
133923.8,102075.27039062
129007.81,99952.17901040336
131057.516,109657.15580726336
126603.22,110547.07700518669
128449.945,114129.64945310002
133459.08,112302.15617188664
135372.38,112975.98059896006
129742.79,110736.8350781067
132291.4,112079.44208985422
132420.53,117488.19789066329
132721.25,112014.74682288672
132355.47,110325.37455730332
125877.02,121429.32039065994
131945.47,105028.79807290006
134007.36,107234.73934896335
126262.95,100805.97619791668
128842.48,107234.1347395667
130197.03,108235.80734372672
137770.9,109639.2484896033
130176.76,109818.41502605996
129027.46,108009.27190750004
128556.61,109534.51528645
132788.1,118238.80781249664
135209.38,118240.84291662008
130393.27,121435.65830731994
131971.66,120549.6797916866
128909.36,117140.46252605668
128396.5,116046.92638021668
136001.62,108751.13481773996
127595.54,105662.2211458167
132840.67,121486.25033854664
129257.4,121588.16747397665
135552.4,112969.03404949994
136910.73,116107.2529426734
133067.34,119200.60408854664
130855.84,116570.70523436335
132601.94,117607.04833330668
130283.02,121349.19088544662
129867.67,120151.37039064664
134496.12,115919.44049479337
133622.58,122233.92580729332
126893.41,122898.09932289006
122556.76,117230.48473958006
132819.19,121110.27171877328
130396.36,114100.04596353335
136523.6,118822.44533854665
130220.72,116836.10742190332
136132.25,115483.12859374667
127109.85,109930.55596353002
132535.3,103650.98057290002
133274.9,109397.64276041
127634.234,106583.83406246008
132534.38,100886.68192707335
129911.12,117638.68156248
130799.945,121819.54885417664
126266.63,126723.27752605664
131853.98,116575.20960290413
134135.03,119773.60664062
131087.56,120456.41492186332
132821.44,116006.40067709662
130381.85,124780.00231772664
132840.06,114734.81744791663
132684.02,124288.45658853005
129513.77,127417.55450521002
133518.7,115264.14757813998
128044.21,121112.15781248
129167.67,115117.51854166664
130904.375,121392.04463540336
133370.69,119591.07093100414
135212.94,117132.69278646998
129881.18,111875.45273438664
130095.016,113730.32960934
132925.88,117369.1162500133
135585.39,127731.86664063665
135983.9,115664.6148437134
135233.03,121711.29054687994
134323.23,113144.62994794002
131885.84,114867.43638020002
135311.19,123355.80458333663
133499.47,122933.88776042333
134701.69,122718.09775389585
131530.0,122380.92317706332
131762.58,116256.51499999668
138114.34,121373.23005211662
128401.84,123707.6388802067
135700.97,123036.90765623668
127704.99,114485.18942706668
130292.164,124318.27937501662
129324.53,118090.53684896664
132929.4,122980.70289061664
131446.94,120389.69716147332
134058.2,117893.56484377662
131778.53,125819.09388019587
137605.03,116158.75372397668
126362.81,121220.5973697734
129609.21,127179.79705729664
135252.7,127404.95164062332
130569.01,118963.5501562866
132918.6,120926.1183073133
131010.164,121298.57773438668
127382.51,109358.54130211996
130038.445,111232.75221353336
133122.14,106613.16934895336
133301.33,109723.33354170994
132332.86,108984.5270507916
132118.45,122505.85778646333
132021.98,121452.00164062668
130712.125,111791.75502605663
131501.88,115996.92320311331
131182.89,99448.43841148994
130558.34,106545.22450519
127543.914,105105.61723957334
127841.04,99930.34679688
127755.83,105293.65421872668
129507.164,104566.77492189668
130016.25,108780.21916667333
134034.56,112167.43671870836
135466.72,118295.38739583331
129372.3,116789.37304687664
130692.77,109704.88799477337
128498.25,120114.02281248671
130568.64,113935.16505205006
129124.5,110980.84046874003
129498.7,110684.22520833
132345.73,112137.4929947767
132948.75,114981.20531250667
130562.664,109890.7976302267
129591.06,109477.07268227336
129158.52,111391.99407550832
133706.72,106884.55567708332
131166.5,104273.75231771002
132970.4,108050.62203125666
132552.83,106939.57325518668
125520.77,104754.48153645334
126336.06,106738.45455728332
126914.89,112988.53192708331
133337.89,108505.09213540336
126529.38,107901.51505207668
127899.1,105217.66036454673
130774.086,109609.79606771668
130988.84,110079.66741538746
129566.32,110776.83380212328
131215.73,113023.46247394006
128982.34,124759.40091146668
129235.055,105018.74515623004
133912.36,100353.80026040335
138693.19,108282.31559896
138659.33,107746.02414062666
129275.64,108842.88263021332
133461.7,114451.70359378665
131507.72,114982.45268231662
125891.35,106376.54973958
128372.164,102151.24208985834
128723.82,112330.55468748668
129007.62,114181.30398439664
136403.02,104544.90614584
131888.48,108502.06695314996
131537.88,110936.1783072933
133992.9,109287.46960939
131806.38,106572.5192968933
132909.45,111673.98526042666
130362.15,108208.19255209666
128650.41,102457.67947916336
130171.43,105257.72088541334
127342.56,103049.86748045417
131951.73,98974.00984376331
133524.98,103603.64963542332
132525.38,99057.10789065664
127458.48,101697.54914063668
135168.97,98538.59385417332
132306.27,97233.25968747668
136299.97,108079.61127602
132638.11,97891.91731768004
132964.7,99739.7110677
132647.4,106004.67723958334
135003.56,100038.31929690664
130630.664,99749.3111653958
132369.45,104992.19541667005
130904.984,99609.58851561332
129677.04,99414.78059896336
130474.664,97640.12763020334
129579.05,98714.62244789334
130430.734,106033.62023436668
133908.31,97956.61447915
130317.56,94481.58955732996
131253.58,104226.11786459669
131803.78,94302.22585937667
132515.28,98100.65406248334
131253.58,99355.87057293332
132754.72,103174.45692707332
133297.22,99899.67088537672
128799.12,97168.13466143668
131256.47,100143.2778125433
133682.11,96247.98424479998
133495.06,100061.17666666328
132587.89,100004.84348959332
128391.7,100928.52398436662
132406.02,95519.12471353334
132909.81,101859.46544273665
137005.31,94656.27705731663
129969.77,97962.34752604582
131945.8,106162.20494789004
136101.95,99730.13822915002
132036.84,93997.96924479998
131711.3,99569.56088539337
131547.06,101657.05731771664
132328.39,98539.60815103338
134704.61,94278.9695573
136408.22,102438.38265623004
129774.125,99236.67669270666
130879.055,95118.47726559338
128485.09,99919.49518228334
133722.06,105102.74124349584
