Predictions,Actual_Values
99048.375,101391.97888019666
99523.25,93828.31750001998
101378.664,100888.76682290668
101328.95,97595.06640624
103038.99,99317.17135412674
103315.92,98931.83755202006
100813.336,98335.15007812002
99943.24,94741.42591145002
101255.72,101904.28505209667
102535.8,97100.72080729665
103752.414,99081.87606770666
102489.055,94336.6532551792
100676.7,93961.78671875
100866.37,102293.9313281433
103478.52,94191.66231767004
101041.67,96488.30559898994
99848.72,86645.60161458999
103723.984,100172.28929688
103349.59,92342.38656250003
104311.59,95356.44609374668
101431.28,90695.66960936
103445.67,95749.10736980665
104141.12,93534.72632813
104143.61,94299.63968100832
102187.125,90871.05934898333
104445.07,97474.99450516672
102536.92,94272.64020834336
103294.43,88769.57703124668
103724.9,95469.32075522328
105450.695,91378.54096353668
105512.27,98793.49455727336
103547.195,92438.76778645666
102618.96,97916.61388019002
106082.18,88154.27260417002
108231.63,93977.77130208
106972.234,91578.27688800413
107241.484,94121.18656246338
105824.14,101727.3799218767
105977.305,92899.17140625668
106141.79,98149.89359375664
108997.48,96437.20666664669
106553.11,99797.73859378329
107060.06,97798.66013019667
105721.586,101504.84992185002
106010.78,103408.73247395337
106563.6,100698.80518228668
109811.75,106573.29174478668
106316.9,98096.9739257958
108606.36,101212.40132814662
109234.414,107865.24713542665
109116.3,102830.13101561
111725.734,109217.1973698
110101.55,114153.13190103
111485.31,106058.00994791668
109555.58,110477.97151044998
110770.38,109397.8182291467
111753.9,106055.37914064329
110211.89,104855.77953123336
109751.7,107738.64218753327
116122.984,104771.71490888332
116885.375,120093.74239580338
114399.89,128425.9522655967
113881.58,131550.56218750332
114935.83,132028.77291665337
118099.24,127448.9766927233
113236.45,125255.00315100007
116199.2,128583.84838544992
112613.086,126786.60768229664
117004.836,134447.20880209337
121375.92,134364.11994792
113836.92,135664.33015625
115469.19,139292.81194661665
116341.73,133659.35966145335
118824.78,132051.19796876993
120359.72,131779.07757813
121910.39,133636.47471354337
122222.59,130656.17109376
120291.375,128252.65729168334
120930.195,134481.83286459
118753.555,127022.65880207997
122804.695,125505.96033855664
123345.484,128414.94502606663
122261.27,128605.11177082337
122118.734,133414.18219400835
123566.09,131436.98635417994
123040.47,133861.47796875332
123829.58,131594.58830729336
124952.18,132917.97578125336
124221.375,128646.47382810668
125923.36,133526.13781248336
125710.92,137517.56984375
124185.1,132779.5964323033
127326.43,130596.72257812
128129.86,133410.97210937002
125836.266,123618.02223961994
127813.484,117705.17057293752
128296.3,113483.34346353998
128177.36,120860.75463544994
129125.766,128685.94348957007
126042.445,115175.78447916335
127964.09,113788.94168061206
128045.85,117770.01757813332
129176.25,121600.72817709336
130669.39,117556.8548958433
128368.17,130428.1868228867
130202.75,134017.41564078454
132093.58,129191.11226560002
131047.53,133676.89817709164
129217.52,132595.58841146
131864.42,125721.05046872007
130912.59,137684.52283854337
130184.43,138718.66234375
131029.26,130138.02335941662
131707.31,131634.85330729006
131960.88,129639.81132812335
130269.336,126347.08708334
131317.64,129436.59617188999
133948.94,129006.20494790666
131395.77,130832.09419272
131578.97,131711.78216144585
131759.4,127600.1170312666
133072.52,123359.0571875
131987.7,125839.73242185335
133026.39,121869.37192710328
133164.45,124284.01141823753
134060.95,127738.94184895333
132562.05,125749.73690104662
133573.19,132654.43117187667
133741.9,129330.44752602333
134955.67,126654.00721352668
131538.17,123683.96078127332
134310.38,118347.64843754165
134048.44,126163.42489584995
133965.72,128702.08854165
134635.19,127535.00002607665
135118.55,122492.49122396998
133646.03,128673.42864581336
133781.62,126946.4313541467
133524.22,123047.24268228332
135207.25,128778.59546877992
134635.95,133744.42710940333
131656.78,125792.77861981
135045.56,133196.39187499668
132998.19,137756.008984375
135334.64,136577.3949479233
131307.0,140275.89361979332
132620.36,136011.85908854
134221.22,132718.34825522665
132946.3,131058.41568248159
133689.05,128932.06005208663
132482.14,130176.75276041
132789.9,127010.28166667
131399.4,129097.45708329669
133685.39,124538.82179685665
133211.02,134836.77151042668
133269.1,128569.85423171674
132520.62,132591.06072918663
131933.77,129967.18927083997
131553.02,128965.1389583467
133157.12,125697.65351563333
131817.52,135235.36434896337
130461.45,124153.11122394002
131670.27,131180.77895831337
130223.71,132640.04773438
132829.44,130910.09552084665
132638.0,139115.58799479337
133548.8,136079.8971875
130924.57,137956.11419270837
130586.984,140070.725
130045.71,135260.25658854
128754.52,136433.23992187335
131990.2,134904.95036458
132902.38,132572.10341145337
130530.74,133345.89348959998
130789.38,132601.0283333633
129903.375,137055.48856770663
132495.23,128250.50393230336
130332.59,139154.78080729
129013.35,128110.99997398329
130807.17,127220.49576821251
129940.91,131413.77098957007
129723.96,120201.27101561333
129209.66,127883.93903647336
130023.055,125683.56695312334
129764.414,118418.96963543665
128710.22,124676.15791663335
128348.67,117117.98536463328
127885.0,121521.12752606333
127227.54,119288.47604166
128005.63,114649.04867188
125888.016,121149.56825517339
129241.28,113222.400813775
126770.375,117331.06013019332
125916.26,115123.48065104664
127987.49,115947.87869791336
125851.48,112773.48476562336
124741.805,111797.2177604167
124251.86,118320.30820312
124129.51,125496.52083333005
123546.4,119613.31140624663
122965.46,125975.6227864433
123685.93,115487.09708332
125070.25,125182.62570318324
122619.625,120780.92506510836
123197.78,120843.23304686336
123327.17,120910.76885412668
123485.83,121814.41091148
124796.43,121766.48455729333
121667.74,115743.3365104333
123055.086,120650.61682290668
120880.56,118253.57479167664
121092.125,117464.89908856995
121977.47,122000.95617186336
122049.89,110466.68895837328
119849.38,122861.11617187332
121091.24,119159.18610022918
118380.47,120491.40236980333
120245.64,121366.9814323
118779.59,129028.21430812373
119095.09,132067.05630208665
118245.63,125280.26067705668
119073.3,133000.30723958337
118941.25,127547.91671874335
118905.11,131690.97531249333
116040.99,128643.72744791006
114691.56,119968.95572919994
116138.77,122472.6268229233
116956.984,116091.34853517082
115705.62,117776.78549479
116622.26,117800.27026039005
117502.28,117855.49208334
114191.28,118449.01458332335
113345.04,118853.12708333
114505.81,123213.88203126
115858.016,112112.21927085
114842.95,116671.52437504324
114057.984,110501.38320316
114937.15,114657.12510419992
114836.8,115137.71486978
111758.78,114376.77027994586
111762.23,110799.47585939668
112147.516,114413.16119792
110968.79,110948.05398438334
114056.95,113453.66164063336
111145.92,116339.96205730662
111159.54,109613.22343747335
108759.24,111248.10528647332
111019.7,106048.0171614833
111868.34,110569.74151045662
115849.74,101441.46005208668
110187.45,118528.06309897332
111962.5,115496.56266277914
110172.18,125793.45656247337
107914.51,117891.38187499664
107465.79,113298.10643234658
108542.44,107477.53169270667
109784.57,109832.39385416004
107545.0,113210.33067708332
107974.83,113337.48861981994
104583.3,116165.02499999
106872.92,110024.55817707
108397.13,112746.05729164663
107467.84,107216.03783855333
108758.305,106467.6494140708
106509.28,107119.11596356
105711.76,104193.05624998
107082.06,103286.81656247671
105889.76,102728.08963541666
106029.33,103862.67755210996
106317.06,103082.38106773664
105056.95,105068.99447913
105973.56,106181.16979166336
104421.914,100990.81268228666
103378.7,105160.33622399328
106053.67,101329.7527083766
104614.12,101244.7466146041
105004.51,105521.66111976998
104209.336,104764.00182290336
103895.336,104159.36083330336
104178.45,97702.82393232328
103693.81,98736.6448437067
102540.35,103408.29492188334
102608.65,99639.07059897
105260.67,106894.09570312667
102661.625,99644.20166665004
103691.15,106392.79507814997
102261.58,98229.10343747668
103137.17,100415.91946613752
