Predictions,Actual_Values
91281.33,85652.41601565662
91670.1,82528.71812502
91939.04,83308.99658853665
90314.93,79320.98166668003
93284.62,86496.35763022327
91716.43,82852.94171873335
91472.04,82897.79231772997
91641.14,81363.83747398327
91452.62,83439.69867186336
90801.04,81163.27124995338
91219.88,82773.10468751332
91850.234,77609.7230143125
92041.76,80105.33401044329
92653.34,80448.14002606994
92661.58,75799.83695312997
91884.76,83186.20674481662
89998.44,79289.17578122338
91414.73,78775.5578385633
91774.55,78646.32166666999
93927.24,78221.26520832666
93521.99,79102.75106769669
92024.164,78719.5889843933
92922.21,80726.06742190997
92002.76,78913.5370768833
92330.89,78402.74213541666
93722.375,77914.89328124332
93057.81,82084.59486978005
94090.92,80380.78184894002
94637.67,78845.61442708336
92971.11,80105.18197916665
95306.41,80446.84789063997
94002.52,79777.44914062336
93810.86,83715.95338542001
94743.06,81861.73200518668
95546.75,80223.88177086331
94480.695,79996.32828773335
95595.03,80031.85937496336
95395.016,81827.00429687332
94108.62,82450.17885418668
95681.31,82724.13937496669
95321.13,81415.15752603332
98248.46,81134.45020834665
96325.125,83407.25908856669
97412.695,82232.53450520003
98810.35,83318.69643226668
98801.29,85002.10106773998
98235.2,83821.49484372998
98614.516,82468.6077799958
96864.14,86327.67601561669
99098.07,83442.38744794329
99875.234,85950.72549478336
100406.375,88785.70091147666
99298.77,87753.67937498668
99898.95,91750.26651042666
101496.62,90426.16611982328
101473.72,89010.09341146333
101284.34,92479.53067708664
101410.08,102156.47588544666
102371.945,91698.68661458332
102172.64,91438.28385419166
102134.266,91027.01958331336
103480.84,91795.19598956668
103848.83,90575.9379427333
103977.54,90971.29580728667
104905.29,91466.05218747004
103445.74,92489.10218750336
105026.83,91686.54328124668
105426.695,94952.7037500233
105735.88,95561.16330728668
104454.375,97547.75471350335
105905.87,102494.96507811669
107117.86,102400.94785156254
106141.445,103855.66411458336
106804.07,98725.75018231662
108666.22,102375.58390623004
107184.625,107834.20156246005
108639.05,102618.22135419997
106717.305,105061.51864583332
108091.87,107632.40424480668
108692.78,100917.56893230668
109376.07,103497.4511458433
109541.15,102643.37403642335
108079.6,101471.75325522663
111557.48,104196.29606120416
109712.55,104078.67809896667
109507.37,103569.84976561334
109722.31,105670.90356766338
112150.14,102556.9644270933
111840.79,104207.48203124
110750.125,101819.84812501332
111298.08,104227.85341148329
111612.53,101481.56940103332
112746.17,99424.02489584664
111841.086,105040.18682291335
114359.625,101794.2858073133
111519.59,107280.92106122496
113453.375,101430.71963541002
113150.39,99659.83708333
112899.0,98768.49005210334
112455.11,101334.16468751997
113287.1,100662.13614582668
112347.58,103135.46731770334
111920.81,112581.37864583336
113302.62,107369.38307293666
114150.83,113864.68361977
112784.56,112341.1061979034
113582.72,114185.58078126331
113191.39,113053.47001950836
114708.49,111829.27757810336
114259.68,113561.97333337662
112774.76,111498.64640624
113629.44,110460.91703125996
113243.1,112156.44270831005
114297.93,110069.98255211663
112644.03,110576.47481771332
112025.66,107795.93505209668
114211.28,109111.6144791367
113628.5,110553.65971356328
114710.7,109144.76770835664
113035.69,109823.40052081668
113382.83,111614.6580728867
115480.414,108654.84489582668
114016.766,109342.28002604996
114083.83,106539.07721356
112944.12,104148.38932293664
113639.81,105134.18216144336
114512.05,106774.09742184338
113604.234,106138.30291666996
113378.75,99471.29244789333
113982.89,105450.68179686666
112838.1,106387.75403644668
114270.54,105274.45973303336
113168.414,106992.02908852666
114295.26,104669.3389322634
114984.89,101202.06028644332
113121.97,99641.96841147666
114429.53,98923.14750000669
111758.84,102175.09364583332
112246.375,104128.09046873666
111589.76,110625.1130729067
111692.55,107664.29382812332
111983.44,107511.54138020998
112588.12,108636.88268232332
112250.445,108525.85081382077
