Predictions,Actual_Values
86650.125,80051.93674483332
86037.82,79790.97578125
86205.02,77167.07466144666
82850.336,79636.0688280834
84697.76,77116.77135414335
84488.98,78657.87437499
83962.516,80377.42953125999
85702.07,77526.35707563882
83961.22,73829.11252604003
84472.11,80636.01455726672
86321.66,78778.77468749005
83671.22,74140.51126299582
83366.58,79787.62533854332
84384.37,76134.97130206668
85295.65,75045.9505989067
85637.7,77522.64692708335
84535.02,74067.90778645995
83436.27,76101.27273435003
84144.75,77913.95851564665
83850.9,78920.96687502334
83039.74,79862.83588540331
83890.37,79602.25658854331
82664.57,77985.29286453006
84633.46,83019.31393227915
81883.9,77262.07627608995
82548.16,78499.89893231331
84860.74,80469.39697917333
84723.65,77837.5734375067
85609.8,81391.92744791666
84469.734,77965.28749999666
85622.53,76504.44593751001
82995.62,83761.06858800334
83285.945,78712.43158850001
84428.516,78017.21765626332
84816.586,77878.39130210331
86323.234,79073.59156902497
83359.77,102021.37216146333
85035.195,100350.08843747668
86955.5,101013.87059899332
86201.336,103195.6560156067
87009.76,95930.06447914336
85526.15,97786.40726563
86327.2,100224.48106775996
86869.54,95509.0934635733
87010.5,98269.22544274664
84527.195,101246.72786458331
88691.46,96302.30877603668
87709.98,92774.31259766252
86962.01,86543.06630208666
88111.29,85999.07690102005
90420.29,90605.67817708668
85619.91,91751.27291666334
89464.8,95147.79236976671
89032.44,103230.51484373
90703.695,100364.96541666667
89131.56,100177.54940103005
91480.625,101044.95567707336
89545.695,101510.09752599339
89374.98,104017.01200521998
90562.516,99304.23349607084
89115.38,103718.26531248668
92213.48,105192.45171874996
92015.56,105687.97856771002
91985.7,100796.99156251668
91083.96,91768.58768229334
91948.85,91555.2049479
94530.88,93574.12536455668
94608.45,96604.61421872668
95617.55,92785.98567707336
95343.35,93641.73276041332
96119.79,97026.72838541998
95918.266,88572.87343755412
95561.05,93438.08908855997
97167.42,92074.55989586326
97072.586,93524.51177084332
97801.484,96903.51041666669
100063.86,92339.09093749669
98323.4,94114.52471354668
98960.56,96899.49523438666
98286.99,94366.98380207334
98931.71,92755.79036457
101685.79,97400.81013017667
98862.35,94920.45481770331
102771.6,100345.59996745
100224.734,94575.66598958
102404.125,96468.99580727667
100935.13,96149.60911459662
102401.11,98065.84901039668
101706.82,95337.75229163335
101809.34,98454.01018226668
102332.85,98081.13255208
106116.266,93684.72507812997
106195.8,95857.37374999996
103509.95,98916.66513021335
102479.21,100981.94158853
104088.08,102110.5055013042
104524.15,99879.00632813
106926.27,112369.98382814998
103534.34,110982.34315105334
103911.32,116011.02692707
103288.39,118195.11447917335
105250.766,107747.37562500332
104746.695,110090.25994791334
104080.914,110293.44385418334
103506.805,116462.60348958331
105654.086,111974.25869793665
105011.76,110471.13658856331
105692.58,103549.11679684588
103560.016,111603.39057291334
107416.4,107979.6111457967
107093.81,111794.97638016671
104612.23,112774.81197918663
105058.32,110330.54950518667
105958.76,109068.12338540668
105938.98,109379.17247395002
104956.29,115015.5344271033
107870.53,117679.47921875663
107579.67,115735.03924480994
104384.24,122252.16929688668
104639.375,123054.62975264578
103247.03,114053.47473956006
103998.29,114829.88510415668
103538.484,109995.57361977668
105318.44,114411.03778644664
104589.78,118363.15458333006
102299.74,119101.67674479994
105738.59,111348.23624999334
103437.7,104898.76809898666
104782.055,104105.28549481332
103791.07,108208.73416662676
104069.06,106021.0613541434
102566.37,106593.91790365418
104250.75,104936.27382813998
101793.51,105260.55067708
103462.72,104690.13289059339
102547.0,99934.44768230664
100824.195,102506.05317706671
102450.07,98360.26382812664
103099.336,104842.63187499667
101812.77,99856.53635418
103618.91,100430.8283333533
103736.88,99622.78578125
102742.164,97587.18302082004
100820.71,100187.3414388
102512.16,103285.16848958
102661.04,110488.8837500033
100747.75,110462.31929687332
102599.555,106429.05812499668
101096.81,112158.19979166
101217.69,96884.50630210996
98956.21,95114.30546878328
102874.36,100643.17544272332
100580.23,98233.58882809008
102249.945,101362.830625
101592.02,102767.15062496669
101856.36,94399.36048176252
101036.234,100665.21765624668
100308.89,102398.02520830336
102449.664,100706.8424218733
98972.94,98256.20601561
101107.53,98063.79356771336
102917.06,101734.87966144668
99508.77,100167.37924475339
102020.305,92690.0422916534
103080.305,100859.47588539
101120.83,88734.64822917328
101239.6,89505.15195312332
99041.36,91925.57796226667
100634.234,89937.44942706998
99387.984,92658.14098960331
102085.7,89305.50385416333
100516.055,90115.54393229664
98993.125,94494.36544267338
100283.336,99982.90119794328
100069.46,97127.19580725336
98875.62,96350.50554689662
99333.68,94218.31867188998
100570.83,93454.08736978334
98102.375,98118.80471351004
100372.9,95251.7554362
102677.61,96099.22057291334
97745.94,93798.14971351669
99256.18,96988.29197916998
99458.76,96344.24755208666
98602.805,95267.85830728334
98516.83,97371.47161456668
98417.94,93568.33294271
99652.016,88158.71098957668
99367.164,88163.26075520003
100136.945,89893.19955728334
98906.89,87142.7089322567
99115.83,89928.40624998751
99042.28,90813.99619792336
99569.35,90426.96083333004
101422.23,91888.4029687966
99012.43,90658.01252605332
98901.11,87721.09731772999
98353.47,90868.59283855664
100134.74,87435.95302083668
100530.8,87763.01208334665
97709.836,89419.01666667662
96789.984,89847.13539062334
99128.85,91717.91140629332
98181.13,90000.01894532081
99680.53,91855.70429686336
98949.15,92754.14072921994
97100.03,90170.68757815994
98947.05,91000.08552084332
98081.74,89784.8672396133
97272.06,87749.81731772333
98614.7,90158.45039063333
98173.695,90362.25447919997
98318.766,87997.39635417997
99025.87,91504.09151041
98357.36,88230.25718753332
99156.875,85003.61324872085
98572.83,94671.45132813
97415.48,89431.71893229333
96801.23,87147.6474739467
96336.42,92504.61406247003
98456.04,88291.09796874002
96403.4,87000.57966145668
101196.01,88346.98705731997
96111.75,86659.7196875133
95990.37,86147.90606770667
97306.8,85890.44664062334
97473.9,85518.21015625003
96521.37,85494.52112633747
95334.45,86625.69190105332
96473.96,88962.56684896004
94901.04,86039.81729165335
95857.44,84219.13864582335
97756.53,87691.64302083003
94600.72,87063.03309893001
95189.3,85941.52854168
94523.24,85724.85322916666
94171.56,81863.28997395335
96480.43,81805.69218751998
94625.05,88227.96091145002
95711.336,85069.05611980004
94048.08,86882.01427082
94943.664,84579.65278644
93508.97,84220.03690104665
94029.6,86237.18304685337
93692.95,86564.72039067994
94166.13,80788.96776042
94604.23,83837.30403641336
94757.42,85313.71276044332
92925.69,83896.07125002997
92325.83,84207.9760156167
93735.516,81310.38872395334
93122.95,83020.86168621665
93574.18,85011.00877604666
92756.016,82323.61893230001
90664.09,83123.58335939662
92745.24,83191.1703125
92763.44,79961.82960937668
92159.016,83355.75919270335
92700.695,81665.45869794664
90757.19,76151.11098959661
93177.42,81353.60981771
91998.805,84522.96583331008
92502.625,77774.66778644003
91372.14,80429.04436855832
92850.08,82655.31231768001
94130.195,84106.17768225337
91874.85,82711.09143227669
91612.02,77561.45236978668
93040.31,84328.87908853996
89638.06,81068.38125001
89378.055,77028.19007811001
89733.78,77000.03135415998
90951.32,76848.87955731
89435.86,77419.28872394668
90304.54,79385.86005205671
88625.79,76730.30270178338
90095.52,79429.18687501666
88115.305,80972.78489582331
91267.16,78954.1945833533
89931.85,77895.36216141674
89061.086,78531.85395833997
89022.1,77926.25398438338
88895.86,77980.34494793
88161.31,77213.86703124334
89876.555,77074.72125000332
89970.29,82044.96888021335
88073.23,80309.72257811
89775.66,77159.21881507924
