Predictions,Actual_Values
115224.164,88542.72382816994
115741.1,89856.57854167002
116759.516,89810.97317710667
116105.93,95623.24111978665
115566.49,91015.22484375
115156.414,88041.27851560006
116407.29,89539.9583854366
115529.44,88785.97143230334
116656.09,91413.87869794328
115910.63,89887.02578124334
114623.94,88148.93624998
116186.52,85721.4703450375
116405.14,82758.80937498668
115266.734,89956.66437499331
114788.36,87580.58140625664
114332.52,84637.18046878994
113687.805,86235.16947916003
115296.35,82513.26999997334
116106.3,86011.84315104334
115137.0,87162.24979170662
112688.65,87486.51539061665
115448.72,85751.80835936
115844.18,86283.24221351004
114268.28,81774.28870441669
116522.805,85999.45325521332
114798.2,86573.23208332004
114597.12,84390.64635416333
114962.14,88235.28484375998
115214.23,84549.10390624998
114846.92,83219.23859372336
115372.06,85095.97658854665
115362.195,82334.27210936669
115920.18,82188.24843747671
115491.57,81654.4736197334
114502.81,81599.43911456336
115802.69,83904.25423175831
115205.625,80961.87098962332
114610.55,84383.43200519668
114633.53,81793.81468749662
113196.79,81922.88333335334
116633.04,82546.36604166332
114275.42,86587.01455728669
115709.92,82108.97132811668
114347.51,85439.30510415671
115602.68,84125.4423177033
114257.47,84490.72346353339
113543.13,89474.29447918662
115685.83,81561.41627604165
115410.5,87380.93182291003
115095.81,86617.96273436668
114806.56,83689.91809896997
116459.16,86133.38078126665
114001.055,81005.39877605332
113750.95,89275.07580727334
115007.445,89073.86916666
113955.77,89050.03950521996
114140.016,83968.04536460998
113208.54,89173.90794266008
115829.14,89769.64783851668
116094.19,90085.2521484042
115547.74,87665.37236978664
114083.016,86357.12526039004
114724.12,86547.16450520333
114815.2,89219.02122400329
113966.09,89864.86333333667
115398.39,92690.8731510433
114623.805,86418.82950522668
115667.09,92627.47348960995
115591.234,89707.80580731662
115214.69,88138.06013017008
116638.25,93515.94778646666
112786.34,88320.61660157498
113621.39,86208.03049480001
115280.086,87523.89546874334
115184.91,87827.13289063668
116956.47,87924.98736980662
113957.66,88003.44296875998
116203.79,88813.9513801967
114399.67,88205.36177083332
115917.28,93913.1509114267
114133.38,92541.25565098671
115389.914,97175.7903125233
115994.13,90905.93015622334
115054.81,94216.6958659042
115701.07,102570.58197916334
111990.88,93046.08986974672
114119.97,98935.51414063
113859.77,96220.65307293666
112837.45,100815.64455731332
115494.914,99224.27179686337
114726.195,100045.32486980331
114717.49,97575.66606772332
114988.98,109976.23882813333
115992.37,108175.55781249002
116206.98,107793.23804686332
115880.11,106299.50166015838
115129.81,96481.6282552033
115138.414,92413.44643227335
114768.75,98832.27572916998
114153.38,101864.11958336996
114148.53,106329.66278647332
115821.42,110422.27114586328
116280.87,104999.33143227002
115371.13,109416.24804689
114222.195,108309.18015628665
118611.84,106459.66041668331
112973.94,105542.14135417996
115603.73,113328.62418620418
114608.68,108548.71544270002
114809.31,108608.42705724674
116300.734,104378.55492185667
117184.97,105458.62638022332
114521.97,104556.1345572933
113732.664,105973.23489582668
113831.25,105774.47552083666
115521.94,103467.89354169992
114319.65,98018.14236979002
114974.3,98510.37674477666
114892.02,96452.63515624667
115034.48,96542.4478190125
116228.73,96990.50333332332
116236.93,111137.83882815333
115128.38,106564.04934896666
115994.414,105290.72979168664
115245.81,92117.7751302
114774.09,91035.32700523332
113651.805,95706.66880209002
114745.57,91166.48830729
115601.09,91626.34684893672
115720.445,91493.69585936674
