Predictions,Actual Values
99326.546875,100824.75041667667
95251.7734375,95353.29421873004
99189.40625,100304.99786458998
93344.8671875,94397.89945315996
83734.84375,105565.56778646995
96043.21875,92318.77148437666
96883.7890625,101491.21835937668
100368.28125,96341.5558853867
102322.703125,95776.78690106668
97858.859375,94319.12177084998
96701.0,99191.9745833466
99201.1484375,92063.62272135416
105515.9921875,98227.69476562
99656.3359375,97113.87179689664
97478.8203125,89835.58229170999
92970.640625,94690.99768232329
98938.2265625,91826.83309896998
96405.53125,95555.30015624
99151.5234375,96971.60132811332
102316.9140625,91107.16559897667
104015.4140625,95138.89286457669
100836.8984375,94114.00057292
105643.0234375,88163.91932292999
110490.2421875,95165.53271483752
106192.0703125,96839.33645832996
106536.6953125,92238.29776041668
99041.5859375,87177.47651043
104576.8046875,94408.28359374336
110388.2421875,92533.18401045995
101671.859375,91411.47718749
99474.4921875,94467.34984374666
113926.46875,94382.79164059002
106963.7890625,94841.02690103
109356.234375,90713.62695312
107043.0625,93033.61875000333
112925.34375,95857.97610680832
107310.8359375,90748.71195313668
108058.609375,93051.76557293996
111701.6171875,95571.31679693662
118914.2109375,91809.78052084
120360.46875,92820.14882812332
116574.671875,99858.72164064
119323.2734375,93680.26515624668
116226.96875,91881.80257812004
126021.625,100453.44153647331
125766.421875,92201.31752601668
116188.8359375,99302.4218489567
124792.53125,97242.31513671669
120168.125,99829.10210939996
118724.015625,93366.03914063332
139721.84375,98262.3698003512
132790.828125,102731.82611982332
130404.5078125,97236.5154687267
121587.015625,109691.53848960328
136162.578125,97595.78539059332
136046.4375,104370.56736979003
130262.1796875,99266.63364583664
126140.0703125,99878.75927080006
138111.75,100471.73390624336
139334.34375,106568.15322264584
139986.453125,98264.90968746669
136157.71875,102163.94986975666
143973.8125,106608.56229163006
135717.03125,108476.31377604666
135436.015625,103973.55518228337
142846.515625,104305.8301302333
144460.015625,104925.35617185004
144520.96875,107399.16083333
146672.953125,102651.04320311004
141440.1875,111690.67997395336
158165.453125,112724.36226561332
144165.859375,102149.39925133328
142903.71875,100745.31494792334
149032.25,104677.75658850335
158525.40625,100073.51130210997
154630.078125,102075.27039062
149454.28125,99952.17901040336
156219.75,109657.15580726336
159526.9375,110547.07700518669
145072.78125,114129.64945310002
143849.84375,112302.15617188664
166891.265625,112975.98059896006
159129.703125,110736.8350781067
159701.109375,112079.44208985422
149489.796875,117488.19789066329
152337.234375,112014.74682288672
149133.546875,110325.37455730332
156151.984375,121429.32039065994
157482.0625,105028.79807290006
162200.46875,107234.73934896335
165146.46875,100805.97619791668
160012.234375,107234.1347395667
162430.3125,108235.80734372672
159347.46875,109639.2484896033
157221.625,109818.41502605996
152924.0,108009.27190750004
168561.59375,109534.51528645
165026.578125,118238.80781249664
162031.21875,118240.84291662008
157721.90625,121435.65830731994
152049.4375,120549.6797916866
167968.0,117140.46252605668
160402.71875,116046.92638021668
158280.625,108751.13481773996
162006.734375,105662.2211458167
167320.5625,121486.25033854664
158414.984375,121588.16747397665
167468.25,112969.03404949994
162719.3125,116107.2529426734
163963.0,119200.60408854664
157183.046875,116570.70523436335
157798.5625,117607.04833330668
156011.390625,121349.19088544662
158032.578125,120151.37039064664
157937.71875,115919.44049479337
162278.375,122233.92580729332
155781.6875,122898.09932289006
159004.765625,117230.48473958006
163092.21875,121110.27171877328
161194.59375,114100.04596353335
163422.234375,118822.44533854665
156776.515625,116836.10742190332
153937.921875,115483.12859374667
169244.953125,109930.55596353002
159134.40625,103650.98057290002
156915.15625,109397.64276041
158809.046875,106583.83406246008
164362.328125,100886.68192707335
155526.46875,117638.68156248
159413.78125,121819.54885417664
162296.46875,126723.27752605664
158819.84375,116575.20960290413
160314.359375,119773.60664062
162848.25,120456.41492186332
164583.015625,116006.40067709662
154567.71875,124780.00231772664
161074.34375,114734.81744791663
153381.65625,124288.45658853005
151180.40625,127417.55450521002
151759.84375,115264.14757813998
153516.0625,121112.15781248
147655.046875,115117.51854166664
149062.734375,121392.04463540336
158916.703125,119591.07093100414
148541.703125,117132.69278646998
145010.78125,111875.45273438664
143580.859375,113730.32960934
150389.421875,117369.1162500133
138365.671875,127731.86664063665
144603.15625,115664.6148437134
148428.46875,121711.29054687994
144851.59375,113144.62994794002
147881.375,114867.43638020002
153960.484375,123355.80458333663
137749.0625,122933.88776042333
145218.265625,122718.09775389585
139377.578125,122380.92317706332
