Predictions,Actual Values
99500.71875,100824.75041667667
98204.640625,95353.29421873004
95413.125,100304.99786458998
94942.046875,94397.89945315996
90283.109375,105565.56778646995
97659.78125,92318.77148437666
99323.4375,101491.21835937668
94732.2734375,96341.5558853867
94954.0390625,95776.78690106668
97241.5,94319.12177084998
98999.1640625,99191.9745833466
100649.53125,92063.62272135416
98720.046875,98227.69476562
94501.09375,97113.87179689664
96453.9140625,89835.58229170999
99783.2578125,94690.99768232329
94985.2265625,91826.83309896998
94598.7421875,95555.30015624
99196.0234375,96971.60132811332
97966.09375,91107.16559897667
103300.484375,95138.89286457669
95245.546875,94114.00057292
102726.1171875,88163.91932292999
100411.1484375,95165.53271483752
100526.5859375,96839.33645832996
99214.390625,92238.29776041668
102583.4296875,87177.47651043
101483.453125,94408.28359374336
104752.46875,92533.18401045995
103817.0390625,91411.47718749
102405.234375,94467.34984374666
103430.171875,94382.79164059002
106361.015625,94841.02690103
105752.25,90713.62695312
102180.875,93033.61875000333
108889.171875,95857.97610680832
107592.375,90748.71195313668
108078.9296875,93051.76557293996
109323.359375,95571.31679693662
113383.890625,91809.78052084
106794.359375,92820.14882812332
114059.796875,99858.72164064
106122.5390625,93680.26515624668
107839.6171875,91881.80257812004
115110.1796875,100453.44153647331
115195.3359375,92201.31752601668
113953.0078125,99302.4218489567
109933.078125,97242.31513671669
113124.2890625,99829.10210939996
117297.265625,93366.03914063332
116339.53125,98262.3698003512
124027.828125,102731.82611982332
123938.3046875,97236.5154687267
117888.2578125,109691.53848960328
114505.8359375,97595.78539059332
127626.1171875,104370.56736979003
126636.046875,99266.63364583664
125855.40625,99878.75927080006
124880.1171875,100471.73390624336
126359.8203125,106568.15322264584
134248.03125,98264.90968746669
125009.03125,102163.94986975666
128747.8515625,106608.56229163006
125080.515625,108476.31377604666
130641.1328125,103973.55518228337
134191.328125,104305.8301302333
127825.65625,104925.35617185004
128558.9921875,107399.16083333
136826.921875,102651.04320311004
134064.921875,111690.67997395336
134453.828125,112724.36226561332
130595.984375,102149.39925133328
138172.78125,100745.31494792334
131888.625,104677.75658850335
136485.09375,100073.51130210997
143916.546875,102075.27039062
135024.234375,99952.17901040336
135196.453125,109657.15580726336
136891.765625,110547.07700518669
138022.78125,114129.64945310002
140793.109375,112302.15617188664
134924.40625,112975.98059896006
142679.8125,110736.8350781067
139850.734375,112079.44208985422
148827.515625,117488.19789066329
141707.484375,112014.74682288672
141833.171875,110325.37455730332
145934.65625,121429.32039065994
144612.609375,105028.79807290006
143205.90625,107234.73934896335
144751.515625,100805.97619791668
146196.734375,107234.1347395667
147736.3125,108235.80734372672
146069.09375,109639.2484896033
146718.109375,109818.41502605996
142899.3125,108009.27190750004
139031.859375,109534.51528645
150630.4375,118238.80781249664
144821.5,118240.84291662008
147376.625,121435.65830731994
143680.359375,120549.6797916866
146179.1875,117140.46252605668
149967.171875,116046.92638021668
148748.71875,108751.13481773996
147733.171875,105662.2211458167
145245.0,121486.25033854664
143930.578125,121588.16747397665
146806.921875,112969.03404949994
146277.75,116107.2529426734
148965.53125,119200.60408854664
144238.515625,116570.70523436335
147332.515625,117607.04833330668
147507.296875,121349.19088544662
151077.3125,120151.37039064664
148132.53125,115919.44049479337
146769.734375,122233.92580729332
144709.84375,122898.09932289006
139043.203125,117230.48473958006
147653.84375,121110.27171877328
143307.734375,114100.04596353335
144561.28125,118822.44533854665
144227.125,116836.10742190332
145953.453125,115483.12859374667
143118.25,109930.55596353002
141949.296875,103650.98057290002
138939.453125,109397.64276041
146037.703125,106583.83406246008
144749.765625,100886.68192707335
144396.5,117638.68156248
142230.796875,121819.54885417664
141178.875,126723.27752605664
140943.609375,116575.20960290413
139907.34375,119773.60664062
139122.140625,120456.41492186332
139755.921875,116006.40067709662
131987.9375,124780.00231772664
140211.265625,114734.81744791663
139825.875,124288.45658853005
141716.015625,127417.55450521002
136094.15625,115264.14757813998
133544.21875,121112.15781248
132708.265625,115117.51854166664
139050.53125,121392.04463540336
131758.828125,119591.07093100414
134524.703125,117132.69278646998
135004.953125,111875.45273438664
129358.3125,113730.32960934
126315.265625,117369.1162500133
135144.5625,127731.86664063665
131467.65625,115664.6148437134
135385.15625,121711.29054687994
129672.109375,113144.62994794002
131059.734375,114867.43638020002
127760.0859375,123355.80458333663
130591.6796875,122933.88776042333
127278.5859375,122718.09775389585
124777.5,122380.92317706332
128255.3828125,116256.51499999668
120628.609375,121373.23005211662
127679.1953125,123707.6388802067
125800.3828125,123036.90765623668
116661.78125,114485.18942706668
122807.265625,124318.27937501662
121820.7421875,118090.53684896664
126409.3125,122980.70289061664
125591.46875,120389.69716147332
123569.53125,117893.56484377662
123037.796875,125819.09388019587
123313.1328125,116158.75372397668
120511.9453125,121220.5973697734
121727.8984375,127179.79705729664
122239.9921875,127404.95164062332
118766.125,118963.5501562866
120194.6328125,120926.1183073133
122303.375,121298.57773438668
116363.0859375,109358.54130211996
109592.015625,111232.75221353336
120687.2578125,106613.16934895336
116750.0703125,109723.33354170994
117165.3984375,108984.5270507916
122218.921875,122505.85778646333
118416.0390625,121452.00164062668
119502.3359375,111791.75502605663
115231.234375,115996.92320311331
111486.71875,99448.43841148994
123059.609375,106545.22450519
116226.4140625,105105.61723957334
112116.5625,99930.34679688
114208.8046875,105293.65421872668
111264.953125,104566.77492189668
112581.7734375,108780.21916667333
123956.71875,112167.43671870836
119272.34375,118295.38739583331
114627.265625,116789.37304687664
108431.9296875,109704.88799477337
112454.859375,120114.02281248671
112352.0703125,113935.16505205006
113139.7265625,110980.84046874003
112499.1796875,110684.22520833
117203.65625,112137.4929947767
109767.21875,114981.20531250667
109028.390625,109890.7976302267
115724.5390625,109477.07268227336
116426.8671875,111391.99407550832
105674.2265625,106884.55567708332
106388.640625,104273.75231771002
111467.421875,108050.62203125666
111603.0390625,106939.57325518668
115434.859375,104754.48153645334
107154.859375,106738.45455728332
109313.7890625,112988.53192708331
116872.2265625,108505.09213540336
110806.6875,107901.51505207668
117738.03125,105217.66036454673
115458.5546875,109609.79606771668
109617.9296875,110079.66741538746
115282.4609375,110776.83380212328
109661.8984375,113023.46247394006
110465.8359375,124759.40091146668
110638.21875,105018.74515623004
109657.0625,100353.80026040335
111105.3203125,108282.31559896
107853.0234375,107746.02414062666
109177.296875,108842.88263021332
105060.71875,114451.70359378665
112145.4375,114982.45268231662
103969.2890625,106376.54973958
108159.625,102151.24208985834
110864.484375,112330.55468748668
110620.828125,114181.30398439664
109459.9140625,104544.90614584
110883.40625,108502.06695314996
107178.8515625,110936.1783072933
109603.703125,109287.46960939
107842.6015625,106572.5192968933
105767.0,111673.98526042666
106235.546875,108208.19255209666
111785.140625,102457.67947916336
100023.75,105257.72088541334
112288.0078125,103049.86748045417
112047.53125,98974.00984376331
103318.875,103603.64963542332
107843.5,99057.10789065664
106777.40625,101697.54914063668
101505.6328125,98538.59385417332
107198.84375,97233.25968747668
112778.6640625,108079.61127602
110918.6484375,97891.91731768004
100061.3359375,99739.7110677
104837.609375,106004.67723958334
105640.7734375,100038.31929690664
105468.8984375,99749.3111653958
101386.9921875,104992.19541667005
96470.09375,99609.58851561332
97531.6484375,99414.78059896336
98586.0703125,97640.12763020334
101287.140625,98714.62244789334
99498.8125,106033.62023436668
101530.3359375,97956.61447915
99595.5390625,94481.58955732996
98380.3203125,104226.11786459669
103586.3046875,94302.22585937667
100124.203125,98100.65406248334
100975.4609375,99355.87057293332
102583.375,103174.45692707332
105945.4609375,99899.67088537672
98619.828125,97168.13466143668
104210.953125,100143.2778125433
94817.90625,96247.98424479998
99628.0703125,100061.17666666328
102216.90625,100004.84348959332
95932.109375,100928.52398436662
100784.828125,95519.12471353334
95176.9609375,101859.46544273665
97617.7890625,94656.27705731663
98413.9609375,97962.34752604582
96749.109375,106162.20494789004
97718.4609375,99730.13822915002
99437.7578125,93997.96924479998
95117.1484375,99569.56088539337
94668.3125,101657.05731771664
96297.5390625,98539.60815103338
97192.5703125,94278.9695573
99492.1953125,102438.38265623004
96074.3828125,99236.67669270666
97186.8828125,95118.47726559338
99721.765625,99919.49518228334
92496.1328125,105102.74124349584
87549.4453125,97500.87083334332
96549.546875,101138.04713545326
93828.421875,96411.71156251334
92048.53125,100016.5666927
92158.125,95740.04502607326
93320.078125,93182.35367187
94219.34375,100488.57770832
91922.453125,98448.54510417
93611.046875,93455.8897656533
97314.640625,98424.06984375331
94837.375,98857.1850259834
97635.828125,92411.28408202504
96094.578125,100323.86911458331
97277.6875,99385.83119791
95873.625,93824.40208333668
95120.734375,96099.06539063664
94885.859375,97048.08039064331
95053.0546875,101041.02708333002
97037.625,99511.18002605332
97699.2109375,94448.25601558339
100289.4140625,99543.57585936002
97728.6328125,93413.86619788336
99538.9375,97570.80901040668
100745.3671875,112584.66087241248
101798.046875,130314.33195309338
102776.3984375,124621.28190104663
102273.2265625,136317.49127603002
104592.28125,131673.78859374332
106540.328125,131399.64122394667
104695.6953125,138786.06382813994
105450.8828125,133095.57635416664
105857.0234375,127287.25539063668
109445.1328125,137200.34601562665
112002.6328125,127004.0217968733
110256.765625,136728.09265625
108941.96875,137310.86555989587
114753.2265625,123961.17125002
107267.640625,129551.51023437998
117918.265625,116378.79205731332
117424.734375,129365.11903643998
116225.5703125,111511.7639843833
120967.4765625,113214.46911457994
118586.3125,113125.55994790002
119962.078125,108974.67755208
122265.5390625,106091.26242183338
121581.9453125,106982.8738802333
126963.03125,110893.45239584667
124147.4609375,110393.1028971708
123550.4921875,118528.50174481655
129810.6484375,111678.6778385267
127255.484375,119308.46390623006
129085.921875,121851.09273438664
132556.75,126118.56778647995
133197.390625,113841.11992188328
130951.859375,116017.72882814998
140164.234375,123262.65953124336
136589.21875,139997.65195313335
137540.6875,158101.97255208335
