Predictions,Actual Values
88528.484375,100824.75041667667
87314.8203125,95353.29421873004
91319.7734375,100304.99786458998
91514.4453125,94397.89945315996
90722.265625,105565.56778646995
88437.921875,92318.77148437666
87413.46875,101491.21835937668
87601.4296875,96341.5558853867
87447.1875,95776.78690106668
92565.859375,94319.12177084998
86097.0,99191.9745833466
84499.6796875,92063.62272135416
88842.875,98227.69476562
85988.171875,97113.87179689664
85032.859375,89835.58229170999
88621.0390625,94690.99768232329
89452.6953125,91826.83309896998
85852.8359375,95555.30015624
83792.7109375,96971.60132811332
90068.6796875,91107.16559897667
87809.484375,95138.89286457669
92047.109375,94114.00057292
86718.90625,88163.91932292999
91389.3828125,95165.53271483752
93873.59375,96839.33645832996
95758.3359375,92238.29776041668
87900.7265625,87177.47651043
85279.3203125,94408.28359374336
90176.0,92533.18401045995
98820.0625,91411.47718749
96047.5859375,94467.34984374666
94978.953125,94382.79164059002
92565.4140625,94841.02690103
94957.15625,90713.62695312
96429.71875,93033.61875000333
98074.2421875,95857.97610680832
92225.2734375,90748.71195313668
101333.5703125,93051.76557293996
95714.7265625,95571.31679693662
94509.9765625,91809.78052084
99442.34375,92820.14882812332
102119.7421875,99858.72164064
101299.0859375,93680.26515624668
108678.9453125,91881.80257812004
109827.03125,100453.44153647331
102533.8046875,92201.31752601668
107402.7578125,99302.4218489567
108993.296875,97242.31513671669
105837.6953125,99829.10210939996
103525.015625,93366.03914063332
110991.5625,98262.3698003512
108420.7890625,102731.82611982332
109704.15625,97236.5154687267
100431.7578125,109691.53848960328
112877.3828125,97595.78539059332
118086.5390625,104370.56736979003
108140.234375,99266.63364583664
108291.828125,99878.75927080006
118485.7421875,100471.73390624336
108156.390625,106568.15322264584
116652.109375,98264.90968746669
119633.1328125,102163.94986975666
117473.40625,106608.56229163006
115018.15625,108476.31377604666
121324.703125,103973.55518228337
116976.8515625,104305.8301302333
118309.1796875,104925.35617185004
122049.6328125,107399.16083333
122267.1171875,102651.04320311004
122857.984375,111690.67997395336
122223.5,112724.36226561332
125576.09375,102149.39925133328
124561.4453125,100745.31494792334
124898.796875,104677.75658850335
130827.6953125,100073.51130210997
123895.5546875,102075.27039062
126269.7890625,99952.17901040336
126197.5625,109657.15580726336
129729.9453125,110547.07700518669
129018.921875,114129.64945310002
128961.3984375,112302.15617188664
127281.7734375,112975.98059896006
131265.6875,110736.8350781067
129372.7421875,112079.44208985422
131023.5234375,117488.19789066329
129843.953125,112014.74682288672
130893.3359375,110325.37455730332
130907.796875,121429.32039065994
129334.5234375,105028.79807290006
138492.25,107234.73934896335
136021.390625,100805.97619791668
129392.9765625,107234.1347395667
134860.15625,108235.80734372672
136021.390625,109639.2484896033
141194.546875,109818.41502605996
134899.265625,108009.27190750004
130841.3515625,109534.51528645
133680.921875,118238.80781249664
133938.921875,118240.84291662008
139219.71875,121435.65830731994
137347.8125,120549.6797916866
138871.875,117140.46252605668
136309.265625,116046.92638021668
135940.453125,108751.13481773996
142004.234375,105662.2211458167
140443.359375,121486.25033854664
137210.140625,121588.16747397665
137370.96875,112969.03404949994
133798.453125,116107.2529426734
131307.09375,119200.60408854664
136486.703125,116570.70523436335
143105.921875,117607.04833330668
136309.359375,121349.19088544662
133165.265625,120151.37039064664
138696.609375,115919.44049479337
133248.375,122233.92580729332
136778.5625,122898.09932289006
139765.21875,117230.48473958006
133560.453125,121110.27171877328
135041.53125,114100.04596353335
135513.15625,118822.44533854665
135758.28125,116836.10742190332
136240.90625,115483.12859374667
140390.046875,109930.55596353002
133359.15625,103650.98057290002
133026.984375,109397.64276041
133529.859375,106583.83406246008
132521.859375,100886.68192707335
136364.546875,117638.68156248
132040.359375,121819.54885417664
130285.453125,126723.27752605664
129108.4609375,116575.20960290413
124044.296875,119773.60664062
132251.53125,120456.41492186332
131229.78125,116006.40067709662
127721.953125,124780.00231772664
132754.09375,114734.81744791663
128878.65625,124288.45658853005
128826.34375,127417.55450521002
129832.6796875,115264.14757813998
126765.3671875,121112.15781248
129407.6328125,115117.51854166664
126001.6796875,121392.04463540336
124325.578125,119591.07093100414
129122.7265625,117132.69278646998
123748.59375,111875.45273438664
124358.359375,113730.32960934
122532.6796875,117369.1162500133
125128.5546875,127731.86664063665
121087.25,115664.6148437134
123117.1640625,121711.29054687994
120919.5703125,113144.62994794002
120555.0859375,114867.43638020002
121951.03125,123355.80458333663
124945.046875,122933.88776042333
119339.9140625,122718.09775389585
117754.6640625,122380.92317706332
125824.546875,116256.51499999668
117342.890625,121373.23005211662
121535.9296875,123707.6388802067
124985.0390625,123036.90765623668
120491.2421875,114485.18942706668
119746.6015625,124318.27937501662
119230.8203125,118090.53684896664
125048.671875,122980.70289061664
115498.0078125,120389.69716147332
115721.9609375,117893.56484377662
112500.2109375,125819.09388019587
116101.2109375,116158.75372397668
112462.875,121220.5973697734
113437.390625,127179.79705729664
113857.7421875,127404.95164062332
116940.7265625,118963.5501562866
109520.296875,120926.1183073133
114828.8828125,121298.57773438668
112377.5625,109358.54130211996
115070.8984375,111232.75221353336
114292.9375,106613.16934895336
104177.7890625,109723.33354170994
112104.7578125,108984.5270507916
110075.765625,122505.85778646333
109033.6328125,121452.00164062668
114488.359375,111791.75502605663
115651.765625,115996.92320311331
112826.2890625,99448.43841148994
104918.140625,106545.22450519
109080.2421875,105105.61723957334
108866.953125,99930.34679688
104257.421875,105293.65421872668
105324.1640625,104566.77492189668
107474.625,108780.21916667333
103403.078125,112167.43671870836
108951.953125,118295.38739583331
108818.3359375,116789.37304687664
103728.328125,109704.88799477337
110196.9140625,120114.02281248671
103021.890625,113935.16505205006
102809.6796875,110980.84046874003
104382.671875,110684.22520833
104384.96875,112137.4929947767
108125.3203125,114981.20531250667
107428.359375,109890.7976302267
107505.2421875,109477.07268227336
106413.34375,111391.99407550832
102552.59375,106884.55567708332
107527.421875,104273.75231771002
101512.890625,108050.62203125666
108012.0234375,106939.57325518668
103644.4140625,104754.48153645334
108199.9765625,106738.45455728332
107767.7578125,112988.53192708331
106469.7109375,108505.09213540336
102478.2109375,107901.51505207668
102302.546875,105217.66036454673
106712.3984375,109609.79606771668
105114.3125,110079.66741538746
104932.3984375,110776.83380212328
103411.9296875,113023.46247394006
105194.953125,124759.40091146668
106752.21875,105018.74515623004
102455.53125,100353.80026040335
108530.2421875,108282.31559896
105317.2265625,107746.02414062666
109269.9453125,108842.88263021332
109472.140625,114451.70359378665
105762.625,114982.45268231662
106392.3515625,106376.54973958
105447.6953125,102151.24208985834
111468.9140625,112330.55468748668
104324.8828125,114181.30398439664
100203.8828125,104544.90614584
104693.5390625,108502.06695314996
104035.5390625,110936.1783072933
102158.9296875,109287.46960939
103334.3203125,106572.5192968933
104326.6328125,111673.98526042666
104149.6015625,108208.19255209666
104000.9921875,102457.67947916336
105780.359375,105257.72088541334
101588.6953125,103049.86748045417
108048.3671875,98974.00984376331
102697.71875,103603.64963542332
99281.1328125,99057.10789065664
106310.390625,101697.54914063668
105571.328125,98538.59385417332
100829.5234375,97233.25968747668
106875.53125,108079.61127602
101755.1953125,97891.91731768004
104934.5390625,99739.7110677
103507.828125,106004.67723958334
101917.2265625,100038.31929690664
98139.3046875,99749.3111653958
106919.1953125,104992.19541667005
100689.3984375,99609.58851561332
103050.6875,99414.78059896336
97557.765625,97640.12763020334
100549.5390625,98714.62244789334
103804.59375,106033.62023436668
100751.1640625,97956.61447915
104506.8203125,94481.58955732996
101000.015625,104226.11786459669
104056.9375,94302.22585937667
96617.28125,98100.65406248334
99591.2734375,99355.87057293332
96141.8828125,103174.45692707332
99354.7890625,99899.67088537672
101521.8203125,97168.13466143668
99040.4375,100143.2778125433
101671.1015625,96247.98424479998
98836.5859375,100061.17666666328
106541.4921875,100004.84348959332
100951.6015625,100928.52398436662
95657.3125,95519.12471353334
96945.703125,101859.46544273665
101593.8125,94656.27705731663
90322.0234375,97962.34752604582
92411.890625,106162.20494789004
88089.484375,99730.13822915002
105133.640625,93997.96924479998
94428.5234375,99569.56088539337
92651.5078125,101657.05731771664
96036.78125,98539.60815103338
95198.5,94278.9695573
92600.5703125,102438.38265623004
97344.5859375,99236.67669270666
93607.7578125,95118.47726559338
95710.6015625,99919.49518228334
91432.5625,105102.74124349584
93306.1484375,97500.87083334332
88604.5078125,101138.04713545326
96160.8046875,96411.71156251334
93381.265625,100016.5666927
94078.0078125,95740.04502607326
94826.859375,93182.35367187
94126.75,100488.57770832
91607.6953125,98448.54510417
92296.9921875,93455.8897656533
93087.328125,98424.06984375331
91914.671875,98857.1850259834
94517.7734375,92411.28408202504
91701.96875,100323.86911458331
95172.546875,99385.83119791
93447.140625,93824.40208333668
91899.6328125,96099.06539063664
94403.3125,97048.08039064331
93366.59375,101041.02708333002
92007.1171875,99511.18002605332
93882.5703125,94448.25601558339
98509.8984375,99543.57585936002
94507.1171875,93413.86619788336
93946.2109375,97570.80901040668
95320.9609375,112584.66087241248
97954.6875,130314.33195309338
100293.328125,124621.28190104663
98634.09375,136317.49127603002
100895.53125,131673.78859374332
97975.90625,131399.64122394667
105845.4453125,138786.06382813994
99315.1953125,133095.57635416664
105664.1640625,127287.25539063668
98334.609375,137200.34601562665
105533.4765625,127004.0217968733
105818.6640625,136728.09265625
112624.1796875,137310.86555989587
103506.25,123961.17125002
108947.953125,129551.51023437998
110008.4140625,116378.79205731332
108701.3203125,129365.11903643998
116207.109375,111511.7639843833
111101.375,113214.46911457994
119717.6953125,113125.55994790002
119673.203125,108974.67755208
118509.703125,106091.26242183338
120051.2421875,106982.8738802333
121803.421875,110893.45239584667
120624.7890625,110393.1028971708
128459.8515625,118528.50174481655
120744.2265625,111678.6778385267
132169.078125,119308.46390623006
129526.2421875,121851.09273438664
131308.71875,126118.56778647995
128303.5546875,113841.11992188328
136336.359375,116017.72882814998
136833.125,123262.65953124336
141091.65625,139997.65195313335
136465.4375,158101.97255208335
148553.46875,157679.75161458337
135349.671875,157090.95520833333
144771.8125,156673.97703125
145798.140625,151739.86104166668
146307.171875,154463.87760416663
146416.4375,151345.14651041667
150295.90625,138818.22513022998
156242.390625,146900.39536458332
157013.28125,151244.14770833333
156101.25,150172.48432291663
154510.4375,146865.69114583332
150590.4375,158554.17119791667
158613.078125,164459.92708333337
157642.375,153258.74147135418
156938.71875,155884.18208333335
158452.875,153328.63536458337
158889.46875,151707.71963541667
158014.390625,155941.93963541667
163205.40625,157674.78375
160532.09375,150170.83578125
163864.265625,147743.40572916667
163492.984375,141249.82880208333
163996.359375,141527.77354166665
159866.578125,147536.929375
167333.9375,147200.25890625
165423.28125,150596.88001302085
163508.125,140443.7973177033
163323.6875,155776.42895833333
162252.65625,157203.28744791663
168553.6875,156377.843125
168098.15625,155762.79255208332
171158.875,155011.03578125
172167.078125,153420.86119791667
165700.46875,148595.04677083335
169101.375,153931.60015625
171635.25,144735.38755208332
175816.53125,148232.42833333337
171167.265625,147036.9923828125
164630.828125,141539.71515625
168486.828125,146389.76302083337
169468.78125,142085.49005208333
171286.578125,141563.44541666665
172784.984375,150881.38197916668
170036.046875,147176.09010416668
170426.59375,150049.38505208332
173649.96875,151249.91807291665
171570.75,156505.18125
172334.28125,156394.95223958333
169488.296875,153146.96145833333
172443.890625,156725.64973958337
169003.96875,162929.71609375
175282.0,154158.74208333335
169113.5625,154466.92260416667
171086.359375,146866.098125
173728.5625,156170.896875
172048.546875,157927.57807291663
173877.0,163114.80994791663
169643.65625,167326.14333333337
176440.234375,161125.95015625
179870.0625,159862.88859375
172771.5,166197.86817708332
173421.234375,153399.94446614585
171442.046875,158020.48916666667
163644.796875,156342.17645833333
170444.921875,156765.59661458337
181576.078125,165095.88421875
167997.046875,158872.83458333337
176144.65625,161429.26463541668
170394.953125,163929.55588541663
177483.6875,157463.06411458337
167059.578125,155034.32651041663
172573.265625,162179.84911458337
167630.0625,163696.08432291663
168658.59375,156823.91647135414
168337.78125,160402.9834375
170305.90625,159836.21125
170695.546875,161618.21744791663
164223.1875,158889.01005208332
167098.78125,160919.39239583333
163611.140625,161404.94645833335
167646.734375,160472.34901041663
167891.640625,156282.75651041663
163246.65625,159332.4784375
164766.546875,154241.71859375
168698.359375,154003.16526041663
161344.140625,152097.94674479167
164881.03125,142811.53927083337
155127.484375,147670.82927083335
162407.171875,143855.37614583335
155794.21875,145442.38427083337
156541.40625,148124.93869791663
155606.8125,137412.37083333332
156987.921875,138657.25888021
153493.359375,137660.49015625333
153389.59375,134187.4500000133
158637.765625,134917.1018489866
157864.4375,139482.44794271333
149604.734375,123063.58968100837
149318.25,131634.58645836328
154864.390625,128397.24411456335
145091.5625,127931.73385415999
144356.125,126049.51138019
150586.96875,125752.5316145734
148283.234375,128882.21825522
145414.296875,122766.38692707667
140401.625,118580.07859375002
146599.59375,132931.73677083335
141272.125,123555.00893227005
131507.703125,123890.92869791
137715.296875,128788.27994790838
138886.15625,127391.15234374664
137896.078125,124605.57820313002
136187.84375,121246.84893230992
133677.6875,119719.24520833
138103.9375,123705.76278645
132957.203125,120286.68151042995
133013.296875,119692.97213539005
130903.5078125,121690.97617186664
131712.125,114783.49088543336
133413.625,118963.90151042998
130863.625,119416.79335939664
130866.2890625,118146.84798178336
131049.6484375,119894.96484375
131284.984375,121305.45138021665
129406.6015625,120928.18156250664
131579.453125,116211.71302080006
128131.765625,116614.03778645006
124275.078125,120029.55197916995
124220.015625,115990.17325520006
124525.3828125,120863.51145831669
117352.78125,110066.81606773332
119489.8203125,115905.25744792332
122788.359375,113353.27578128665
121431.921875,110731.98610025832
123469.5078125,120331.86489581336
125091.09375,110336.83994788668
118173.84375,110218.42270832002
124549.3203125,109642.91078126
119206.0078125,112071.47950522332
117408.0390625,115317.85367188332
117226.6875,108256.8069531167
111762.171875,106741.14195317328
120600.9921875,111613.39796877332
117781.2265625,107333.8882552566
120479.2265625,111942.70968747335
117801.890625,108453.77408858325
117978.3203125,108960.64807291338
119305.9609375,112483.18497393672
114900.1953125,109656.64338540335
117537.171875,104523.96830730666
111154.375,103764.83695312002
117590.140625,109032.56744791666
119819.0625,105428.83330724672
118189.34375,111786.62643228
118421.9765625,102413.70585936667
117595.8515625,96188.41088540333
115112.640625,96371.53421872332
111345.2578125,93334.12382813332
116240.3203125,93634.91166663334
110077.4609375,101224.70828126332
114326.671875,94662.70505210996
117682.8359375,91803.33828125664
115186.3203125,94208.33598956336
116196.8515625,91432.88453123331
115779.1484375,90180.80296873332
111495.921875,100073.2889844033
119933.0703125,90168.30763020998
108661.015625,94211.57148437668
108650.1015625,91584.335
114842.5546875,94705.66389972504
119130.8046875,91673.21716146664
113241.5078125,94060.92841144004
108840.1171875,89618.52638022666
107680.015625,89692.37484373334
111809.6640625,87056.61395832335
110142.8203125,84499.10075521668
105019.71875,92962.42007812332
113848.15625,89161.63635416668
109713.46875,86716.64924482662
110784.28125,88535.44328122998
110688.3515625,89958.7708854167
109617.6640625,84324.07177734165
109895.2109375,90256.3761197567
108442.9921875,89959.84976563328
107266.6796875,91152.31880207664
100266.140625,92229.37497396332
105516.046875,87549.29914063668
107834.3203125,85898.49908854665
113382.4609375,92237.13929690998
112723.2265625,90628.04296874
112271.7265625,97616.80286456006
110196.109375,96085.61325516007
107494.328125,91757.77796871006
109434.0859375,92903.81448566665
105122.828125,94941.39971353002
113865.78125,93991.37981771
103419.1640625,90946.09239580003
105726.890625,93454.52200520002
107505.7265625,87949.84354166003
101435.8828125,92803.72932292664
112363.3203125,91668.54484374668
106339.28125,93339.81567706003
106889.640625,92738.75263022332
105882.109375,91412.86934896668
102881.7109375,87210.25523439662
104316.0,92705.68157550837
105202.09375,91790.85333329342
109013.4140625,90041.17187499673
109377.90625,88332.60585939
104111.1953125,88395.00216143671
106654.6484375,87720.02520832335
110011.1328125,90546.05666666332
107550.921875,87987.01401046326
98263.1796875,87724.13447913673
100011.78125,89592.57955730669
104827.140625,88323.3383174272
106426.03125,92718.65065103333
100226.296875,87051.12405600834
105557.671875,86908.42544270666
99465.9453125,89312.72249998004
102760.3515625,86372.65458331339
98362.1953125,87347.61593744671
100616.734375,91773.43273437666
97381.9296875,87245.09341147664
99686.578125,88162.92104164668
96640.859375,87998.41059892336
105757.015625,91767.8973437633
98304.5703125,88802.20083331339
99532.3125,90041.43250000331
98224.640625,86898.69352215831
91497.03125,91851.03273436335
83580.3984375,89829.80270836662
90336.046875,85006.63880209999
88957.40625,90654.11447918328
88589.234375,87062.83921875003
93082.15625,88718.94635412004
87804.9140625,88682.52549478001
85755.65625,87511.2489323
84781.28125,86202.36127604336
91805.2109375,93710.09908852672
83384.421875,86050.93390622003
84470.28125,87442.08704427505
86731.21875,85677.25593749
84321.7109375,83235.94414061002
86726.953125,94645.82598957336
88915.3046875,87951.56789062
87895.390625,86771.17361980332
88457.359375,85877.80640625666
86572.09375,88309.91966145003
89411.5,84429.37054688003
90371.3359375,90817.12026041
91617.0234375,86108.97721352338
91768.078125,88508.87765627664
88467.3046875,82558.26715498746
91504.9375,86864.70213541332
91535.859375,84329.56731770335
91380.5,89907.34755206334
86584.171875,85351.90330727669
91439.4375,91528.69947916336
95137.6953125,91382.34013019668
92207.8125,88809.16572918
92541.875,91552.44015624002
91257.46875,93324.7781770567
95215.1171875,89789.14768231334
95142.9609375,91459.44690103666
98268.5390625,94138.20641276252
98280.1328125,95170.32562497
96972.75,96461.36901040332
96837.6484375,94676.99307289004
95392.9453125,98251.08841148663
102402.8359375,100535.44359376
99841.2421875,99208.41625001
106518.03125,95154.06374994674
106395.03125,101023.80276040336
107552.015625,105908.06338541998
105499.8046875,103341.24429687332
111303.984375,110040.30515624332
109075.0703125,110923.12747399164
109970.9140625,106792.01195308338
112253.71875,116237.02398437331
115499.203125,121796.21205724339
111653.9765625,121550.11601560668
115715.8671875,127520.35486979331
114525.6875,118588.10273437331
122594.71875,129007.1673697867
119683.109375,120700.37052083
122445.625,125274.7407291866
121565.0390625,135326.15466145333
131553.078125,144428.44739583333
126886.0390625,141530.37317708333
127266.7578125,156072.96161458333
129797.765625,149541.34833333333
128797.109375,145089.228125
135450.1875,146490.90864583335
136620.359375,155356.07286458337
137361.4375,157709.52520833333
138770.671875,152873.40052083333
139868.1875,158935.53520833337
140896.484375,162027.46864583335
139460.953125,160758.98785299005
144462.78125,167905.67322916663
143063.171875,167651.24772135413
147376.203125,168215.04192708337
149035.390625,159856.09327491553
150336.296875,165269.94989583333
146982.40625,168820.74270833333
147603.3125,176397.13046875
150085.65625,168292.32484375
152405.3125,171152.42557291663
153325.125,170448.79411458335
160051.28125,166660.75505208335
152956.59375,171410.11067708337
157731.6875,172376.430625
157534.109375,178013.78776041663
155802.40625,173999.06130208337
157129.078125,175897.92958333335
163951.1875,174265.63869791667
162214.9375,169534.29203125
164242.75,168033.78796875
170094.9375,175953.61473958337
160614.328125,170981.5738541667
161016.359375,165910.1971875
164925.171875,165992.26161458335
166043.6875,155891.54859375
169074.953125,164548.24619791665
164422.4375,159139.29127604168
163107.3125,156579.27677083333
164902.6875,153184.56151041668
165177.96875,157361.21796875
166430.25,159316.51510416667
166119.125,159645.49921875
167341.765625,163879.96510416668
170095.703125,161911.51416666663
167892.953125,164103.33439590302
167364.703125,168302.67088541668
168183.296875,171066.30901041668
168630.515625,167109.10588541668
171548.859375,175009.0701171875
168715.671875,173501.08526041667
169825.140625,183185.76135416672
