Predictions,Actual Values
86410.953125,100824.75041667667
88167.796875,95353.29421873004
79904.6640625,100304.99786458998
88354.2890625,94397.89945315996
84754.0546875,105565.56778646995
93850.8359375,92318.77148437666
90853.59375,101491.21835937668
85583.984375,96341.5558853867
78075.8984375,95776.78690106668
88953.1171875,94319.12177084998
91388.9609375,99191.9745833466
89900.9453125,92063.62272135416
78253.828125,98227.69476562
84400.46875,97113.87179689664
95056.109375,89835.58229170999
81786.2578125,94690.99768232329
88893.2265625,91826.83309896998
94832.34375,95555.30015624
92921.34375,96971.60132811332
85394.96875,91107.16559897667
87773.9453125,95138.89286457669
88613.015625,94114.00057292
89901.5859375,88163.91932292999
90244.0703125,95165.53271483752
93353.9453125,96839.33645832996
83551.5546875,92238.29776041668
88842.9140625,87177.47651043
82837.9609375,94408.28359374336
84262.3671875,92533.18401045995
92939.125,91411.47718749
97134.328125,94467.34984374666
88615.890625,94382.79164059002
88327.453125,94841.02690103
86218.8984375,90713.62695312
90629.3515625,93033.61875000333
92093.140625,95857.97610680832
88550.84375,90748.71195313668
94458.5546875,93051.76557293996
92154.609375,95571.31679693662
93342.21875,91809.78052084
100870.4140625,92820.14882812332
104953.765625,99858.72164064
104924.3828125,93680.26515624668
99581.6875,91881.80257812004
94003.484375,100453.44153647331
105794.5625,92201.31752601668
95039.9609375,99302.4218489567
93787.40625,97242.31513671669
105868.4765625,99829.10210939996
101515.4921875,93366.03914063332
99695.75,98262.3698003512
102064.6328125,102731.82611982332
99035.359375,97236.5154687267
108604.5546875,109691.53848960328
101093.1796875,97595.78539059332
104353.859375,104370.56736979003
101367.8515625,99266.63364583664
110185.6484375,99878.75927080006
105597.09375,100471.73390624336
105015.3984375,106568.15322264584
115240.0390625,98264.90968746669
108609.2265625,102163.94986975666
112003.8359375,106608.56229163006
114163.9921875,108476.31377604666
112359.734375,103973.55518228337
105457.515625,104305.8301302333
110925.328125,104925.35617185004
114601.9375,107399.16083333
114785.6171875,102651.04320311004
114080.90625,111690.67997395336
111389.90625,112724.36226561332
108128.3984375,102149.39925133328
110290.2421875,100745.31494792334
119611.25,104677.75658850335
117850.984375,100073.51130210997
115020.0078125,102075.27039062
125072.171875,99952.17901040336
119017.3984375,109657.15580726336
112970.2890625,110547.07700518669
122538.640625,114129.64945310002
116506.203125,112302.15617188664
116965.390625,112975.98059896006
124711.9609375,110736.8350781067
113261.5859375,112079.44208985422
126618.3671875,117488.19789066329
120680.0390625,112014.74682288672
121970.0546875,110325.37455730332
120812.75,121429.32039065994
123206.7578125,105028.79807290006
120163.4609375,107234.73934896335
124332.75,100805.97619791668
121253.3203125,107234.1347395667
128791.21875,108235.80734372672
119376.0546875,109639.2484896033
129543.53125,109818.41502605996
119619.671875,108009.27190750004
127345.9375,109534.51528645
117376.4140625,118238.80781249664
130734.5234375,118240.84291662008
122965.1484375,121435.65830731994
120392.078125,120549.6797916866
120744.8046875,117140.46252605668
127861.4921875,116046.92638021668
135052.65625,108751.13481773996
127471.109375,105662.2211458167
122290.578125,121486.25033854664
127252.015625,121588.16747397665
126150.5234375,112969.03404949994
128203.0546875,116107.2529426734
118213.9765625,119200.60408854664
126917.46875,116570.70523436335
127223.1484375,117607.04833330668
129078.3984375,121349.19088544662
130722.1015625,120151.37039064664
127085.9609375,115919.44049479337
126303.15625,122233.92580729332
125779.1484375,122898.09932289006
124604.9296875,117230.48473958006
131686.390625,121110.27171877328
126930.6328125,114100.04596353335
122434.6953125,118822.44533854665
123809.3671875,116836.10742190332
124396.609375,115483.12859374667
122065.0625,109930.55596353002
122438.5859375,103650.98057290002
121651.7109375,109397.64276041
125270.96875,106583.83406246008
125573.234375,100886.68192707335
124168.515625,117638.68156248
124602.5703125,121819.54885417664
118900.8125,126723.27752605664
124556.625,116575.20960290413
123930.40625,119773.60664062
124595.5234375,120456.41492186332
122149.15625,116006.40067709662
118538.75,124780.00231772664
130228.3125,114734.81744791663
120565.7890625,124288.45658853005
124303.703125,127417.55450521002
122657.4375,115264.14757813998
123103.9375,121112.15781248
121578.3359375,115117.51854166664
124317.3515625,121392.04463540336
124190.3515625,119591.07093100414
113559.9765625,117132.69278646998
119855.40625,111875.45273438664
115258.546875,113730.32960934
120007.1953125,117369.1162500133
118710.28125,127731.86664063665
114855.6640625,115664.6148437134
110980.375,121711.29054687994
109170.6171875,113144.62994794002
108314.7109375,114867.43638020002
112420.8359375,123355.80458333663
115249.0234375,122933.88776042333
110813.71875,122718.09775389585
107299.6875,122380.92317706332
113520.9453125,116256.51499999668
109331.6171875,121373.23005211662
115952.0703125,123707.6388802067
113622.390625,123036.90765623668
112815.2890625,114485.18942706668
113290.921875,124318.27937501662
113751.3125,118090.53684896664
113318.7578125,122980.70289061664
105275.5078125,120389.69716147332
106639.4765625,117893.56484377662
104174.0390625,125819.09388019587
106787.4765625,116158.75372397668
108206.796875,121220.5973697734
106280.2578125,127179.79705729664
108638.34375,127404.95164062332
102648.3515625,118963.5501562866
103332.71875,120926.1183073133
105421.96875,121298.57773438668
107967.5625,109358.54130211996
100001.0390625,111232.75221353336
106114.9765625,106613.16934895336
104926.140625,109723.33354170994
106082.140625,108984.5270507916
110245.078125,122505.85778646333
107313.7109375,121452.00164062668
107445.609375,111791.75502605663
104080.4921875,115996.92320311331
104101.640625,99448.43841148994
91537.6953125,106545.22450519
106906.8828125,105105.61723957334
108406.25,99930.34679688
108353.8515625,105293.65421872668
104363.8984375,104566.77492189668
102074.953125,108780.21916667333
102878.0859375,112167.43671870836
102815.4140625,118295.38739583331
101684.015625,116789.37304687664
102136.03125,109704.88799477337
101334.8828125,120114.02281248671
102154.921875,113935.16505205006
98513.6015625,110980.84046874003
108522.578125,110684.22520833
104572.2578125,112137.4929947767
105321.15625,114981.20531250667
103862.3046875,109890.7976302267
103644.1875,109477.07268227336
103961.640625,111391.99407550832
100956.7734375,106884.55567708332
104724.890625,104273.75231771002
101487.296875,108050.62203125666
101788.5625,106939.57325518668
104911.109375,104754.48153645334
102301.078125,106738.45455728332
99750.78125,112988.53192708331
110790.0390625,108505.09213540336
102747.0234375,107901.51505207668
106165.53125,105217.66036454673
107096.7890625,109609.79606771668
100875.140625,110079.66741538746
107123.4140625,110776.83380212328
99584.15625,113023.46247394006
103712.3515625,124759.40091146668
103988.265625,105018.74515623004
108381.640625,100353.80026040335
96776.640625,108282.31559896
100181.7109375,107746.02414062666
101276.5078125,108842.88263021332
105769.6015625,114451.70359378665
105087.359375,114982.45268231662
100969.1875,106376.54973958
98532.46875,102151.24208985834
99738.6796875,112330.55468748668
103745.390625,114181.30398439664
104404.0078125,104544.90614584
102469.140625,108502.06695314996
100969.671875,110936.1783072933
104664.34375,109287.46960939
97989.5390625,106572.5192968933
96361.921875,111673.98526042666
104822.1015625,108208.19255209666
92894.0390625,102457.67947916336
98820.578125,105257.72088541334
94057.9296875,103049.86748045417
99313.703125,98974.00984376331
110119.3359375,103603.64963542332
100607.828125,99057.10789065664
95140.7734375,101697.54914063668
93458.0546875,98538.59385417332
103343.375,97233.25968747668
97171.1953125,108079.61127602
98075.2890625,97891.91731768004
99523.078125,99739.7110677
102223.7734375,106004.67723958334
108223.53125,100038.31929690664
96121.6484375,99749.3111653958
93897.125,104992.19541667005
97775.5,99609.58851561332
90153.765625,99414.78059896336
93522.3046875,97640.12763020334
107392.1484375,98714.62244789334
90128.2890625,106033.62023436668
87982.3671875,97956.61447915
87778.859375,94481.58955732996
101705.5234375,104226.11786459669
98546.5546875,94302.22585937667
88540.640625,98100.65406248334
97432.6015625,99355.87057293332
97616.421875,103174.45692707332
98433.2421875,99899.67088537672
93567.625,97168.13466143668
88632.765625,100143.2778125433
96604.7265625,96247.98424479998
86949.9296875,100061.17666666328
91280.0546875,100004.84348959332
84944.7421875,100928.52398436662
100099.796875,95519.12471353334
91109.0390625,101859.46544273665
96525.453125,94656.27705731663
90862.4609375,97962.34752604582
95200.90625,106162.20494789004
87533.140625,99730.13822915002
82525.5625,93997.96924479998
85707.75,99569.56088539337
92976.84375,101657.05731771664
97254.734375,98539.60815103338
76103.8671875,94278.9695573
91450.3515625,102438.38265623004
90216.546875,99236.67669270666
98313.703125,95118.47726559338
76243.2421875,99919.49518228334
92238.140625,105102.74124349584
79314.171875,97500.87083334332
83430.875,101138.04713545326
73438.0078125,96411.71156251334
74672.9453125,100016.5666927
83632.484375,95740.04502607326
85046.890625,93182.35367187
82470.6484375,100488.57770832
79887.0,98448.54510417
77691.7109375,93455.8897656533
76983.625,98424.06984375331
83532.171875,98857.1850259834
82366.234375,92411.28408202504
81732.484375,100323.86911458331
84775.2421875,99385.83119791
86119.1953125,93824.40208333668
84281.53125,96099.06539063664
84901.59375,97048.08039064331
88883.9296875,101041.02708333002
97173.8515625,99511.18002605332
85644.1484375,94448.25601558339
91161.7890625,99543.57585936002
89422.4296875,93413.86619788336
88166.1796875,97570.80901040668
96971.0234375,112584.66087241248
94875.4296875,130314.33195309338
87512.6953125,124621.28190104663
84841.90625,136317.49127603002
84706.1328125,131673.78859374332
90193.8671875,131399.64122394667
92740.765625,138786.06382813994
90526.25,133095.57635416664
88275.0078125,127287.25539063668
92354.7421875,137200.34601562665
90449.6953125,127004.0217968733
92010.8359375,136728.09265625
97797.1875,137310.86555989587
97134.703125,123961.17125002
100095.6484375,129551.51023437998
101524.0625,116378.79205731332
103306.390625,129365.11903643998
106478.390625,111511.7639843833
108762.796875,113214.46911457994
100911.625,113125.55994790002
102391.03125,108974.67755208
99958.2421875,106091.26242183338
109018.171875,106982.8738802333
113000.71875,110893.45239584667
96105.15625,110393.1028971708
107772.6171875,118528.50174481655
104228.2265625,111678.6778385267
108907.7265625,119308.46390623006
104842.828125,121851.09273438664
111887.3046875,126118.56778647995
112135.4375,113841.11992188328
106651.4453125,116017.72882814998
109580.2890625,123262.65953124336
112655.515625,139997.65195313335
124303.5234375,158101.97255208335
112338.5703125,157679.75161458337
108861.0703125,157090.95520833333
126931.5,156673.97703125
115129.109375,151739.86104166668
125411.6796875,154463.87760416663
126493.9375,151345.14651041667
118931.5546875,138818.22513022998
126049.5703125,146900.39536458332
130079.046875,151244.14770833333
127231.3828125,150172.48432291663
125281.015625,146865.69114583332
135171.1875,158554.17119791667
125636.71875,164459.92708333337
128078.1875,153258.74147135418
131159.3125,155884.18208333335
137583.5,153328.63536458337
134788.171875,151707.71963541667
124346.796875,155941.93963541667
134853.578125,157674.78375
139203.78125,150170.83578125
139379.875,147743.40572916667
134853.453125,141249.82880208333
129956.7578125,141527.77354166665
139631.03125,147536.929375
139597.203125,147200.25890625
138022.609375,150596.88001302085
141316.4375,140443.7973177033
148342.859375,155776.42895833333
145908.125,157203.28744791663
142712.96875,156377.843125
143684.34375,155762.79255208332
150217.40625,155011.03578125
150615.6875,153420.86119791667
137967.109375,148595.04677083335
152232.734375,153931.60015625
145465.1875,144735.38755208332
146026.515625,148232.42833333337
145181.203125,147036.9923828125
141592.59375,141539.71515625
143701.28125,146389.76302083337
150781.9375,142085.49005208333
144033.078125,141563.44541666665
151205.84375,150881.38197916668
135620.265625,147176.09010416668
147100.5625,150049.38505208332
154978.9375,151249.91807291665
144523.0625,156505.18125
147833.359375,156394.95223958333
148941.96875,153146.96145833333
147298.984375,156725.64973958337
155999.125,162929.71609375
146632.921875,154158.74208333335
158383.59375,154466.92260416667
155730.40625,146866.098125
147696.265625,156170.896875
148910.0,157927.57807291663
153754.03125,163114.80994791663
151240.4375,167326.14333333337
154299.53125,161125.95015625
151321.28125,159862.88859375
146649.953125,166197.86817708332
150333.84375,153399.94446614585
156908.609375,158020.48916666667
140994.84375,156342.17645833333
149977.78125,156765.59661458337
149265.375,165095.88421875
142889.984375,158872.83458333337
146569.75,161429.26463541668
149845.40625,163929.55588541663
140333.90625,157463.06411458337
154188.28125,155034.32651041663
146391.1875,162179.84911458337
138519.734375,163696.08432291663
144647.78125,156823.91647135414
139028.34375,160402.9834375
143264.75,159836.21125
137228.0,161618.21744791663
144343.015625,158889.01005208332
143804.171875,160919.39239583333
145521.359375,161404.94645833335
146451.421875,160472.34901041663
140179.5,156282.75651041663
139896.296875,159332.4784375
136569.671875,154241.71859375
141914.765625,154003.16526041663
143788.59375,152097.94674479167
138176.046875,142811.53927083337
134639.921875,147670.82927083335
137800.75,143855.37614583335
136152.53125,145442.38427083337
131159.984375,148124.93869791663
138405.8125,137412.37083333332
145593.765625,138657.25888021
138507.078125,137660.49015625333
136500.796875,134187.4500000133
130538.65625,134917.1018489866
129575.7109375,139482.44794271333
132891.515625,123063.58968100837
128201.0,131634.58645836328
130424.8125,128397.24411456335
127551.71875,127931.73385415999
128651.0,126049.51138019
126066.875,125752.5316145734
124629.7421875,128882.21825522
132685.796875,122766.38692707667
125653.4453125,118580.07859375002
126018.5859375,132931.73677083335
125520.546875,123555.00893227005
118555.359375,123890.92869791
122142.6328125,128788.27994790838
120855.4296875,127391.15234374664
118675.0,124605.57820313002
118747.4921875,121246.84893230992
119694.109375,119719.24520833
117133.40625,123705.76278645
123603.6640625,120286.68151042995
120464.65625,119692.97213539005
119821.7734375,121690.97617186664
113756.3125,114783.49088543336
116390.6640625,118963.90151042998
112773.03125,119416.79335939664
115212.15625,118146.84798178336
117103.890625,119894.96484375
127747.1875,121305.45138021665
120255.9765625,120928.18156250664
121427.171875,116211.71302080006
115820.7421875,116614.03778645006
108676.375,120029.55197916995
113890.734375,115990.17325520006
110576.5234375,120863.51145831669
115102.9921875,110066.81606773332
110973.6484375,115905.25744792332
113912.0390625,113353.27578128665
111291.75,110731.98610025832
106731.578125,120331.86489581336
114961.8203125,110336.83994788668
107522.890625,110218.42270832002
107064.3828125,109642.91078126
105801.0,112071.47950522332
106226.6015625,115317.85367188332
108830.125,108256.8069531167
112711.4375,106741.14195317328
105965.15625,111613.39796877332
103613.5546875,107333.8882552566
99585.703125,111942.70968747335
103836.171875,108453.77408858325
103879.4921875,108960.64807291338
100078.515625,112483.18497393672
100834.2578125,109656.64338540335
105179.8515625,104523.96830730666
102331.15625,103764.83695312002
98467.84375,109032.56744791666
102500.5859375,105428.83330724672
108585.140625,111786.62643228
95891.3203125,102413.70585936667
105598.8515625,96188.41088540333
107939.3515625,96371.53421872332
100652.515625,93334.12382813332
105385.90625,93634.91166663334
100818.140625,101224.70828126332
102861.734375,94662.70505210996
97899.1796875,91803.33828125664
103796.21875,94208.33598956336
99916.59375,91432.88453123331
100728.375,90180.80296873332
99571.234375,100073.2889844033
104692.1328125,90168.30763020998
101930.4296875,94211.57148437668
101049.5859375,91584.335
93908.375,94705.66389972504
89578.0546875,91673.21716146664
98043.296875,94060.92841144004
99701.5546875,89618.52638022666
95075.59375,89692.37484373334
96593.5078125,87056.61395832335
97494.6953125,84499.10075521668
87754.234375,92962.42007812332
97957.3359375,89161.63635416668
97015.125,86716.64924482662
89078.6015625,88535.44328122998
95432.6015625,89958.7708854167
90827.2265625,84324.07177734165
102040.875,90256.3761197567
89929.2890625,89959.84976563328
87242.0234375,91152.31880207664
84383.4921875,92229.37497396332
95701.109375,87549.29914063668
97575.7109375,85898.49908854665
95649.3828125,92237.13929690998
88295.53125,90628.04296874
94186.40625,97616.80286456006
89190.234375,96085.61325516007
96057.46875,91757.77796871006
91879.609375,92903.81448566665
89674.8203125,94941.39971353002
89255.3515625,93991.37981771
87837.15625,90946.09239580003
83412.984375,93454.52200520002
93434.21875,87949.84354166003
85208.0390625,92803.72932292664
84233.1484375,91668.54484374668
74943.90625,93339.81567706003
96326.6328125,92738.75263022332
92366.5,91412.86934896668
83495.5703125,87210.25523439662
87414.15625,92705.68157550837
87819.6328125,91790.85333329342
85854.1796875,90041.17187499673
79874.3203125,88332.60585939
81778.890625,88395.00216143671
83824.609375,87720.02520832335
85947.4609375,90546.05666666332
87607.5625,87987.01401046326
