Predictions,Actual Values
97127.6953125,100824.75041667667
97514.046875,95353.29421873004
97585.90625,100304.99786458998
96469.6953125,94397.89945315996
98280.1171875,105565.56778646995
98384.0078125,92318.77148437666
97835.03125,101491.21835937668
98665.546875,96341.5558853867
99330.6484375,95776.78690106668
98158.6953125,94319.12177084998
97420.765625,99191.9745833466
98437.515625,92063.62272135416
98259.9140625,98227.69476562
97656.9375,97113.87179689664
97581.5234375,89835.58229170999
99430.0078125,94690.99768232329
97834.9765625,91826.83309896998
97323.140625,95555.30015624
98255.46875,96971.60132811332
99766.1015625,91107.16559897667
97150.8828125,95138.89286457669
98541.375,94114.00057292
97741.90625,88163.91932292999
99549.90625,95165.53271483752
98593.4765625,96839.33645832996
98223.6640625,92238.29776041668
98626.3203125,87177.47651043
99526.2109375,94408.28359374336
101257.390625,92533.18401045995
102318.1640625,91411.47718749
102742.4453125,94467.34984374666
102424.5859375,94382.79164059002
101223.0390625,94841.02690103
101990.84375,90713.62695312
103615.625,93033.61875000333
105185.2578125,95857.97610680832
106108.109375,90748.71195313668
106991.625,93051.76557293996
107327.75,95571.31679693662
110812.125,91809.78052084
112757.5703125,92820.14882812332
113126.453125,99858.72164064
114868.96875,93680.26515624668
116084.6328125,91881.80257812004
116716.40625,100453.44153647331
118015.3828125,92201.31752601668
118797.953125,99302.4218489567
121947.015625,97242.31513671669
124606.59375,99829.10210939996
124438.921875,93366.03914063332
125269.359375,98262.3698003512
128822.4296875,102731.82611982332
128216.234375,97236.5154687267
132982.140625,109691.53848960328
133990.359375,97595.78539059332
133515.984375,104370.56736979003
136908.328125,99266.63364583664
137436.953125,99878.75927080006
138209.171875,100471.73390624336
139449.234375,106568.15322264584
141798.40625,98264.90968746669
142005.53125,102163.94986975666
143440.109375,106608.56229163006
147258.96875,108476.31377604666
146966.3125,103973.55518228337
147686.34375,104305.8301302333
149104.3125,104925.35617185004
152157.09375,107399.16083333
149522.046875,102651.04320311004
153054.1875,111690.67997395336
151257.625,112724.36226561332
151953.84375,102149.39925133328
153797.703125,100745.31494792334
154556.546875,104677.75658850335
149280.515625,100073.51130210997
154020.78125,102075.27039062
151975.390625,99952.17901040336
152824.484375,109657.15580726336
152684.15625,110547.07700518669
155710.875,114129.64945310002
154628.90625,112302.15617188664
152226.578125,112975.98059896006
152483.78125,110736.8350781067
151701.09375,112079.44208985422
152700.859375,117488.19789066329
151457.3125,112014.74682288672
151414.953125,110325.37455730332
151630.703125,121429.32039065994
150809.796875,105028.79807290006
151108.078125,107234.73934896335
150307.4375,100805.97619791668
150641.828125,107234.1347395667
148800.21875,108235.80734372672
149631.53125,109639.2484896033
147688.6875,109818.41502605996
148919.34375,108009.27190750004
148078.03125,109534.51528645
148622.328125,118238.80781249664
149728.75,118240.84291662008
147192.78125,121435.65830731994
150304.84375,120549.6797916866
147609.3125,117140.46252605668
151234.953125,116046.92638021668
149750.3125,108751.13481773996
148774.9375,105662.2211458167
148033.8125,121486.25033854664
149773.75,121588.16747397665
147386.8125,112969.03404949994
150012.59375,116107.2529426734
150251.484375,119200.60408854664
152939.84375,116570.70523436335
149135.984375,117607.04833330668
149423.984375,121349.19088544662
151794.28125,120151.37039064664
152045.265625,115919.44049479337
152475.125,122233.92580729332
154852.828125,122898.09932289006
152568.171875,117230.48473958006
153399.796875,121110.27171877328
155788.484375,114100.04596353335
154260.78125,118822.44533854665
154148.625,116836.10742190332
154436.4375,115483.12859374667
152763.40625,109930.55596353002
154622.90625,103650.98057290002
154419.109375,109397.64276041
153782.484375,106583.83406246008
152111.71875,100886.68192707335
154033.734375,117638.68156248
153175.109375,121819.54885417664
153120.078125,126723.27752605664
152987.484375,116575.20960290413
150602.84375,119773.60664062
152849.1875,120456.41492186332
151804.109375,116006.40067709662
151602.171875,124780.00231772664
149628.203125,114734.81744791663
148591.921875,124288.45658853005
147343.875,127417.55450521002
146394.328125,115264.14757813998
145648.34375,121112.15781248
143498.8125,115117.51854166664
142685.25,121392.04463540336
144531.453125,119591.07093100414
142740.453125,117132.69278646998
143808.703125,111875.45273438664
142932.40625,113730.32960934
141464.046875,117369.1162500133
136666.828125,127731.86664063665
135047.015625,115664.6148437134
138295.734375,121711.29054687994
137763.046875,113144.62994794002
135037.53125,114867.43638020002
133697.125,123355.80458333663
133904.21875,122933.88776042333
130923.0234375,122718.09775389585
131249.421875,122380.92317706332
129911.6953125,116256.51499999668
130457.4765625,121373.23005211662
129792.8828125,123707.6388802067
129209.9453125,123036.90765623668
128669.859375,114485.18942706668
125624.953125,124318.27937501662
126321.4453125,118090.53684896664
124335.84375,122980.70289061664
125808.328125,120389.69716147332
123044.046875,117893.56484377662
124106.703125,125819.09388019587
121770.2109375,116158.75372397668
122951.71875,121220.5973697734
123034.3203125,127179.79705729664
121112.1875,127404.95164062332
119307.640625,118963.5501562866
118175.5,120926.1183073133
119804.9140625,121298.57773438668
119676.6640625,109358.54130211996
119970.90625,111232.75221353336
120326.3671875,106613.16934895336
120715.078125,109723.33354170994
120356.1484375,108984.5270507916
119810.96875,122505.85778646333
118263.8828125,121452.00164062668
119008.9921875,111791.75502605663
119772.4296875,115996.92320311331
120489.3125,99448.43841148994
117412.390625,106545.22450519
120371.9140625,105105.61723957334
119323.234375,99930.34679688
119623.390625,105293.65421872668
116211.8671875,104566.77492189668
115309.015625,108780.21916667333
117839.890625,112167.43671870836
117630.2890625,118295.38739583331
118552.8828125,116789.37304687664
117906.921875,109704.88799477337
117185.828125,120114.02281248671
119339.46875,113935.16505205006
119153.953125,110980.84046874003
117622.21875,110684.22520833
118244.328125,112137.4929947767
117600.3828125,114981.20531250667
117227.96875,109890.7976302267
118074.671875,109477.07268227336
119182.796875,111391.99407550832
118962.78125,106884.55567708332
119827.5546875,104273.75231771002
117149.0234375,108050.62203125666
120866.1171875,106939.57325518668
117885.6796875,104754.48153645334
119205.28125,106738.45455728332
118278.1328125,112988.53192708331
118658.4453125,108505.09213540336
120132.546875,107901.51505207668
121751.140625,105217.66036454673
122067.9765625,109609.79606771668
121303.84375,110079.66741538746
118675.7578125,110776.83380212328
118406.9921875,113023.46247394006
118287.859375,124759.40091146668
116435.1875,105018.74515623004
115682.4609375,100353.80026040335
115219.5234375,108282.31559896
114326.5234375,107746.02414062666
117546.4296875,108842.88263021332
114511.96875,114451.70359378665
114560.1015625,114982.45268231662
115016.6015625,106376.54973958
115838.0625,102151.24208985834
114125.734375,112330.55468748668
115457.0546875,114181.30398439664
113093.5,104544.90614584
111348.671875,108502.06695314996
112554.453125,110936.1783072933
113363.953125,109287.46960939
115100.0390625,106572.5192968933
112049.2578125,111673.98526042666
113769.25,108208.19255209666
113784.125,102457.67947916336
112972.7578125,105257.72088541334
110911.1640625,103049.86748045417
114790.515625,98974.00984376331
110695.5859375,103603.64963542332
111679.1953125,99057.10789065664
110574.8671875,101697.54914063668
110575.9296875,98538.59385417332
109111.1015625,97233.25968747668
109432.515625,108079.61127602
109893.859375,97891.91731768004
110306.84375,99739.7110677
110671.375,106004.67723958334
110243.4921875,100038.31929690664
107696.8359375,99749.3111653958
104205.171875,104992.19541667005
106155.6171875,99609.58851561332
107128.6484375,99414.78059896336
105876.203125,97640.12763020334
105996.25,98714.62244789334
104989.859375,106033.62023436668
103174.4296875,97956.61447915
105083.7265625,94481.58955732996
105078.6953125,104226.11786459669
104541.75,94302.22585937667
102700.3359375,98100.65406248334
104630.3046875,99355.87057293332
104734.015625,103174.45692707332
104348.1171875,99899.67088537672
103799.7421875,97168.13466143668
105597.6328125,100143.2778125433
103651.4921875,96247.98424479998
103111.1953125,100061.17666666328
104398.7421875,100004.84348959332
103881.8828125,100928.52398436662
103205.953125,95519.12471353334
101713.09375,101859.46544273665
102258.6875,94656.27705731663
103294.75,97962.34752604582
102217.8671875,106162.20494789004
102908.578125,99730.13822915002
102657.28125,93997.96924479998
101956.1171875,99569.56088539337
101855.8359375,101657.05731771664
100569.9609375,98539.60815103338
102248.5078125,94278.9695573
100911.3515625,102438.38265623004
102709.75,99236.67669270666
101366.2578125,95118.47726559338
101120.5390625,99919.49518228334
102648.4375,105102.74124349584
95665.5859375,97500.87083334332
96677.3671875,101138.04713545326
96912.7265625,96411.71156251334
96159.3203125,100016.5666927
97846.359375,95740.04502607326
94713.34375,93182.35367187
95515.1328125,100488.57770832
97787.7421875,98448.54510417
95198.1015625,93455.8897656533
96210.6796875,98424.06984375331
93701.53125,98857.1850259834
93732.96875,92411.28408202504
95741.828125,100323.86911458331
95080.3515625,99385.83119791
91226.4765625,93824.40208333668
96237.578125,96099.06539063664
94318.953125,97048.08039064331
93721.3359375,101041.02708333002
92797.125,99511.18002605332
94365.375,94448.25601558339
92440.4375,99543.57585936002
93228.90625,93413.86619788336
93602.2421875,97570.80901040668
93976.6875,112584.66087241248
91269.109375,130314.33195309338
93494.46875,124621.28190104663
93302.5390625,136317.49127603002
94100.53125,131673.78859374332
96004.1484375,131399.64122394667
94105.6796875,138786.06382813994
93453.640625,133095.57635416664
93862.1328125,127287.25539063668
93005.296875,137200.34601562665
92829.90625,127004.0217968733
92786.9609375,136728.09265625
95732.8203125,137310.86555989587
98659.1875,123961.17125002
98839.09375,129551.51023437998
102053.4140625,116378.79205731332
