Predictions,Actual Values
96677.1875,102741.20981773332
95935.2890625,100493.86864584664
100028.7578125,99813.62697917334
91860.9921875,100592.28348959668
93652.6796875,97921.59832250171
103267.203125,103680.6845573
101293.8984375,99085.00460936002
101506.7265625,98677.52432289004
102262.8125,102125.37940101336
95909.1015625,98190.6976822767
98873.4609375,97108.96328125002
109883.1796875,97492.35309249998
103175.171875,99515.73322917
113523.1875,96904.99153647332
104263.0546875,98370.45898437334
111150.6640625,97238.94916666333
107189.46875,95657.84479168332
103650.109375,102796.02882813336
101169.171875,92730.62666663669
113517.265625,101695.2961457967
110555.5546875,94726.72458333331
107727.6015625,98751.26604163004
111548.546875,93895.3208072667
117780.8125,99905.26598306248
113971.765625,99691.90250001002
117943.3515625,98979.25088539335
111153.078125,105147.69054684338
118326.4765625,97762.33833329672
120297.1171875,104876.3964255886
114870.09375,107716.4607552433
118081.6171875,117908.6484635633
128389.0078125,116967.96742184338
129975.34375,113133.25216143335
127923.0390625,120745.34122396664
124647.703125,123259.14635418664
131971.96875,137345.54303385
130651.78125,128781.23239585002
125176.828125,127086.17721352667
128482.28125,124412.80510415668
132119.328125,125054.19677081666
143162.9375,122621.31505205338
136164.046875,128103.94682291007
138363.625,133785.1286718833
145588.015625,134808.74346354333
145878.578125,135664.12601562665
142405.5,143876.93515625
142273.21875,145387.72588541667
157755.703125,150437.32760416667
151383.109375,141047.70497397
150929.609375,148766.72447916667
155500.9375,146076.17067708337
159446.8125,161117.10927083335
161393.203125,167674.25825668898
166828.6875,164912.41395833335
162228.9375,173907.913125
165390.96875,176081.58661458333
163192.890625,178146.53
174509.28125,178498.71744791663
171098.484375,188792.41208333333
169381.453125,181281.83352864586
172599.9375,177047.3590625
181407.28125,175953.69677083337
172270.8125,175705.34317708333
177531.078125,176941.115625
185750.375,185671.75979166667
180552.65625,174935.610625
178068.84375,171590.8065625
184201.328125,184247.56697916667
181154.859375,178704.03770833337
184024.8125,176703.64515625
185376.34375,186155.62385416665
184413.96875,177641.0466796875
189459.875,180478.56802083328
185342.828125,172730.71713541663
189022.671875,182401.75151041665
189073.703125,191882.9942708333
195032.28125,199315.22810409684
194599.84375,192946.10755208333
190793.765625,188115.3577083333
190769.234375,189194.76864583333
197408.359375,183825.47229166672
186228.96875,185929.04213541668
189178.578125,190846.44765624998
189021.265625,192911.1310546875
200514.390625,182272.8486458333
193757.296875,184624.78182291667
191668.328125,183203.25203125
195603.0,187262.23947916663
189625.890625,192130.88546875
193864.71875,189517.25052083333
186779.703125,188122.21151041667
196027.46875,186570.5036458333
196899.328125,179495.86057291663
192474.25,187134.7655208333
193051.9375,184090.49427083333
194074.578125,187317.124609375
199320.75,174111.57942708337
198900.65625,173809.36942708332
203443.828125,172130.24088541663
202986.59375,177400.55947916667
200552.65625,180701.5804243311
200127.109375,181767.43734375
196212.71875,189434.2330729166
196733.859375,185310.2459375
191888.71875,191772.13109375
199458.421875,201198.50708333333
198516.46875,200570.15244791663
193414.03125,201054.4723958333
196088.46875,198189.1626041666
196575.546875,207247.89374999996
195586.328125,210782.06505208326
198042.21875,211739.92312499997
198956.3125,214080.08171874998
196536.703125,216096.48677083326
196022.546875,215455.92411458326
205875.328125,209548.95026041663
192204.453125,204379.55234374997
201704.15625,218262.19307291665
186780.640625,214370.66734374998
197672.96875,212342.7399739583
191508.734375,207703.35661458326
187087.546875,205832.69333333333
190071.5625,209098.09260416665
199111.203125,212317.77578125
193428.65625,214464.7348975752
187577.234375,216438.41265625
190394.390625,212599.54682291663
191234.03125,207454.60677083328
187601.953125,207127.72416666662
185359.484375,208516.95557291663
187949.953125,206329.89046875
190793.1875,214026.23190104167
186221.40625,199396.15640625
179284.546875,199805.50734375
182279.375,199244.1884375
181184.609375,198664.96609374997
187702.9375,188919.12005208328
182374.140625,189125.7803125
181514.375,174024.57932291663
176710.953125,181668.9428125
181104.796875,175472.52229166665
171368.640625,174069.24541666667
173151.859375,168728.2621875
172107.4375,175865.55846354167
167552.40625,172448.98666666663
174859.640625,164506.76484375
174072.734375,166861.04177083337
170425.953125,162222.30692708332
168451.625,159352.86109375
170122.03125,159105.34677083333
164680.65625,165779.8590104167
159901.515625,165660.35197916668
162054.921875,166625.3365625
160652.90625,161055.6488020833
167451.5625,166595.96229166663
166469.34375,164299.77447916663
161394.296875,161548.73927083332
158209.15625,158319.26192708337
156027.015625,162314.6053125
158041.765625,157841.67072916665
147521.359375,162987.92557291663
147515.078125,168761.2691666667
148950.5,159909.699375
149693.765625,152639.74463541663
147961.390625,156525.42651041667
153577.796875,145410.83916666667
146447.796875,145913.77052083332
141685.6875,150988.17063802082
140633.4375,148081.4021875
148954.546875,145811.3084375
140192.421875,147669.48572916663
137669.390625,143989.24140625
140029.421875,142164.1365625
145425.46875,140771.09536458337
139411.171875,148356.54807291663
142697.6875,150659.03307291667
147319.390625,146753.91041666668
140728.0,138380.01854168993
137883.765625,136283.32828125
137806.609375,137790.02740885832
134199.34375,133692.97734374664
138237.046875,139642.10520833332
138524.234375,134964.04697916665
137127.359375,130523.71567707336
132771.296875,134907.09184896667
134617.78125,132627.3410676967
131196.015625,128962.87223957667
132098.5625,130036.47601563994
136775.375,126147.39416665667
