Predictions,Actual Values
105350.25,102741.20981773332
101006.34375,100493.86864584664
105667.515625,99813.62697917334
100252.6875,100592.28348959668
107768.21875,97921.59832250171
102813.3515625,103680.6845573
104669.0703125,99085.00460936002
101589.4609375,98677.52432289004
103074.546875,102125.37940101336
107756.5078125,98190.6976822767
108128.6640625,97108.96328125002
106744.8515625,97492.35309249998
104933.3984375,99515.73322917
104866.1171875,96904.99153647332
109504.859375,98370.45898437334
108772.5078125,97238.94916666333
113718.9296875,95657.84479168332
111688.375,102796.02882813336
108833.8515625,92730.62666663669
111340.5390625,101695.2961457967
112950.203125,94726.72458333331
116845.84375,98751.26604163004
117371.4921875,93895.3208072667
117252.5625,99905.26598306248
118079.703125,99691.90250001002
116758.40625,98979.25088539335
118348.546875,105147.69054684338
122902.34375,97762.33833329672
123127.4921875,104876.3964255886
125879.5390625,107716.4607552433
126731.0078125,117908.6484635633
128720.0546875,116967.96742184338
131421.578125,113133.25216143335
128450.390625,120745.34122396664
130761.3046875,123259.14635418664
133280.4375,137345.54303385
137757.265625,128781.23239585002
137536.375,127086.17721352667
139213.1875,124412.80510415668
140380.15625,125054.19677081666
144298.578125,122621.31505205338
146503.609375,128103.94682291007
147054.59375,133785.1286718833
144619.65625,134808.74346354333
150423.71875,135664.12601562665
150426.375,143876.93515625
150782.25,145387.72588541667
158912.703125,150437.32760416667
153892.8125,141047.70497397
159519.609375,148766.72447916667
158012.6875,146076.17067708337
158895.3125,161117.10927083335
164355.75,167674.25825668898
164426.75,164912.41395833335
169900.828125,173907.913125
170562.84375,176081.58661458333
170731.46875,178146.53
172493.640625,178498.71744791663
174808.1875,188792.41208333333
175808.328125,181281.83352864586
177755.96875,177047.3590625
180459.75,175953.69677083337
178921.453125,175705.34317708333
183410.21875,176941.115625
183060.890625,185671.75979166667
183369.09375,174935.610625
186295.703125,171590.8065625
186534.546875,184247.56697916667
188282.953125,178704.03770833337
189625.265625,176703.64515625
189235.15625,186155.62385416665
194860.21875,177641.0466796875
194513.734375,180478.56802083328
194749.953125,172730.71713541663
196618.9375,182401.75151041665
196079.4375,191882.9942708333
199812.25,199315.22810409684
200791.84375,192946.10755208333
198404.078125,188115.3577083333
198845.734375,189194.76864583333
199508.859375,183825.47229166672
202537.015625,185929.04213541668
199053.609375,190846.44765624998
204689.921875,192911.1310546875
202484.53125,182272.8486458333
205780.890625,184624.78182291667
203747.46875,183203.25203125
203607.46875,187262.23947916663
203021.84375,192130.88546875
204334.046875,189517.25052083333
204612.859375,188122.21151041667
205460.9375,186570.5036458333
206805.921875,179495.86057291663
205164.8125,187134.7655208333
204726.578125,184090.49427083333
203902.359375,187317.124609375
207518.171875,174111.57942708337
205695.125,173809.36942708332
205623.125,172130.24088541663
204421.703125,177400.55947916667
207161.390625,180701.5804243311
204305.015625,181767.43734375
205084.59375,189434.2330729166
205158.71875,185310.2459375
205864.75,191772.13109375
206141.671875,201198.50708333333
205771.21875,200570.15244791663
203400.21875,201054.4723958333
205274.984375,198189.1626041666
206873.203125,207247.89374999996
201902.96875,210782.06505208326
202695.75,211739.92312499997
205534.296875,214080.08171874998
201373.734375,216096.48677083326
199249.859375,215455.92411458326
204678.625,209548.95026041663
202194.03125,204379.55234374997
199882.5625,218262.19307291665
199855.84375,214370.66734374998
196278.046875,212342.7399739583
195503.984375,207703.35661458326
199657.796875,205832.69333333333
196552.859375,209098.09260416665
194976.421875,212317.77578125
196308.578125,214464.7348975752
195179.25,216438.41265625
196104.78125,212599.54682291663
191251.03125,207454.60677083328
192541.015625,207127.72416666662
194053.375,208516.95557291663
186790.703125,206329.89046875
189807.578125,214026.23190104167
186752.375,199396.15640625
186920.03125,199805.50734375
190629.65625,199244.1884375
186827.65625,198664.96609374997
181992.75,188919.12005208328
184457.703125,189125.7803125
182870.515625,174024.57932291663
184232.96875,181668.9428125
175328.515625,175472.52229166665
178578.59375,174069.24541666667
181593.609375,168728.2621875
179845.171875,175865.55846354167
173108.734375,172448.98666666663
174318.609375,164506.76484375
174718.234375,166861.04177083337
174044.109375,162222.30692708332
170188.109375,159352.86109375
171340.4375,159105.34677083333
168962.765625,165779.8590104167
166064.25,165660.35197916668
164403.671875,166625.3365625
166032.65625,161055.6488020833
160781.484375,166595.96229166663
160218.90625,164299.77447916663
161535.5,161548.73927083332
160953.171875,158319.26192708337
160561.1875,162314.6053125
156300.96875,157841.67072916665
155427.390625,162987.92557291663
157740.734375,168761.2691666667
155672.609375,159909.699375
151147.734375,152639.74463541663
152334.78125,156525.42651041667
148983.125,145410.83916666667
149936.46875,145913.77052083332
146910.421875,150988.17063802082
147148.015625,148081.4021875
147235.390625,145811.3084375
145324.21875,147669.48572916663
144004.1875,143989.24140625
143916.25,142164.1365625
144011.71875,140771.09536458337
139880.75,148356.54807291663
140068.28125,150659.03307291667
141268.671875,146753.91041666668
140726.578125,138380.01854168993
140742.75,136283.32828125
139019.703125,137790.02740885832
139114.40625,133692.97734374664
134961.609375,139642.10520833332
136487.59375,134964.04697916665
132435.421875,130523.71567707336
133345.4375,134907.09184896667
135133.65625,132627.3410676967
135488.515625,128962.87223957667
136236.25,130036.47601563994
132926.796875,126147.39416665667
132631.8125,124473.1078646033
133562.90625,130222.12929685334
129642.203125,128655.95397136247
133189.859375,128062.22828128329
130953.203125,143495.57557291663
131879.078125,139862.91901041663
130008.7265625,141969.12713541667
131648.0,140509.4840625
129583.40625,135617.83489584
130818.5625,136129.71031249335
129425.8359375,133352.93820312337
130524.171875,129765.69713540337
131287.859375,139358.14125
127330.8359375,137934.64348958337
132919.09375,139231.73717447915
126844.734375,128008.85325522664
127696.6640625,127853.60359375
128499.1015625,123817.27515624336
128595.5625,120927.26947918994
127422.6640625,124579.68406252998
128916.7890625,122809.80723956
129053.9296875,125762.3801042033
130022.203125,124673.32729169664
128489.0,127316.98723958334
128515.078125,126549.07208333332
127600.9453125,127623.91036457001
123633.7109375,121152.85602212914
126135.203125,128114.10713541336
124747.2734375,125433.83960936006
129875.921875,123663.98736980332
130632.96875,119132.48322916002
127620.1171875,121424.10601563664
126865.8515625,119946.82812500336
126025.703125,118275.44333334995
127182.796875,122677.39502605336
125872.5078125,119488.56283855994
126753.9296875,113407.42427082006
126340.78125,122820.93091146332
127529.453125,118152.92561848748
124571.375,120420.33752605664
123287.453125,120660.70119791
123995.7421875,116249.80789066662
125280.9921875,119606.7663020667
120844.9609375,117402.95731772335
122089.0546875,118737.9495573333
120509.4296875,117010.28937497336
120966.953125,115456.88783853002
120834.28125,109413.80770831335
119745.8984375,113613.56065104336
120041.34375,108944.66070314996
120280.6875,112483.86064453748
118447.8671875,112333.27119792
117645.3671875,112353.52447917
116315.125,113953.0176822567
119647.0,106043.67341144668
117371.546875,114296.74911458
118369.828125,105928.6398176867
116756.3203125,112296.74822916668
117095.6484375,110178.7054426767
117788.8046875,106841.74872394666
114133.5859375,109069.92036458332
116123.296875,109475.93192707002
115938.046875,111232.45328774168
116296.84375,108280.29625000997
112378.921875,113974.25013018008
113746.40625,106950.41932291003
115214.046875,108010.42903644669
112647.9765625,113293.96679685336
115564.9140625,107522.42429691662
109546.3359375,108468.41236979666
107869.953125,106408.47619792665
111443.53125,106571.89690106665
108421.0390625,109394.62197917
107346.53125,118112.92632809006
107004.96875,107912.73958335412
110097.1953125,115936.80377603664
109789.5,111601.72578125
108568.40625,111412.50192708331
109403.78125,115345.91458334331
104555.3984375,113554.36888020668
108352.3828125,108014.240625
106539.671875,112244.18690104665
102878.1484375,111164.32265624666
108363.921875,107183.75177085664
103870.9921875,110017.05812499336
102529.65625,101339.37372397
104436.0390625,109736.961230475
100344.0,102095.60085939664
101032.09375,110133.45552081669
105392.2890625,106062.79244791003
107771.4921875,107015.18661458995
99796.125,106237.58583336996
102076.546875,103831.18023437
103954.1953125,110293.27770835665
100395.5,96352.59328123336
102687.453125,105393.43523438997
99222.9765625,98995.30010414668
101283.6640625,103278.4089062001
103537.7890625,103155.59570313749
103025.2578125,104931.08895832664
98481.1796875,101420.82716146666
102132.4296875,100758.66184890672
98265.0625,105871.75580728668
102755.5390625,98404.07249999
99154.78125,99848.22445312332
100994.0703125,98748.30221356332
100053.4765625,99224.11552086
99624.453125,99208.70927081667
103131.0859375,105100.11492188332
104151.1953125,97065.07958333666
103938.5546875,104610.75468751253
103204.1484375,102297.08164063998
103776.765625,101360.65158854668
105296.3515625,101668.74492189
106281.6015625,97584.38416667996
107163.9609375,99937.43414062331
109581.1328125,94072.42591146663
104122.53125,100833.03888022334
109473.7265625,95008.62721356664
109833.140625,94552.66989581002
112110.7265625,97270.02942705002
112982.5234375,95698.6033073233
113909.515625,98477.98499345416
114905.0703125,99844.71184895663
115199.9140625,97497.42697917332
116161.7265625,99649.06354165004
118738.765625,99354.66171873336
118309.5,98644.66697916332
122062.5703125,99894.10075521332
123855.046875,99077.29447917332
125217.7578125,100998.31914065997
