Predictions,Actual Values
85601.8203125,102741.20981773332
94880.71875,100493.86864584664
94524.515625,99813.62697917334
99074.484375,100592.28348959668
96781.1953125,97921.59832250171
102203.3984375,103680.6845573
97652.4296875,99085.00460936002
97952.03125,98677.52432289004
98116.6875,102125.37940101336
99097.2421875,98190.6976822767
103354.6171875,97108.96328125002
96876.9453125,97492.35309249998
106608.4375,99515.73322917
106927.953125,96904.99153647332
109760.875,98370.45898437334
112290.3828125,97238.94916666333
106612.0859375,95657.84479168332
96418.78125,102796.02882813336
106655.484375,92730.62666663669
100311.328125,101695.2961457967
105654.1171875,94726.72458333331
103052.7734375,98751.26604163004
111629.0078125,93895.3208072667
106892.5625,99905.26598306248
117285.0625,99691.90250001002
108594.7421875,98979.25088539335
111848.078125,105147.69054684338
118947.203125,97762.33833329672
125894.6875,104876.3964255886
124477.0546875,107716.4607552433
114662.1953125,117908.6484635633
123012.25,116967.96742184338
120520.359375,113133.25216143335
120948.515625,120745.34122396664
135854.5,123259.14635418664
137962.796875,137345.54303385
126889.640625,128781.23239585002
133989.734375,127086.17721352667
144511.875,124412.80510415668
136872.828125,125054.19677081666
140366.375,122621.31505205338
128818.8515625,128103.94682291007
139378.5625,133785.1286718833
147527.921875,134808.74346354333
144233.3125,135664.12601562665
147792.484375,143876.93515625
148464.78125,145387.72588541667
152616.453125,150437.32760416667
149175.71875,141047.70497397
158044.34375,148766.72447916667
152171.59375,146076.17067708337
155769.6875,161117.10927083335
163745.28125,167674.25825668898
160412.140625,164912.41395833335
163240.0625,173907.913125
159007.703125,176081.58661458333
174060.484375,178146.53
159883.296875,178498.71744791663
173353.484375,188792.41208333333
174263.46875,181281.83352864586
175676.5625,177047.3590625
171138.671875,175953.69677083337
180103.5,175705.34317708333
183503.21875,176941.115625
171894.125,185671.75979166667
183560.40625,174935.610625
180206.46875,171590.8065625
182988.15625,184247.56697916667
180358.046875,178704.03770833337
180351.53125,176703.64515625
185878.703125,186155.62385416665
192360.53125,177641.0466796875
189914.21875,180478.56802083328
199826.09375,172730.71713541663
195655.09375,182401.75151041665
190463.3125,191882.9942708333
185816.46875,199315.22810409684
187771.40625,192946.10755208333
193391.21875,188115.3577083333
189271.078125,189194.76864583333
188687.84375,183825.47229166672
190435.015625,185929.04213541668
185275.171875,190846.44765624998
185860.625,192911.1310546875
193429.796875,182272.8486458333
194788.296875,184624.78182291667
187199.953125,183203.25203125
192591.3125,187262.23947916663
184040.484375,192130.88546875
194915.875,189517.25052083333
193213.609375,188122.21151041667
195181.9375,186570.5036458333
194951.609375,179495.86057291663
193899.4375,187134.7655208333
188494.046875,184090.49427083333
189979.875,187317.124609375
189136.046875,174111.57942708337
190860.109375,173809.36942708332
196039.203125,172130.24088541663
181485.484375,177400.55947916667
180243.265625,180701.5804243311
190158.96875,181767.43734375
184656.515625,189434.2330729166
187933.53125,185310.2459375
187739.75,191772.13109375
187147.46875,201198.50708333333
190098.34375,200570.15244791663
188752.25,201054.4723958333
191719.84375,198189.1626041666
187792.609375,207247.89374999996
196870.203125,210782.06505208326
198818.03125,211739.92312499997
186494.5625,214080.08171874998
196656.953125,216096.48677083326
183876.96875,215455.92411458326
188057.765625,209548.95026041663
197072.265625,204379.55234374997
186365.65625,218262.19307291665
189764.046875,214370.66734374998
190761.484375,212342.7399739583
182771.609375,207703.35661458326
181494.671875,205832.69333333333
190160.203125,209098.09260416665
197934.546875,212317.77578125
175651.71875,214464.7348975752
187896.859375,216438.41265625
185918.609375,212599.54682291663
191361.296875,207454.60677083328
182428.46875,207127.72416666662
184644.96875,208516.95557291663
178908.546875,206329.89046875
191043.234375,214026.23190104167
179119.546875,199396.15640625
