Predictions,Actual Values
103741.4453125,102741.20981773332
95777.2109375,100493.86864584664
106095.6484375,99813.62697917334
97983.4453125,100592.28348959668
98963.421875,97921.59832250171
101328.0859375,103680.6845573
105434.40625,99085.00460936002
100381.8203125,98677.52432289004
102401.3203125,102125.37940101336
101940.1953125,98190.6976822767
99334.640625,97108.96328125002
102405.6171875,97492.35309249998
103484.0234375,99515.73322917
96535.078125,96904.99153647332
99931.3046875,98370.45898437334
103108.828125,97238.94916666333
105230.671875,95657.84479168332
110969.921875,102796.02882813336
98882.7265625,92730.62666663669
109229.375,101695.2961457967
97545.03125,94726.72458333331
107276.40625,98751.26604163004
107995.5,93895.3208072667
107164.8828125,99905.26598306248
108048.9765625,99691.90250001002
111222.6640625,98979.25088539335
109536.9296875,105147.69054684338
113313.890625,97762.33833329672
115517.4296875,104876.3964255886
125176.3671875,107716.4607552433
123078.1640625,117908.6484635633
121338.1953125,116967.96742184338
128050.515625,113133.25216143335
119889.375,120745.34122396664
126162.7265625,123259.14635418664
129794.4140625,137345.54303385
130041.375,128781.23239585002
135498.953125,127086.17721352667
129646.65625,124412.80510415668
130833.0390625,125054.19677081666
136626.96875,122621.31505205338
139439.890625,128103.94682291007
139359.296875,133785.1286718833
146241.46875,134808.74346354333
140608.65625,135664.12601562665
153845.734375,143876.93515625
149164.46875,145387.72588541667
153989.3125,150437.32760416667
160935.546875,141047.70497397
161266.796875,148766.72447916667
165015.6875,146076.17067708337
160548.9375,161117.10927083335
167932.125,167674.25825668898
174702.140625,164912.41395833335
173073.1875,173907.913125
174652.609375,176081.58661458333
174903.453125,178146.53
175505.328125,178498.71744791663
170629.375,188792.41208333333
179674.640625,181281.83352864586
184050.1875,177047.3590625
177197.671875,175953.69677083337
181282.640625,175705.34317708333
183914.734375,176941.115625
186373.5625,185671.75979166667
192779.59375,174935.610625
187949.609375,171590.8065625
191173.3125,184247.56697916667
185111.15625,178704.03770833337
196107.640625,176703.64515625
187532.75,186155.62385416665
194765.859375,177641.0466796875
186888.65625,180478.56802083328
189458.453125,172730.71713541663
192305.828125,182401.75151041665
191407.0625,191882.9942708333
196210.421875,199315.22810409684
191666.96875,192946.10755208333
189699.828125,188115.3577083333
191780.203125,189194.76864583333
190266.34375,183825.47229166672
196391.125,185929.04213541668
192181.390625,190846.44765624998
193536.453125,192911.1310546875
194796.96875,182272.8486458333
195110.65625,184624.78182291667
192343.15625,183203.25203125
186789.40625,187262.23947916663
182818.03125,192130.88546875
188444.09375,189517.25052083333
194807.984375,188122.21151041667
191918.875,186570.5036458333
186480.953125,179495.86057291663
183945.796875,187134.7655208333
188622.84375,184090.49427083333
185411.375,187317.124609375
189150.59375,174111.57942708337
187323.71875,173809.36942708332
179162.9375,172130.24088541663
193230.578125,177400.55947916667
188446.875,180701.5804243311
190802.875,181767.43734375
186620.75,189434.2330729166
182217.078125,185310.2459375
184130.078125,191772.13109375
189455.78125,201198.50708333333
187447.46875,200570.15244791663
187137.25,201054.4723958333
187531.859375,198189.1626041666
192152.3125,207247.89374999996
188969.40625,210782.06505208326
195160.8125,211739.92312499997
192337.28125,214080.08171874998
191676.546875,216096.48677083326
185725.515625,215455.92411458326
196188.859375,209548.95026041663
197931.359375,204379.55234374997
187089.9375,218262.19307291665
183885.40625,214370.66734374998
189473.828125,212342.7399739583
188705.546875,207703.35661458326
185028.40625,205832.69333333333
180926.078125,209098.09260416665
190184.1875,212317.77578125
189388.296875,214464.7348975752
189006.828125,216438.41265625
187337.421875,212599.54682291663
183853.0,207454.60677083328
185861.75,207127.72416666662
181428.28125,208516.95557291663
190742.828125,206329.89046875
185897.875,214026.23190104167
181629.796875,199396.15640625
183689.015625,199805.50734375
180284.3125,199244.1884375
183920.90625,198664.96609374997
181690.828125,188919.12005208328
181343.203125,189125.7803125
176718.5,174024.57932291663
177158.75,181668.9428125
181399.453125,175472.52229166665
166992.203125,174069.24541666667
175609.0,168728.2621875
175821.21875,175865.55846354167
176498.890625,172448.98666666663
168606.546875,164506.76484375
168781.671875,166861.04177083337
164755.171875,162222.30692708332
172156.25,159352.86109375
165264.6875,159105.34677083333
172885.796875,165779.8590104167
168296.015625,165660.35197916668
160575.78125,166625.3365625
161703.734375,161055.6488020833
158878.78125,166595.96229166663
159950.40625,164299.77447916663
156873.3125,161548.73927083332
156108.65625,158319.26192708337
155310.734375,162314.6053125
151076.578125,157841.67072916665
154683.78125,162987.92557291663
144737.421875,168761.2691666667
149977.09375,159909.699375
143869.671875,152639.74463541663
144366.578125,156525.42651041667
147658.890625,145410.83916666667
137393.046875,145913.77052083332
144770.921875,150988.17063802082
139521.984375,148081.4021875
143180.5,145811.3084375
142013.921875,147669.48572916663
138109.34375,143989.24140625
140827.328125,142164.1365625
137864.703125,140771.09536458337
136842.96875,148356.54807291663
129614.125,150659.03307291667
139808.921875,146753.91041666668
131637.578125,138380.01854168993
126257.1875,136283.32828125
135225.109375,137790.02740885832
131582.96875,133692.97734374664
133994.546875,139642.10520833332
124691.234375,134964.04697916665
127391.4765625,130523.71567707336
129719.6875,134907.09184896667
132012.328125,132627.3410676967
127674.828125,128962.87223957667
130826.0390625,130036.47601563994
122542.2890625,126147.39416665667
128773.9453125,124473.1078646033
130929.875,130222.12929685334
128451.1484375,128655.95397136247
133466.671875,128062.22828128329
130347.640625,143495.57557291663
128837.828125,139862.91901041663
124265.625,141969.12713541667
123811.6484375,140509.4840625
118579.296875,135617.83489584
121345.0390625,136129.71031249335
124985.71875,133352.93820312337
130411.421875,129765.69713540337
129460.6015625,139358.14125
125856.1796875,137934.64348958337
124650.21875,139231.73717447915
122555.3125,128008.85325522664
123379.984375,127853.60359375
126460.359375,123817.27515624336
127239.7421875,120927.26947918994
121891.046875,124579.68406252998
121649.7578125,122809.80723956
119269.3828125,125762.3801042033
123172.7890625,124673.32729169664
124841.765625,127316.98723958334
122340.7265625,126549.07208333332
129241.65625,127623.91036457001
122715.0625,121152.85602212914
127087.8046875,128114.10713541336
122401.3671875,125433.83960936006
118369.5546875,123663.98736980332
117913.875,119132.48322916002
124907.4453125,121424.10601563664
126688.5078125,119946.82812500336
123124.3359375,118275.44333334995
120074.890625,122677.39502605336
119110.7265625,119488.56283855994
122603.84375,113407.42427082006
125533.8046875,122820.93091146332
118511.984375,118152.92561848748
122927.515625,120420.33752605664
114510.7109375,120660.70119791
123898.4765625,116249.80789066662
117490.6796875,119606.7663020667
122672.203125,117402.95731772335
113232.5390625,118737.9495573333
112472.6640625,117010.28937497336
115399.5390625,115456.88783853002
115733.1171875,109413.80770831335
119531.1953125,113613.56065104336
115763.453125,108944.66070314996
113407.75,112483.86064453748
108006.25,112333.27119792
110484.484375,112353.52447917
109239.2578125,113953.0176822567
106326.8046875,106043.67341144668
113981.6171875,114296.74911458
114682.9921875,105928.6398176867
109672.171875,112296.74822916668
103521.1796875,110178.7054426767
109448.3515625,106841.74872394666
107340.5234375,109069.92036458332
108654.8359375,109475.93192707002
112430.578125,111232.45328774168
107981.2109375,108280.29625000997
107747.15625,113974.25013018008
