Predictions,Actual Values
105849.890625,102741.20981773332
103205.2890625,100493.86864584664
105523.015625,99813.62697917334
104771.234375,100592.28348959668
103668.375,97921.59832250171
103957.0546875,103680.6845573
106501.4296875,99085.00460936002
104471.625,98677.52432289004
105276.25,102125.37940101336
103095.4921875,98190.6976822767
102514.5078125,97108.96328125002
100862.234375,97492.35309249998
104163.75,99515.73322917
104812.1015625,96904.99153647332
105997.1015625,98370.45898437334
106182.4609375,97238.94916666333
103143.3359375,95657.84479168332
104846.1953125,102796.02882813336
104690.765625,92730.62666663669
103576.6484375,101695.2961457967
102939.3828125,94726.72458333331
106499.6171875,98751.26604163004
105974.34375,93895.3208072667
109983.4140625,99905.26598306248
109845.1953125,99691.90250001002
108656.046875,98979.25088539335
112300.9375,105147.69054684338
110025.1640625,97762.33833329672
112550.9609375,104876.3964255886
113272.203125,107716.4607552433
113153.765625,117908.6484635633
114136.2734375,116967.96742184338
117278.6015625,113133.25216143335
119724.0234375,120745.34122396664
118920.1953125,123259.14635418664
119482.859375,137345.54303385
120797.671875,128781.23239585002
123922.3125,127086.17721352667
129831.9921875,124412.80510415668
130760.203125,125054.19677081666
135648.578125,122621.31505205338
137129.40625,128103.94682291007
140642.890625,133785.1286718833
142080.6875,134808.74346354333
145403.953125,135664.12601562665
146327.65625,143876.93515625
149698.359375,145387.72588541667
152655.578125,150437.32760416667
155352.25,141047.70497397
158926.546875,148766.72447916667
159136.6875,146076.17067708337
161816.890625,161117.10927083335
164710.578125,167674.25825668898
166291.625,164912.41395833335
170336.5,173907.913125
172438.484375,176081.58661458333
175900.390625,178146.53
179064.75,178498.71744791663
180070.4375,188792.41208333333
182137.109375,181281.83352864586
183846.265625,177047.3590625
186759.875,175953.69677083337
186334.53125,175705.34317708333
192478.15625,176941.115625
191406.96875,185671.75979166667
190533.71875,174935.610625
193402.59375,171590.8065625
195733.109375,184247.56697916667
193810.890625,178704.03770833337
196251.375,176703.64515625
198877.15625,186155.62385416665
196716.078125,177641.0466796875
200415.171875,180478.56802083328
196488.21875,172730.71713541663
197089.84375,182401.75151041665
197379.90625,191882.9942708333
199191.234375,199315.22810409684
196463.390625,192946.10755208333
199100.421875,188115.3577083333
198762.0625,189194.76864583333
197855.828125,183825.47229166672
196437.40625,185929.04213541668
193296.140625,190846.44765624998
193918.65625,192911.1310546875
197061.5,182272.8486458333
192082.75,184624.78182291667
192280.671875,183203.25203125
191318.75,187262.23947916663
193361.796875,192130.88546875
191276.59375,189517.25052083333
189192.84375,188122.21151041667
192832.96875,186570.5036458333
190045.4375,179495.86057291663
186868.109375,187134.7655208333
189853.046875,184090.49427083333
188259.203125,187317.124609375
187079.015625,174111.57942708337
186506.4375,173809.36942708332
188045.859375,172130.24088541663
187556.109375,177400.55947916667
188110.953125,180701.5804243311
184664.875,181767.43734375
185812.5625,189434.2330729166
187251.8125,185310.2459375
187082.09375,191772.13109375
188147.625,201198.50708333333
184698.09375,200570.15244791663
186684.296875,201054.4723958333
189858.015625,198189.1626041666
189157.015625,207247.89374999996
189893.5625,210782.06505208326
191448.515625,211739.92312499997
190007.609375,214080.08171874998
192095.296875,216096.48677083326
193038.34375,215455.92411458326
194129.6875,209548.95026041663
194167.03125,204379.55234374997
192519.140625,218262.19307291665
193466.515625,214370.66734374998
192942.890625,212342.7399739583
193803.8125,207703.35661458326
192803.9375,205832.69333333333
194013.71875,209098.09260416665
191694.765625,212317.77578125
190679.96875,214464.7348975752
192329.640625,216438.41265625
192822.203125,212599.54682291663
191422.84375,207454.60677083328
194326.03125,207127.72416666662
191237.3125,208516.95557291663
190288.21875,206329.89046875
191710.15625,214026.23190104167
191342.8125,199396.15640625
190007.765625,199805.50734375
189897.109375,199244.1884375
189415.828125,198664.96609374997
188031.375,188919.12005208328
185327.8125,189125.7803125
185419.984375,174024.57932291663
185952.9375,181668.9428125
183216.796875,175472.52229166665
182712.15625,174069.24541666667
181343.671875,168728.2621875
179008.296875,175865.55846354167
178522.25,172448.98666666663
177657.25,164506.76484375
177291.4375,166861.04177083337
173272.59375,162222.30692708332
172708.484375,159352.86109375
170398.515625,159105.34677083333
171557.046875,165779.8590104167
166336.28125,165660.35197916668
166718.0625,166625.3365625
166133.953125,161055.6488020833
163995.09375,166595.96229166663
160577.8125,164299.77447916663
160775.265625,161548.73927083332
158700.828125,158319.26192708337
157184.25,162314.6053125
156746.71875,157841.67072916665
152504.546875,162987.92557291663
152142.71875,168761.2691666667
148143.953125,159909.699375
149980.453125,152639.74463541663
149442.484375,156525.42651041667
146388.921875,145410.83916666667
146507.65625,145913.77052083332
143835.734375,150988.17063802082
142097.125,148081.4021875
140275.734375,145811.3084375
140757.734375,147669.48572916663
140607.34375,143989.24140625
140441.09375,142164.1365625
138541.75,140771.09536458337
139571.5625,148356.54807291663
135859.0,150659.03307291667
137303.1875,146753.91041666668
135987.890625,138380.01854168993
133762.453125,136283.32828125
132868.09375,137790.02740885832
133762.15625,133692.97734374664
132547.765625,139642.10520833332
131431.375,134964.04697916665
130269.703125,130523.71567707336
131541.203125,134907.09184896667
129402.5546875,132627.3410676967
131360.078125,128962.87223957667
130725.6171875,130036.47601563994
132019.859375,126147.39416665667
129283.8046875,124473.1078646033
126968.3359375,130222.12929685334
128534.1171875,128655.95397136247
129542.890625,128062.22828128329
129486.546875,143495.57557291663
130216.2734375,139862.91901041663
127086.125,141969.12713541667
127731.28125,140509.4840625
128071.7578125,135617.83489584
128889.59375,136129.71031249335
128698.109375,133352.93820312337
127216.1328125,129765.69713540337
127019.171875,139358.14125
128134.1796875,137934.64348958337
127631.6328125,139231.73717447915
130008.625,128008.85325522664
129085.5703125,127853.60359375
127525.953125,123817.27515624336
127826.65625,120927.26947918994
126377.6171875,124579.68406252998
128865.046875,122809.80723956
130107.1953125,125762.3801042033
127297.4453125,124673.32729169664
127809.65625,127316.98723958334
124778.6171875,126549.07208333332
130744.4921875,127623.91036457001
126802.671875,121152.85602212914
127030.0546875,128114.10713541336
123403.6171875,125433.83960936006
124674.0703125,123663.98736980332
124218.4140625,119132.48322916002
123692.2578125,121424.10601563664
122060.5078125,119946.82812500336
122774.40625,118275.44333334995
121312.1171875,122677.39502605336
121238.953125,119488.56283855994
121745.2578125,113407.42427082006
121972.421875,122820.93091146332
123454.2265625,118152.92561848748
119575.5078125,120420.33752605664
121282.796875,120660.70119791
120542.875,116249.80789066662
118149.828125,119606.7663020667
119259.6875,117402.95731772335
118758.96875,118737.9495573333
115514.265625,117010.28937497336
116102.578125,115456.88783853002
113376.3984375,109413.80770831335
113117.984375,113613.56065104336
114776.2421875,108944.66070314996
114504.1328125,112483.86064453748
112151.015625,112333.27119792
111545.828125,112353.52447917
111236.171875,113953.0176822567
111409.984375,106043.67341144668
111139.8203125,114296.74911458
111584.953125,105928.6398176867
108528.1953125,112296.74822916668
110448.390625,110178.7054426767
107410.8046875,106841.74872394666
107114.5390625,109069.92036458332
108447.8125,109475.93192707002
106050.265625,111232.45328774168
107823.7578125,108280.29625000997
106294.859375,113974.25013018008
105986.6328125,106950.41932291003
105385.8046875,108010.42903644669
105221.1328125,113293.96679685336
106349.46875,107522.42429691662
108858.4765625,108468.41236979666
107796.3125,106408.47619792665
104028.1015625,106571.89690106665
105384.2421875,109394.62197917
105915.8203125,118112.92632809006
107459.515625,107912.73958335412
107218.234375,115936.80377603664
105428.78125,111601.72578125
108728.6875,111412.50192708331
105325.484375,115345.91458334331
106641.703125,113554.36888020668
105550.9609375,108014.240625
105676.390625,112244.18690104665
105907.4296875,111164.32265624666
104399.1796875,107183.75177085664
104328.9375,110017.05812499336
106689.7421875,101339.37372397
107099.515625,109736.961230475
104736.453125,102095.60085939664
106907.3828125,110133.45552081669
107818.0859375,106062.79244791003
105436.109375,107015.18661458995
103814.859375,106237.58583336996
104645.953125,103831.18023437
105797.125,110293.27770835665
105358.1328125,96352.59328123336
106484.6484375,105393.43523438997
105902.9921875,98995.30010414668
107035.5546875,103278.4089062001
104095.96875,103155.59570313749
106206.1796875,104931.08895832664
102646.4140625,101420.82716146666
104816.1328125,100758.66184890672
105809.890625,105871.75580728668
103148.0,98404.07249999
102922.2265625,99848.22445312332
104416.3125,98748.30221356332
103507.3671875,99224.11552086
103911.4296875,99208.70927081667
101180.4453125,105100.11492188332
101025.453125,97065.07958333666
99171.359375,104610.75468751253
103393.1171875,102297.08164063998
103314.65625,101360.65158854668
105110.1328125,101668.74492189
104185.1796875,97584.38416667996
100807.4140625,99937.43414062331
101823.6171875,94072.42591146663
102734.0625,100833.03888022334
102357.0703125,95008.62721356664
101770.1015625,94552.66989581002
104477.8828125,97270.02942705002
104775.9140625,95698.6033073233
107342.0546875,98477.98499345416
107881.5390625,99844.71184895663
106462.4765625,97497.42697917332
109870.7421875,99649.06354165004
108462.9765625,99354.66171873336
111803.375,98644.66697916332
112973.5546875,99894.10075521332
111992.203125,99077.29447917332
113636.984375,100998.31914065997
116588.3125,108660.24927083004
118974.1171875,115184.42989583664
119144.03125,104836.84781247337
119519.515625,106084.3851562375
120956.125,112001.99901043336
124625.0390625,108650.23705725672
130222.3515625,118171.97039062336
131176.796875,123669.84045773919
136652.875,123828.48575524664
138002.171875,125217.35893225671
140965.078125,130774.26583333002
142620.59375,130396.34039059667
146171.8125,134174.88726562
147171.796875,133478.3110156433
