Predictions,Actual Values
103395.03125,101391.97888019666
101433.40625,93828.31750001998
104844.96875,100888.76682290668
105901.3984375,97595.06640624
101516.1015625,99317.17135412674
98756.0703125,98931.83755202006
106812.0703125,98335.15007812002
108891.2421875,94741.42591145002
100977.1796875,101904.28505209667
105995.0859375,97100.72080729665
105514.109375,99081.87606770666
104307.7109375,94336.6532551792
103907.0,93961.78671875
102180.359375,102293.9313281433
102689.1015625,94191.66231767004
102836.765625,96488.30559898994
103183.515625,86645.60161458999
103761.2578125,100172.28929688
105401.6796875,92342.38656250003
103380.8984375,95356.44609374668
105417.4453125,90695.66960936
106240.90625,95749.10736980665
103788.4765625,93534.72632813
104964.5,94299.63968100832
106649.890625,90871.05934898333
106483.4375,97474.99450516672
107698.328125,94272.64020834336
109089.9921875,88769.57703124668
106162.2890625,95469.32075522328
108851.6640625,91378.54096353668
109497.796875,98793.49455727336
106779.3046875,92438.76778645666
107045.6484375,97916.61388019002
110015.953125,88154.27260417002
109114.375,93977.77130208
114856.125,91578.27688800413
110051.9609375,94121.18656246338
109857.2734375,101727.3799218767
111332.390625,92899.17140625668
110279.1171875,98149.89359375664
109617.6484375,96437.20666664669
109818.90625,99797.73859378329
118385.0078125,97798.66013019667
115073.6171875,101504.84992185002
116987.9375,103408.73247395337
113996.1484375,100698.80518228668
114799.71875,106573.29174478668
117245.6328125,98096.9739257958
115042.09375,101212.40132814662
115754.734375,107865.24713542665
122512.03125,102830.13101561
118348.7265625,109217.1973698
123369.453125,114153.13190103
118304.9921875,106058.00994791668
119557.4296875,110477.97151044998
126274.21875,109397.8182291467
121654.59375,106055.37914064329
122833.453125,104855.77953123336
123906.8203125,107738.64218753327
121466.6015625,104771.71490888332
122790.71875,120093.74239580338
124615.46875,128425.9522655967
123850.75,131550.56218750332
122844.5,132028.77291665337
126399.8125,127448.9766927233
123094.2109375,125255.00315100007
131918.46875,128583.84838544992
124371.1484375,126786.60768229664
128557.546875,134447.20880209337
133655.359375,134364.11994792
127226.5859375,135664.33015625
130147.234375,139292.81194661665
128357.265625,133659.35966145335
130962.421875,132051.19796876993
132512.671875,131779.07757813
135446.796875,133636.47471354337
134426.5625,130656.17109376
129188.8671875,128252.65729168334
132717.828125,134481.83286459
135376.015625,127022.65880207997
132052.375,125505.96033855664
134766.515625,128414.94502606663
132150.453125,128605.11177082337
132159.984375,133414.18219400835
132142.296875,131436.98635417994
133405.828125,133861.47796875332
134588.046875,131594.58830729336
134898.0625,132917.97578125336
135704.671875,128646.47382810668
137403.015625,133526.13781248336
133509.578125,137517.56984375
135853.484375,132779.5964323033
135408.125,130596.72257812
134888.703125,133410.97210937002
136645.546875,123618.02223961994
136124.21875,117705.17057293752
137825.109375,113483.34346353998
137025.8125,120860.75463544994
134212.984375,128685.94348957007
135839.5,115175.78447916335
140050.625,113788.94168061206
139101.34375,117770.01757813332
133390.9375,121600.72817709336
138151.671875,117556.8548958433
136874.890625,130428.1868228867
138758.59375,134017.41564078454
139564.1875,129191.11226560002
142667.234375,133676.89817709164
139991.9375,132595.58841146
138497.3125,125721.05046872007
140072.765625,137684.52283854337
137932.8125,138718.66234375
141819.78125,130138.02335941662
136347.375,131634.85330729006
136296.34375,129639.81132812335
134734.921875,126347.08708334
137614.546875,129436.59617188999
135215.875,129006.20494790666
138290.671875,130832.09419272
136667.0,131711.78216144585
137432.171875,127600.1170312666
138867.484375,123359.0571875
141757.546875,125839.73242185335
140740.109375,121869.37192710328
136284.140625,124284.01141823753
141271.34375,127738.94184895333
140120.5,125749.73690104662
137870.71875,132654.43117187667
141226.984375,129330.44752602333
140307.6875,126654.00721352668
136457.21875,123683.96078127332
139541.921875,118347.64843754165
141624.78125,126163.42489584995
138256.09375,128702.08854165
141447.96875,127535.00002607665
139509.46875,122492.49122396998
142151.234375,128673.42864581336
139306.625,126946.4313541467
133834.859375,123047.24268228332
138127.609375,128778.59546877992
137139.671875,133744.42710940333
132667.890625,125792.77861981
139506.34375,133196.39187499668
138819.453125,137756.008984375
138455.78125,136577.3949479233
137438.40625,140275.89361979332
138747.390625,136011.85908854
138897.109375,132718.34825522665
136670.234375,131058.41568248159
136855.703125,128932.06005208663
134225.171875,130176.75276041
138002.40625,127010.28166667
138623.125,129097.45708329669
133575.375,124538.82179685665
132452.6875,134836.77151042668
136621.4375,128569.85423171674
133664.34375,132591.06072918663
134780.3125,129967.18927083997
133313.515625,128965.1389583467
134446.6875,125697.65351563333
134142.0625,135235.36434896337
135577.0,124153.11122394002
133922.140625,131180.77895831337
135985.984375,132640.04773438
132793.125,130910.09552084665
136248.328125,139115.58799479337
133111.984375,136079.8971875
133819.734375,137956.11419270837
134767.765625,140070.725
131898.71875,135260.25658854
135769.84375,136433.23992187335
134454.484375,134904.95036458
133472.953125,132572.10341145337
127179.6640625,133345.89348959998
135588.96875,132601.0283333633
133219.46875,137055.48856770663
132518.265625,128250.50393230336
130502.1484375,139154.78080729
129672.796875,128110.99997398329
131542.15625,127220.49576821251
124541.796875,131413.77098957007
131013.0078125,120201.27101561333
130858.390625,127883.93903647336
128215.671875,125683.56695312334
129786.609375,118418.96963543665
129442.7109375,124676.15791663335
129120.40625,117117.98536463328
128659.03125,121521.12752606333
124934.2265625,119288.47604166
127923.0546875,114649.04867188
128321.9453125,121149.56825517339
122299.7734375,113222.400813775
127082.5625,117331.06013019332
128703.8046875,115123.48065104664
125821.5625,115947.87869791336
125099.25,112773.48476562336
124178.625,111797.2177604167
128400.2265625,118320.30820312
123683.65625,125496.52083333005
130223.2734375,119613.31140624663
124854.3203125,125975.6227864433
124150.515625,115487.09708332
119639.625,125182.62570318324
124700.7890625,120780.92506510836
123906.9609375,120843.23304686336
127610.1796875,120910.76885412668
126200.0546875,121814.41091148
122239.5078125,121766.48455729333
119676.2109375,115743.3365104333
122309.125,120650.61682290668
126169.59375,118253.57479167664
121547.90625,117464.89908856995
120759.0625,122000.95617186336
123291.484375,110466.68895837328
120248.5546875,122861.11617187332
120616.9765625,119159.18610022918
122742.921875,120491.40236980333
119122.9375,121366.9814323
119716.6953125,129028.21430812373
119147.84375,132067.05630208665
119864.7421875,125280.26067705668
117118.9921875,133000.30723958337
117559.6015625,127547.91671874335
122753.3359375,131690.97531249333
115433.984375,128643.72744791006
118084.765625,119968.95572919994
114031.4296875,122472.6268229233
117842.6171875,116091.34853517082
116845.8671875,117776.78549479
111356.65625,117800.27026039005
116990.9375,117855.49208334
114156.265625,118449.01458332335
109439.15625,118853.12708333
109538.6796875,123213.88203126
112752.09375,112112.21927085
110859.3828125,116671.52437504324
113224.8203125,110501.38320316
114117.6015625,114657.12510419992
106931.2890625,115137.71486978
108975.96875,114376.77027994586
114354.0234375,110799.47585939668
107723.7890625,114413.16119792
106491.046875,110948.05398438334
110974.5,113453.66164063336
110722.8125,116339.96205730662
108613.546875,109613.22343747335
105869.7734375,111248.10528647332
108440.1171875,106048.0171614833
109005.5703125,110569.74151045662
105676.375,101441.46005208668
108606.46875,118528.06309897332
105662.3828125,115496.56266277914
105383.0078125,125793.45656247337
108224.0078125,117891.38187499664
104748.640625,113298.10643234658
106747.59375,107477.53169270667
108216.25,109832.39385416004
105848.8828125,113210.33067708332
108532.1171875,113337.48861981994
101025.0859375,116165.02499999
105860.46875,110024.55817707
104215.2578125,112746.05729164663
105041.984375,107216.03783855333
106583.8671875,106467.6494140708
102871.171875,107119.11596356
106678.53125,104193.05624998
102038.203125,103286.81656247671
101035.9375,102728.08963541666
104430.5234375,103862.67755210996
102100.4453125,103082.38106773664
99442.859375,105068.99447913
101402.1015625,106181.16979166336
102871.7890625,100990.81268228666
103032.6953125,105160.33622399328
106583.734375,101329.7527083766
100159.8125,101244.7466146041
103711.578125,105521.66111976998
103600.1015625,104764.00182290336
105223.921875,104159.36083330336
103370.2421875,97702.82393232328
99901.265625,98736.6448437067
100223.5625,103408.29492188334
105770.7421875,99639.07059897
102974.4296875,106894.09570312667
100128.484375,99644.20166665004
103734.59375,106392.79507814997
104209.8515625,98229.10343747668
102363.765625,100415.91946613752
102230.3828125,102866.78929688
101908.84375,104932.49763020004
103825.3671875,104897.36830730332
106359.171875,100700.50093751332
101404.0390625,105604.27516201002
99175.34375,97917.88653644666
106279.9453125,105312.15414060002
107905.8828125,102177.72583333666
99936.625,100799.59851561
105012.8984375,101377.11903650664
105199.21875,100189.76205726004
103662.9609375,97975.67027998746
102832.203125,101595.9884635067
102319.109375,101668.45494792
102636.59375,97241.82833333002
101611.7734375,103350.70953126998
102935.7265625,91051.64114584336
103562.0546875,97821.04937501664
103921.15625,97176.97197916335
102857.890625,97915.38627604
103561.5234375,94565.89359374002
105189.96875,97462.60251706431
102360.8671875,96914.38802084333
103599.8203125,96336.2568359583
105526.984375,96297.3562499767
105810.8125,98057.03544272333
106423.7734375,92655.13205730001
106868.1328125,102421.92317707004
105306.953125,92306.8605508194
107481.3203125,101133.65489584333
108974.03125,90890.2661915725
103505.875,79574.08099198164
105912.65625,106101.02007811004
107890.8828125,98004.37481768336
107551.9765625,100740.78299479668
112053.3671875,103501.21790362088
108529.109375,94644.47546871335
107755.2265625,96279.12161457005
109125.390625,95638.00789061998
108714.4609375,90739.98041662671
107912.40625,95046.25479165668
108587.125,95167.40674479
115563.28125,102948.83966144331
114341.9140625,115958.49705730664
114186.4296875,128069.44411458993
112001.3046875,119748.54533854664
111613.140625,120495.92736978336
114720.3046875,126965.8203776125
112050.109375,119353.6144531067
112843.8046875,119726.57046879662
120747.1875,115008.35796876
114848.5703125,115342.82559895664
121029.421875,119783.98812500336
115788.0625,114562.44447917998
117139.828125,121717.74713543992
123106.34375,113301.48330371904
119517.8125,119385.7572916667
119145.984375,116721.2881771033
121495.8515625,118232.3708072634
119675.015625,112234.17565108332
120919.2578125,113221.07369793663
122517.390625,111308.73513019668
122068.9375,115794.91052080005
120022.5,111565.47533854
124424.390625,115370.24317706336
120792.765625,121675.22697915006
128970.9765625,111427.76411459
122862.84375,116505.13947916002
127151.8984375,113298.56721354
130420.7578125,116204.44614582667
125835.671875,120111.80916666667
127491.75,115727.06028645
126684.546875,114277.64346356998
127816.5546875,107122.67661458334
129592.4375,103700.78502604
133222.59375,109459.84184895337
131753.609375,108722.3766406433
126667.0625,111402.62098960333
130923.125,119639.34268231664
132736.125,123785.40705732325
130361.84375,115596.7553124967
132653.421875,113402.94343749336
130946.40625,116492.6857812167
130864.0703125,113429.22262370418
128965.421875,121036.10278646664
131932.046875,119932.5726562633
131027.3046875,111164.84757811336
132935.25,120797.08648436998
134252.859375,113346.45976564664
135123.5625,118416.27182290668
132655.703125,117183.68205729006
133445.0625,117883.06486977005
134184.96875,113483.46158856664
132956.265625,116360.36054690664
134204.890625,115197.10570311664
135082.53125,109191.12994788754
135442.3125,110829.39666666002
136098.8125,105353.46218750332
133213.203125,98850.35367188998
134439.34375,98385.14346353336
137939.609375,96963.67460934
138021.84375,94149.51432291335
132126.84375,95211.61101560334
136652.3125,93463.76411458668
135775.1875,101185.40281250668
136701.96875,108553.74559892008
138261.9375,111423.45578123668
139844.5,115047.92552085414
138450.65625,114783.05125001002
137152.71875,111809.60216147664
139590.1875,112907.02078123335
136085.484375,113397.88911455336
140852.84375,111445.78778646332
135655.59375,111551.04851562
135000.125,110171.16028645668
133825.75,112665.35330726005
135917.4375,111924.08023438
135630.96875,127016.88601560335
137596.84375,116173.97510415006
136294.875,112161.69143879584
137383.625,113381.08096349335
138288.5625,109570.393125
140386.5625,112560.24700519336
140631.578125,110404.09815103
135776.40625,111678.90197916
140780.9375,118252.10093750006
141246.46875,119674.14145831336
138300.875,113217.49593752
140151.484375,112335.07536455338
139925.765625,110826.12070311003
136524.4375,110789.46624999332
138806.234375,115067.02233072912
141712.640625,111527.54585941664
138502.46875,105034.89393229998
140805.203125,114196.18645834
138914.375,112273.75226562005
141963.578125,109162.51869789005
138163.390625,109081.94895832
133751.59375,108804.5891405601
