Predictions,Actual Values
102959.9375,101391.97888019666
104713.765625,93828.31750001998
104900.890625,100888.76682290668
102816.546875,97595.06640624
103035.6875,99317.17135412674
104509.3125,98931.83755202006
105025.9921875,98335.15007812002
103994.96875,94741.42591145002
104229.3671875,101904.28505209667
103089.3203125,97100.72080729665
104601.203125,99081.87606770666
109127.203125,94336.6532551792
102563.078125,93961.78671875
106924.875,102293.9313281433
106461.828125,94191.66231767004
105977.796875,96488.30559898994
103335.4296875,86645.60161458999
107029.3671875,100172.28929688
108698.671875,92342.38656250003
105974.375,95356.44609374668
107000.453125,90695.66960936
106002.109375,95749.10736980665
107933.109375,93534.72632813
106765.671875,94299.63968100832
108148.421875,90871.05934898333
108290.9453125,97474.99450516672
109387.5078125,94272.64020834336
108440.5390625,88769.57703124668
106661.0390625,95469.32075522328
109604.8046875,91378.54096353668
112146.703125,98793.49455727336
108753.265625,92438.76778645666
108855.2421875,97916.61388019002
111335.9453125,88154.27260417002
109884.9140625,93977.77130208
110121.6640625,91578.27688800413
115592.796875,94121.18656246338
110696.390625,101727.3799218767
112785.8828125,92899.17140625668
112694.5078125,98149.89359375664
113676.859375,96437.20666664669
113634.2265625,99797.73859378329
115884.0859375,97798.66013019667
115700.515625,101504.84992185002
113736.1484375,103408.73247395337
113728.828125,100698.80518228668
118021.4296875,106573.29174478668
114640.5,98096.9739257958
120996.8828125,101212.40132814662
115224.1875,107865.24713542665
118877.390625,102830.13101561
116630.375,109217.1973698
117149.859375,114153.13190103
119940.7734375,106058.00994791668
118408.0859375,110477.97151044998
124731.5078125,109397.8182291467
119807.0390625,106055.37914064329
117715.1875,104855.77953123336
122447.1640625,107738.64218753327
121462.625,104771.71490888332
123735.4375,120093.74239580338
121912.5625,128425.9522655967
123641.3671875,131550.56218750332
122791.578125,132028.77291665337
124951.5234375,127448.9766927233
125178.140625,125255.00315100007
125917.4609375,128583.84838544992
124489.09375,126786.60768229664
125657.2265625,134447.20880209337
127455.4765625,134364.11994792
129078.6875,135664.33015625
128372.875,139292.81194661665
127147.1484375,133659.35966145335
127681.265625,132051.19796876993
127344.3203125,131779.07757813
128492.484375,133636.47471354337
129806.96875,130656.17109376
131021.796875,128252.65729168334
130072.265625,134481.83286459
130506.046875,127022.65880207997
130506.5078125,125505.96033855664
133432.890625,128414.94502606663
129747.984375,128605.11177082337
129845.640625,133414.18219400835
133369.515625,131436.98635417994
132538.390625,133861.47796875332
132096.890625,131594.58830729336
134376.375,132917.97578125336
134309.84375,128646.47382810668
135974.828125,133526.13781248336
137203.734375,137517.56984375
134439.359375,132779.5964323033
133881.96875,130596.72257812
133650.546875,133410.97210937002
138210.8125,123618.02223961994
135350.890625,117705.17057293752
134623.046875,113483.34346353998
136514.34375,120860.75463544994
133947.421875,128685.94348957007
135668.5625,115175.78447916335
135625.640625,113788.94168061206
138211.09375,117770.01757813332
139507.5625,121600.72817709336
140017.09375,117556.8548958433
137397.90625,130428.1868228867
137372.171875,134017.41564078454
137958.390625,129191.11226560002
137575.546875,133676.89817709164
137969.65625,132595.58841146
137260.125,125721.05046872007
138760.171875,137684.52283854337
141687.953125,138718.66234375
139162.609375,130138.02335941662
139926.765625,131634.85330729006
138532.140625,129639.81132812335
139776.40625,126347.08708334
137648.859375,129436.59617188999
139493.84375,129006.20494790666
139152.59375,130832.09419272
137516.21875,131711.78216144585
140460.046875,127600.1170312666
138027.734375,123359.0571875
139090.640625,125839.73242185335
141470.859375,121869.37192710328
138999.265625,124284.01141823753
138798.890625,127738.94184895333
138668.078125,125749.73690104662
138432.890625,132654.43117187667
140028.546875,129330.44752602333
140223.109375,126654.00721352668
135962.875,123683.96078127332
138746.78125,118347.64843754165
138189.40625,126163.42489584995
138700.046875,128702.08854165
135750.75,127535.00002607665
139830.671875,122492.49122396998
138534.421875,128673.42864581336
138911.5625,126946.4313541467
138626.6875,123047.24268228332
136380.796875,128778.59546877992
137804.8125,133744.42710940333
137376.28125,125792.77861981
138494.515625,133196.39187499668
139422.5625,137756.008984375
136383.9375,136577.3949479233
136816.359375,140275.89361979332
137199.921875,136011.85908854
137759.203125,132718.34825522665
138449.90625,131058.41568248159
135298.53125,128932.06005208663
135888.796875,130176.75276041
136109.578125,127010.28166667
134564.265625,129097.45708329669
136444.421875,124538.82179685665
138555.046875,134836.77151042668
137125.75,128569.85423171674
135093.046875,132591.06072918663
134262.078125,129967.18927083997
134247.390625,128965.1389583467
136189.765625,125697.65351563333
134492.125,135235.36434896337
135744.609375,124153.11122394002
133969.546875,131180.77895831337
133154.203125,132640.04773438
135930.890625,130910.09552084665
131594.46875,139115.58799479337
130505.0625,136079.8971875
130438.421875,137956.11419270837
132639.671875,140070.725
134368.140625,135260.25658854
130769.09375,136433.23992187335
132315.640625,134904.95036458
131499.21875,132572.10341145337
129472.796875,133345.89348959998
131085.15625,132601.0283333633
130931.53125,137055.48856770663
131129.15625,128250.50393230336
127916.203125,139154.78080729
131881.734375,128110.99997398329
127441.5703125,127220.49576821251
124608.015625,131413.77098957007
124321.15625,120201.27101561333
127357.234375,127883.93903647336
126554.9765625,125683.56695312334
125206.6171875,118418.96963543665
126403.953125,124676.15791663335
123569.125,117117.98536463328
122411.234375,121521.12752606333
124634.03125,119288.47604166
125724.953125,114649.04867188
123110.65625,121149.56825517339
125604.3203125,113222.400813775
124251.2578125,117331.06013019332
122737.046875,115123.48065104664
121680.4140625,115947.87869791336
125308.6171875,112773.48476562336
122940.96875,111797.2177604167
124201.625,118320.30820312
121719.6484375,125496.52083333005
120968.4296875,119613.31140624663
121585.7109375,125975.6227864433
122989.1015625,115487.09708332
118807.8984375,125182.62570318324
120766.3515625,120780.92506510836
123888.75,120843.23304686336
