Predictions,Actual Values
99565.8203125,101391.97888019666
100111.3984375,93828.31750001998
102448.375,100888.76682290668
98975.6171875,97595.06640624
103497.578125,99317.17135412674
103453.3203125,98931.83755202006
100644.546875,98335.15007812002
99872.328125,94741.42591145002
100244.828125,101904.28505209667
103228.0546875,97100.72080729665
102653.984375,99081.87606770666
103773.3984375,94336.6532551792
99598.8515625,93961.78671875
104503.7890625,102293.9313281433
102734.28125,94191.66231767004
100436.171875,96488.30559898994
101838.390625,86645.60161458999
103773.7265625,100172.28929688
105136.9140625,92342.38656250003
101514.859375,95356.44609374668
104204.421875,90695.66960936
104409.453125,95749.10736980665
103862.78125,93534.72632813
104417.75,94299.63968100832
102943.9296875,90871.05934898333
104963.4375,97474.99450516672
105162.390625,94272.64020834336
106579.2421875,88769.57703124668
107828.6796875,95469.32075522328
106104.546875,91378.54096353668
106923.3203125,98793.49455727336
103604.875,92438.76778645666
109603.0703125,97916.61388019002
105733.390625,88154.27260417002
111248.8515625,93977.77130208
106523.453125,91578.27688800413
112969.4453125,94121.18656246338
109087.3125,101727.3799218767
109234.828125,92899.17140625668
109754.78125,98149.89359375664
111166.40625,96437.20666664669
112231.5078125,99797.73859378329
112963.125,97798.66013019667
112976.3515625,101504.84992185002
114363.2265625,103408.73247395337
113782.5,100698.80518228668
114557.3359375,106573.29174478668
113973.6328125,98096.9739257958
116725.875,101212.40132814662
117473.859375,107865.24713542665
117227.78125,102830.13101561
116379.1484375,109217.1973698
119643.78125,114153.13190103
119035.3828125,106058.00994791668
119562.5234375,110477.97151044998
115690.2421875,109397.8182291467
121156.71875,106055.37914064329
119720.796875,104855.77953123336
121330.546875,107738.64218753327
119838.8828125,104771.71490888332
119238.65625,120093.74239580338
118696.9765625,128425.9522655967
118976.875,131550.56218750332
125058.2734375,132028.77291665337
123343.25,127448.9766927233
125520.984375,125255.00315100007
125665.0625,128583.84838544992
124035.40625,126786.60768229664
127324.4296875,134447.20880209337
129948.953125,134364.11994792
130042.2578125,135664.33015625
129283.0625,139292.81194661665
124823.6015625,133659.35966145335
128704.15625,132051.19796876993
132708.625,131779.07757813
130521.8203125,133636.47471354337
132876.71875,130656.17109376
130969.375,128252.65729168334
134887.734375,134481.83286459
134390.46875,127022.65880207997
135376.65625,125505.96033855664
131720.796875,128414.94502606663
136893.875,128605.11177082337
137124.296875,133414.18219400835
138019.390625,131436.98635417994
132231.28125,133861.47796875332
137140.5625,131594.58830729336
137190.5,132917.97578125336
136762.15625,128646.47382810668
137359.15625,133526.13781248336
133761.671875,137517.56984375
137207.84375,132779.5964323033
137257.4375,130596.72257812
