Predictions,Actual Values
103377.4609375,101391.97888019666
102881.9375,93828.31750001998
103408.1796875,100888.76682290668
105590.84375,97595.06640624
102211.1015625,99317.17135412674
99028.328125,98931.83755202006
109163.3125,98335.15007812002
102152.171875,94741.42591145002
106554.640625,101904.28505209667
105244.4453125,97100.72080729665
106868.734375,99081.87606770666
102648.2890625,94336.6532551792
105239.9140625,93961.78671875
106999.5234375,102293.9313281433
104910.4453125,94191.66231767004
109599.9765625,96488.30559898994
110248.28125,86645.60161458999
109048.359375,100172.28929688
109153.875,92342.38656250003
108652.1328125,95356.44609374668
109640.4140625,90695.66960936
107622.4765625,95749.10736980665
109206.21875,93534.72632813
114268.328125,94299.63968100832
105348.609375,90871.05934898333
112555.171875,97474.99450516672
104619.328125,94272.64020834336
103561.515625,88769.57703124668
108002.8203125,95469.32075522328
112505.2578125,91378.54096353668
114899.9921875,98793.49455727336
119006.0390625,92438.76778645666
112012.171875,97916.61388019002
109413.28125,88154.27260417002
107407.78125,93977.77130208
110152.015625,91578.27688800413
122425.6953125,94121.18656246338
111671.8203125,101727.3799218767
110658.9765625,92899.17140625668
115576.5625,98149.89359375664
120663.828125,96437.20666664669
117705.3203125,99797.73859378329
113966.234375,97798.66013019667
120366.4375,101504.84992185002
118823.0390625,103408.73247395337
121140.3203125,100698.80518228668
116983.5546875,106573.29174478668
121471.359375,98096.9739257958
119109.5234375,101212.40132814662
119467.40625,107865.24713542665
121658.8984375,102830.13101561
123827.8515625,109217.1973698
120918.1953125,114153.13190103
117468.5859375,106058.00994791668
126477.5625,110477.97151044998
125313.234375,109397.8182291467
124302.5234375,106055.37914064329
125379.1328125,104855.77953123336
125773.7265625,107738.64218753327
123910.9609375,104771.71490888332
126262.0625,120093.74239580338
124416.25,128425.9522655967
124206.046875,131550.56218750332
123551.6484375,132028.77291665337
126409.765625,127448.9766927233
131049.53125,125255.00315100007
119316.1875,128583.84838544992
129851.96875,126786.60768229664
132321.578125,134447.20880209337
130931.78125,134364.11994792
126049.7734375,135664.33015625
132705.984375,139292.81194661665
131555.84375,133659.35966145335
125745.8125,132051.19796876993
135024.3125,131779.07757813
134230.125,133636.47471354337
125799.59375,130656.17109376
130945.8125,128252.65729168334
139082.25,134481.83286459
127296.7578125,127022.65880207997
134968.21875,125505.96033855664
134142.09375,128414.94502606663
132368.15625,128605.11177082337
132908.40625,133414.18219400835
135207.59375,131436.98635417994
139263.484375,133861.47796875332
136460.859375,131594.58830729336
131536.15625,132917.97578125336
137426.828125,128646.47382810668
135042.328125,133526.13781248336
141468.34375,137517.56984375
138065.921875,132779.5964323033
132325.578125,130596.72257812
134928.578125,133410.97210937002
134372.640625,123618.02223961994
138287.125,117705.17057293752
135014.65625,113483.34346353998
135079.65625,120860.75463544994
136281.734375,128685.94348957007
138366.546875,115175.78447916335
130891.921875,113788.94168061206
136048.484375,117770.01757813332
140064.25,121600.72817709336
138115.78125,117556.8548958433
134080.734375,130428.1868228867
142032.5,134017.41564078454
151475.234375,129191.11226560002
137223.21875,133676.89817709164
137660.8125,132595.58841146
141185.0,125721.05046872007
136585.625,137684.52283854337
130088.9375,138718.66234375
142081.78125,130138.02335941662
139256.875,131634.85330729006
140590.5625,129639.81132812335
136521.65625,126347.08708334
140189.5,129436.59617188999
135124.84375,129006.20494790666
134666.859375,130832.09419272
143308.0,131711.78216144585
137859.5625,127600.1170312666
134123.9375,123359.0571875
138222.578125,125839.73242185335
136235.3125,121869.37192710328
141282.46875,124284.01141823753
143343.6875,127738.94184895333
136321.5625,125749.73690104662
138882.96875,132654.43117187667
135362.546875,129330.44752602333
138164.0625,126654.00721352668
138292.90625,123683.96078127332
134577.375,118347.64843754165
137052.25,126163.42489584995
138394.421875,128702.08854165
138991.921875,127535.00002607665
