Predictions,Actual Values
99499.390625,101391.97888019666
101308.78125,93828.31750001998
100429.2265625,100888.76682290668
98282.8984375,97595.06640624
99074.8828125,99317.17135412674
100478.9921875,98931.83755202006
99500.171875,98335.15007812002
100413.796875,94741.42591145002
98640.515625,101904.28505209667
98116.2734375,97100.72080729665
99873.875,99081.87606770666
99950.171875,94336.6532551792
101398.2421875,93961.78671875
100084.125,102293.9313281433
100230.8359375,94191.66231767004
100889.1015625,96488.30559898994
101264.9296875,86645.60161458999
100791.734375,100172.28929688
103072.625,92342.38656250003
103069.21875,95356.44609374668
103149.5546875,90695.66960936
101710.9609375,95749.10736980665
100744.625,93534.72632813
102127.296875,94299.63968100832
103771.640625,90871.05934898333
102895.796875,97474.99450516672
103578.46875,94272.64020834336
103524.859375,88769.57703124668
102260.3515625,95469.32075522328
103095.2734375,91378.54096353668
104267.2734375,98793.49455727336
108489.890625,92438.76778645666
106991.171875,97916.61388019002
106414.21875,88154.27260417002
106136.0234375,93977.77130208
104982.9453125,91578.27688800413
106993.234375,94121.18656246338
107902.6171875,101727.3799218767
107788.59375,92899.17140625668
108724.234375,98149.89359375664
108888.84375,96437.20666664669
110641.5625,99797.73859378329
113230.578125,97798.66013019667
112612.390625,101504.84992185002
113434.9453125,103408.73247395337
114979.3125,100698.80518228668
116394.7421875,106573.29174478668
116924.7421875,98096.9739257958
118058.0,101212.40132814662
118432.171875,107865.24713542665
117962.3046875,102830.13101561
117634.2890625,109217.1973698
118539.4921875,114153.13190103
120943.0703125,106058.00994791668
124590.609375,110477.97151044998
121693.6015625,109397.8182291467
123039.859375,106055.37914064329
123023.046875,104855.77953123336
123358.625,107738.64218753327
125073.515625,104771.71490888332
124197.2109375,120093.74239580338
126680.109375,128425.9522655967
126537.953125,131550.56218750332
126752.921875,132028.77291665337
127438.859375,127448.9766927233
127049.8515625,125255.00315100007
130760.5625,128583.84838544992
131657.75,126786.60768229664
131180.140625,134447.20880209337
129838.9921875,134364.11994792
131841.3125,135664.33015625
131836.640625,139292.81194661665
132979.375,133659.35966145335
135869.09375,132051.19796876993
133513.171875,131779.07757813
133941.90625,133636.47471354337
133597.65625,130656.17109376
133486.609375,128252.65729168334
135450.21875,134481.83286459
135398.09375,127022.65880207997
134943.765625,125505.96033855664
136244.859375,128414.94502606663
135068.328125,128605.11177082337
138414.9375,133414.18219400835
136712.5625,131436.98635417994
134785.375,133861.47796875332
136110.96875,131594.58830729336
135846.484375,132917.97578125336
136157.765625,128646.47382810668
133922.234375,133526.13781248336
135443.171875,137517.56984375
135888.75,132779.5964323033
134886.484375,130596.72257812
133732.609375,133410.97210937002
134979.53125,123618.02223961994
134390.828125,117705.17057293752
134780.90625,113483.34346353998
134648.265625,120860.75463544994
133823.734375,128685.94348957007
133882.875,115175.78447916335
134903.953125,113788.94168061206
131384.109375,117770.01757813332
130949.2265625,121600.72817709336
135073.9375,117556.8548958433
133946.828125,130428.1868228867
131658.828125,134017.41564078454
131225.65625,129191.11226560002
134841.359375,133676.89817709164
133495.140625,132595.58841146
132141.65625,125721.05046872007
132065.203125,137684.52283854337
133447.484375,138718.66234375
134337.5625,130138.02335941662
132177.484375,131634.85330729006
134002.765625,129639.81132812335
132534.8125,126347.08708334
131707.34375,129436.59617188999
132241.0625,129006.20494790666
130165.0703125,130832.09419272
132596.78125,131711.78216144585
132151.390625,127600.1170312666
130945.9140625,123359.0571875
134121.265625,125839.73242185335
131703.75,121869.37192710328
134522.65625,124284.01141823753
130087.8515625,127738.94184895333
131195.203125,125749.73690104662
132616.671875,132654.43117187667
133000.359375,129330.44752602333
130504.3515625,126654.00721352668
131823.484375,123683.96078127332
130583.0078125,118347.64843754165
131924.40625,126163.42489584995
131651.421875,128702.08854165
132137.171875,127535.00002607665
133513.0,122492.49122396998
131608.640625,128673.42864581336
131178.03125,126946.4313541467
130146.5390625,123047.24268228332
129970.984375,128778.59546877992
128934.234375,133744.42710940333
131520.1875,125792.77861981
130827.765625,133196.39187499668
131699.40625,137756.008984375
131072.15625,136577.3949479233
