Predictions,Actual_Values
86497.87,86774.33874999669
89764.96,85832.28351562335
87168.61,87139.4011458533
87217.77,85096.64002605664
87285.61,84684.50674479
86274.305,86884.28447916669
87234.69,83777.27755208334
82286.67,88891.80945309674
90319.19,84166.86932291003
89044.81,83454.12856770666
87612.35,85452.73296873001
91605.18,84297.41350911668
85557.85,84980.1355208533
82768.766,81608.42171875335
87845.43,81226.42536458003
85274.125,83307.97354167001
88818.27,80891.98760416004
85283.914,81439.67513021003
88649.5,82758.70221353666
88918.945,85000.08875002996
88885.375,80028.07924474006
86527.42,87417.30494791335
94106.07,81630.90619789335
87041.61,84651.42897134171
88955.06,85628.39531248668
90962.45,81800.98992187332
94373.59,89027.8288541467
89729.04,82134.37265626669
96481.836,85015.55197917996
93458.305,86702.48708331004
91450.74,85917.21424477336
94052.29,95273.64705729332
96571.695,100342.11429684004
100294.48,101150.38390624335
99598.12,98291.79346355662
96062.47,105267.70244137506
101854.75,98757.6039062633
101693.11,101585.07869791334
102625.57,104784.68614586328
102882.95,98898.13838538004
99960.55,108468.18242187335
104142.71,100895.04455728998
106353.49,94990.83434894336
112702.914,90187.7106510733
110046.38,97604.32229170333
109683.76,104157.54494790336
109997.39,100464.03361980668
107931.71,91934.60826820838
114507.33,94104.61919271336
113059.43,92277.08718749671
122440.195,94152.90929691
120588.56,106956.45270837328
119695.83,107589.71080729668
125108.15,110519.94247397332
126757.414,108765.79385417
124043.305,109723.58914064332
130356.75,99903.31463545332
127558.67,105194.24585934672
129787.84,112304.18585937332
133291.23,113050.56888025
131275.81,114566.09557292335
133200.8,114713.87005211662
138407.4,121655.51867189333
131404.4,124848.08744792332
138806.2,133423.03627604002
139824.27,134121.39067707336
139648.86,138947.0601562367
138737.95,134578.77408855333
144201.55,160489.181875
142249.14,154035.78989583332
145881.56,155907.27838541663
145575.0,159070.32845052087
148486.48,153513.84682291668
146856.27,152378.27692708332
148009.94,151648.71869791663
146076.02,147513.67234375
147925.75,154925.2478125
147807.53,156764.08859375
149560.97,153357.60322916668
152288.66,157368.93442708332
152139.61,156556.90729166663
147539.69,161998.7503645833
153168.55,167307.11875
157284.53,173280.31848958333
157509.2,160395.32354166667
153453.47,158510.91520833335
155382.83,162846.0153125
156293.2,153056.8740625
156160.4,147106.72307291668
160844.19,126623.54151042331
159744.52,129314.10794272329
153407.84,137832.27723958
157345.84,137466.20958333337
155511.78,142669.66072916667
162666.78,143837.48015625
157574.3,129800.59065756664
158529.12,127215.93677083001
160000.88,126564.84052082337
159543.4,130822.00374999993
164409.28,131305.61716145667
160037.94,135313.14343748335
161761.61,151785.67348958337
156196.94,142042.3988020833
164520.36,161807.67796875
160616.22,137391.54078126332
160195.12,126790.57476561332
158801.94,135993.00666666002
165639.17,141267.62288410836
161957.22,131737.25653646994
159352.03,135192.96859375
162793.78,143497.47411458337
157935.23,144345.6615625
159874.44,150283.77072916663
157558.44,143909.16359375
162829.02,146153.17567708335
161155.16,145298.55760416668
161128.05,147772.71484375
162521.81,141221.97270833337
160511.38,142339.41927083337
163013.45,143346.23079427087
159437.22,146014.38770833332
159031.02,138556.2498177
160673.45,145596.53026041668
164871.88,142211.1715625
162819.5,144881.04453125
166729.2,146318.05796875
154539.31,140313.36036458332
161539.95,142179.34947916667
155002.08,142425.20421875
159544.02,147776.00104166663
156191.66,142921.33859375
159261.9,142241.03736979168
158769.27,143692.01723958002
157741.45,138199.12661458665
158808.22,143299.77791666667
156216.92,141964.21630208337
152491.52,129944.82906250664
157619.55,136983.46364583337
153003.5,132371.1773437367
153150.2,135394.10606771664
153576.56,137734.32010416663
151421.45,133398.96341144005
152789.03,131331.01354166667
151555.61,124441.9692708042
147920.72,118910.1749739001
146854.95,125478.43458332337
147070.95,128983.84052085994
143509.75,128486.0651562367
145621.1,128742.72789063
145265.83,131044.75367187
142761.0,130983.90963544331
147539.28,123576.38723955008
145658.22,122391.59682287008
145371.64,114089.21382811664
140159.42,121327.81049477338
138602.98,113596.89414062914
144121.48,112756.15414060002
138515.69,118987.92223956667
139259.33,121878.27536461336
136025.53,111001.64398436336
132053.9,110336.7532812467
132804.97,116298.63296876995
132786.61,113177.02992183671
131252.77,121760.83854166669
131987.1,116988.62312500998
128570.46,108281.85898439998
130716.47,102493.88424479
123982.27,101159.42545567924
128847.24,99121.16039062668
127530.21,106813.48312496336
123952.74,108693.60184896
124012.94,107478.24231771004
123042.15,105731.68747397
125378.69,103046.48028645
120934.914,96156.55156248336
122743.82,102296.86135414668
120012.39,105091.5977343467
117855.695,101997.35166666996
120079.08,93067.73895835332
124256.22,102901.29990233334
119189.4,107816.44468747004
116545.734,104202.62783855002
116181.6,98337.1873177233
112988.77,96350.14989580664
116340.555,95468.30838538671
110598.67,102703.72791667664
114302.19,106891.87348955336
112307.414,104244.65164061668
111477.17,104036.0590625333
106885.5,92765.71182294
114018.1,91496.44838542
107690.86,94204.74879554582
115068.766,100267.83815103666
115269.125,104278.66986977334
106263.22,99881.54403642671
107591.625,97737.48289061332
113145.13,95676.00161460663
108994.49,94725.46585937668
109399.125,95181.44343748668
108957.51,104625.73934897664
106799.95,96879.57385420994
104823.02,92586.41192706669
106397.39,92084.82864581668
105776.12,88897.02623696667
104977.64,90739.94289063005
106397.445,88885.0155729133
103927.72,91438.76067707667
102160.39,95068.0327604167
104462.14,92089.77085940329
106177.8,91814.32101560666
102271.766,91314.06083333
104335.53,89012.60695311004
100947.68,92392.20966143004
99707.59,89212.62575516338
105365.47,88683.86416664669
103297.52,90166.2656575708
102153.77,87544.44598958331
99122.76,90993.26195311002
101233.28,92021.80122395
101960.69,87888.45468750998
103788.19,90372.65013021334
100731.68,87602.21499998668
103943.38,87706.32015625334
100645.42,92282.13450522666
99724.81,90512.04184899664
99565.875,90679.79091145334
102743.766,91802.91890626666
97759.72,84943.12376302914
96738.93,92020.02406250332
99571.42,86963.29638019668
99710.61,89249.04169272662
97301.63,90021.55317708327
99513.02,89031.27908855998
98063.81,87116.81710937669
95511.13,93913.21533854336
99920.19,92747.05914063664
100463.35,95185.02742188334
98855.42,90742.53317706338
95308.01,92106.61367185334
99295.195,85340.03652340834
98333.39,87880.67187498003
102147.625,89254.85351557672
93980.74,92728.053125
99841.28,89895.59684896666
98427.58,88026.11479167332
97606.67,91568.19085937
94781.72,90004.95729165668
95347.63,90895.03874998668
93661.625,90700.0522656533
98523.984,86098.31877604665
97335.586,87164.09773436
97742.39,86762.31647135003
93205.64,90608.76057290335
94880.84,88576.23541667333
91534.61,88833.65419269336
96668.016,85339.61015625666
92054.16,89595.22778644667
92732.8,89106.3771615066
92602.625,91512.24916668668
94160.016,90642.23026043666
88777.79,85297.50817708668
91619.53,93849.59622398332
91507.68,87116.85356772662
93736.04,88847.153352825
94394.91,86612.19815102004
89994.93,86670.02377606665
90930.93,87582.00515624668
90910.055,90237.60328122338
90762.27,90754.42815108664
90405.164,87093.2033854
92658.305,91030.56770832004
91951.18,87611.84526041
90314.4,87304.09585938335
93518.96,87149.18544268668
89134.75,84531.81490381947
90249.61,88216.42592714526
90501.09,87549.62591452508
82213.13,90455.86223958
91321.26,90176.98765623668
90188.984,87243.9419531133
92015.195,90233.32033855333
83268.164,90390.69216143667
90891.43,89699.25744791668
84584.29,92421.81080728333
88611.02,89124.49744790666
85764.53,82069.63302083669
87805.53,88724.63398435336
89608.4,90967.17122398746
