Predictions,Actual_Values
98890.95,115132.68520832335
100833.414,113540.67695311998
104758.836,113429.47385417335
97015.31,112193.96624997335
94251.13,113859.47835934335
104976.73,113587.01101560336
94567.94,113705.79182288668
102022.914,112056.08893231
103481.85,111167.26351559335
103256.04,104754.38213542003
99998.8,104010.1546875266
105217.375,106854.85651044996
95924.51,105384.37937500332
102801.945,101521.35135416
103478.016,103425.0948958333
107255.04,102183.05476561334
105656.83,103008.21677083666
101720.97,100681.03140623
105309.766,101515.81333332665
102773.55,105159.01286459668
109178.836,103082.51848957667
108601.43,101542.38919269331
109087.41,102148.16875003334
110724.79,101638.2976561959
100293.766,101930.76252603336
100411.37,101767.98906252002
106326.52,102456.59565104
112052.67,104532.7534375
114508.52,104020.19744789672
109151.79,104489.99182290668
117431.586,108572.50440103
104691.836,116418.38872397332
112764.88,118458.89033851006
115052.07,116527.22799477002
115856.22,120009.74260415336
123499.67,125038.20947270413
112332.05,128010.48578121336
112539.47,126867.80445311338
124206.92,124504.03453127664
119750.78,126178.36770832003
124156.555,124645.74106771336
123178.2,127142.7787500233
125704.22,132409.81799479332
124710.08,130627.95372396329
127090.71,130702.68481770667
133799.3,137447.2380544355
127830.85,143228.3240625
130877.48,138542.41484374585
132014.73,156245.456875
133610.98,155571.45817708335
136322.11,161979.195625
133703.53,163199.88052083337
136394.19,157966.71291666667
138832.55,173824.49005208333
132865.0,178894.63325264087
142710.53,173774.79697916668
146244.28,177433.32903645837
146429.19,181807.31927083328
142809.06,178609.82106770837
145101.2,181922.24541666667
145463.72,189128.5109635417
148953.97,181814.78416666668
150818.8,184377.40530598952
144755.28,183550.9888802084
150459.48,175105.23156249998
149639.6,184785.0827864584
150651.14,188883.54203125
154712.11,190392.73330729164
150125.64,191243.19984375
154021.03,198069.60953125003
155102.19,198248.8535677084
149027.55,204137.70513020828
149500.92,198228.31135416662
156238.67,200183.75661458328
158117.78,201589.7158854166
162431.23,201455.05700520836
149602.45,204155.68981770836
157690.72,198976.16171875
160704.69,206558.03291666665
160614.17,202585.6906510417
162432.58,201358.0624479166
161688.77,201898.06335937497
163533.9,202773.00309895832
163850.6,199561.65411458333
162581.92,173873.64447916663
163112.67,169490.1078125
165003.69,165824.39567708335
167869.47,159528.95125
164777.81,193902.3291666666
165599.1,192782.51354166665
163852.0,185825.6953125
166817.95,176545.58359375
173163.83,180009.7946875
172277.55,172605.26494791667
175170.9,176472.89697916663
173825.39,180233.585546875
162318.14,182730.74895833328
166324.67,179005.19458333333
166127.34,179977.3725
173332.8,178457.87614583335
175333.86,183684.19105351172
168922.34,183817.00088541667
171386.33,184649.29390625
171883.39,185654.9502083333
171065.8,188510.47442708333
167789.12,192052.08749999997
177485.34,199113.21135416668
173675.36,193785.03600260412
171969.06,199727.71104166663
170447.61,198801.22
175223.83,206783.93833333327
172112.39,202828.29177083325
170097.23,204273.26244791667
173514.7,204854.76171875
173193.95,200639.79442708325
164442.05,198263.61567708326
169868.19,200538.42083333325
169696.56,200098.55283235785
170477.86,205527.59177083333
171489.8,207736.02805989585
176292.56,205435.05411458333
166267.98,207373.49374999997
169946.3,210970.19312499996
166762.0,211106.13161458325
171621.3,209800.4882943144
161040.61,205071.25187499996
167942.67,206352.0015625
160364.44,208958.20442708328
168368.44,213564.94015624997
162708.06,212220.9641145833
166011.88,212540.48713541665
160892.3,221547.68417968747
168333.36,200248.09135416662
160506.69,190619.1011979167
162469.4,191019.53531249997
162052.47,186577.75989583333
161599.62,199187.98854166665
156983.5,210548.07656249998
155509.3,234532.51489583324
157968.97,207485.9263020833
159493.03,236832.9940625
155715.44,208810.9341145833
161305.2,216644.4764583333
148671.0,219547.05123697926
155052.31,217727.21802083333
157274.62,211663.70875
151762.44,216330.57369791667
154111.97,198613.3252083333
156177.77,185331.89987458198
149876.11,182857.81307101328
141291.6,205121.4244791666
144508.22,201130.5494270833
140758.7,191143.26213541665
150300.4,189178.81052083333
149646.05,192345.57510416664
140525.89,184161.96536458333
148526.1,159777.31776041002
143530.25,176900.33994791665
145218.95,175656.67901041667
135301.48,172729.61630208333
141661.42,166762.55619791665
140509.06,165883.49416666667
139743.53,166798.71421875
147843.44,164733.33758361204
134226.88,167612.55713541663
141913.94,169540.8590625
139840.77,168350.51833333337
136572.67,159722.17154947913
134866.64,151150.04447916665
125327.31,149558.42171875
132826.83,153679.72255208335
133172.14,152457.9678125
131131.3,139997.84003971572
135655.48,144035.97786458337
136253.19,143041.52463541663
130953.41,142557.070625
130197.72,142487.16138020335
127051.92,131087.93885414005
130251.02,125729.65304688002
129604.93,128860.084700525
134624.42,134766.05505208002
122899.29,132461.41315104
125947.76,131801.1291927333
124523.99,128447.33747396331
121524.81,126401.25601565333
119089.33,125747.08541667
128985.055,122459.8063541966
122410.6,126963.11627607659
127534.42,123164.35778645
127684.05,117589.73776043
126197.3,122155.61031252664
123135.37,114406.43444006665
118374.734,117964.31789059006
128518.48,120165.53421874664
123262.92,123660.5460937733
124696.48,125122.48705727336
124308.84,122049.56367575926
127557.516,121606.80531251994
115950.47,117689.44890622672
126466.71,117493.82065100336
118297.34,120731.14661456336
118571.125,128143.76244793662
120188.984,124757.10927080008
115361.79,120839.55283200419
110921.16,131977.44445312663
114718.69,130915.73729164994
112933.16,137618.24067708335
114513.56,136733.53682291668
119572.05,133894.88013021994
123669.69,135251.16578124336
117229.695,134424.11791666667
116953.55,132148.36773438
113617.84,140947.19354166667
114242.53,138121.43328125
112579.38,135380.57890625
117037.33,137495.3888346375
114247.484,127053.1582812034
116496.9,127939.93330728002
112775.46,127812.41351564664
113097.56,128938.11375002333
113080.73,131350.69330060194
117143.39,135516.24596355
115778.125,136430.78010416665
115091.44,135224.93570312002
112045.75,135784.7738020833
113293.79,125691.73924479008
107192.69,133891.56666667332
111777.93,137512.62708333333
118259.28,132197.85546875332
102467.21,137140.96927084
111330.43,137142.58244791668
109634.914,125068.33981770664
109082.07,130307.64276041662
113413.14,125454.74794274665
112979.27,129145.98606770668
102019.61,129361.81882810668
108789.734,128868.57143231663
107980.33,127512.6173176834
111514.38,128694.83403646
105847.27,120090.91305341244
101935.31,118940.41236980006
105181.83,117992.59036459665
104766.78,118236.09515623671
106199.664,112448.85627603
99838.6,114754.69414060336
97669.3,115612.32973958337
114820.22,116131.94700522337
110686.33,118540.40726566662
94413.25,115697.01322919667
107881.36,120320.33226564663
108780.53,121239.69500002328
107466.89,119916.04013669168
107628.57,118126.7078385733
103543.32,121168.46171874
100142.07,117530.9292448366
105577.48,121834.32257811668
103216.305,120335.97114584
98018.266,119244.78338542336
110713.23,116920.92874997664
109889.72,121047.49390625332
97004.26,112936.39106768336
104360.72,120787.14476562336
106502.03,120267.55432290994
106721.086,117222.743033825
102871.375,116399.09757809668
99619.02,113425.98364582668
103221.516,112956.3482552
95651.2,111424.9521614533
101541.484,116677.98604167
99432.65,113559.82460936
97259.64,110239.40838540668
98564.625,106973.85411458
105776.195,106580.2486458167
105615.51,106733.82723959332
102191.1,106127.55429687
98390.68,105156.78743492496
101137.695,112122.95151041332
101948.83,109945.18841147666
97277.46,117483.66723958332
99824.81,118894.39817712
102161.81,115208.04343748336
101031.15,114618.09705727006
94153.29,119868.08119791665
101027.74,114418.67229170327
99866.61,116307.46351561336
98446.42,113549.72486978667
103729.76,101173.96015625662
101628.78,102461.84410805834
