Predictions,Actual_Values
87476.8,88542.72382816994
89591.88,89856.57854167002
89732.695,89810.97317710667
90092.195,95623.24111978665
87618.305,91015.22484375
89057.28,88041.27851560006
88032.016,89539.9583854366
89663.625,88785.97143230334
88917.02,91413.87869794328
89508.02,89887.02578124334
87886.85,88148.93624998
88421.805,85721.4703450375
87666.75,82758.80937498668
87350.49,89956.66437499331
88918.8,87580.58140625664
87916.516,84637.18046878994
89178.55,86235.16947916003
88481.81,82513.26999997334
87173.414,86011.84315104334
89068.84,87162.24979170662
89541.984,87486.51539061665
90287.05,85751.80835936
88309.12,86283.24221351004
89390.83,81774.28870441669
86942.625,85999.45325521332
91439.25,86573.23208332004
91132.96,84390.64635416333
88417.56,88235.28484375998
89354.82,84549.10390624998
85476.86,83219.23859372336
88520.64,85095.97658854665
85467.87,82334.27210936669
91088.74,82188.24843747671
92127.19,81654.4736197334
87702.22,81599.43911456336
88363.664,83904.25423175831
88903.13,80961.87098962332
87181.12,84383.43200519668
89516.945,81793.81468749662
88595.23,81922.88333335334
87981.93,82546.36604166332
88900.984,86587.01455728669
88541.9,82108.97132811668
88804.66,85439.30510415671
89161.86,84125.4423177033
89950.31,84490.72346353339
90878.49,89474.29447918662
89066.055,81561.41627604165
87789.84,87380.93182291003
93602.89,86617.96273436668
89219.41,83689.91809896997
90202.305,86133.38078126665
91677.46,81005.39877605332
91094.54,89275.07580727334
89946.42,89073.86916666
90784.65,89050.03950521996
92817.57,83968.04536460998
90918.41,89173.90794266008
91188.08,89769.64783851668
91994.375,90085.2521484042
90844.875,87665.37236978664
90404.83,86357.12526039004
90406.02,86547.16450520333
93138.914,89219.02122400329
93058.42,89864.86333333667
92904.09,92690.8731510433
95849.71,86418.82950522668
93367.1,92627.47348960995
92933.87,89707.80580731662
93412.32,88138.06013017008
95021.03,93515.94778646666
93996.94,88320.61660157498
94764.03,86208.03049480001
96023.77,87523.89546874334
95423.92,87827.13289063668
97419.72,87924.98736980662
96058.38,88003.44296875998
96063.07,88813.9513801967
97486.1,88205.36177083332
94808.32,93913.1509114267
95139.82,92541.25565098671
95651.63,97175.7903125233
96870.516,90905.93015622334
99839.8,94216.6958659042
98076.28,102570.58197916334
97988.414,93046.08986974672
99570.47,98935.51414063
99023.73,96220.65307293666
100033.97,100815.64455731332
98124.46,99224.27179686337
