Predictions,Actual_Values
94727.22,83919.05796877
92465.67,87808.49059896998
91774.055,82883.27817708
92830.57,86290.66838539338
93266.23,88070.81635416002
92054.75,81581.54020830333
93836.37,86304.8044261706
94613.586,83010.27372396336
93351.305,84247.65661455001
93004.086,87754.5234374667
93307.94,81825.83145834332
93337.26,84795.00696614168
93712.96,83639.77992187999
94619.64,82576.70440105001
92549.15,85995.55539060669
93158.85,83456.18260417
92841.8,84134.48286458335
93505.49,84337.22138018339
94675.81,83115.96252604332
92702.875,81113.54822914668
93771.66,85024.68291664001
93629.06,83428.59164065664
91928.86,79591.65117188665
93187.98,81911.4455728834
93042.36,81123.83838541666
92529.14,82319.19585937331
93544.0,83266.80552082336
92623.06,80141.96486983003
93676.836,83007.78257812001
92071.25,79039.6389323233
91675.234,79429.21872395335
94790.375,82943.07188020737
93934.92,78213.98234373999
93442.4,81945.62726559673
94494.91,81320.64604161005
94493.33,78529.66207686244
94936.8,81649.35356769666
94415.94,79420.0390103867
94439.74,81253.74213539336
94240.4,82778.47565102336
94568.26,79855.32385413336
93989.67,81556.92312498669
93716.04,80408.74255209997
94146.16,79480.21557292997
96511.03,80299.76575523664
96434.375,81896.38281252667
94955.25,77419.14666665338
94540.3,82587.95979823329
96318.86,81272.98763018339
95490.75,78931.09013020668
95051.06,81716.23281250332
94315.31,80497.98822918997
95539.72,80084.24132814333
95832.61,84194.6301041633
96348.125,79423.42763020004
95309.914,77395.32156665555
97254.305,80253.78294272331
96018.45,78562.29471355335
97199.3,85089.69945312665
96013.86,89711.21897784168
95874.516,97237.98075517669
97178.945,93884.68046874668
98612.02,95452.27765622338
97384.84,89730.87796872336
97064.33,89970.21546878663
95216.984,98831.69283850335
96681.57,95546.34630204666
97205.18,93974.52499999331
97792.51,95635.05447919664
97121.45,100872.82851561668
98289.47,100409.65236976671
97875.586,100312.17314457912
98769.95,100282.41127602667
98408.32,95050.35869791334
98994.29,99942.79507810331
100346.805,98425.43218747336
100109.11,101373.01174481666
97826.336,104031.60291665666
101562.195,97999.98716146
98671.47,103161.7172084047
100854.03,98569.01973958334
101833.01,101672.43864582668
100321.07,109904.07210936004
100451.91,106557.48684892087
99550.14,110284.68669271
100730.05,107681.2022395667
102251.65,107279.37609375668
100512.34,106190.35906251664
102831.28,109272.82882811331
101131.9,103936.72416668
102624.5,108812.69994791
102724.83,104180.81502605666
102149.82,97584.9600260733
101267.22,102940.81002602004
102343.98,100068.31500002665
102914.19,98238.00022787084
103593.625,108930.94320316998
103511.92,98167.70609379328
103213.07,105402.15929690664
104303.47,103813.41382811
102403.64,102415.89828119674
103791.78,102434.48796873668
104655.09,101596.14416664666
103429.695,98814.33677361876
105595.58,107829.85273436668
103753.6,101825.71148436338
104233.55,102763.08700521998
104577.875,109212.48704430416
103564.83,104102.4695312533
104496.47,103681.77148438666
103528.586,104116.23888022998
105797.375,100642.94380208002
104173.07,106162.06213542662
106491.64,101482.23505206336
106092.54,106603.4947916833
106185.24,101913.88588539
106459.14,102385.84916664333
105096.125,103221.80361973008
105269.9,99565.84911455668
105785.04,96858.90104165002
107648.945,99444.86843747667
105959.57,95822.4266405734
106167.42,97503.66213538336
106828.86,100063.98190106
105942.6,99619.1888020567
105966.3,100484.94791666002
107050.37,102350.64835938998
106707.375,95107.5032813033
107220.33,102783.20721355
106391.805,98001.09919270666
104899.43,98803.92770835
106952.18,98827.3666992458
106942.2,99853.05338544332
106521.98,99858.6978385733
106992.52,99361.11591144664
107963.6,99579.38273437665
107995.74,98680.87486978337
108007.99,95835.93192705006
107964.38,96536.60044269337
108083.57,97040.45578124668
107455.125,96940.1171874867
107104.19,99069.21471354664
108290.07,102390.85671874
108112.24,98317.09290365
106889.38,94479.36119790332
108648.68,97285.22140622338
107938.44,98002.65523436337
107822.24,102816.70796874334
107663.836,93880.64903649996
108032.6,97151.14468751333
108238.78,93082.75096356994
109891.97,94274.68744790666
107891.69,95091.04927085
108543.18,95269.10528641671
107145.05,91999.41226562335
108212.31,96879.98658856252
107585.25,91123.18346352669
108613.84,92359.42023438
109176.05,94081.96830729666
108029.79,95191.11143229331
109477.336,89134.97903644668
108776.49,91860.01270832002
106362.484,92404.91044275329
107444.086,89764.29552082338
108140.96,92663.39255208668
108523.28,91478.1934895667
108645.305,90302.46619791
105159.305,88690.24088540832
106794.0,93256.82489585332
108263.92,90624.87416667333
106758.766,94115.27315102667
107983.98,97142.59466143
107806.16,87411.16125000664
106972.07,93033.36505208336
106925.805,92053.1802344133
107541.47,91389.42278646331
107782.8,94047.61177082332
106646.516,90398.75992188336
107015.44,90909.61760416
