Predictions,Actual_Values
74931.08,82510.83338541003
74313.51,77783.29703123005
74620.41,82104.86807290338
73394.98,79030.27828125
73175.21,78985.89815101337
72781.87,79017.85723959
72948.03,77991.60419273662
74228.25,81256.59809897665
71639.97,78252.38065101003
72962.445,77333.00218748335
73207.33,77406.79085936332
74824.47,79498.54368491667
73481.664,77652.12408850671
73412.39,77403.86994787339
72233.38,80709.38585937332
73670.72,76412.16531253998
73387.62,77366.42708334666
73096.23,77117.92489585662
74257.81,75541.51375002664
71126.586,77422.60351565665
73413.28,77615.74523437001
73015.75,73898.08572916669
72428.47,80120.55348955003
72989.445,93132.53779295
73765.18,97079.80249997672
73539.625,99765.17036455004
74595.836,98980.19848958668
73562.16,98450.57817708
74922.16,94944.65815101335
76212.984,93425.51364581005
74784.945,94613.32541663006
74723.31,95509.88104166336
76156.7,91561.9550781
76474.41,96604.62908853668
76279.414,89596.77044272664
76797.375,94458.9863281417
77534.4,94116.4370051434
77052.21,98654.06286459332
78109.51,94580.14348959664
78267.99,98037.52981771668
79347.25,96015.68236978
79518.016,93700.19716147994
79699.336,95275.74598962996
81188.95,100300.60427085994
81538.664,98271.87679689
84005.07,98735.16437498004
81807.95,100091.8252343667
83324.03,103244.07666017915
83229.375,101477.19145832336
84739.836,105247.77049480664
83839.42,98498.1532551967
86003.78,100077.62372397663
85681.94,108328.47679688668
87378.695,101486.80367189666
85847.41,109835.75776043664
87442.44,108180.2282291467
89711.12,112172.75565101998
88516.17,128174.31966146662
87568.01,126568.89192705
92395.586,120599.06738281668
90560.984,128406.77619794663
91871.49,132164.32960938
92209.555,137128.40249999668
91682.22,142230.28106770333
92396.91,138485.13401041663
93602.89,139461.09500000667
92914.95,134310.79101562
96083.914,136406.46929687663
95989.516,135168.45888021332
96044.65,133987.44026041336
94908.69,132937.0283853967
95022.195,133017.05143232082
97469.55,135507.80565105332
96012.21,135071.70375
97756.83,143659.28184896
99144.914,140726.8796875
98245.12,140478.06171875
98924.88,146631.06854166667
101512.99,144882.42255208333
102526.484,146990.83617265883
101168.72,143732.60260416663
104216.9,147902.318125
102617.04,149844.82041666665
103746.664,141008.74417317502
104683.17,139819.40744791663
102874.96,140616.98505208333
103960.23,137620.23270832337
104048.08,138407.90322916
107321.37,142033.71406250336
105316.164,140832.37598958332
104715.4,132879.46888020667
106402.5,129070.38833333338
106345.02,125854.73841145671
106603.445,133453.8536197967
107987.89,131583.70210937
106533.016,129347.93902995
107687.734,131577.89309896337
107942.14,131272.5438801867
108904.66,125246.61794270003
107098.125,120145.98138024662
108040.555,125130.25440103668
108178.87,131483.56338540002
110150.08,128568.38338542993
110816.91,128131.58849814045
110664.07,134300.25604167333
107967.555,134756.40708334665
111833.375,138017.04078125663
110091.33,156721.61484375
110845.05,142014.59903646
110623.59,154991.07057291668
111013.77,153020.14369792998
110705.62,133827.49997396
109412.44,141397.06682291668
110281.08,168687.01125
111156.37,159021.83447916663
109966.95,161517.15463541663
110517.28,154572.49635416668
109753.55,148920.0040625
110819.0,156091.08286458332
109061.555,155125.37174479163
110299.49,150991.01567708998
107369.77,160860.08536458333
106045.55,150511.61432291663
106009.96,149525.02484375
107477.41,145490.28453125
106019.68,144370.23895833333
105810.34,143917.40515625337
108808.24,129925.27586746155
108227.36,132518.20546876002
108549.49,129938.79713540008
106748.96,132625.2705729333
103156.84,131448.13222657086
106025.25,128239.96497398331
104258.32,136942.28958331668
104761.414,129910.81940104662
105584.56,130429.50252604664
104664.766,128612.15450520336
104421.445,127327.20601564998
105060.375,133727.3585416567
102836.38,126514.96752604665
100467.75,123318.06109375
101277.44,131898.58997394668
101111.195,126964.34098956003
101926.61,124883.9944661583
99750.68,126893.58000001992
100406.02,123341.88513018336
99525.22,124855.29127605
99554.18,125332.88528646
99310.26,127049.60578125
97385.96,120545.54880206673
95922.625,118198.19976562331
95110.89,113047.2140468294
95745.07,116286.75617188663
98244.66,110947.37114585
95942.12,114652.97648436663
93042.16,118933.77347004165
93821.83,114253.03171873665
93463.27,114728.63588542998
93187.22,114364.76804688665
94443.945,116106.40940110324
94688.73,115972.09380209995
92472.72,110679.9755989234
90179.24,114599.31674478667
91610.76,111004.72627603002
92347.65,105912.89515625336
88988.32,111033.52750000331
89689.02,115454.82221354663
89992.41,108856.1486328
88177.61,111127.50122392998
89228.81,102366.66671874668
87776.77,105081.9286979433
88312.27,102162.95552083
88480.28,102046.65809897336
85188.63,100837.0147395567
86816.32,98830.57098959333
86291.35,100079.45960493981
85383.555,99698.07950518672
87386.695,98363.0757812067
86985.77,94744.42244789004
82698.016,102394.52542320416
84135.555,96972.80054685003
85167.766,93818.85726565664
86664.13,96548.80114584
84820.54,92179.72838542664
82072.28,98481.44705729334
84188.625,92060.53880210665
85971.66,88954.38388025992
83438.95,88602.54416665003
82053.07,83336.41197915337
84166.44,84748.07692704335
83500.19,86809.55140628996
83146.44,84223.04697263335
82873.64,83231.74864584333
82340.9,84790.6027864833
84778.44,82216.38713545659
82873.164,88839.11562500335
82390.84,80434.9532291467
81390.914,83864.3385416367
80560.77,84081.20307291667
81108.8,82049.64647789294
82407.99,87291.38638024664
82625.95,85254.63656252662
81944.51,82719.36447913336
81178.77,85617.51380207503
81662.25,82626.82700521329
84511.46,84359.35533856
80988.555,87351.02002606662
84337.4,82851.18921878662
81562.445,86308.64229164003
81262.1,84586.27908852669
81606.43,85491.02773436664
81955.734,84572.34999996005
83500.02,87006.29617189332
80835.35,81792.86846355665
81583.38,83318.16947917997
82148.266,84529.87610677497
82742.73,83390.56606767338
82541.34,85188.31619789005
79520.625,86822.39950516338
81191.71,81841.12364582
80884.42,81943.19903645998
82185.25,85038.0311458433
82552.98,84191.24216147
81470.36,86064.92023440996
80240.08,81000.77002603
81253.0,86068.13036458334
81332.82,80998.12239583337
82644.35,84681.59326174996
83447.47,83834.47223958332
80725.516,83583.39158853334
82594.36,83979.49174476671
81270.74,82177.18760415004
82599.62,84292.78351562
82056.56,86242.91682291003
80397.016,83564.93999999666
80143.51,85569.3036198133
82513.47,85937.52106770004
80648.51,79709.24161457
81327.32,85543.96338543668
82929.66,81492.01796876248
82637.44,82687.90205728004
82515.734,80659.56921873336
81836.47,85550.31125001995
80961.58,81859.17101559338
79780.9,87799.92828125997
82911.46,80754.65148436
81050.52,82799.7978906067
82133.98,85236.38156248671
80001.87,83029.85809894999
80854.96,81518.88932290336
80790.33,82559.87674477667
81409.86,82321.32158206245
80958.96,85650.11380208997
80291.07,81700.80096353001
79915.164,82293.30049478331
79483.38,82912.15278648997
80856.47,82178.23773437999
79960.88,84483.22562499331
81008.62,82134.9569531633
79271.78,81257.59013022664
80452.5,85243.0028906233
80274.96,80519.98552083332
79611.48,81608.41421874001
81302.69,82825.47809243752
79688.84,83311.51007813332
80674.68,79755.24661462332
78658.1,85088.91552082334
79833.016,79668.53690102334
79983.26,83970.85354165001
77720.305,82589.68841143006
80001.44,81684.02171874
77141.45,80478.68838541003
79924.53,81044.30885415668
78399.63,80361.11882810008
77182.336,80826.85554686667
78694.41,80685.05621745835
78155.37,80426.90463541332
76920.84,82511.1709374967
76394.71,79057.52317708997
76341.41,82187.25166668
75803.67,80211.98640626002
77106.766,81168.18361979336
75711.67,84448.92460937
76207.02,78958.2465625133
76225.43,77510.62648436335
75688.13,83944.49861982664
77553.52,79228.65796877668
76855.64,78864.19156897921
