Predictions,Actual_Values
74448.08,82510.83338541003
75726.43,77783.29703123005
74522.555,82104.86807290338
73380.33,79030.27828125
75627.695,78985.89815101337
75510.39,79017.85723959
73954.625,77991.60419273662
73901.305,81256.59809897665
74454.02,78252.38065101003
75188.836,77333.00218748335
75178.16,77406.79085936332
76672.51,79498.54368491667
76216.766,77652.12408850671
74669.61,77403.86994787339
76131.81,80709.38585937332
78022.7,76412.16531253998
76638.586,77366.42708334666
76549.91,77117.92489585662
77848.31,75541.51375002664
77637.02,77422.60351565665
78152.82,77615.74523437001
78813.18,73898.08572916669
78389.68,80120.55348955003
79484.4,93132.53779295
80404.48,97079.80249997672
82118.16,99765.17036455004
81296.67,98980.19848958668
81357.61,98450.57817708
82553.3,94944.65815101335
82074.664,93425.51364581005
83386.336,94613.32541663006
84999.21,95509.88104166336
83866.2,91561.9550781
85277.53,96604.62908853668
86285.78,89596.77044272664
87397.35,94458.9863281417
88142.29,94116.4370051434
89301.44,98654.06286459332
90070.79,94580.14348959664
89646.26,98037.52981771668
91563.58,96015.68236978
91214.14,93700.19716147994
92465.58,95275.74598962996
92791.2,100300.60427085994
93960.19,98271.87679689
97186.336,98735.16437498004
96364.875,100091.8252343667
96395.71,103244.07666017915
98573.125,101477.19145832336
98579.63,105247.77049480664
100325.32,98498.1532551967
100663.54,100077.62372397663
103438.02,108328.47679688668
102753.555,101486.80367189666
104214.31,109835.75776043664
105425.07,108180.2282291467
107491.08,112172.75565101998
107454.94,128174.31966146662
107745.72,126568.89192705
109794.234,120599.06738281668
109319.51,128406.77619794663
111304.82,132164.32960938
112020.59,137128.40249999668
112285.53,142230.28106770333
112769.3,138485.13401041663
112387.09,139461.09500000667
114821.34,134310.79101562
114980.4,136406.46929687663
116051.53,135168.45888021332
115549.984,133987.44026041336
117372.18,132937.0283853967
117699.86,133017.05143232082
119063.94,135507.80565105332
120538.04,135071.70375
119392.56,143659.28184896
120123.57,140726.8796875
120897.586,140478.06171875
122781.086,146631.06854166667
123573.6,144882.42255208333
123136.82,146990.83617265883
123648.76,143732.60260416663
123006.03,147902.318125
124691.234,149844.82041666665
124845.01,141008.74417317502
125877.5,139819.40744791663
126370.47,140616.98505208333
128313.445,137620.23270832337
127734.27,138407.90322916
126774.63,142033.71406250336
129232.0,140832.37598958332
128510.52,132879.46888020667
128706.47,129070.38833333338
130698.67,125854.73841145671
130136.16,133453.8536197967
131115.86,131583.70210937
130552.55,129347.93902995
130733.125,131577.89309896337
131743.9,131272.5438801867
131795.02,125246.61794270003
132149.03,120145.98138024662
130524.875,125130.25440103668
131226.27,131483.56338540002
131612.88,128568.38338542993
132106.34,128131.58849814045
132336.61,134300.25604167333
132164.12,134756.40708334665
132016.38,138017.04078125663
132373.97,156721.61484375
132621.39,142014.59903646
130988.1,154991.07057291668
131482.31,153020.14369792998
132812.89,133827.49997396
131792.33,141397.06682291668
131293.66,168687.01125
129563.94,159021.83447916663
130244.43,161517.15463541663
129821.41,154572.49635416668
129354.55,148920.0040625
130368.695,156091.08286458332
129397.16,155125.37174479163
130333.664,150991.01567708998
128931.38,160860.08536458333
129566.484,150511.61432291663
126948.76,149525.02484375
126333.41,145490.28453125
127453.22,144370.23895833333
126985.164,143917.40515625337
126242.34,129925.27586746155
126271.52,132518.20546876002
126053.83,129938.79713540008
124998.336,132625.2705729333
124912.336,131448.13222657086
123628.875,128239.96497398331
124352.336,136942.28958331668
123626.35,129910.81940104662
123042.84,130429.50252604664
122057.17,128612.15450520336
121227.2,127327.20601564998
120320.8,133727.3585416567
119349.04,126514.96752604665
120410.88,123318.06109375
118618.74,131898.58997394668
116902.38,126964.34098956003
117534.164,124883.9944661583
116143.01,126893.58000001992
117048.19,123341.88513018336
114998.36,124855.29127605
114130.69,125332.88528646
112629.7,127049.60578125
112374.56,120545.54880206673
112429.88,118198.19976562331
111711.22,113047.2140468294
111735.21,116286.75617188663
110122.2,110947.37114585
109326.16,114652.97648436663
109683.16,118933.77347004165
109861.34,114253.03171873665
107967.44,114728.63588542998
107263.375,114364.76804688665
107275.02,116106.40940110324
106088.41,115972.09380209995
106506.93,110679.9755989234
105430.92,114599.31674478667
104597.805,111004.72627603002
104246.98,105912.89515625336
103250.39,111033.52750000331
102529.07,115454.82221354663
102047.38,108856.1486328
100883.875,111127.50122392998
101684.56,102366.66671874668
99246.9,105081.9286979433
100359.46,102162.95552083
99730.58,102046.65809897336
98687.34,100837.0147395567
98484.375,98830.57098959333
96725.53,100079.45960493981
97445.79,99698.07950518672
96827.12,98363.0757812067
96629.68,94744.42244789004
95821.336,102394.52542320416
95879.125,96972.80054685003
95139.98,93818.85726565664
93998.07,96548.80114584
95263.22,92179.72838542664
94839.78,98481.44705729334
93822.39,92060.53880210665
93325.39,88954.38388025992
93882.18,88602.54416665003
92168.54,83336.41197915337
91500.58,84748.07692704335
91081.26,86809.55140628996
91277.68,84223.04697263335
91943.2,83231.74864584333
90479.414,84790.6027864833
91220.74,82216.38713545659
90130.56,88839.11562500335
90167.04,80434.9532291467
89495.28,83864.3385416367
89373.445,84081.20307291667
89040.82,82049.64647789294
88582.73,87291.38638024664
89463.84,85254.63656252662
88684.984,82719.36447913336
88258.23,85617.51380207503
88802.79,82626.82700521329
88606.73,84359.35533856
87392.51,87351.02002606662
88452.27,82851.18921878662
88017.35,86308.64229164003
87690.76,84586.27908852669
88018.88,85491.02773436664
87617.234,84572.34999996005
88122.87,87006.29617189332
88114.1,81792.86846355665
86516.41,83318.16947917997
86963.68,84529.87610677497
87043.516,83390.56606767338
86746.17,85188.31619789005
87032.54,86822.39950516338
87626.9,81841.12364582
86349.63,81943.19903645998
86413.23,85038.0311458433
87100.266,84191.24216147
87093.305,86064.92023440996
87750.28,81000.77002603
86437.914,86068.13036458334
86130.445,80998.12239583337
85174.89,84681.59326174996
85508.74,83834.47223958332
85877.68,83583.39158853334
85954.586,83979.49174476671
84795.63,82177.18760415004
85969.445,84292.78351562
85573.28,86242.91682291003
85308.52,83564.93999999666
84728.13,85569.3036198133
85372.98,85937.52106770004
85445.55,79709.24161457
84284.484,85543.96338543668
84858.77,81492.01796876248
84340.445,82687.90205728004
84751.58,80659.56921873336
83192.59,85550.31125001995
83526.71,81859.17101559338
84458.72,87799.92828125997
83057.37,80754.65148436
83186.52,82799.7978906067
83498.74,85236.38156248671
82386.055,83029.85809894999
83003.945,81518.88932290336
82334.64,82559.87674477667
80599.37,82321.32158206245
82301.36,85650.11380208997
81265.08,81700.80096353001
81392.555,82293.30049478331
80843.336,82912.15278648997
80119.32,82178.23773437999
81392.87,84483.22562499331
80545.805,82134.9569531633
80953.52,81257.59013022664
80603.81,85243.0028906233
79981.555,80519.98552083332
80674.38,81608.41421874001
80473.375,82825.47809243752
79526.51,83311.51007813332
80158.945,79755.24661462332
80820.38,85088.91552082334
79414.67,79668.53690102334
79454.75,83970.85354165001
79440.94,82589.68841143006
78128.01,81684.02171874
78609.7,80478.68838541003
77888.26,81044.30885415668
76920.94,80361.11882810008
77157.6,80826.85554686667
78364.41,80685.05621745835
78320.3,80426.90463541332
77865.39,82511.1709374967
77336.71,79057.52317708997
77629.86,82187.25166668
77896.875,80211.98640626002
77874.55,81168.18361979336
77336.74,84448.92460937
76529.164,78958.2465625133
76594.24,77510.62648436335
76232.1,83944.49861982664
76794.3,79228.65796877668
76353.38,78864.19156897921
