Predictions,Actual_Values
92526.55,90823.98143230332
93102.99,85353.23895833666
94736.72,88801.41169268334
92935.055,87922.12898437334
96311.734,87004.82317708666
92409.09,92486.05880206
94676.9,86835.2909896133
94374.13,83681.32947914334
96631.5,85016.50377604997
97156.44,84721.83236980661
96123.78,90499.77815102004
95411.76,89247.34999998331
97628.09,82601.55453123336
96569.23,87168.43145834003
93401.07,85720.8186978967
95143.28,84434.62856773332
99896.45,89376.75315107
98798.26,83896.44369791332
98726.695,83394.96739581668
100777.25,85907.05945312338
100673.16,85062.97575520999
101726.03,83373.09614584
100761.18,88775.74283855998
97885.78,84430.4105143167
102278.26,86497.49932291001
104387.01,85524.85661460998
103535.945,84765.10692706332
101473.24,88636.23851564662
105847.48,90606.20049480665
105635.766,84690.60242189666
104656.64,90968.95395830672
105010.55,82894.22924478666
110438.96,89653.04015624002
108212.35,87331.29223958
109422.875,88905.21221355331
112658.98,87589.67265625835
109355.46,87060.21489583666
111659.78,86546.80299481
109675.98,87914.3463802067
108908.05,89114.16768227
113702.984,82654.79208329006
119505.27,91768.20632810004
113020.49,87488.36979166004
116372.914,88102.89210937334
118143.89,92060.54455730668
121936.586,91958.30854166998
119966.984,92527.16828126996
124674.875,93534.90319008334
124777.06,95358.5171614733
121187.55,96244.00676731444
124093.84,91255.38625001333
130433.82,96964.87122396332
131145.33,100065.27351561667
130262.44,100967.41033854334
133052.84,101088.60901043666
132657.92,105472.28820310003
135714.5,101989.35822917
135644.44,105975.47085939997
134435.11,106573.13414062338
138083.83,104854.14570309586
142533.14,113400.90406250668
143375.48,106787.59223960333
140116.47,119303.13049478002
142043.22,122364.77828123006
146664.44,120149.01695310668
146164.2,124945.23635417
151526.44,123839.02843745676
153217.73,132087.5990885367
151923.08,134237.21070311667
154053.06,130113.29958333336
152289.12,134894.42677082337
154559.23,131488.64443359163
155334.58,129928.14473957666
153344.64,135156.07296875998
155014.84,128741.48289061672
158832.08,131456.39486977668
154938.72,129231.35763021
153888.11,129375.25757814331
157813.23,134461.47070311
159999.7,129938.58679688338
157305.2,127192.40458334662
157374.17,129853.06593751
160441.0,125606.7947916467
157864.23,135156.27877603334
162531.58,130514.43559894008
159089.17,128967.75755206335
162990.6,129757.18395832337
159767.0,125338.54523437
156473.9,124519.01825522332
157713.2,131066.44382813
158388.7,126837.81205730994
160394.84,123571.42062496676
159383.2,121316.28463544331
157175.73,119820.74950522331
160074.11,123108.94640625002
155988.4,114843.00279949165
162157.97,118730.58518230336
155030.31,119573.57010417
159926.08,122194.32632814329
159829.27,121136.1251562267
157982.23,122311.57388019668
160553.39,119383.49062502992
158287.36,111156.05124999335
154993.84,111452.72627606
155916.75,112872.64661458335
158172.81,112630.98174478002
154575.36,107520.27453126
153703.47,111209.78847658332
156311.72,115764.50471353
154455.45,113019.71468747336
156282.27,117068.70445310006
152974.58,118673.97994792
153641.45,116699.30255210333
153049.02,118721.21588541663
155676.48,116108.95513022663
156729.34,119644.64007811336
154781.08,119066.18187501995
152246.19,118888.78895832
153573.44,112795.88114582335
152169.9,117840.10891923757
149409.19,119498.59997398994
155008.6,122822.46729165336
151730.0,123149.9612499834
150092.86,120501.78351561
150350.1,123898.29752604994
154154.0,124109.51523436332
150813.61,119442.15653640672
153205.81,127520.19216147331
153230.39,120872.03132813668
153981.03,124226.20364586328
150020.1,125419.72604163342
155550.89,128460.77786455836
150926.27,129117.6001302266
151482.31,121578.50846352337
150125.88,127064.5333593534
149206.4,130474.98072916
149483.88,127656.11757809672
149430.56,126635.35442708
147424.89,125588.1704947567
146695.42,126442.25580732334
148902.58,125377.50468751664
142435.12,127507.63713544994
144769.78,128048.94567711328
147637.8,129899.91074220414
145153.08,137670.95460936337
142246.4,121420.1720312467
143665.14,125909.30684896663
142532.69,124807.86510416336
138212.75,124448.30380212332
135586.48,119422.11752601006
139517.78,116811.89552083668
132922.23,113123.33604166664
136500.7,114815.63309894
136031.72,107699.66635417331
137366.73,117543.02190103669
132110.0,113172.4647786375
129583.75,117234.04854169994
128348.58,112714.15601559338
127534.914,105976.82903645997
126453.39,106339.61145832331
127909.35,111999.75880206667
126416.93,103542.53013022333
124608.23,107119.99153644335
123730.58,108513.6955208167
123388.62,106193.77539058668
123668.65,103017.68986978666
119321.47,108203.67552081
117167.9,103500.12278647914
120120.07,104337.68411459
119565.44,101360.57656250334
120234.164,103672.04343750996
115145.47,107963.32171876328
114751.84,99161.62885420665
113502.36,106043.82552084
112149.11,99960.31075519003
113231.85,100128.24463542333
110191.09,103977.60033852002
111162.17,100172.43036461998
109080.52,98435.17601562996
113507.625,97348.66425780834
105943.016,98810.14484376996
104554.836,99972.0620573
108865.0,96757.24049480664
108273.61,93692.77981774329
106944.02,97736.05510417666
100879.59,90765.16721354336
103893.5,96209.14231772996
105737.79,93435.17606770336
103707.16,94299.25890622336
103596.445,92508.96557293
102572.99,92225.0860676867
105560.19,93442.01748044167
103026.53,96427.20281245004
104538.61,90147.19695314662
104083.11,91491.18419274
100170.07,88720.54679688666
101605.914,89819.66705730332
99817.81,91667.07317708666
100380.266,88146.35742187002
100239.12,87071.95726563003
104739.94,92766.03085936335
102064.48,89851.18911459994
103460.13,84845.35276043668
99231.945,89736.02054036666
100861.7,87105.18122395336
100125.75,90657.18364584
103209.336,88916.35117187999
101170.35,88362.33122397999
98167.64,93045.95403642335
101321.52,89589.4340364134
102378.86,88163.58546877668
99407.36,90542.21250000333
103965.07,92545.56838542332
100577.98,90756.50427083996
99850.38,87170.10239584996
98559.39,88436.0430013
98642.445,93183.86546874
99220.67,90144.91893230334
100884.52,84647.96510419331
96850.74,90604.74515628662
96665.72,88217.05507814
99400.1,91006.47838542
100123.11,87998.12054685003
99559.08,86282.83911456005
99251.805,86486.24031249668
94464.49,88380.6334896366
98475.52,90924.13942706666
102263.34,84957.56347649173
99789.22,86900.49893229335
101907.164,86213.29260419999
98409.98,90642.10117187
97845.85,86488.49489583338
98106.06,90601.51156251668
95630.414,86538.27606771003
95467.83,86519.03080730997
94453.89,87364.52195313667
95138.77,88671.87606770665
98411.26,91352.8990364866
93806.58,84129.90372396
98438.51,87387.53746745003
95118.555,87878.26890622338
96519.35,86556.70497394665
97705.11,89037.65044267668
93337.54,88929.66367187668
92944.164,86012.24885416668
97621.45,87690.98825519666
92794.16,86352.43861978668
93488.15,89388.6732031167
92432.05,89214.46374996341
94007.94,83275.4211718567
91167.52,90201.1150521033
94503.26,87606.23050130418
92619.336,85528.55320312666
91265.39,87767.02895830668
91928.92,86722.71562502334
92801.81,87642.69499996665
91159.07,87231.52445311003
92730.02,83945.37697915334
94570.67,89032.10856767673
90639.07,87468.48518229664
95511.48,84740.43541666996
89758.555,89923.15130207666
91455.62,84011.90531250332
89047.3,84468.16829429584
93508.62,87291.33033853999
95679.68,84556.96437499666
90376.76,90204.36716145671
89974.484,82770.81763016336
92615.94,86417.71315101671
95919.18,87972.73575522332
89403.57,85738.93445310666
92970.3,85243.23687498335
95313.7,85719.05244788999
86962.46,86389.29934894668
94835.43,87825.8068490066
92708.59,86762.1997721583
94158.45,89621.60039061338
96500.4,85573.4116666367
95891.51,85563.09138017338
94063.32,89249.25177079672
93262.58,84252.99593752665
99376.664,87382.76950520668
96786.16,84762.15312499668
93340.13,86014.14932294338
95740.89,89726.62885417002
94773.52,85289.59473956669
95877.266,84338.80015625003
93958.64,86027.29248053744
