Predictions,Actual_Values
113230.78,86902.96901043331
110710.266,91542.21924480663
110068.98,85758.79736980662
114338.79,85870.26265620335
109809.27,86462.39817709332
121029.65,83415.37781248003
112776.836,87467.75999997338
114713.65,86349.77678195659
108993.51,87387.59942709001
108356.02,85778.20781250666
113529.945,81735.30273438669
119123.125,86869.41276040836
123774.92,83350.51223957335
115739.98,83213.73091146332
112551.17,86792.86013023998
119916.555,80905.68708331336
121351.11,82774.28742187335
113764.25,81121.22466146664
113760.6,81242.83286459334
112749.42,81421.14971355996
110454.1,89591.84895831002
116312.8,78151.12218749338
116579.88,85080.29255207669
117028.83,80168.89427081664
118664.89,86699.46611982331
114655.35,85982.80429683336
108951.8,84997.66390623669
111192.82,86620.72632813001
122151.16,80952.23054688
112977.086,83087.23239583334
116161.664,84798.82458335331
114105.42,85584.85085940332
113559.766,87931.90192707336
110913.46,91104.27223958
107883.08,86997.40539058336
113619.19,89316.00149737918
115248.64,92317.53302083336
115507.48,95914.03080730996
121587.25,94178.50953123672
115835.516,91890.93049475003
121449.49,90525.53570313666
111952.984,99449.93218750002
117179.81,98215.9795312467
123699.71,100597.6634114234
121410.26,96667.97656249336
119827.53,95640.83557288667
115148.805,101442.76338540662
119947.61,96672.31923825837
120187.88,103620.28742184336
111916.24,110003.33960934667
121095.36,119953.35268229
116765.16,125996.66065103337
125056.48,121956.15658852
113967.78,126252.61335936004
116762.54,134719.211875
118433.34,134818.23992187998
110149.0,142307.33739583337
111156.76,146965.9328125
114867.66,150783.30484375
115899.625,148892.56315104163
119492.96,151357.45203125
111863.51,148429.5771875
117179.6,150670.28177083333
113538.13,142793.11562499663
118637.07,138583.11125
122158.836,142839.47885416663
113367.07,154816.23317708337
111107.91,157064.22421875
121356.625,159981.99416666667
120963.74,155821.60083333333
116895.21,156299.11317708335
121414.875,145615.9609375
117456.16,166558.09984375
115428.945,167607.65380208337
116096.86,166099.706875
121866.36,171852.7496875
117006.53,161123.07739583333
117917.94,167522.65692708333
115632.32,163134.97411458337
109694.734,167871.64354166668
120142.67,157238.95755208333
112102.89,164517.20567708337
118504.43,163354.1834375
121045.17,164529.46197916663
120145.98,161512.18989583335
112284.734,156418.93963541667
121628.5,159244.37552083333
117220.98,160303.47458333333
120416.56,163900.44911458335
118768.53,159786.21145833333
120210.836,165301.16348958333
123574.625,165848.39942708332
116736.72,159652.00369791663
118995.06,154741.88010416663
110812.305,157635.60401041663
109983.26,159512.11842447918
115098.875,162396.01578125
122157.484,164213.66489583332
117979.96,168058.76151041663
110915.48,162543.0825
112958.55,165542.09276041668
117965.6,155002.46848958332
116520.14,160207.88765625
112068.266,162265.12744791663
118531.164,153921.94385416663
108878.24,151666.83265625
118935.8,159068.96802083333
118605.14,158889.12890625
121977.71,160246.65567708333
115985.81,158789.02541666667
114160.92,166849.93307291667
118617.54,166107.65067708332
114152.17,162241.39760416668
117723.43,165282.75135416663
118573.47,166506.23541666663
117801.48,179381.45078125
120538.305,159458.33270833333
118432.34,163805.70401041667
117586.48,172031.16088541667
116146.88,171643.64075520833
122270.31,164276.25296875
122361.9,170021.48020833332
123387.69,163307.26026041663
118851.04,166274.02010416667
118956.89,165592.83921875
118923.03,170815.72182291668
112091.945,167523.87671875
116557.4,158916.42546875
124791.77,157826.84671875
115127.02,155333.17322916663
126783.26,155258.76807291663
115822.55,164025.62825520837
115417.24,160179.18911458337
126399.93,150037.52171875
119547.49,155214.71598958335
119709.25,157851.72765625
112852.81,158727.43119791665
122030.914,156348.02510416668
122356.586,150667.55375
113419.78,155329.14239583333
117260.77,147713.80588541663
117456.234,149254.766875
126113.516,151348.16057291668
121805.94,154316.86015625
123089.12,148977.1409375
116739.98,141020.6340625
114668.58,145164.91161458337
113028.54,138822.58679687002
111596.64,135493.0397916467
122322.56,137568.39333333337
126030.76,132113.29601561336
116456.44,136171.52143229
123616.98,129713.73184896
114995.02,125873.36619790662
112716.59,130654.9382291933
119216.96,124347.90156251252
120974.05,118701.0957291467
111056.02,126910.11953124667
117804.19,123152.0325520467
119633.96,121311.13432292663
117953.04,121139.61093750333
121630.84,115388.6375
114346.055,126344.30078123667
126574.31,116313.03393229331
118165.58,120015.48557295994
116065.664,119088.74062501
118061.49,116181.61947914337
118642.43,111951.111653675
110219.7,115089.78557290668
112150.26,112045.11130208996
116455.96,113940.1867187833
112446.234,109420.4865625
113630.125,116017.44695312668
114598.45,116391.43593748331
117449.14,109847.88986980332
117592.945,112724.82330728335
98318.94,113515.4787499933
122508.85,103587.28450521998
117858.01,105903.73796875
113830.4,103479.9066731667
117638.94,101045.96536455672
113060.17,107829.88041666332
117032.57,102891.92046873004
112664.31,105820.47648439996
120401.14,104327.00119790004
113350.03,103150.69335936336
112939.61,101310.64395830673
117363.31,106664.25463540666
113254.72,102792.35098960662
114985.98,103763.14921874664
108734.33,101457.93559897334
116995.445,103256.33746745832
110621.28,100039.55174479996
112908.25,97771.41942711
117099.95,99531.22171876
115424.055,98739.00041664336
118826.2,94983.55039063332
119586.61,100925.57427081004
112152.82,95912.2117968567
110837.164,98165.35304688668
114398.87,98016.41341142674
118662.85,95731.33236977004
115904.62,98169.14963540668
114438.77,97241.55416664998
113630.25,96779.30203123332
114174.21,100269.53348962664
116941.55,96350.08703122336
111877.53,95016.64632812668
119561.7,95650.31468748672
111515.32,94529.26848957666
113961.88,96035.00635417998
122777.7,95506.76851560002
116221.125,95041.10783856
121092.89,95079.1488802
118238.805,93912.68635416003
111927.125,92358.71302083749
114435.69,94747.77343748668
115621.805,89652.15088540998
107564.42,95580.70080729332
118254.6,95074.25291667665
101647.266,91040.0090625033
113240.41,93776.65479169996
117415.62,89772.18156252331
113757.31,90497.79041667996
116462.516,91279.40317708666
108429.55,93703.12820308672
116628.8,90396.05802083996
112117.984,88845.08339840836
114617.336,86867.28059896332
116647.64,91039.30265625336
114171.47,87171.72502599008
114624.47,92011.63916668994
110771.94,91610.12559897668
109494.875,87724.90570312
114079.26,91158.22333331336
105752.0,85287.28468749668
114059.99,89053.26778645336
114343.82,91142.69208329672
112382.63,90172.2388801867
113057.31,87689.7441080625
110593.18,86397.74361979331
119673.98,89359.05276040336
117259.72,91812.92466146998
114501.516,89736.47559897997
113437.45,93265.80507810003
113765.836,90899.54356769999
115674.54,89090.36421875
115193.38,88945.28632809668
114912.52,92732.18835939997
117053.97,89893.67458338662
121507.94,91803.52302082
116924.89,87475.0915690125
115863.39,88717.21109377
114345.875,91935.84864582335
116565.82,85782.32937502327
118639.83,92353.06723960995
120349.61,86238.69270835663
111957.93,89690.14848958336
122437.52,88972.1094270667
116390.24,88025.14218754329
123251.26,86235.76098957335
113205.14,86617.56908854669
112074.664,89882.64502601336
110515.97,87930.14228510838
116052.38,88852.08731771001
107988.35,85725.0287760267
108845.25,86268.47169270003
109908.234,87340.42005206001
120642.56,88975.56955729998
112461.164,89374.87653643668
