Predictions,Actual_Values
95317.13,89035.17151040002
97094.33,86283.70322919
96928.68,88727.95906252
98207.94,88694.58664056339
97246.65,87830.03005205336
97112.01,89601.22359376668
96696.74,88901.47080728336
96414.85,85300.88536458001
96411.82,89777.22078124332
95472.93,84105.12924479999
99918.42,85677.91023439997
96977.4,96031.60660805002
96800.36,82250.06979165332
97302.83,87581.93648437668
99851.55,84279.59382811667
98451.49,81031.71679688334
101368.22,86463.24164061002
98603.664,84369.16619789999
99032.18,84425.94442709332
103560.37,89421.45072917332
99128.234,83420.76651043001
100327.625,84734.29291668665
101204.85,89135.64177083336
101774.54,85053.42799476665
102797.47,89933.34372397664
103415.12,88363.94312502994
104001.34,84094.65953121337
104200.49,89467.13026041
104470.875,84953.75914064328
105875.05,89047.18544273994
105703.67,92464.14083331668
108399.88,89894.07869791336
111398.59,89685.38828128327
110078.97,95734.46802083
110122.875,91616.71854167333
110400.94,94151.0836262875
113414.84,97761.26304688664
110002.02,99321.38343750664
112866.414,95185.26986981
114695.17,102751.49947917664
118314.164,93191.04190104333
117408.54,98777.84166666667
117492.62,100141.08257811336
118487.95,98312.81908853663
117877.266,109817.96747398996
119868.7,105230.88463540004
122589.25,103519.37505209996
119395.06,112606.07428383756
123861.32,115401.51877602669
125338.4,113397.88335939332
125021.336,122379.62578122002
126490.67,117940.33484377
125903.91,119681.96078125664
128320.64,133148.68828126337
130020.42,126835.16710936332
129846.98,129799.02403645
130649.33,130935.43450522001
131463.94,133726.46872396002
135256.56,137562.90914062667
135088.69,143118.41204427087
135868.2,140528.82989583333
134955.97,140722.48726562667
137910.48,153133.4471875
138265.78,151406.10885416667
140654.08,155001.04979166668
142101.31,157310.73375
143264.5,155193.07609375
143163.0,160149.5378125
141613.1,157856.18052083332
144455.86,158982.58401041667
146306.89,165525.08479166665
146580.42,160159.397265625
148598.1,166762.71348958337
148055.19,162234.53041666668
147724.75,158701.896875
148377.31,160085.97458333333
151655.17,171502.68692708333
153152.88,175341.250625
151005.22,180698.73567708328
152419.5,179539.19776041663
152307.6,172798.93609375
154991.39,182501.53432291668
153528.6,164211.38036458337
153410.62,165614.50891927085
155544.64,174255.39104166668
155658.19,175094.96197916663
156128.7,168262.44697916668
156801.69,173104.20703125
157527.36,164679.39942708332
159087.55,176048.58484375
159035.17,163729.77276041667
157034.69,161168.780625
160052.5,160854.32
159358.61,160144.51708333337
157813.22,157113.315625
160663.38,159503.0287109375
158999.23,153388.4334375
160296.33,153561.48239583333
160957.52,161393.42755208333
160660.62,152563.07395833332
160308.34,149803.11052083335
161735.7,161172.55572916663
161455.77,157391.31526041665
158965.33,162636.105625
163291.3,160301.58541666667
160250.28,161984.31588541667
159426.42,162864.91875
162385.03,166653.8322265625
