Predictions,Actual_Values
115760.38,89390.55640627664
94692.83,89478.81411784957
105829.29,90068.727031255
109161.23,89132.3652473867
108023.98,89960.67919269166
112990.23,88353.38984378
107231.15,89948.95444014829
101531.4,89201.97065757288
109827.5,89686.02319010667
115855.18,90600.282955725
107622.7,91037.68873698998
111402.125,86024.400104175
113516.39,90210.98085938169
112109.27,87524.96489585165
127664.37,88680.73740885501
119324.586,89384.19385416168
110669.484,88066.37583334668
120008.15,86153.50157554165
114414.22,88460.51351562497
134298.3,86857.0456998646
119098.09,91383.55587238335
117485.76,91991.74950520004
118222.72,90717.365351545
125450.766,92208.43683591502
119219.766,90803.74872395
125027.76,96129.41502928213
122097.15,96498.42700523997
118348.99,98437.44647136496
123048.01,94539.92550782164
121300.74,93353.55872398498
123732.35,86821.49589843833
120892.22,92111.29145181167
121860.19,96468.11471354164
122823.56,91321.96885417664
111774.266,90131.25169272664
128867.59,92993.19683594831
128028.63,93809.43032553332
134743.42,90949.34794267626
131187.89,101438.36236981164
142101.98,101125.72946613832
121930.53,102607.61434895168
139259.6,103389.8533463483
131670.89,99646.8581510467
133307.77,99671.37613281544
142999.48,100418.82369791337
133664.23,103332.98824219336
137753.05,107777.24660155334
130461.6,107063.67984375334
135450.05,111045.72179686834
140349.77,109814.51249350332
137144.47,110710.86938803169
125751.29,110303.53114451608
130719.26,114903.37665366328
145359.9,115842.9513541467
127912.72,121747.37080729831
135135.38,123514.4428125042
156839.36,119561.06406250832
157440.6,122886.203958335
134288.08,124305.04707032494
134924.42,126450.20770833
128806.71,128332.26269530668
138487.53,134710.04574872289
148304.92,131898.43011719832
142819.05,132116.49528645165
142491.23,133295.18666666
144116.36,141489.69854166664
142832.23,139914.839713545
151748.28,141351.82046222544
139769.73,144341.77750000835
146954.3,143660.93345051835
146647.23,143956.82218750002
138711.28,144223.43690103502
134451.55,147017.74049479165
155634.33,145398.07197265
146890.36,153107.42709634666
152039.36,151408.41200756867
140377.67,159024.80296875164
155699.61,165999.70677083332
154505.38,166024.04671875
137900.94,169124.032421875
153611.53,167001.5800520833
152454.7,167711.27609375
143828.56,161172.38434895832
144380.42,160508.30580729165
142100.06,167418.64268229168
146752.7,162615.24274088538
160509.7,176652.03385416663
147168.92,169241.01088541668
159141.12,163085.03229166663
149392.86,162636.43854166663
153925.42,159432.26682291663
145189.12,155041.12739583335
154646.81,151957.49171875
170037.9,152113.04427083337
160416.06,150062.48359375
147546.12,157260.67786458333
155009.86,148262.16338541667
148298.56,154382.59614583335
163003.8,151280.90114583337
131859.67,149659.92760416667
161341.22,154043.06958333333
163408.97,156566.9325
166046.62,162654.78963541667
163474.6,166434.13048704012
148883.47,165844.52104166665
164171.98,157241.20822916663
141928.39,168615.41645833335
162276.89,167709.021484375
158305.75,175140.82973958337
151073.81,188786.96703125
162607.72,191036.05880208328
144533.0,193075.6027604166
156417.48,188720.1803125
155326.42,194734.98229166667
144910.34,192822.231875
157074.28,196552.3577083333
163433.94,186882.295
156053.95,188963.61453125
171371.45,191444.8463541666
165589.64,200994.78665364586
165116.05,187758.6089583333
163315.69,184941.82723958333
155857.56,182736.86432291663
150234.88,195146.563125
145082.84,187490.46807291667
152081.22,192339.9450520833
158759.2,186209.8342708333
166795.69,170422.90886287624
148890.69,174647.33057291663
152877.19,179935.48463541668
157547.08,178023.97536458337
154235.88,177818.319140625
153098.42,178270.10536458335
154335.31,179678.44765625
153269.4,180358.9166145833
161306.44,174146.65671875
136143.33,156713.04572916665
164603.33,153645.87401041668
157943.44,165387.2615625
159533.03,177240.92770833333
156483.34,154980.59979166667
155336.25,158153.85619791667
163590.25,161485.73604166668
142245.84,140622.70673827914
156744.73,141611.03026041668
142448.89,159205.37989583332
170547.17,144532.68125
147144.77,143156.78244791663
141551.64,139575.14539061332
155631.92,139683.6623177033
147927.78,144192.54791666663
145024.34,137860.34184896
139199.1,141578.22414062667
142578.28,134494.15614583663
142812.86,138060.0681249867
156769.58,138074.39469400418
160517.55,129512.75528646332
152705.34,132735.9391666567
147570.78,135993.88776040002
152563.25,129576.36166665336
151473.27,129879.60507812336
146008.66,134271.49091145335
141336.03,128286.82664062662
134994.56,129459.95802085995
134524.12,126944.50432288671
133930.33,128857.22234375
154818.53,135738.69130208335
127167.586,127902.89326169164
124412.805,134549.4497916567
131667.64,133549.82841146665
146466.73,122551.22971354332
142613.81,116221.8919270667
146620.62,114528.85828125
128988.195,115166.81494791665
151526.11,118361.22656250336
136149.52,119351.0740885633
132679.19,116521.18570314
129422.6,127892.12192709
126831.66,116809.23486979994
135571.38,116338.95201826667
142892.45,115579.62148438998
136232.75,112468.71013022
133271.6,110865.08705728337
118490.125,102678.4140104466
142070.69,108894.30765623
127538.03,108698.46559892668
133116.84,114608.75856773998
128333.46,113824.9928125233
124685.78,119986.09854166332
130965.46,109803.33124998004
130906.43,110773.65864582668
128320.414,110175.40400390832
129976.49,109383.42109375668
131385.2,113972.90877604332
120355.84,106965.81078127996
128246.77,107716.37111978338
115296.38,107797.51966146004
129427.55,110794.17812499002
142122.84,100819.76671869008
130263.805,103797.45346354668
127481.47,107285.32419268668
133134.89,115319.64656251665
128422.13,110471.55768230664
124460.27,108944.01393229168
