Predictions,Actual_Values
79164.805,78365.43361980334
85226.09,77337.12723956667
85779.19,75367.5412239367
75792.99,78610.53953126668
81497.89,76752.01497395668
86395.28,76553.60489585664
82303.625,73694.1634895733
82150.05,75734.14888019001
82814.7,77893.57244793331
83848.16,74259.06356771333
84382.72,73709.90218754327
84764.54,79623.67369788754
80302.4,73655.92507812331
85584.46,77692.88796873999
80225.766,72802.94023436334
83656.836,73958.25684898664
81175.875,76745.92658853337
79505.01,75620.07463541336
81696.45,73018.45231773329
84300.43,75867.02223959997
83631.48,73768.87182291
86545.78,76547.51708329005
85279.24,74789.48942711664
82695.55,71871.54785155
84159.31,74904.26570310668
83610.03,77891.00731767339
82130.234,76505.15316682274
85664.94,75899.68541666998
84864.34,76009.83424479999
83966.086,79764.02395831335
86344.53,81101.37437501996
90039.38,77234.25343751331
85397.414,80186.39752604338
85391.94,79814.74622396997
86242.2,77196.92010422325
89117.15,76870.10527346662
90537.48,81601.53171877327
92428.46,79117.0471094033
91217.484,76759.17293791153
95902.22,80934.31778645003
94030.34,79234.80374621687
95402.31,81447.59335938335
95782.875,76600.53283851997
99153.86,78948.71200519001
100086.4,81549.29417667876
100747.81,89387.66503586936
98961.875,87165.02421814119
102485.13,86888.473255205
104327.27,92948.27187506668
105687.02,90569.1484114733
110303.68,90613.98492186004
107525.69,94756.60807289672
112206.875,100085.43874997008
112793.52,102222.48809896332
114293.88,98183.55611977332
114444.55,100801.99351559336
118197.67,106316.3876201958
121795.35,122896.83144538804
117592.1,125374.28197918332
123365.586,121266.80162759835
122766.48,124514.00662762494
120346.53,124516.86251951753
124561.7,121829.41201822
124265.23,123991.23339842005
127255.42,122969.71427082336
128824.7,126667.54024737667
134475.6,122768.16888021665
131186.14,125654.65614582668
136308.08,129491.99821613338
135162.34,128219.04986655286
135255.88,128723.03256509668
137376.12,134258.462955725
140644.56,131969.55944011
136199.44,129079.17688679244
143293.0,131340.7616406167
138693.4,134906.99755207667
143643.0,140869.38401041663
137804.28,133466.6203385167
141330.58,131312.56244791663
