Predictions,Actual_Values
104163.11,101999.47492187668
101411.516,105991.83921878
103291.33,100135.61549481664
101819.375,104085.09322915669
104623.52,103974.19916663005
100776.22,103579.70895832668
103205.21,101910.83166668996
102650.1,97725.55361979669
103271.41,103856.69098958335
102857.73,98070.16739585996
103997.625,99650.82893230669
102850.33,101825.22444665412
106751.305,98806.94078122667
103386.305,102666.51437503
105998.12,100109.40914059336
106633.16,97813.06244791
109458.29,96451.53036457334
109171.875,97818.12937500664
109871.64,98410.44802084996
108296.914,95220.00419268003
108975.555,101290.11643228
113737.24,95165.68174479002
110960.14,99368.70020833336
114775.07,97687.43079427912
114708.625,94863.25130208
117762.94,104433.79356768
114168.516,96953.33249999669
118773.61,99575.7303125466
120190.664,95367.1660937134
119297.21,97443.7362760167
121051.14,99855.44736980666
124329.52,96697.28776042
125670.09,99780.83091146004
124442.17,101203.46929686338
126922.2,99987.72736979336
126645.06,103129.69348959166
129760.7,101628.31692709
132171.92,100644.97013019334
132668.12,105413.42635416
136137.02,103918.88151044329
138121.44,105687.85981769004
141303.94,103542.18638021998
142334.2,105148.22393232994
143284.94,105628.77736978995
144647.73,106676.25346355334
144285.33,113401.73072916668
147295.94,114200.00609375998
147700.48,124856.66796872926
153532.9,124078.11356773332
152983.55,135765.49500000998
154411.05,139193.03213541335
155097.44,146759.16057291668
159533.72,160036.45098958333
162427.08,156120.37015625
161366.31,160691.73635416667
161684.34,184811.635625
164733.31,178381.54479166667
165220.28,181980.95963541663
168088.22,190453.78791666662
170069.27,196037.41783854167
169659.2,193627.77572916663
173174.98,191023.3655729166
175052.62,187259.78052083333
174484.53,184940.72411458328
174976.27,186509.13473958333
179366.67,192785.875625
178416.97,190962.0415625
178999.0,194587.2028645833
178983.61,183249.9840625
183121.94,190472.36364583328
183029.83,187176.93796875
186713.17,186430.481640625
188610.31,194363.35479166664
189988.03,198613.21130208328
190289.22,195379.61932291664
186733.36,202632.72322916667
187703.19,200313.3044270833
192249.8,198136.8806770833
192179.45,201739.77994791663
191499.86,204879.6691666666
191759.47,200710.1576041666
190833.62,198421.0303125
191639.28,191367.31984374998
195347.61,190902.41621093746
192109.88,192267.53447916664
194171.34,192344.94697916668
195302.69,182527.35734375
196988.84,192796.62208333326
195202.75,184919.3798958333
194988.08,183061.3759375
193461.3,177372.91010416663
196033.83,176091.58276041667
196918.8,179557.19869791667
197825.5,174616.94463541667
199965.98,167448.04666666663
196623.16,168307.43235677082
198370.3,169859.64161458332
197692.97,168027.73760416667
198716.42,168895.98052083337
196466.94,171345.20890625
200035.08,167356.1934375
200218.62,165084.10635416667
199132.38,167139.52927083333
197643.6,165536.39895833333
197271.92,166144.43739583335
198077.81,177116.060625
198913.58,176626.33958333332
198336.83,172696.28118489587
197305.22,178358.16895833332
198863.95,174870.32833333337
198481.81,178320.99541666667
198353.14,187067.27473958328
198440.44,183553.36416666667
194858.61,174978.36203125
194928.77,178755.99885416665
194289.73,180361.47145833328
195947.78,175913.04989583333
195921.5,184779.165625
195124.84,179147.70234375
194484.5,184208.5328125
194976.2,188141.28921875
194204.73,187664.99484375
192090.83,188364.86453125
190991.44,193578.30713541663
192771.45,195286.19380208326
188928.31,201287.7652604167
189552.17,202148.3784895833
189430.55,186227.38557291665
189082.58,185615.8603645833
186196.58,188013.08885416668
187070.56,189425.99885416665
186074.97,186656.53919270835
187109.11,185225.64479166668
184602.78,187135.27604166663
182689.67,184941.9917708333
183016.03,180201.71703125
181178.02,181018.68921875
180048.66,188406.420625
180635.36,177942.81453125
176345.5,184532.72572916668
176692.83,180758.26953125
176031.33,176345.7675
175494.56,173608.32041666665
171833.05,169471.133984375
172551.16,166306.81557291668
169745.8,166973.09755208335
172274.6,172608.02369791668
167733.75,161487.24276041667
166343.5,163175.28911458337
165519.16,161580.9965625
166358.89,158082.34348958332
165771.34,152078.39984375
163111.53,151290.72890625
161601.44,154919.5426041667
161225.05,159909.501875
159504.42,147468.2873046875
157037.11,161008.22359375
158483.69,164866.96890625
154988.72,149856.95364583333
153255.47,153081.2278125
153342.08,149369.07442708337
154681.62,139047.84708333333
152613.38,141430.53776041663
151081.4,146956.47479166667
148709.75,150422.81083333332
148769.31,140343.83375
148601.61,137212.80723958337
146542.86,135210.97197263752
142027.92,135723.59385417
147260.7,135538.93507812667
144817.14,132382.93611979662
142807.84,132869.81343749005
145922.33,136247.55036459
144124.08,130121.54468749667
142922.06,133355.90203124337
139829.56,129245.6158854267
138530.67,125393.11971354668
138534.31,129171.41632816996
138696.53,128974.76289061001
139001.89,126550.9367838458
136414.52,130446.59651041
134865.81,132627.95682289338
137437.36,126471.17158858659
134103.22,126984.97638018338
132482.8,125168.6435676867
133090.94,126951.42018229666
133233.5,127004.09848959994
134316.19,126004.94812501331
132761.84,128614.39505209001
134081.45,122357.36773438998
131809.34,130347.07106768337
134197.1,118812.27298179168
129879.32,117803.35164056672
130354.5,119861.52033854333
130441.51,117720.49565103336
131102.97,123610.52039064
132398.53,125381.33658854
130963.29,123430.04830726006
129540.03,122248.2772395833
128884.98,125590.71067710003
127475.305,118921.09619791665
127246.336,127414.05531249994
128658.15,127777.94171878992
129408.82,122249.45198568336
129295.04,123187.20880208998
126862.81,125472.43028644334
125759.62,118877.76903647662
127771.96,122671.56536458
128421.79,119132.52736976002
127213.39,121053.16802082668
125059.17,125581.35651042998
124647.59,119369.10286462994
127264.97,123879.2364583134
125222.836,119480.08101564
126699.58,123288.19914061668
126808.21,116345.808951825
127604.33,120266.65880211328
122310.25,123854.43223957664
123426.34,118436.51882812336
122030.266,124371.64054690994
126086.016,123408.54255208
122163.86,121857.84236979332
123292.62,127929.98203127664
123134.53,122571.38372394668
123716.54,124232.95390627664
123675.12,124210.92989584664
122008.35,124373.59549479664
119735.9,129999.1443359375
122321.52,123533.89010414333
120852.98,127299.68578124668
120092.25,119942.65833335664
120544.586,125074.3467447867
119224.72,120180.16226564664
116743.21,119477.56046875
120254.32,125928.03031247674
117450.53,119000.37859373
117916.086,125155.1314062766
119553.79,119860.3851562633
115768.586,124190.58765625
119438.88,120437.27356768335
116537.26,116693.6241405867
118686.67,120325.05007815661
117138.22,112680.13874999668
115676.305,121221.39554687668
117457.92,115959.22859372006
115022.42,114017.22666666
113743.78,118841.99468748
115876.49,109295.95335938664
113712.75,114135.80825518668
112234.67,113355.2661458267
113856.01,116809.74497392672
110977.53,108887.5281575542
110614.516,111398.81088540005
110250.805,110589.82028647
109537.83,104967.59549482
110869.69,111377.60036456004
110121.1,97583.99591147664
110025.555,108153.31289061338
109309.91,109486.33692711664
108988.52,106906.09776037672
110738.23,105533.16406249002
108952.66,105055.8874999834
109206.13,102679.50250002331
106324.72,91379.37236327089
107439.19,103080.12510414331
105853.72,92270.92643226669
107623.27,101105.9426823133
107318.57,95721.9506250133
105404.5,99001.16851564666
105704.945,97519.55505207334
105567.51,101365.90559894002
105679.62,101690.1659375033
104142.516,90448.71945312666
101589.086,102178.66507809667
104423.164,93195.85888019668
104561.18,102424.34072265837
104466.58,99535.80669270334
103555.914,97727.8364062633
103186.24,97395.00195312333
102706.06,99213.95585942328
100375.484,102926.23307290002
100661.125,95880.68544275664
103022.805,101318.03950520004
102430.89,96382.46119792998
104512.97,101273.78653650993
103307.0,95064.99664062004
102181.62,99288.84979168665
100377.3,95359.50699868334
