Predictions,Actual_Values
95488.875,101112.59138022998
96030.14,96728.55664060336
93242.22,94116.89710936336
93115.12,96837.65966143004
93602.4,94612.12252602672
89478.9,97398.11916669329
92824.6,99521.90697917
92832.3,95632.49250003329
92053.92,98189.09296874002
91290.74,99240.60440102336
91441.61,95588.35729169
90207.17,90840.98883463332
95063.836,96556.80057293669
93612.11,95448.33510419
94745.61,87504.20445314
96330.36,101462.34328125331
95330.07,91875.20122396332
97512.18,95599.33341144003
96686.62,91792.7547916833
96197.83,94548.88544270337
94123.44,87436.57088542003
97415.97,95438.32515624668
96122.625,92009.48815105663
100854.336,95253.32425129168
99943.11,95762.70822917334
102778.72,92697.84671873668
104877.94,95010.69559897328
105684.45,95152.35127602336
100090.72,95221.62802084663
106924.87,89509.38473955335
107589.99,98185.31937497338
105514.516,91551.94049477002
108172.83,97720.81528638671
106978.06,93801.16007814664
106274.83,102542.64664065665
110277.68,108995.2366861958
115502.24,106393.94028648996
115339.95,113976.18906249
116730.94,108023.75682290005
121355.88,116589.57911458668
122058.03,113159.76341146667
125419.695,113581.8121093667
124111.9,119622.67338538336
123733.47,115578.46585935335
125636.11,116386.53942708
132074.6,112636.54643231
126936.305,109760.61455735992
130503.62,105959.80605468334
135716.56,111677.95726562664
134853.14,117544.89867184006
135684.61,124261.78236975672
139844.86,125634.09130207331
142376.88,131632.35335941328
148191.7,137581.32419271336
147062.48,139883.85895833
144456.61,154108.25729166667
151182.25,157652.05453125
148642.52,167156.63140625
155330.14,168985.41932291663
150645.8,160554.66217447913
157682.11,173563.49770833337
159456.22,163581.15317708332
158241.62,167363.14140625
158424.94,176897.81265625
164657.27,179417.96833333332
164993.17,183559.40770833328
164407.95,180304.95619791668
173599.08,182261.27109375
171920.58,173854.70510416667
169565.33,179501.19348958333
176805.03,181920.48052083328
173713.6,184358.293359375
172121.08,194600.85703125
169715.66,183214.01578125
174478.2,182687.44661458328
176127.61,179848.61729166665
182701.6,188887.57932291663
182534.2,195766.59927083325
185932.17,198544.7350520833
180293.67,195218.19816053507
186095.05,195729.74953125
185357.72,194207.90041666664
186793.42,195700.54354166667
187010.8,197181.5225260417
186675.53,195770.93880208328
191942.52,195884.8625520833
192222.97,188521.7234375
187254.92,186300.74994791663
191370.28,179376.78057291667
194255.38,187428.43114583328
191103.23,178126.7771875
190545.03,178427.51572916665
192366.7,177953.90630208337
192227.53,171050.21796875
192674.48,174364.37864583332
192736.61,176616.36438802085
199254.25,169396.13859375
192981.33,172745.18046875
196119.03,181547.5155208333
194701.16,171595.50770833335
192651.44,168351.2301041667
197508.77,171449.57390625
196712.34,177823.56765625
195257.38,173319.60432291665
198972.6,183659.8903125
194730.42,184207.00213541667
195086.7,179700.97958333333
196803.69,175620.98697916663
191936.22,176798.66411458337
193034.92,184383.77010416667
194329.83,189581.77932291667
193702.34,187485.61901041667
195002.55,193918.8134375
194897.97,188600.271875
193352.94,192276.7992708333
