Predictions,Actual_Values
104405.305,102741.20981773332
104526.47,100493.86864584664
102516.37,99813.62697917334
104607.91,100592.28348959668
101815.6,97921.59832250171
103356.945,103680.6845573
104811.945,99085.00460936002
103763.92,98677.52432289004
104493.1,102125.37940101336
103938.4,98190.6976822767
102014.195,97108.96328125002
104635.24,97492.35309249998
105701.72,99515.73322917
104804.63,96904.99153647332
103416.15,98370.45898437334
102370.17,97238.94916666333
106813.54,95657.84479168332
106283.61,102796.02882813336
107060.586,92730.62666663669
109499.23,101695.2961457967
104665.52,94726.72458333331
105887.52,98751.26604163004
109828.63,93895.3208072667
108555.95,99905.26598306248
110926.16,99691.90250001002
111921.42,98979.25088539335
113614.305,105147.69054684338
111198.98,97762.33833329672
112257.29,104876.3964255886
114317.31,107716.4607552433
117915.13,117908.6484635633
118002.81,116967.96742184338
120284.836,113133.25216143335
118219.6,120745.34122396664
122880.87,123259.14635418664
123182.68,137345.54303385
130148.37,128781.23239585002
129822.49,127086.17721352667
129194.41,124412.80510415668
132101.11,125054.19677081666
134905.27,122621.31505205338
135611.9,128103.94682291007
141479.67,133785.1286718833
143753.7,134808.74346354333
143487.3,135664.12601562665
146204.95,143876.93515625
149830.94,145387.72588541667
152601.97,150437.32760416667
153104.5,141047.70497397
154223.77,148766.72447916667
157937.9,146076.17067708337
160640.16,161117.10927083335
161151.17,167674.25825668898
165575.47,164912.41395833335
162360.1,173907.913125
166162.5,176081.58661458333
170734.98,178146.53
170404.33,178498.71744791663
173166.55,188792.41208333333
176389.88,181281.83352864586
179268.47,177047.3590625
178820.22,175953.69677083337
178134.12,175705.34317708333
178992.86,176941.115625
181583.36,185671.75979166667
185052.81,174935.610625
188020.48,171590.8065625
186703.55,184247.56697916667
188214.92,178704.03770833337
191222.22,176703.64515625
189969.48,186155.62385416665
188070.2,177641.0466796875
193989.44,180478.56802083328
188531.33,172730.71713541663
194662.98,182401.75151041665
194075.48,191882.9942708333
191534.66,199315.22810409684
191076.0,192946.10755208333
191859.0,188115.3577083333
191921.11,189194.76864583333
195810.27,183825.47229166672
192485.22,185929.04213541668
193310.05,190846.44765624998
194639.67,192911.1310546875
192101.66,182272.8486458333
192720.81,184624.78182291667
193439.34,183203.25203125
191641.31,187262.23947916663
195390.33,192130.88546875
192155.48,189517.25052083333
192508.52,188122.21151041667
189564.14,186570.5036458333
192029.48,179495.86057291663
193342.38,187134.7655208333
194279.52,184090.49427083333
191762.67,187317.124609375
190234.72,174111.57942708337
192426.92,173809.36942708332
190635.05,172130.24088541663
192126.3,177400.55947916667
189201.33,180701.5804243311
189924.84,181767.43734375
188526.7,189434.2330729166
191934.55,185310.2459375
191843.94,191772.13109375
194407.77,201198.50708333333
192892.36,200570.15244791663
193764.42,201054.4723958333
192083.16,198189.1626041666
192034.39,207247.89374999996
189744.95,210782.06505208326
191546.8,211739.92312499997
193584.88,214080.08171874998
190231.67,216096.48677083326
192193.6,215455.92411458326
191356.34,209548.95026041663
190894.1,204379.55234374997
191126.78,218262.19307291665
191549.48,214370.66734374998
192616.48,212342.7399739583
190518.14,207703.35661458326
190654.06,205832.69333333333
194606.75,209098.09260416665
192702.53,212317.77578125
189478.2,214464.7348975752
192841.39,216438.41265625
189748.11,212599.54682291663
189300.64,207454.60677083328
186548.16,207127.72416666662
190078.73,208516.95557291663
187585.05,206329.89046875
185865.88,214026.23190104167
187670.52,199396.15640625
189432.06,199805.50734375
184265.0,199244.1884375
181162.81,198664.96609374997
178317.98,188919.12005208328
181738.61,189125.7803125
179709.05,174024.57932291663
177737.36,181668.9428125
173066.73,175472.52229166665
176038.72,174069.24541666667
174510.36,168728.2621875
173283.12,175865.55846354167
169017.62,172448.98666666663
172108.4,164506.76484375
171121.45,166861.04177083337
167558.69,162222.30692708332
168174.9,159352.86109375
166407.42,159105.34677083333
161719.11,165779.8590104167
166069.06,165660.35197916668
166592.67,166625.3365625
159345.98,161055.6488020833
159731.38,166595.96229166663
162197.3,164299.77447916663
156487.03,161548.73927083332
154796.6,158319.26192708337
155416.6,162314.6053125
152014.72,157841.67072916665
148934.61,162987.92557291663
151477.28,168761.2691666667
148486.38,159909.699375
148517.64,152639.74463541663
148341.8,156525.42651041667
148161.81,145410.83916666667
145272.92,145913.77052083332
145652.3,150988.17063802082
143480.33,148081.4021875
140236.45,145811.3084375
142050.53,147669.48572916663
138364.48,143989.24140625
139725.11,142164.1365625
138946.34,140771.09536458337
139180.27,148356.54807291663
137079.75,150659.03307291667
132622.23,146753.91041666668
135538.4,138380.01854168993
133532.08,136283.32828125
135363.7,137790.02740885832
131541.39,133692.97734374664
132611.08,139642.10520833332
132483.92,134964.04697916665
134447.97,130523.71567707336
132239.42,134907.09184896667
132043.48,132627.3410676967
132898.45,128962.87223957667
130347.5,130036.47601563994
132093.33,126147.39416665667
133214.27,124473.1078646033
129277.33,130222.12929685334
129682.97,128655.95397136247
129797.81,128062.22828128329
128217.66,143495.57557291663
133626.88,139862.91901041663
129226.64,141969.12713541667
128647.88,140509.4840625
128351.695,135617.83489584
128270.5,136129.71031249335
127434.15,133352.93820312337
127366.41,129765.69713540337
129894.69,139358.14125
130053.22,137934.64348958337
125347.21,139231.73717447915
126203.766,128008.85325522664
128761.4,127853.60359375
128636.67,123817.27515624336
125216.61,120927.26947918994
128012.98,124579.68406252998
128541.74,122809.80723956
123867.234,125762.3801042033
125096.664,124673.32729169664
125387.69,127316.98723958334
126033.16,126549.07208333332
126959.01,127623.91036457001
125072.62,121152.85602212914
121946.24,128114.10713541336
126220.43,125433.83960936006
123913.0,123663.98736980332
125177.06,119132.48322916002
119908.43,121424.10601563664
121222.16,119946.82812500336
120038.195,118275.44333334995
117552.71,122677.39502605336
118872.984,119488.56283855994
119998.57,113407.42427082006
119524.66,122820.93091146332
119863.84,118152.92561848748
119506.9,120420.33752605664
116898.164,120660.70119791
117293.08,116249.80789066662
116637.01,119606.7663020667
116710.33,117402.95731772335
119763.01,118737.9495573333
116729.19,117010.28937497336
114022.9,115456.88783853002
112969.94,109413.80770831335
110333.15,113613.56065104336
111224.31,108944.66070314996
115215.62,112483.86064453748
110329.42,112333.27119792
110298.86,112353.52447917
107534.86,113953.0176822567
109858.555,106043.67341144668
108648.65,114296.74911458
109372.164,105928.6398176867
107388.53,112296.74822916668
108089.484,110178.7054426767
108266.695,106841.74872394666
106443.63,109069.92036458332
106933.016,109475.93192707002
105764.15,111232.45328774168
105467.26,108280.29625000997
106900.38,113974.25013018008
107626.586,106950.41932291003
107219.49,108010.42903644669
104548.75,113293.96679685336
105906.19,107522.42429691662
107111.12,108468.41236979666
105200.305,106408.47619792665
104467.945,106571.89690106665
107440.89,109394.62197917
102759.67,118112.92632809006
103713.5,107912.73958335412
105293.72,115936.80377603664
105238.28,111601.72578125
103620.35,111412.50192708331
106623.93,115345.91458334331
100746.54,113554.36888020668
103268.19,108014.240625
106944.26,112244.18690104665
106300.9,111164.32265624666
104905.89,107183.75177085664
104250.03,110017.05812499336
103818.0,101339.37372397
102847.75,109736.961230475
102850.07,102095.60085939664
104389.35,110133.45552081669
105399.41,106062.79244791003
103823.56,107015.18661458995
102885.95,106237.58583336996
108992.11,103831.18023437
103534.92,110293.27770835665
105466.36,96352.59328123336
104241.41,105393.43523438997
101260.09,98995.30010414668
102709.98,103278.4089062001
103166.96,103155.59570313749
