Predictions,Actual_Values
101123.16,94651.7477343567
99136.54,94856.32575521334
99254.305,94243.15963544331
97604.414,98127.4522395534
96981.51,88790.34111982332
97160.93,96548.53309894331
94030.8,91479.45052083
104126.06,92523.99372395336
101841.72,91924.91244795664
99341.75,95571.58156249998
98725.1,87321.28075520332
99992.66,93000.70283202083
100956.2,94264.53486976668
101321.83,88704.84736978998
98098.09,93513.8233333333
104084.68,91914.88843751668
101174.88,88157.16148439664
105826.1,91825.66374997004
97124.945,91245.66130206002
97950.34,89071.49432291
106447.586,95957.71809896668
106954.47,91128.32437501996
112569.56,91189.29104166335
103189.57,94711.16409503749
104696.36,91698.05466145335
107125.27,94287.01494793332
108737.266,91066.19338541332
107144.44,93645.37369788004
109873.09,91726.58518231664
111883.15,95043.96075522668
109606.94,99639.56119791672
111628.59,95815.9279948
120620.68,94159.54138016672
115688.42,98036.87914060334
115844.03,93478.67716146998
118141.93,102434.58554689166
120047.92,95611.6948697534
120270.81,102660.95161459
119811.81,96317.24494791
128851.695,108781.93690105666
129795.73,97013.21249993672
130365.57,102453.32981771667
128932.2,103320.72208334
130731.78,103114.7641927466
131630.75,112644.90059896994
133225.78,100450.76013021667
139866.98,111491.71973960332
139869.92,107423.10045570837
142941.36,112515.95333333334
139280.17,118428.01734374
142532.83,123594.74888019668
148909.34,125568.84223958007
145556.23,129952.37580729998
150054.1,129273.70466145336
151324.48,128771.98260416335
156022.23,143753.464375
158855.81,148746.70463541665
158164.9,162000.56927083337
157647.56,156835.68130208337
162481.94,163032.70208333337
161904.42,158032.0878125
165340.84,155960.8415625
165574.23,165610.2808854167
168358.95,169417.35697916665
169368.75,164119.49625
170483.22,165358.66625
173061.83,161886.28770833337
175460.2,167161.34765625
173140.95,162039.9915625
167940.58,166963.98260416667
174034.55,169987.40859375
177783.38,158534.5515625
172701.78,166658.8453125
177568.72,165674.66411458337
183859.67,161921.364375
183182.58,167671.41958333337
180232.97,162910.40744791663
182639.84,161679.22958333333
180339.83,167445.30484375
189748.11,167781.94883988294
185775.33,160532.1259375
186700.52,170241.96583333332
181354.5,166187.11828125
184512.25,161637.2779296875
183236.77,174019.95677083332
190192.28,163602.62973958332
185161.98,169056.86604166665
180190.14,164518.49107142858
182812.45,165171.84723958332
184014.14,166562.53859375
188683.39,167183.38458333333
187936.02,165075.62286458333
185609.67,160952.97255208335
191323.03,169010.53223958332
186098.78,160405.34645833337
180972.23,157197.80611979167
186937.4,156804.37567708333
187329.7,155893.13161458337
188643.88,165120.64338541665
187285.17,156823.88421875
183026.47,162673.646875
186824.38,165049.31130208337
183913.61,160336.81395833337
191290.52,161844.83791666667
188262.64,160714.02322916663
189774.05,162871.24989583335
188734.48,168982.97791666663
191445.61,169975.49993489587
184271.92,163927.34057291667
186062.47,174330.17020833332
190862.12,181919.0985054348
191001.1,180955.38
188610.0,190496.9763541666
186049.34,186793.88208333333
184386.62,183821.33145833333
186807.67,186370.20307291663
187554.8,187754.66458333333
185448.61,181459.84703125
182742.44,188143.4956770833
186570.12,185369.9834635417
185859.11,185265.45052083328
186348.97,184203.41322916668
185547.42,172999.4384375
184774.62,178146.91208333333
188059.31,180478.84838541667
183159.64,176349.17614583328
181863.83,177822.3478125
186561.6,175070.40963541667
183378.25,176636.25005208337
182075.89,179089.36416666667
177322.19,172550.92510416667
182879.86,165549.31731770837
174083.12,169612.16333333333
175964.42,162621.75776041663
179518.9,165089.42557291663
171046.14,166481.44625
179824.77,160368.18838541667
176884.05,163434.95229166668
166553.05,165604.1359375
170480.9,155575.14338541665
169766.9,154634.23307291663
168031.62,158706.38734375
170890.36,155890.266875
167650.83,161454.79231770837
166277.53,166038.76296875
166455.83,160561.29177083337
166835.06,163165.72552083337
165044.12,167048.59739583332
164008.81,164514.25359375
163389.84,156310.83510416668
159282.25,152339.64932291667
159321.25,154634.7698958333
162802.06,159738.32578125
157918.12,151557.34359375
156576.56,153637.17802083332
156791.81,144120.7822265625
149983.33,150563.46041666667
151526.75,153537.87322916667
150871.61,153847.66484375
149154.95,148839.46291666667
142795.52,152160.38619791667
144154.44,143664.24947916667
147311.42,147495.59557291333
151423.14,140497.63148437333
148363.83,144806.00880208332
140595.77,137381.87731769006
143455.98,131219.56765625998
138446.47,136069.76627604582
142828.62,134540.44072916333
134807.6,128454.63651045664
134939.08,129164.58255207997
135268.03,130447.64218747338
135264.25,129035.42630208998
141800.58,128882.10140623667
142550.53,126351.23815106327
134085.28,127814.58859375332
133598.66,128679.78997395336
128776.46,118960.34119788336
137634.67,124226.39968752662
133137.11,121818.14833987081
132900.67,126066.35518228002
131953.9,120486.47677081
125460.82,118851.63947915335
128604.78,120564.10927085664
125545.81,118163.57393231
128540.03,125031.17583334005
131349.53,122803.39164064
132047.97,121361.41075523329
124924.71,123922.73513021668
125792.38,117878.4001301934
127257.92,120988.7248698033
131678.2,112427.33430987502
125098.94,113997.3968229167
131593.9,114420.53833332338
126150.06,115389.78606771994
126700.89,112553.78250002665
129630.82,113338.96369787672
130914.83,100255.79804687331
121847.414,108714.42895836664
128350.19,110483.27632810335
122520.78,108840.42497395666
128501.16,106859.67421873336
122666.51,114706.80888023994
126407.45,109053.6663085542
119760.336,107010.13523438998
128539.09,103185.09294269666
129443.88,106903.33117190996
124428.58,105090.51317708669
124743.73,107769.11466146332
124503.055,105185.88247395
125466.164,107813.24304688
124620.88,108071.48669270004
125901.13,105409.08236978667
122021.36,99686.62744791336
120878.32,109090.93325515008
118022.164,94990.74739585414
119875.71,110301.09078123004
119559.24,102783.71656250664
121067.95,105061.15872395002
117023.85,101985.13111979335
120139.484,103724.57848954672
122215.21,106534.51372398333
113967.13,109432.42820314332
116331.08,102321.88812501333
114163.05,102888.97450521668
119656.41,102826.40820313328
120282.98,101672.32088539336
114851.54,102493.57773441666
114947.15,103222.03979166332
112750.1,103511.32325525332
116289.586,106196.14424480332
116758.44,105337.51445312002
109986.08,101290.37510416002
111282.03,104068.69841145
118069.695,106100.28367189996
111669.65,101389.70192708
115244.805,109142.75283853
110519.734,98095.37807293332
113807.484,103486.54049481996
115950.87,103540.20732418752
113186.28,101859.08114579672
111025.83,103815.18401043
113620.18,107633.18052085332
111701.375,103644.40580732664
107701.17,99338.12002606
108933.49,104701.31632812331
109984.69,101321.01479167333
106807.13,94656.78705731333
105239.91,105870.78562499335
108092.66,98000.66307292665
103189.766,104875.40481769004
106075.41,106119.31347656251
104879.64,100516.66765625
109798.7,106152.67851565665
103403.47,97778.19596354
100687.45,99820.22062498669
102721.93,103282.28408852004
99103.25,103664.34903645336
106616.96,101007.76718751332
99409.79,98531.34460937668
106317.055,102564.61846353668
102460.88,99656.06752604336
101890.93,102283.63791665
106019.85,96145.73860678752
100029.21,100973.55815103666
100643.234,101420.44687503995
102718.93,100997.40070310334
101609.45,100286.20942710998
106925.92,96187.22223960004
101145.06,102677.99908852004
101342.34,97089.72270834996
101442.445,100535.31036458332
98908.984,100190.60070306339
102127.625,92962.16039061
98456.336,98831.20611979332
97481.87,90969.9574869542
104820.125,98987.87859371671
101352.92,95537.58200519667
100895.5,102868.37307292002
106351.766,97031.5901042066
100004.18,97293.40625001665
100216.34,100979.62484373667
101217.95,88505.04976563
100725.25,97812.04130208
97781.19,94790.8546614733
100022.08,99328.45765625
95865.58,98317.39111977
98262.86,95390.15901692084
