Predictions,Actual_Values
117782.53,83675.82799477999
118740.1,89067.89661458998
115207.04,84761.22630208662
115125.445,79745.66453126664
114283.4,87798.07098960664
121251.89,82741.15070309673
119371.9,86367.06713540001
111259.65,83775.04278646334
116947.23,85161.02937499329
121925.47,81166.30393229335
113775.86,82203.55031250337
121611.63,82345.0143880458
113095.52,84668.86567704003
120677.336,82959.15445308007
113751.914,85023.92028641338
118558.97,83231.31335935339
118618.73,83212.02244791997
120790.25,80698.26783853333
122640.99,84418.80354169331
118419.04,81053.10638020004
117380.28,83737.20026041004
113208.09,82533.61591145997
119122.77,83814.16664063669
122438.42,80784.00273432923
123895.9,83388.25638016671
124464.2,82331.80067707668
120903.76,85814.44565100668
118206.04,93197.57593750666
112976.83,80205.12822914003
125015.42,82587.88953129662
117027.836,84398.99096352668
123342.13,84601.05859375666
122298.586,88458.78070314664
121246.47,90471.90283856
119704.27,95272.52705728669
114084.44,92082.30654291672
112877.24,91873.09794272
119864.31,99042.33138020996
114843.86,91734.68921873336
115005.44,93520.59278643003
116746.28,101378.04585935335
118055.016,102288.18911458334
118613.164,102556.75127603332
115507.59,97259.64330727002
117826.11,100404.86963545662
120154.37,100440.50947919332
119873.89,96476.98130210664
121692.1,101975.11985677083
120968.64,102949.1604687267
120998.42,108320.27054684672
118655.92,105612.99013020669
115270.83,104096.31239583332
122062.89,103810.8790625233
117690.83,100934.60104165332
123827.7,101919.65281250664
116118.38,100317.03541661672
112622.93,111279.91695311003
124319.625,106569.33544274993
119117.29,105729.29263023664
124918.46,104571.4426106958
119867.0,108855.73065105996
120306.61,110868.54460939667
123074.055,101033.32341146668
120694.4,110374.8032031566
115938.09,114588.11619788005
122032.38,111688.41924479663
128359.336,110635.91283852668
119036.42,121268.34156250664
117789.91,107094.31841145668
122763.19,119083.00507813333
121422.2,120540.72750003
115922.55,117893.93955076668
124480.61,125076.35510415005
119823.66,122024.89570312665
120984.82,127694.51966145667
115343.734,123287.47377602005
122026.3,118953.85388020665
116339.37,120320.99247395336
113966.22,126926.56466143002
114922.94,118677.71299484324
119543.31,122629.9314843567
120187.37,122821.15036458336
119558.08,114751.41281248006
124305.44,122924.55872393333
118251.75,113997.40903647333
117677.15,117338.69617185336
122210.32,124969.22854168998
115667.83,124323.95247394
117495.08,123295.96171873338
122065.82,116477.15468750664
114433.805,120922.1554947434
127577.305,120335.99145831337
120801.3,122976.44940106994
119181.23,118983.09473957994
122202.56,123939.2243228967
115863.875,121370.55504557086
117537.734,123368.37015625002
117307.4,123240.38143230336
123783.43,120192.93526038669
124923.55,120833.43533853668
113519.92,116693.47252603668
118523.6,119629.36763022
119651.33,133734.87218750667
119882.85,143293.17651041667
120436.984,145393.91197916667
119789.5,142695.96382811668
118153.016,140028.20018229
115212.19,141122.5342773542
121880.73,144823.898125
119343.71,132006.52700520333
119127.836,142735.35307291665
122533.89,146197.42682291663
121464.73,137936.9664322867
117329.28,139796.53799478663
115136.43,143319.09375
124127.12,131476.01515626998
120542.71,136077.85229166667
120016.54,136477.05882813665
119659.5,146994.03401041665
121690.96,134347.49039712915
116012.35,134581.16039063
121708.92,133517.21848958667
121697.74,131438.25216145333
115691.6,119868.39640626663
125902.13,122489.6418750466
119401.35,128255.16106769998
114633.03,129963.30526041334
123380.75,126096.44401040334
119327.9,122550.91395836332
115940.88,123240.38273440664
113881.48,122658.71640623
120664.945,121364.01582031664
117151.31,118770.05192705338
123521.48,118505.77796878332
119728.61,116338.93575515007
122742.48,119824.01060826422
122859.72,118388.42317704676
124921.164,113755.55010418661
121060.53,113668.22734372668
116529.055,106825.00190103336
116706.23,113082.21565105
121427.25,110802.91770831334
113973.32,105880.83169270997
115532.375,110345.33421225
121809.875,112356.23692708666
112950.42,106911.28447915
118453.94,110710.97500002992
122554.67,111011.16356771332
121005.15,107449.72312503331
120191.48,106560.4451042166
118950.41,108236.45151041004
118686.95,102143.89453126665
119343.5,109400.75572916666
119426.43,106830.62065103666
121431.64,111012.86770831668
114302.984,111185.16455078752
124468.95,116625.04838543665
121960.445,108042.71395832
120505.336,113924.85132888376
118557.484,113045.36197916006
119967.46,109626.83492187664
118262.56,105915.78242187331
115770.195,110664.34781251
119753.58,109530.52210938664
125296.88,116786.52601562995
116608.1,105869.74481771998
118776.47,107519.43361976671
119513.914,114929.34625652494
121399.29,104932.29630209328
115427.44,102742.63890622336
119472.266,101171.19182292
118994.99,101551.44140625
122141.695,105572.43606769331
112540.48,102319.34916668996
121250.94,106536.01046874668
120467.6,103580.07906249004
116913.4,99623.47539062
116861.87,103123.8447135733
118151.836,105239.35205728334
122802.51,102504.15852867496
122361.586,104209.15135416
120545.12,106178.34445311996
125406.766,100093.20111978668
119886.86,107432.02770833668
125749.49,100882.15726565332
114042.23,103078.04643230996
114627.68,96645.03804686334
122756.46,91081.12645830004
114602.93,93851.73031251
118954.97,96394.5523177133
117881.29,91976.93276040663
123576.086,91205.67880855004
116934.55,98180.90411461328
116530.25,94208.97815103333
119342.055,98382.54773439663
115954.766,106494.32580732663
124173.97,101934.84770832334
115519.36,106717.39841146
116311.3,101952.56804685002
