Predictions,Actual_Values
86365.164,83919.05796877
85895.33,87808.49059896998
87777.11,82883.27817708
84840.9,86290.66838539338
84990.34,88070.81635416002
87376.055,81581.54020830333
85925.305,86304.8044261706
85188.19,83010.27372396336
87038.01,84247.65661455001
82795.57,87754.5234374667
86320.17,81825.83145834332
88132.09,84795.00696614168
87653.77,83639.77992187999
91501.7,82576.70440105001
87305.06,85995.55539060669
89662.39,83456.18260417
84790.34,84134.48286458335
88640.164,84337.22138018339
87902.27,83115.96252604332
86878.36,81113.54822914668
92954.77,85024.68291664001
87854.4,83428.59164065664
85991.17,79591.65117188665
89611.79,81911.4455728834
87618.93,81123.83838541666
87382.21,82319.19585937331
87807.375,83266.80552082336
89403.21,80141.96486983003
87699.07,83007.78257812001
90742.45,79039.6389323233
91540.94,79429.21872395335
87436.016,82943.07188020737
92440.27,78213.98234373999
89547.52,81945.62726559673
91858.14,81320.64604161005
90774.39,78529.66207686244
91435.37,81649.35356769666
90246.4,79420.0390103867
92308.766,81253.74213539336
89105.78,82778.47565102336
91864.94,79855.32385413336
90285.49,81556.92312498669
92757.93,80408.74255209997
92012.73,79480.21557292997
90220.88,80299.76575523664
91841.58,81896.38281252667
94219.33,77419.14666665338
95747.484,82587.95979823329
98044.18,81272.98763018339
92690.22,78931.09013020668
95778.04,81716.23281250332
93651.34,80497.98822918997
94525.5,80084.24132814333
96909.45,84194.6301041633
93941.19,79423.42763020004
92054.54,77395.32156665555
96487.29,80253.78294272331
95430.19,78562.29471355335
95295.414,85089.69945312665
98195.98,89711.21897784168
97305.28,97237.98075517669
95600.805,93884.68046874668
95423.16,95452.27765622338
97479.16,89730.87796872336
96307.92,89970.21546878663
97726.45,98831.69283850335
100196.15,95546.34630204666
94761.586,93974.52499999331
99868.11,95635.05447919664
98585.2,100872.82851561668
99878.61,100409.65236976671
98007.73,100312.17314457912
103874.11,100282.41127602667
98838.46,95050.35869791334
99795.305,99942.79507810331
99950.016,98425.43218747336
101446.79,101373.01174481666
100922.91,104031.60291665666
100892.055,97999.98716146
