Predictions,Actual_Values
107158.63,83675.82799477999
104722.36,89067.89661458998
106511.555,84761.22630208662
107984.17,79745.66453126664
110219.08,87798.07098960664
105225.164,82741.15070309673
106528.18,86367.06713540001
107220.695,83775.04278646334
108248.01,85161.02937499329
105331.23,81166.30393229335
107959.65,82203.55031250337
107136.35,82345.0143880458
107306.81,84668.86567704003
106526.87,82959.15445308007
108607.95,85023.92028641338
106636.086,83231.31335935339
107965.92,83212.02244791997
109068.32,80698.26783853333
109927.57,84418.80354169331
108351.586,81053.10638020004
109214.1,83737.20026041004
110366.33,82533.61591145997
108671.72,83814.16664063669
108983.5,80784.00273432923
111160.91,83388.25638016671
108530.74,82331.80067707668
112547.97,85814.44565100668
110882.375,93197.57593750666
111643.84,80205.12822914003
111837.05,82587.88953129662
111202.164,84398.99096352668
111813.18,84601.05859375666
112594.74,88458.78070314664
111389.73,90471.90283856
112725.16,95272.52705728669
112482.84,92082.30654291672
111970.98,91873.09794272
114734.82,99042.33138020996
114036.57,91734.68921873336
113498.61,93520.59278643003
113108.04,101378.04585935335
114940.99,102288.18911458334
116015.99,102556.75127603332
116944.57,97259.64330727002
114090.05,100404.86963545662
117358.03,100440.50947919332
115256.4,96476.98130210664
115078.58,101975.11985677083
116514.28,102949.1604687267
116675.805,108320.27054684672
116503.25,105612.99013020669
117382.516,104096.31239583332
117618.32,103810.8790625233
117762.95,100934.60104165332
121572.56,101919.65281250664
118308.4,100317.03541661672
117892.05,111279.91695311003
118788.516,106569.33544274993
119873.36,105729.29263023664
120541.55,104571.4426106958
123214.21,108855.73065105996
121092.02,110868.54460939667
123095.87,101033.32341146668
120120.195,110374.8032031566
121806.836,114588.11619788005
120238.99,111688.41924479663
123668.27,110635.91283852668
122172.37,121268.34156250664
124944.37,107094.31841145668
124109.44,119083.00507813333
122942.16,120540.72750003
124032.71,117893.93955076668
121725.71,125076.35510415005
127488.64,122024.89570312665
124731.05,127694.51966145667
127994.61,123287.47377602005
127138.47,118953.85388020665
127030.055,120320.99247395336
125042.84,126926.56466143002
