Predictions,Actual_Values
96884.12,83675.82799477999
99222.5,89067.89661458998
98176.195,84761.22630208662
99252.96,79745.66453126664
95970.336,87798.07098960664
96931.78,82741.15070309673
101682.99,86367.06713540001
97590.36,83775.04278646334
99908.62,85161.02937499329
100824.78,81166.30393229335
98500.22,82203.55031250337
100289.61,82345.0143880458
98151.23,84668.86567704003
99984.81,82959.15445308007
101996.91,85023.92028641338
101087.19,83231.31335935339
100837.96,83212.02244791997
102181.14,80698.26783853333
104102.336,84418.80354169331
101347.73,81053.10638020004
104195.84,83737.20026041004
106575.375,82533.61591145997
103992.5,83814.16664063669
104002.125,80784.00273432923
102433.97,83388.25638016671
104413.016,82331.80067707668
104125.35,85814.44565100668
106803.27,93197.57593750666
107619.445,80205.12822914003
106875.15,82587.88953129662
107428.54,84398.99096352668
106858.75,84601.05859375666
106876.13,88458.78070314664
108027.61,90471.90283856
111427.305,95272.52705728669
110065.33,92082.30654291672
109286.44,91873.09794272
111752.11,99042.33138020996
113730.984,91734.68921873336
115248.16,93520.59278643003
114973.125,101378.04585935335
113832.125,102288.18911458334
118262.83,102556.75127603332
116609.734,97259.64330727002
116893.37,100404.86963545662
118516.97,100440.50947919332
121095.625,96476.98130210664
118798.555,101975.11985677083
120049.79,102949.1604687267
118574.945,108320.27054684672
122248.28,105612.99013020669
122014.5,104096.31239583332
122192.34,103810.8790625233
124581.72,100934.60104165332
123333.16,101919.65281250664
124373.414,100317.03541661672
126647.37,111279.91695311003
127317.625,106569.33544274993
128663.05,105729.29263023664
125488.75,104571.4426106958
130747.125,108855.73065105996
129954.67,110868.54460939667
128677.88,101033.32341146668
130047.02,110374.8032031566
133629.44,114588.11619788005
129843.11,111688.41924479663
133362.48,110635.91283852668
134966.77,121268.34156250664
136180.69,107094.31841145668
138309.02,119083.00507813333
136820.05,120540.72750003
135542.97,117893.93955076668
137497.89,125076.35510415005
137823.7,122024.89570312665
139755.4,127694.51966145667
139336.77,123287.47377602005
138374.89,118953.85388020665
141998.7,120320.99247395336
141055.73,126926.56466143002
142344.16,118677.71299484324
143751.67,122629.9314843567
145276.3,122821.15036458336
145649.66,114751.41281248006
