Predictions,Actual_Values
99402.055,100824.75041667667
96421.07,95353.29421873004
98173.8,100304.99786458998
97388.65,94397.89945315996
99283.53,105565.56778646995
97975.33,92318.77148437666
98007.71,101491.21835937668
96764.37,96341.5558853867
98828.92,95776.78690106668
98523.12,94319.12177084998
96517.55,99191.9745833466
97458.305,92063.62272135416
98541.766,98227.69476562
98570.53,97113.87179689664
98849.26,89835.58229170999
98094.19,94690.99768232329
97664.54,91826.83309896998
99325.48,95555.30015624
96494.83,96971.60132811332
98565.48,91107.16559897667
98119.75,95138.89286457669
98304.53,94114.00057292
97942.16,88163.91932292999
99745.7,95165.53271483752
99485.336,96839.33645832996
99682.46,92238.29776041668
101357.734,87177.47651043
97872.695,94408.28359374336
98041.945,92533.18401045995
100138.23,91411.47718749
102342.08,94467.34984374666
101412.66,94382.79164059002
101410.96,94841.02690103
101783.05,90713.62695312
102594.98,93033.61875000333
101278.07,95857.97610680832
101305.46,90748.71195313668
104649.9,93051.76557293996
104163.15,95571.31679693662
103985.88,91809.78052084
103591.52,92820.14882812332
102717.03,99858.72164064
105132.195,93680.26515624668
107058.414,91881.80257812004
106837.39,100453.44153647331
106200.08,92201.31752601668
107346.22,99302.4218489567
104429.96,97242.31513671669
104830.6,99829.10210939996
105072.414,93366.03914063332
107068.03,98262.3698003512
111094.305,102731.82611982332
107338.7,97236.5154687267
107777.01,109691.53848960328
109756.84,97595.78539059332
110179.805,104370.56736979003
109941.66,99266.63364583664
111913.55,99878.75927080006
110289.39,100471.73390624336
113376.11,106568.15322264584
110459.34,98264.90968746669
111592.17,102163.94986975666
114795.22,106608.56229163006
112545.61,108476.31377604666
114948.06,103973.55518228337
114586.49,104305.8301302333
115859.25,104925.35617185004
116809.18,107399.16083333
115745.875,102651.04320311004
114349.77,111690.67997395336
115382.67,112724.36226561332
115186.125,102149.39925133328
119803.99,100745.31494792334
117203.66,104677.75658850335
119076.945,100073.51130210997
118190.33,102075.27039062
118149.01,99952.17901040336
119036.3,109657.15580726336
119516.78,110547.07700518669
120127.97,114129.64945310002
120549.96,112302.15617188664
120248.8,112975.98059896006
119591.555,110736.8350781067
120026.93,112079.44208985422
121924.85,117488.19789066329
120538.266,112014.74682288672
120888.59,110325.37455730332
121991.83,121429.32039065994
123838.0,105028.79807290006
122877.04,107234.73934896335
122376.125,100805.97619791668
124156.75,107234.1347395667
122249.17,108235.80734372672
125124.125,109639.2484896033
123735.76,109818.41502605996
124773.77,108009.27190750004
122878.375,109534.51528645
124194.53,118238.80781249664
125169.45,118240.84291662008
125512.34,121435.65830731994
123531.836,120549.6797916866
125156.305,117140.46252605668
126490.05,116046.92638021668
125112.33,108751.13481773996
126345.55,105662.2211458167
125510.62,121486.25033854664
126563.85,121588.16747397665
128197.68,112969.03404949994
125952.45,116107.2529426734
127499.51,119200.60408854664
127391.805,116570.70523436335
127283.125,117607.04833330668
125778.18,121349.19088544662
127035.836,120151.37039064664
128427.664,115919.44049479337
125670.11,122233.92580729332
128106.97,122898.09932289006
127831.06,117230.48473958006
126781.47,121110.27171877328
127609.836,114100.04596353335
127552.555,118822.44533854665
126042.54,116836.10742190332
128577.21,115483.12859374667
124961.59,109930.55596353002
128201.445,103650.98057290002
126113.17,109397.64276041
128141.66,106583.83406246008
129764.266,100886.68192707335
127589.43,117638.68156248
128204.62,121819.54885417664
129375.89,126723.27752605664
125746.08,116575.20960290413
127745.12,119773.60664062
129942.484,120456.41492186332
128068.28,116006.40067709662
127819.34,124780.00231772664
129052.45,114734.81744791663
128276.0,124288.45658853005
129672.195,127417.55450521002
126381.15,115264.14757813998
127734.63,121112.15781248
128120.36,115117.51854166664
126238.375,121392.04463540336
125956.25,119591.07093100414
127069.45,117132.69278646998
127523.87,111875.45273438664
127347.94,113730.32960934
124991.266,117369.1162500133
128090.34,127731.86664063665
126743.61,115664.6148437134
126242.164,121711.29054687994
128017.85,113144.62994794002
127947.71,114867.43638020002
126316.0,123355.80458333663
128950.11,122933.88776042333
127449.195,122718.09775389585
126642.5,122380.92317706332
126863.91,116256.51499999668
125351.84,121373.23005211662
126587.9,123707.6388802067
125716.734,123036.90765623668
124328.945,114485.18942706668
125328.58,124318.27937501662
127356.71,118090.53684896664
124254.23,122980.70289061664
124939.89,120389.69716147332
124172.445,117893.56484377662
127150.055,125819.09388019587
126034.914,116158.75372397668
124569.05,121220.5973697734
124174.29,127179.79705729664
124332.06,127404.95164062332
126016.02,118963.5501562866
123808.445,120926.1183073133
124525.96,121298.57773438668
125398.664,109358.54130211996
126115.18,111232.75221353336
123371.44,106613.16934895336
124372.58,109723.33354170994
125853.414,108984.5270507916
122112.81,122505.85778646333
124332.74,121452.00164062668
123465.414,111791.75502605663
123059.85,115996.92320311331
124806.71,99448.43841148994
122134.21,106545.22450519
122626.375,105105.61723957334
125317.41,99930.34679688
122366.87,105293.65421872668
122246.8,104566.77492189668
123267.69,108780.21916667333
124019.6,112167.43671870836
121105.164,118295.38739583331
123389.41,116789.37304687664
120734.266,109704.88799477337
122338.89,120114.02281248671
124133.375,113935.16505205006
121182.63,110980.84046874003
120171.53,110684.22520833
121783.8,112137.4929947767
120708.33,114981.20531250667
120469.22,109890.7976302267
119889.6,109477.07268227336
120019.336,111391.99407550832
121233.74,106884.55567708332
121774.11,104273.75231771002
117823.39,108050.62203125666
119109.664,106939.57325518668
119738.1,104754.48153645334
119541.87,106738.45455728332
117691.01,112988.53192708331
120029.44,108505.09213540336
118533.08,107901.51505207668
118060.19,105217.66036454673
118232.16,109609.79606771668
116803.53,110079.66741538746
118557.41,110776.83380212328
117977.38,113023.46247394006
115993.69,124759.40091146668
118632.266,105018.74515623004
118964.414,100353.80026040335
115420.6,108282.31559896
119844.94,107746.02414062666
115931.086,108842.88263021332
117310.71,114451.70359378665
115194.87,114982.45268231662
116225.12,106376.54973958
113883.94,102151.24208985834
116312.6,112330.55468748668
113673.6,114181.30398439664
114117.94,104544.90614584
116665.99,108502.06695314996
113385.75,110936.1783072933
112777.14,109287.46960939
112334.54,106572.5192968933
115230.47,111673.98526042666
114751.6,108208.19255209666
114881.17,102457.67947916336
112974.164,105257.72088541334
111836.625,103049.86748045417
112291.67,98974.00984376331
110681.74,103603.64963542332
111243.33,99057.10789065664
111699.84,101697.54914063668
110756.64,98538.59385417332
111926.555,97233.25968747668
109791.46,108079.61127602
112042.17,97891.91731768004
110612.336,99739.7110677
109398.875,106004.67723958334
108588.53,100038.31929690664
108641.984,99749.3111653958
107877.25,104992.19541667005
105919.53,99609.58851561332
108237.945,99414.78059896336
108214.22,97640.12763020334
107870.01,98714.62244789334
105759.234,106033.62023436668
106651.086,97956.61447915
107969.49,94481.58955732996
106714.38,104226.11786459669
105925.29,94302.22585937667
105919.516,98100.65406248334
105183.11,99355.87057293332
104572.25,103174.45692707332
105745.305,99899.67088537672
106859.58,97168.13466143668
105117.63,100143.2778125433
104336.64,96247.98424479998
105119.6,100061.17666666328
103009.66,100004.84348959332
100903.41,100928.52398436662
104124.8,95519.12471353334
104005.05,101859.46544273665
103744.47,94656.27705731663
102042.836,97962.34752604582
102443.81,106162.20494789004
102257.19,99730.13822915002
104935.664,93997.96924479998
102373.71,99569.56088539337
103039.0,101657.05731771664
103017.62,98539.60815103338
102907.9,94278.9695573
101487.52,102438.38265623004
102032.625,99236.67669270666
104031.07,95118.47726559338
101986.5,99919.49518228334
104852.15,105102.74124349584
