Predictions,Actual_Values
82852.55,86505.20302081003
82423.9,84523.35221354003
88285.05,82518.35794267668
83007.05,93480.5358854067
82519.88,84722.90169267339
83236.52,83576.31828120007
84813.02,86979.61145832
85688.95,87114.98984375667
81669.695,79494.07075522999
85318.08,79483.9700520567
80527.97,82252.4874739467
85723.52,84814.85058595
85450.62,81258.90825521665
78754.37,84318.08070312334
85067.41,83081.11544272333
85208.945,82686.0451041733
85451.84,80629.96028644999
88754.9,82684.54484376001
86494.66,85763.23364583665
83424.93,77617.25255207668
88108.984,77848.51117189665
85068.125,86580.36531246005
83772.22,82307.81356769335
82872.37,79329.63974605419
91206.03,85368.66885412007
87339.63,79419.77223961332
87474.086,81483.46986980332
85862.83,78858.13479166334
89015.77,76931.06479167331
84706.23,89635.92606772333
85627.8,82861.27898440327
84912.54,82103.85455729668
84953.8,80540.85375001666
94635.22,82371.98437498668
86154.68,82598.35057291003
94739.21,86787.54274090829
82236.98,84845.85489581003
81932.38,86101.1766406367
88194.27,83343.98106771
92813.266,81469.20479168331
97659.695,80112.34450520003
88606.93,84560.58846355997
85509.555,87334.26333334668
93885.164,80720.8847135333
92976.46,88938.80229167336
90348.195,82954.79640629994
93325.64,84228.21315105665
92324.98,85281.21380210832
89590.12,84290.22390626666
95371.58,87074.06088543001
87187.125,85027.95458332334
92714.87,81069.10398435338
91585.664,85207.26367188334
96400.81,89881.18437499668
87011.06,84034.45622394331
96425.09,79997.54744789668
98299.91,82753.61598958336
95179.99,81153.89453126665
94510.64,87148.07091150661
96056.414,83567.65185550826
101506.83,88572.18604166002
94841.18,88596.41661461328
96410.37,82905.38484376
93648.66,84954.11604167335
97102.74,85019.80747395665
97724.22,91182.63726563002
97171.74,88556.9769531067
103044.85,91026.06109372666
97362.25,92921.25109378998
101620.17,92437.62455728
100688.88,91706.6857552233
97973.97,81508.58662108332
105389.77,86688.66158858327
102103.125,82451.3054947767
94301.02,88132.70252605334
98752.78,85473.42270833666
100641.62,83964.12835938665
104765.38,87530.08041668327
94994.16,93434.28033857328
96474.28,86376.48018228
99580.6,97232.47971356
102495.266,96592.83067709667
105180.22,94190.64945311336
99289.03,96128.90292968336
108016.984,97723.39075518334
102186.31,96128.8053385167
101741.484,96519.20322917668
102669.63,96781.57700521998
102095.4,95190.74502603331
103422.29,94904.33304685335
97582.195,97302.47526038338
102670.29,90519.02216144669
102131.82,91198.23838538
94260.99,95042.9353385533
99530.89,95999.50809892334
102273.59,92969.15244139584
101764.516,99762.02354164672
96509.445,93279.31820310002
98840.72,94576.04080727002
105519.65,96760.2983594
101590.8,94474.82953123
101407.305,94907.75575524328
100217.24,91753.12476562666
98103.875,91214.07065104
98796.29,98331.05854172
94194.78,98095.59520834
107481.484,93760.67106768668
102183.22,99067.78238930833
103391.49,97809.48356776324
101950.234,97487.73403647335
101116.41,100024.67226564662
98686.79,101266.47908853334
99684.42,96665.1640364267
97588.305,108206.2096875
98656.9,97635.43320311338
103772.375,101656.93625001665
101079.516,99413.53020832004
98188.484,102490.0513020867
96394.305,103605.11968747004
101763.95,97468.31328128328
99502.11,99678.66916667
96065.21,99411.3251562367
101186.445,103070.89817707664
97603.93,100768.89971354332
99219.23,102118.14486975336
95134.97,98337.82010415332
101041.24,99986.13294272
103597.37,109001.89880211662
97163.62,105986.26794269998
104096.73,107285.54812499337
98147.58,112306.37013020334
96228.53,105833.886686225
98295.21,112942.16408854
100785.63,106962.20299480332
100855.31,104222.46200521998
102662.984,105438.71247395004
99616.8,106650.5159114267
101835.36,96635.49468751332
101885.92,103565.12276044664
98684.016,106671.44195309668
95583.6,103688.62473956004
97188.07,103983.19929685668
99379.336,105671.58062500998
